Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Title or keywords related to the innovative policy, practice, program, or outcome","A brief description of the innovative policy, practice, program, or outcome ",A brief description of any positive measurable outcomes associated with the innovation (if not ...,Provide affirmation that the following statements are true:,A letter of affirmation from an individual with relevant expertise,"The innovation describes a new, extraordinary, unique, ground-breaking, or uncommon outcome, policy ...","The innovation (program, policy, or outcome) is not already covered by an existing STARS credit or ...",Which of the following STARS subcategories does the innovation most closely relate to? (Select all ...,"The innovative practice, policy, program, or outcome occurred within the past three years",Other topic(s) that the innovation relates to that are not listed above,The website URL where information about the innovation is available ,"The institution has not previously received a STARS innovation credit for this specific practice, ...",Does the innovation relate to Curriculum?,Does the innovation relate to Research?,Does the innovation relate to Campus Engagement?,Does the innovation relate to Public Engagement?,Does the innovation relate to Air & Climate?,Does the innovation relate to Buildings?,Does the innovation relate to Dining Services?,Does the innovation relate to Energy?,Does the innovation relate to Grounds?,Does the innovation relate to Purchasing?,Does the innovation relate to Transportation?,Does the innovation relate to Waste?,Does the innovation relate to Water?,"Does the innovation relate to Coordination, Planning & Governance?",Does the innovation relate to Diversity & Affordability?,"Does the innovation relate to Health, Wellbeing & Work?",Does the innovation relate to Investment?,Public Notes
"University of Maryland, College Park",2016-03-23,2016-03-23 15:54:49,sdeleon@umd.edu,2.0,Pursuing,"Green Tidings Food Truck, Sustainable Mobile Food","In 2013, UMD's catering operation launched Green Tidings, a mobile food truck exclusively serving the University of Maryland in College Park. The mission of Green Tidings is to feature local, sustainable cuisine providing a fresh, new way for students, staff and faculty to eat on campus. Green Tidings purchases its food from local farmers and various vendors who are certified humane or local in the PA, MD, VA, & NJ areas, and updates its menu regularly based on seasonal produce. In it's first year of operation the Green Tidings Food Truck served 11,740 customers. Customer's favorite dishes included Grilled Herb Marinated Salad, Grill Steak Sandwich, and Gourmet Grilled Cheese. By providing a focused, fun, sustainable dining option, Green Tidings is helping to educate the campus population about making sustainable food choices. All food is also served with compostable utensils, containers and cups so nothing that comes from the truck has to be discarded to a landfill.",,**,http://stars.aashe.org/media/secure/471/6/582/3264/GreenTidings_Innovation.docx,True,True,**,True,--,http://umdgreentidings.com/,True,--,--,True,--,--,--,True,--,--,True,--,True,--,--,--,True,--,"We are still in the process of deciding which programs we will use for our next public STARS Report. Once we have made a final decision that this program will be included, we will seek a letter of affirmation from an expert external to UMD."
University of Massachusetts Amherst,2015-12-17,2015-12-17 14:45:22,esmall@facil.umass.edu,2.0,Pursuing,New2U Reuse Collection and Tag Sale,"The New2U Reuse Collection and Tag Sale is a student-led program entering the second year in the 2014-2015 academic year.  The first year was a smashing success.  The program is supported by the Sustainability, Innovation & Engagement Fund and is a student-led reuse collection during the spring move-out and tag sale during fall move-in/first week festivities.  This waste reduction program is a collaboration among the Physical Plant, Sustainable UMass student leadership, Residential Life, the Office of Waste Management, Moving Services, New Student Orientation, and the Post Landfill Action Network (PLAN) based in New Hampshire who provided membership consulting and support for the UMass campus.

In the first year of operation, UMass Amherst students and sustainability staff collected more than 5 tons of materials from the Southwest Residential Area during move-out week.  The items were stored in a classroom/laboratory over the summer and cleaned, organized, and priced by two student interns.  The two day tag sale took place in the Student Union Ballroom on Labor Day weekend during move-in weekend and offered gently used, discounted furniture, storage, electronics, clothing, school supplies, dorm room decor, etc.  An early bird special was available for shoppers from 8 AM - 9 AM on the first morning of the sale for a price of $5 (free for international students).  The sale generated over $6,000 in revenue which was returned back to the Sustainability Fund for 2014-2015 projects.

The Chancellor visited the tag sale and was extremely excited about the program, he even tweeted a photo of him with an international student who had purchased items for her dorm room.  The project has been very instrumental in raising awareness with thousands of students and staff about waste issues and has helped elevate sustainability across campus.",,**,http://stars.aashe.org/media/secure/93/6/582/3264/Innovation1_Letter_RJackson.PDF,True,True,**,True,--,http://www.umass.edu/sustainability/green-campus/new2u-reuse-collection-and-tag-sale,True,--,--,True,--,--,--,--,--,--,--,--,True,--,--,--,--,--,--
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:32:57,Tyler_Arrigo@uml.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Michigan,2016-01-11,2016-01-11 15:37:30,ahorning@umich.edu,2.0,Pursuing,"Title: Sustainability Cultural Indicators Program, Keywords: Cultural Sustainability, Survey","The Sustainability Cultural Indicators Program (SCIP) is a multi-year project designed to measure and track the culture of sustainability on the University of Michigan’s (U-M) Ann Arbor campus.  It is intended to inform U-M administrators and others responsible for day-to-day operations of the University including its academic programs. Furthermore, it is intended to serve as a model demonstrating how behavioral research can be used to address critical environmental issues within universities generally and in other organizational settings.  Culture of sustainability is meant to reflect a set of attitudes, behaviors, levels of understanding and commitment, degrees of engagement, and dispositions among a population such as members of a university community. 

Two separate questionnaires are used for SCIP - one for staff and faculty, and one for students. While many of the questions are similar, different time frames and sequences are used in the two versions.  As a primary objective of SCIP is to work closely with the U-M sustainability goals, questionnaire modules were developed with questions focusing on transportation, waste prevention, the natural environment, food, climate change, as well as U-M sustainability efforts, and respondent demographics.  Since 2012 approximately 6000 members of the campus community have completed the questionnaires each year.  This includes roughly 4000 students and 2,000 faculty and staff.  

Annual SCIP reports are shared with the campus community noting changes since the previous year and trends over time.  A program website was also developed to share key results and materials. Between September 2013 and June 2014 there were over 1000 views of this website and the Year 1 report was one of the top ten file downloads from the Graham Institute website.  Meetings are held each year with more than a dozen campus groups to discuss results and these have already led to new initiatives and programs.  In terms of broader SCIP reach, more than 50 institutions across the US and in other countries have requested copies of the survey instruments.  Three book chapters and three journal articles have been produced on the SCIP process and results, and SCIP has been share at 12 major conferences. http://graham.umich.edu/leadership/scip",,**,http://stars.aashe.org/media/secure/344/6/582/3264/STARS%20support%20letter%20for%20SCIP%20-%20R%20Wener.pdf,True,True,**,True,--,--,True,--,True,--,True,True,--,--,--,--,--,True,True,--,--,--,--,--,--
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:05,mgranley@d.umn.edu,2.0,Pursuing,Natural Resources Research Institution: modeling and measuring sustainable operational changes at a research institute of UMD,"UMD uses the research facility at the Natural Resources Research Institute as a measurable model for piloting sustainable operational changes.  Ryan Hueffmeier is a part-time Sustainability Coordinator at the Institute who works to bridge education, research, and operations between NRRI, UMD and students.  Through our close interaction with students we focus on quantifying changes on waste reduction now, and in the future we hope to do the same with green infrastructure in rainwater harvesting and renewable energy generation 

Currently a student is targeting recycling projects at the NRRI (Natural Resource Research Institute).The student started with a recycled paper initiative that utilized local business, NewPage, to recycle paper and create a fund for student-led sustainability initiative. After they streamlined recycling signage and made sure to separate out paper and aluminum which are both revenue producing streams. 

Student lead composting (5,000 lbs since 10/13)
Student lead paper recycling for resources
Student lead recycling of toner cartriges
Student lead recycling of plastic bags
Informal education:
Development of signage for recycling program
Lighting
Student lead lighting assessment 
Development of a green fund application to target high priority areas that lighting assessment highlighted","Measured outcomes are tracked for waste reduction (pounds of paper recycled locally and composted materials)  In fact, student lead composting at NRRI has amounted to 5,000 lbs since October 2013.

",**,http://stars.aashe.org/media/secure/112/6/582/3264/STARS_letter_2_19_16_NRRI.docx,True,True,**,True,--,https://umdsustain.wp.d.umn.edu/education-and-research/sustainability-research/,True,--,True,True,--,--,--,--,True,--,--,--,True,--,--,--,--,--, 
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:28:47,good0044@morris.umn.edu,2.0,Pursuing,Implementation of a cold-weather windrow-based composting system in rural Minnesota,"For two years, students worked with Morris faculty and staff to develop a cold-weather windrow-based composting system in Morris, MN. Students integrated the study of a composting system into their coursework and classes. A student and staff team went to composting school together to learn more about how Morris would create a system that would work for its location. The project was also done in collaboration and consultation with the Minnesota Pollution Control Agency and Minnesota GreenCorps program. Many campuses have spend hundreds of thousands on an industrial composting system. Morris was able to greatly reduce the cost with their program, and they also worked with a regional manufacturer to improve their equipment to create a sifter that would work for our composting system. This is an innovative effort.",30 tons/food scraps are diverted from the landfill each year. Yielding about $8000/year in avoided costs for garbage removal. ,**,http://stars.aashe.org/media/secure/300/6/582/3264/Innovation%20Credit%201.PDF,True,True,**,True,--,--,True,--,--,--,--,--,--,--,--,--,--,--,True,--,--,--,--,--,--
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:28,stennes@umn.edu,2.0,Pursuing,Boreas Leadership Program through the Institute on the Environment,"The Boreas Leadership Program trains and develops the next generation of world changers to catalyze social and environmental solutions. Boreas offers co-curricular leadership development opportunities that build on the strengths of graduate education to create effective change agents. Boreas programming is open to University of Minnesota graduate students from any discipline through the Institute on the Environment. 

Boreas is innovative in its explicit focus on supporting and developing aspiring change agents and leaders within university culture. The program creates unique space and opportunities for students to learn leadership skills, practice acting as a leader, and reflect on leadership generally as well as their own leadership experiences and aspirations. Boreas offers leadership skills workshops in four areas: communications and media, integrative leadership, public skills, and systems thinking and tools. The program also offers a weekly event for to meet environmental leaders in the community and to discuss leadership topics in a more informal environment. In spring of 2015, Boreas underwent a formative evaluation to better understand program needs and improve. An important finding in this evaluation is student input that they did not find programming similar to Boreas in their home departments or colleges. ","Since its formation, Boreas has worked with over 250 students from 16 of the 17 academic units (colleges) on the University of Minnesota, Twin Cities campus. Boreas has offered over 70 individual workshops, with over 800 individual attendees. Boreas has brought over 35 community leaders, from non-profit executives to state commissioners, to interact with Boreas graduate students.",**,http://stars.aashe.org/media/secure/124/6/582/3264/Boreas%20letter%20AASHE%20STARS-Bloomberg.pdf,True,True,**,True,Leadership Development,http://boreas.environment.umn.edu/,True,True,True,True,True,--,--,--,--,--,--,--,--,True,--,--,--,--,--
University of Missouri,2015-05-01,2015-05-01 15:33:33,raghavans@missouri.edu,2.0,Pursuing,Energy Strategies Student Advisory Group (ESSAG),"The ESSAG is advising MU in advancing its leadership in the production and usage of environmentally, fiscally and socially responsible energy; including providing related educational and research.  It is comprised mostly of students from the Missouri Student Association, Missouri Energy Action Committee, Sustain Mizzou and the Graduate Professional Council.  The leaders in this group include the director and superintendent of the MU Power Plant and the Vice Chancellor for operations.  This type of advising group is unique to higher education, we have not been able to find a campus that has a resemblance of this way to consider campus energy options with a small group of students, staff, and power plant directors.   
","The students in ESSAG give presentations to their peers and discuss campus energy.  The ESSAG is also putting out survey's to gauge student interest in renewable energy and their understanding of our power plant.  This group in the future will begin to work with the company Confluence to run energy option models for campus.    

",**,http://stars.aashe.org/media/secure/125/6/582/3264/MUStars_LOS_OS.pdf,True,True,**,True,--,--,True,--,--,True,--,--,--,--,True,--,--,--,--,--,True,--,--,--,--
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:13,johnstonrk@umkc.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Mount Union,2016-01-13,2016-01-13 13:05:23,mcclauca@mountunion.edu,2.0,Pursuing,Conversion of campus from automobile to pedestrian orientation,The University of Mount Union has taken a powerful step to convert our campus from one dominated by automobiles to one that is pedestrian and bicycle friendly,"1. Elimination of all automobile traffic (and in some cases roads) on Hartshorn Street, Miller Avenue and College Avenue.
2. Construrtion of wide pedestrian and bicycle friendly walkways in place of these streets.
3. Reduce automobile driving by changing the parking policies and locations, moving residential student parking to the perimeter of campus so that students will be unlikely to make frequent short trips around campus and will increase walking or biking
4. Increase wellness of students and employees  by increasing walking and biking

All of these are directly observable
",**,http://stars.aashe.org/media/secure/48/6/582/3264/2014starsSTG.pdf,True,True,**,True,--,http://www.mountunion.edu/university-to-make-changes-to-traffic-patterns,True,--,--,--,--,True,--,--,--,--,--,True,--,--,--,--,True,--,The changes were initiated in 2012 and completed in summer 2014. Traffic through campus has been all but eliminated (some service and emergency vehicles still in use)
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:44:54,pshrestha3@unl.edu,2.0,Pursuing,Central Renewable Energy Systems,"In a partnership between the City of Lincoln and the University of Nebraska-Lincoln (UNL), starting Fall 2014, the new Nebraska Innovation Campus (NIC) facilities are heated and cooled through reclaimed, non-drinkable water from the city's wastewater treatment plant. The project, known as the Central Renewable Energy System (CRES), takes reclaimed water from the adjacent municipal wastewater treatment plant and pipes it to a heat exchange facility on NIC. The reclaimed water is then returned to Salt Creek, making this a closed-loop system. Depending on the season, heat content will be absorbed or rejected to provide heating and cooling energy to the buildings on NIC. The system has a capacity to heat and cool an estimated 1.8 million square feet of space. The system is designed for expansion to meet the needs as more building open.",CRES is expected to reduce heating costs by about 30% and cooling costs by about 25%.,**,http://stars.aashe.org/media/secure/407/6/582/3264/UNL%20Innovation%20Credit%20-%20CRES%20-%20moran%20letter%20july%202015.pdf,True,True,**,True,--,--,True,--,--,--,--,--,True,--,True,--,--,--,--,--,--,--,--,--,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:30,slburke@unomaha.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of New Hampshire,2016-03-25,2016-03-25 21:53:45,colleen.flaherty@unh.edu,2.0,Pursuing,Assessing the Nitrogen Footprint of Campus,"UNH is supporting a researcher developing a scientifically robust method for assessing the campus nitrogen footprint, and is now also working with a number of other campuses (appr. a dozen) from across the US to ""beta test"" this tool.  Nitrogen is a significant (and too often overlooked) global pollutant that contributes not only to climate change but also to water quality and air quality degradation.  
This will allow for a more comprehensive understanding of our environmental impact, including the ways in which we contribute to the urgent nitrogen pollution problem in the Great Bay watershed.  It will also allow us to develop management strategies and set targets for reducing this impact.",,**,http://stars.aashe.org/media/secure/55/6/582/3264/nitrogen_footprint-final.pdf,True,True,**,True,--,http://www.unh.edu/unhtales/alley-leach-brings-the-nitrogen-footprint-to-unh/,True,--,True,True,--,True,--,True,--,--,--,--,--,True,--,--,--,--,"http://ensia.com/features/weve-changed-a-life-giving-nutrient-into-a-deadly-pollutant-how-can-we-change-it-back/

https://www.google.com/search?q=nitrogen+footprint+unh&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a&channel=fflb#q=nitrogen+footprint+unh&channel=fflb&tbm=nws

http://www.unh.edu/unhtales/alley-leach-brings-the-nitrogen-footprint-to-unh/
http://www.unh.edu/nressphd/profiles/leach.html


"
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:57:53,cpshea@fac.unc.edu,2.0,Pursuing,Sustainable Triangle Field Site,"The Institute for the Environment launched the Sustainable Triangle Field Site (STFS) in spring of 2011 as an urban field site experience located on and near the UNC campus.

With its proximity to both strong academic departments and pioneering private and nonprofit enterprises, the STFS offers students the opportunity to pair academic studies in the environment, urban planning, geography, health, and related fields with practical experience delivered through internships and Capstone research projects.

The STFS is a unique and flexible field program that serves students in residence at UNC. Rather than spending a semester at another location with a small cohort, students participating in the STFS retain their established Chapel Hill residences, relationships and school base. They learn and grow as a group through common courses, Capstone team projects, field experiences, weekly dinners, and seminars. Internships place students at nonprofits, governmental entities and private companies around Chapel Hill and in nearby communities. Through these internships, students may take part in sustainability research, craft environmental education programs, or help develop a sustainable business model. By exploring how sustainability is practiced on and near their own campus, STFS students gain an understanding of how communities, industries, government and nonprofit organizations can work together toward a sustainable future.

The STFS accommodates up to 16 students each spring semester.","Around 45 students have participated in the Sustainable Triangle Field Site since spring 2011. Students have the opportunity to work with local businesses and organizations and complete a project and report during the internship. These partnerships prepare students for careers in sustainability and provide a service to local organizations. Interns have advanced on and off campus recycling programs, local food purchases, emergency preparedness, and bicycle infrastructure on campus.",**,http://stars.aashe.org/media/secure/32/6/582/3264/SustainableTriangleFieldSite_withSignature_1.pdf,True,True,**,True,--,http://ie.unc.edu/education/field-sites/sustainable-triangle/,True,True,True,True,True,--,--,--,--,--,--,--,--,--,True,--,--,--,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:15,cgcarwei@uncg.edu,2.0,Pursuing,Peabody Park Soundscape Project,"The Peabody Park Soundscape Project centers around the concept of soundscapes. The term “soundscape” refers to the acoustic component of a landscape, unique to each and every place on Earth. Soundscape ecology is a new and developing area of research, especially with regards to campus soundscapes. In a way, the soundscape can be thought of as binding us to our environment. Engaging with soundscapes is therefore an important part of engaging with nature.

In February 2015, UNCG installed three interpretive signs in a natural area of its campus to raise awareness of soundscapes and call attention to issues of soundscape ecology.  The signs were conceptualized and designed by UNCG student William Hueholt, and funded in part by a competitive grant from UNCG’s Office of Sustainability. The signs are made of high-quality aluminum and are a semi-permanent installation, serving to draw attention to a unique part of campus in an innovative context.

The purpose of these signs is threefold: first, to simply help inform students of the existence of Peabody Park and the Park’s prairie; second, to elucidate various details of the distinctive soundscape of the Park; and third, to encourage students to listen deeply within the Park and other environments they experience.

Peabody Park is an ideal location for experiencing soundscapes not only because it contains a wide variety of plant and animal life but also because this life is easily observed by university students and visitors alike. The Park is home to a carefully-maintained Piedmont prairie, a fragile and rare native habitat that was recreated on campus through a partnership among Biology students and faculty, Grounds staff, and the Peabody Park Preservation Committee.  Beyond the prairie habitat, dense barriers of plants block significant amounts of traffic rumble, and the small size of the prairie keeps animal activity close to the path. Even the fragmented nature of the habitat within the Park lends itself well to sonic exploration, because very different soundscapes can be encountered within mere feet of each other. This underscores the importance of small habitat as well as provoking the question, “How would this sound if it were bigger?”

The primary outcome of this project is the installation of three 24”x30” informational signs throughout the western section of Peabody Park. The first sign, installed at the at the head of a path leading past a golf course, introduces and defines the term “soundscape,” gives an example of soundscape (via a visual graph), and touches on the ecological importance of soundscapes.  The second sign, placed just before the prairie, near a stream culvert, includes a colorful map of Peabody Park Prairie’s soundscape and information relating to the prairie’s sounds.  The third sign, placed just before the crest of a hill on the golf course, covers sustainability-related topics, including the developing concepts of sound equity and acoustic niches.  Each sign also includes a trail map, giving the Peabody Park recreational area some badly-needed visibility.
 
",,**,http://stars.aashe.org/media/secure/235/6/582/3264/Soundscape%20letter.pdf,True,True,**,True,Sustainability and the arts,--,True,True,True,True,True,--,--,--,--,True,--,--,--,--,--,--,--,--,--
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:28,pohlmank@uncw.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Oregon,2016-03-23,2016-03-23 11:01:41,smital@uoregon.edu,2.0,Pursuing,University of Oregon Bookstore Partnership,"The University of Oregon's Sustainability Office partnered with the University of Oregon Bookstore to sell Oregon branded clothing made from recycled materials. Two dollars from every sale goes into an account managed by the Office of Sustainability to be used to advance campus sustainability programming.  The UO Bookstore recently agreed to expand the partnership by providing a guaranteed $10,000 annually for five years to support a program designed to increase the number of sustainability focused courses offered at the University of Oregon. ",The above mentioned curriculum development project would not have been funded without the Bookstore partnership.,**,http://stars.aashe.org/media/secure/75/6/582/3264/innovation%20support%20letter.pdf,True,True,**,True,--,https://sustainability.uoregon.edu/programs-projects/active/renewbookstore,True,True,--,True,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Pittsburgh,2016-03-24,2016-03-24 12:58:43,lwzfm1@pitt.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Richmond,2016-02-17,2016-02-17 15:17:32,randreje@richmond.edu,2.0,Pursuing,Tucker-Boatwright Festival of Literature & the Arts Parking Lot Project,"The Parking Lot Project transformed a University of Richmond parking lot into a yearlong, collaborative artwork, driven by students from diverse disciplines enrolled in a course through the Department of Art and Art History. The spring section was cross-listed with the Department of Geography and the Environment. Additional spaces were transformed by select students, faculty, and staff from across the University.

Individual parking spaces were excavated to be green spaces alongside functional spaces, disrupting the parking lot’s identity. Students redeveloped the spaces as sites for independent research and public art, while considering questions about sustainability, land use, and landscape on their own terms – as artists, scholars, and citizens. The public was invited to engage with the project and students through presentations and critiques.

At the end of the 2014−15 academic year, the parking lot was repurposed as part of the Campus Master Plan. Students were encouraged to focus their attention on producing a meaningful work that will last in memory and effect.","~20 living lab projects, 10 research presentations",**,http://stars.aashe.org/media/secure/396/6/582/3264/Parking%20Lot%20Project%20STARS%20letter.pdf,True,True,**,True,The role of public art in sustainability,http://as.richmond.edu/tucker-boatwright/past-events/project.html,True,True,--,True,True,--,--,--,--,True,--,True,--,--,--,--,--,--,--
University of South Carolina,2016-02-29,2016-02-29 17:11:36,KOPPAN@mailbox.sc.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of South Florida,2016-02-26,2016-02-26 13:29:33,sustainability@usf.edu,2.0,Pursuing,USF Botanical Gardens Apiary Project,"The goal of the USF Botanical Garden Apiary Project is to provide hands-on experience in honeybee biology and beekeeping for students, faculty, and the broader USF community. The theme of the Project is “what’s good for bees is good for people.” Honeybees thrive in a healthy environment, free of pesticides, herbicides, and pollutants, and with a rich variety of plants close by for collecting nectar and pollen. An aspect of this project is to create awareness of the human responsibility to maintain environments good for bees so that they can benefit us by pollinating plants and producing honey. This relationship is the very definition of sustainability. Participants in the monthly beekeeping workshops at the Apiary learn step by step how to take care of honeybee colonies and gain appreciation of the role of honeybees in local ecosystems. The USF campus and its ecosystems are the home range for the Apiary’s bees. In 2013 the class extracted 18 gallons of honey from seven of the Apiary’s hives. This honey was bottled and sold at the Botanical Gardens Gift Shop. Bee Class students also learn to tell the change of seasons by observing the kinds of pollen coming into the hives. One purpose of the bee workshops is to prepare students to become real beekeepers. In the March class they build their own hives. In April they take home live bees in a starter colony. The USF Apiary Project hopes that honeybee populations will increase by encouraging people to become responsible, informed beekeepers. This is of crucial importance now in the face of bee population decline worldwide. The USF Apiary Project is the only project of its kind statewide, based at a university and designed as community outreach and public education. At present, the Apiary contains 15 colonies located at the Botanical Garden. ",,**,http://stars.aashe.org/media/secure/86/6/582/3264/IN-1%20Bees.pdf,True,True,**,True,--,--,True,True,True,True,True,--,--,--,--,True,--,--,--,--,--,--,--,--,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 22:59:17,davidv@mail.usf.edu,2.0,Pursuing,Strategic planning ,"When USFSP updated its strategic plan in 2014, two of the institution's forty-one key performance indicators were directed toward sustainability. The first was the percentage of ACUPCC requirements met, and the second was ranking on the Princeton Review Green Colleges Guide. These two indicators combined have elevated the importance of sustainability institution-wide.","As a result of these strategic planning elements, USFSP has embarked on its first ever STARS report. The impact of this is that now, all of our sustainability related efforts are being measured.",**,http://stars.aashe.org/media/secure/874/6/582/3264/LetterofAffirmation.pdf,True,True,**,True,--,--,True,True,True,True,True,True,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:19,prestonj@utk.edu,2.0,Pursuing,UT Zero Waste Game Days,"The Game Day Challenge is a friendly competition for colleges and universities to promote waste reduction at their football games. During the challenge, colleges and universities implement waste reduction programs during home football games. Schools track and report waste reductions and disposal—data that is used to rank the schools.

UT Zero Waste is working in partnership with UT Athletics, Aramark, Office of Sustainability, and Good Sports Always Recycle to eliminate at least 90% of waste created during athletic events through recycling and composting across Big Orange Country.

Tennessee football in its current state creates over 27 tons of waste per game, nearly all of which is recyclable or compostable. That means that each football season generates over 189 tons of waste that contributes to water and air pollution and increases already overwhelmed landfill levels. The University of Tennessee Volunteers want to do better! ","In the 2014 season UTK placed 2nd in the nation in the Game Day Challenge in the Total Recycling category with 47,560 lbs recycled/composted/donated from the last game. UTK also placed 11th (of 92) in the Diversion Rate category with a 65.44% diversion rate at the last game. Overall, in the 2014 season UT Recycling and partners diverted just under 50% of waste from the landfill from within the stadium and the tailgating areas on campus and recycled/composted 266,610 lbs,along with donating 3,810 lbs of food to local soup kitchens.",**,http://stars.aashe.org/media/secure/329/6/582/3264/Memo%20for%20STARS-%20GameDay.docx,True,True,**,True,Athletics,http://recycle.utk.edu/projects/zero-waste-gameday/,True,--,--,True,True,--,--,--,--,--,--,--,True,--,--,--,--,--,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:02:47,Marianella.Franklin@utrgv.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:22,mtare@uta.edu,2.0,Pursuing,Innovation Day ,"The University of Texas at Arlington’s Annual InnovationDay@UTA seeks to promote, encourage and recognize innovative and entrepreneurial excellence and success amongst its students, faculty, and  researchers, and in the surrounding community. This day also looks to attract industry and investors to  North Texas as well as to increase a broader impact of local entrepreneurship and innovation on our  communities.
It includes Student Innovation Competition in the morning, a luncheon with featured
speakers celebrating the innovation displayed by our competition participants, a poster session, and an afternoon session highlighting 3 moderated panels. The Association of Texas Angel Networks’ (ATAN) annual meeting will also be held during InnovationDay@UTA, giving participants the unique opportunity to engage with angel investors during various event activities. The team-based competition will be open to high school and collegiate teams. The teams will be challenged to develop bold and revolutionary innovations using the limited resources (that will be provided) as well as
their creativity, knowledge, skills, and time. First and Second place winners for both the high school and collegiate levels were awarded.",,**,http://stars.aashe.org/media/secure/134/6/582/3264/Innovation%20Day.docx,True,True,**,True,--,https://web-ded.uta.edu/cedwebfiles/15%20Innovation%20Day%20flyer%208-12.pdf,True,--,True,True,True,--,--,--,--,--,--,--,--,--,True,--,--,True,--
University of Texas at Austin,2016-03-21,2016-03-21 16:14:47,jim.walker@austin.utexas.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Texas at Dallas,2016-02-29,2016-02-29 18:12:56,thea.junt@utdallas.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Toledo,2016-03-25,2016-03-25 15:20:55,neil.tabor@utoledo.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
