Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Level of water risk for the institution’s main campus,Total water use (potable and non-potable combined):,"Total water use, performance year","Total water use, baseline year",Potable water use:,"Potable water use, performance year","Potable water use, baseline year","Figures needed to determine ""Weighted Campus Users"":","Number of residential students, performance year","Number of residential employees, performance year","Number of in-patient hospital beds, performance year","Full-time equivalent enrollment, performance year","Full-time equivalent of employees, performance year","Full-time equivalent of distance education students, performance year","Number of residential students, baseline year","Number of residential employees, baseline year","Number of in-patient hospital beds, baseline year","Full-time equivalent enrollment, baseline year","Full-time equivalent of employees, baseline year","Full-time equivalent of distance education students, baseline year",Gross floor area of building space:,"Gross floor area of building space, performance year","Gross floor area of building space, baseline year",Area of vegetated grounds:,"Area of vegetated grounds, performance year","Area of vegetated grounds, baseline year",Start and end dates of the performance year and baseline year (or three-year periods),"Start date, performance year or 3-year period","End date, performance year or 3-year period","Start date, baseline year or 3-year period","End date, baseline year or 3-year period",A brief description of when and why the water use baseline was adopted,"Water recycled/reused on campus, performance year","Recycled/reused water withdrawn from off-campus sources, performance year",A brief description of any water recovery and reuse systems employed by the institution,A brief description of any water metering and management systems employed by the institution,"A brief description of any building retrofit practices employed by the institution, e.g. to install ...","A brief description of any policies or programs employed by the institution to replace appliances, ...",A brief description of any water-efficient landscape design practices employed by the institution ...,A brief description of any weather-informed irrigation technologies employed by the institution,A brief description of other water conservation and efficiency strategies employed by the ...,The website URL where information about the institution’s water conservation and efficiency ...,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:11,mary.lucus@belmont.edu,2.0,Pursuing,Low to Medium,**,83161324.0,71271684.0,**,79862464.0,71271684.0,**,3112.0,14.0,--,6890.0,1067.0,--,2475.0,14.0,--,5994.0,926.0,--,**,3248056.0,1742885.0,**,37.5,37.5,**,2014-06-01,2015-05-31,2008-06-01,2009-05-31,,3306960.0,--,"Ground water is collected in the basement of Inman, Wedgewood and McWhorter for irrigation purposes. This water is used around McWhorter and Patton Halls. Drip irrigation is utilized around plant beds at McWhorter and Patton Halls.",The university is phasing in smart irrigation technology with a Toro Sentinel system and weather station which measures precipitation and ETR to control irrigation.  Additionally low flow toilets and faucets are used as a standard in new construction.,,,All landscapes are designed with drip irrigation systems to minimize water loss through evaporation.,"We utilize rain sensors to de-energize irrigation systems during rain events. Irrigation controllers are manually monitored to manage operation, not currently utilizing moisture sensors.  We are currently doing a phased installation of a central irrigation controllers with flow meters.  A weather station has been installed.",,--,--
Beloit College,2016-03-23,2016-03-23 13:45:46,chapmanlr@beloit.edu,2.0,Pursuing,High,**,17909900.0,21516200.0,**,17909900.0,21516200.0,**,1065.0,17.0,--,1267.0,367.0,--,1123.0,11.0,--,1267.0,364.0,--,**,1153287.0,1153287.0,**,12.0,12.0,**,2014-06-01,2015-05-31,2013-06-01,2014-05-31,"The baseline was constructed to fall in line with the Beloit College Sustainability Plan, in which there are reduction goals for water use.",--,--,"The LEED Platinum Science Center employs a green roof to soak up precipitation.  Any runoff from the roof is directed from gutters into a holding tank to be used as irrigation in the attached greenhouse.  However, amounts of water are not recorded at this time.",,,,The oak Savannah next to the Science Center is planted with native species that are accustomed to the Wisconsin seasons and do not require irrigation.,,,--,"The amount of vegetated grounds is estimated at this time, but we hope to utilize a GIS class in the future to help calculate this value with accuracy."
Bentley University,2016-03-25,2016-03-25 15:58:53,nberland@bentley.edu,2.0,Pursuing,Low,**,48512288.0,44924262.0,**,48512288.0,44924262.0,**,3343.0,12.0,--,5117.0,718.0,--,3330.0,12.0,--,4989.0,779.0,--,**,1850233.0,1850233.0,**,29.5,29.5,**,2014-07-01,2015-06-30,2008-07-01,2009-06-30,2009 is the first year that Bentley has reliable and accurate water data collection. This was due to improved metering and process.,--,--,,"Roughly 15 of our 37 buildings (mostly residence halls) have individual water meters, while the main campus (classrooms and offices) is metered together as one unit. The management system for water is focused on improving efficiency in water use for irrigation (rather than domestic use).","Each summer, one residence hall is renovated. Low flow bathroom faucets, shower heads and dual-flush toilets are installed in every bathroom and kitchen. All of these fixtures use half the water that standard fixtures use without compromising water pressure.","Facilities Management will be installing Energy Star, water-efficient appliances in all renovated kitchens. New high-efficiency boilers have also been installed as part of these renovations.",N/A,N/A,"Bentley has installed low-flow water fixtures with all renovations and new constructions, which use less than half of water required from traditional fixtures. This includes dual-flush toilets which have an added behavioral component of water conservation.",http://www.bentley.edu/offices/sustainability/water-conservation,--
Berea College,2016-02-29,2016-02-29 10:22:21,paulyj@berea.edu,2.0,Pursuing,Low to Medium,**,26614730.0,37361411.0,**,26614730.0,37361411.0,**,1378.0,14.0,--,1600.0,749.0,--,1589.0,14.0,--,1589.0,523.0,--,**,1427570.0,1405967.0,**,8307.2,7907.7,**,2014-07-01,2010-07-01,2015-06-30,2011-06-30,"That year was the furthest back your system allowed.  We started measuring in 2008-2009, but system would not allow.",--,--,"In Draper Hall, roof design channels rainwater into a 12,000-gallon underground cistern behind the building, and the rainwater is used for landscape irrigation and toilet flushing, reducing potable water use by 1/3.

Deep Green residence hall (LEED Platinum) employed the highest standards of water recovery and reuse systems scoring 8 out of 10 points for water resource efficiency.
","All major buildings at Berea College have separate water meters, and usage is tracked on a monthly basis.  ",Residence halls have been retrofitted with low flow shower heads and low flush toilets.  All major renovations and additions follow the 2002 adoption of our Ecological Renovation Standards that strive for LEED Gold certification.,,All landscapes are designed with low maintenance and indigenous plants as an integral part.  One aspect of plant selection is choosing plants that are adapted to our local environment and that do not require extra water once established.    ,"Berea College has only two irrigation systems on campus and neither are weather-informed.  One is manual as needed only, and the other is clock run.   ",,--,"We do not track potable water use, just total water used.

2014-2015

Central Campus Area = 140 Acres https://www.berea.edu/about/quick-facts/

Forest Area = 8,200 Acres https://www.berea.edu/forestry/

Total building space = 1,427,570 square feet = 32.8 Acres

 

Area of vegetated grounds = Forest Area +  Central Campus Area - Total building space

                                                 = 8200+140-32.8

                                                  = 8307.2 Acres (No data for other non-vegetated area such as pavements and parking space)

 

2010-2011

Central Campus Area = 140 Acres https://www.berea.edu/about/quick-facts/

Forest Area = 7, 800 Acres  Source = Carbon calculator

Total building space = 1,405,967 square feet = 32.3 Acres

 

Area of vegetated grounds = Forest Area +  Central Campus Area - Total building space

                                                 = 7800+140-32.3

                                                  = 7907.7 Acres (No data for other non-vegetated area such as pavements and parking space)

 "
Binghamton University,2016-03-20,2016-03-20 17:32:38,sdejohn@binghamton.edu,2.0,Pursuing,Low,**,126669000.0,156907000.0,**,126669000.0,156907000.0,**,7019.0,29.0,--,16695.0,2248.0,130.0,6284.0,28.0,--,13860.0,1950.0,--,**,6403584.0,4966342.0,**,1311.0,190.0,**,2014-07-01,2015-06-30,2004-07-01,2005-06-30,Binghamton University started a green revolving fund program in 2006. 2004-2005 data are used as our baseline in order to help us gauge the progress made since program inception.,--,--,,Water meters have been installed in all buildings constructed after 2003.  We have also installed water meters in 12 other buildings in 2011 - 2013.  A project is in place to continue with water meter installation in other buildings.,All restrooms undergoing renovation are retrofitted with ultra low flow (0.5 gpm) with automatic shutoff valves. All new buildings are designed and constructed with the most water efficient fixtures based on the latest energy code.,,,,Binghamton University has replaced all but one water-cooled condensers on refrigeration units. This initiative resulted in over 1 million gallon of water saving per year. Additionally we implemented a more stringent water treatment program on campus to reduce cooling tower blowdown waste.,http://www.binghamton.edu/sustainability/campus-initiatives/water.html,--
Boston University,2016-03-03,2016-03-03 13:41:57,carlberg@bu.edu,2.0,Pursuing,High,**,406305602.0,434925867.0,**,406305602.0,434925867.0,**,11446.0,197.0,--,25663.0,8979.0,863.0,11185.0,181.0,--,24623.0,8439.0,1605.0,**,14843003.0,13426870.0,**,0.022,0.021,**,2014-07-01,2015-06-30,2005-07-01,2006-06-30,,--,--,"Completed in June of 2012, the Medical Student Residence at 815 Albany Street uses landscape features that are designed to require as little water as possible and the residence uses 100% rainwater harvesting for irrigation, resulting in an 11% reduction in water used for irrigation.

The New Balance Field uses a rainwater storage tank; in addition to rainwater, the tank captures and reuses the water that is released onto the field by the six water cannons used to wet the playing surface before and during field hockey games.

At the Center for Student Services located 100 Bay State Road, water passing through the compost disposal system in the commercial kitchen is recycled throughout the day.","Percent of building space with water metering: 100%.
Boston University has building-level metering across campus, including sewer abatement meters on cooling towers and irrigation.","The Medical Student has reduced water use in the building by 40% through the installation of features such as low-flow kitchen and lavatory faucets, and showers. The Student Center at 100 Bay State features similar low-flow plumbing and kitchen fixtures.
Located in many places on campus, the EcoPower hydro turbine in faucets and toilets is powered by the motion of the water running through it; this motion creates an electrical current, which is then stored in rechargeable cells that power the Smart Sensor Systems. Dual-flush toilets can also be found in around 25 locations on campus and throughout all 47 floors at 33 Harry Agganis Way (Student Village 2).
Waterless urinals are in use at 670 Albany Street.","Most washing machines on campus are high efficiency.
Dishwashers at the Center for Student Services have a built in heat recovery system which use exhaust heat to preheat rinse water, significantly reducing water and energy usage. In addition, these dishwashers only use about 60 gallons of water compared to the 300 gallons per hour used by a conventional dishwasher.","Drought tolerant plants are selected where appropriate in other areas on campus. The Medical Student Residence at 815 Albany Street, for example, uses drought-tolerant landscaping to reduce potable water consumption for irrigation.",The University has a decentralized irrigation program with over 140 irrigation systems (approximately 50% incorporate drip irrigation) installed across the Charles River Campus. All these irrigation systems incorporate localized rain sensors to reduce water waste.,"BU has seven Certified Green Restaurants on campus. As part of the certification, certain requirements are met that include low-flow pre-rinse spray valves in dishrooms, low-flow nozzles on prep and hand sinks, as well as Energy Star rated dish machines. Energy Star rated equipment were purchased. The new dining room, Marciano Commons, is built in a LEED Gold building and employs state of the art energy savings infrastructure such as a heat recovery system for both HVAC and water heating.
In 2008, Dining Services eliminated the use of trays in all residential dining halls. By doing so, we reduced our water use by an estimated 35,000 gallons per week as well as reduced food waste by 30%.",http://www.bu.edu/sustainability/what-were-doing/water/,--
Bowdoin College,2016-02-25,2016-02-25 17:00:57,cpayson@bowdoin.edu,2.0,Pursuing,Low to Medium,**,45317734.0,49669725.0,**,45317734.0,49669725.0,**,1643.0,32.0,--,1791.0,894.0,--,1581.0,22.0,--,1677.0,704.0,--,**,2041652.0,1968654.0,**,272.62,272.62,**,2014-07-01,2015-06-30,2004-07-01,2005-06-30,"This is the baseline year we have used throughout all of our STARS reporting during our 2013 submission, and we have made an effort to continue to use it for this most recent submission.",--,--,"Bowdoin utilizes a rainwater capture system on the roof of two dorms for toilet flushing in those two buildings. The college landscapes with indigenous plants that do not require irrigation. Additionally, surfaces are designed to direct rainwater runoff toward plants and maintain plant health. Bowdoin has several storm water retention ponds, vegetative swales, infiltration galleries, under drained soil filters, and under drained bio-retention cells. The Building Design Standards for Renovation Projects has a section devoted to reduction of stormwater runoff. The last 4 major construction projects have had some LEED certification in which stormwater credits were met.",Bowdoin monitors the individual water usage for many of its buildings through data provided by Brunswick and Topsham Water District.The company alerts the college of any unsual spikes in water usage to ensure timely responses to any overuse of water caused by malfunctions in pipes or faucets.,"The College experimented with waterless urinals for several years but they were not well-received due to blow back pressure issues that Housekeeping staff experienced during filter changes - ultimately the units were removed. In recent years the College has specified minimal flush urinals (0.125 gallons per flush) for all new building projects.  As mentioned above, Bowdoin utilizes a rainwater capture system on the roof of two LEED silver certified residence halls for toilet flushing in those two buildings.","Since 2009, the college has adopted design strategies and systems to reduce building water use to exceed the requirements of the Energy Policy Act (EPACT) of 1992. The college has since then adopted use of infrared faucet sensors and delayed action shut-off or automatic shut-off valves, use of low flow toilets, use of metering faucets at 0.25 gallons per cycle, use of low-flow kitchen faucets, use of low-flow shower heads, use of domestic dishwashers that use 10 gallons per cycle or less, use of front loading clothes washers that meet EPA ENERGY STAR ® requirements.","The campus landscapes with native species that do not require irrigation. However, high visibility grassed areas of campus do receive water during dry weather. In recent years, as a means of conserving water, the college installed a below ground irrigation system on athletic fields at Pickard Field  and the Main and Cleaveland Quads. These systems monitor the moisture in the soil and only water accordingly. The systems are automated to operate in the early morning hours before the sun rises to reduce evaporation during the watering cycle. The campus maintains a mowing height of 2.5 to 3 inches, which encourages deeper root growth, thus reducing the need for watering.",Bowdoin uses a weather informed irrigation system on the main quad to reduce water use. New controllers on five irrigation systems on campus were installed just three years ago. These new controllers are hooked to moisture sensors located in the ground which read the soil moisture level many times in 24 hrs. This information is used by the controller to either run the program to water the grass or to skip the program because there is adequate soil moisture for the plants to thrive.,,http://www.bowdoin.edu/sustainability/green-bowdoin/landscaping.shtml,Bowdoin specifies low flow fixtures in all building projects.
Brown University,2016-03-23,2016-03-23 07:26:48,Ginger_Gritzo@Brown.edu,2.0,Pursuing,Low,**,1587254000.0,2307760000.0,**,1587254000.0,2307760000.0,**,4858.0,6.0,--,8454.0,3835.0,--,7144.0,--,--,5708.0,3700.0,--,**,6341821.0,6208513.0,**,86.5,1.0,**,2014-07-01,2015-06-30,2004-07-01,2005-06-30,,--,--," 
135 Angell –Urban Enviro Lab – Community Garden, Rain Barrels
154 Angell – Granoff – Green Roof
85 Waterman – BERT – Cistern  Grey water system
111 Thayer – Watson Institute – Stormwater catchment  redirected to cistern
222 Richmond – MetEd - ~100 sq feet of planters
185 Meeting St. – Sidney frank – Stormwater catchment  used for irrigation
J Walter Wilson Stormwater catchment/garden
",We employ an irrigation water management system across campus,We require all new construction and major renovations to utilize USGBC LEED Silver requirements that require water use best practices,All new equipment must be 25% better than the IECC codes require.,,,Low flow shower heads in all dorms and locker rooms.,--,--
Bryant University,2015-08-19,2015-08-19 14:50:28,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:24,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:46,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:37,dan.wakelee@csuci.edu,2.0,Pursuing,High,**,154052668.95,151161076.0,**,70694465.25,85515.0,**,1243.0,--,--,5042.0,442.0,166.47,1020.0,--,--,4315.0,520.0,--,**,1124410.0,1368181.0,**,643.81,643.81,**,2014-07-01,2015-06-30,2008-07-01,2009-06-30,"The water use baseline was adopted early on in the university's creation to promote efficiency in water and other resource usage. We put out monthly sustainability reports to keep track of the progress the school is making toward water consumption practices.
",--,83358203.7,"Recycled water is used for all irrigation on campus, in the next year we will also convert our central cooling tower to use recycled water. ","CI now has 33 water meters on campus, 7 are recycled water, and 2 are sewer, and they are all Netptune meters. These meters are then put into our utility tracking system that we use for reporting, and analysis. ","All toilets on campus are now at most 1.6 gpf, plans are in place to potentially convert all to at most 1.28 gpf. All urinals are waterless, and housing employs high efficiency showerheads and low-flow faucet aerators. The standard for lavaratory faucets is 0.5 gpm and kitchen is 1.5 or less, also about 40% of academic building utilize sensor faucets in lavaratories. ","Facilities Services replaced sprinkler heads with high efficiency sprinklers with an incentive program through Camrosa Water District. CI also conducted an irrigation survey on campus to check the status of the system. Preventative maintenance is also used as a way of reducing water leaks, and overall usage by using equipment that is up-to-date and in proper working condition. ","California State University Channel Islands (CI) has developed a strategy that uses xeriscaping techniques with the goal to decrease the amount of existing lawn area & irrigation, minimize the required maintenance of planting areas adjacent to buildings, and provide an opportunity to educate people about the appropriateness of these types of plants in maintaining a sustainable campus grounds.  This strategy has been completed across approximately a quarter of the campus grounds that are currently actively maintained,  with plans to continue across the remainder of the core campus through funding from adjacent capital projects.  A new native plant field was installed last year behind the new Broome Library as a pilot project to provide an area for people to enjoy and learn more about the native species prevalent in the region.  An existing cactus garden was transplanted to an adjacent tract of land at the University Town Center that abuts the base of the coastal Santa Monica Mountain Range. Additional native gardens have been added around campus to areas like courtyards between buildings, and quads. 
The landscaping at the new entrance road finished in 2012, utilizes similar techniques that will achieve the goals stated above.  This includes native grasses planted along the new levee system, restoration of a native riparian habitat along the adjacent Long Grade Creek, development of wetland areas, and landscaping along the main road that uses native and drought-tolerant plant species.  Across this entire area, minimal to no irrigation is needed because of the drought- tolerant native flora planted. In the front of the Broome Library, there are Californian and Mexican desert plants.  Due to the adaption of these plants to this region, less water is needed; therefore, CI installed low precipitation rate spray heads. Plans to convert to turf/grass in the North and South quads to native vegetation will further lower watering rates on campus. 

",California State University Channel Islands utilizes and applies weather data to adjust irrigation. We also employ evaptransporation techniques to cut down water rates. ,"Positive shut-off valves on hoses are a standard practice; other practices include  no washing of campus vehicles unless absolutely necessary; we have also stopped pressure washing buildings and windows, and employ recycled water in every place appropriate. Conferences and Events has stopped allowing groups that use our facilities to play water games which has cut down on unnecessary waste. Student engagement through volunteering, communication, and outreach. Student education through clubs and organizations like Green Generation and Bicycle kitchen. ",http://www.csuci.edu/fs/sustainability/water-conservation/,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:20,mmoscol@fullerton.edu,2.0,Pursuing,Extremely High,**,193531755.75,170550163.65,**,193531755.75,170550163.65,**,1904.0,--,--,29892.5,3901.0,--,800.0,--,--,30284.5,4886.0,--,**,5250000.0,5250000.0,**,41.28,41.28,**,2013-07-01,2014-06-30,2012-07-01,2013-06-30,This was the baseline used for the 2012 STARS report.,--,--,N/A,We are currently installing more back-flow meters for all irrigation landscape along with building water meters in order to capture efficiencies through monitoring and measurement. ,Campus wide aerator project for faucets. evaluating new more efficient water closets across campus. ,Campus wide aerator project for faucets. evaluating new more efficient water closets across campus. ,"Looking at Drought Tolerant landscaping and Turf Removal for all non-utilized landscape. The institution will be removing 500,000 square feet of turf with a $1,000,000 rebate reserved.",N/A,N/A,http://facilities.fullerton.edu/subject/engineering_sustainability/Default.asp,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:25,austin.eriksson@csun.edu,2.0,Pursuing,High,**,257785.0,331517.0,**,257785.0,331517.0,**,2980.0,--,--,33502.0,3133.0,3376.0,2703.0,--,--,31288.0,2990.0,2850.0,**,2084525.0,2041469.0,**,95.0,95.0,**,2015-01-01,2015-12-31,2013-01-01,2013-12-31,2013 is being used as the baseline year because the Governors E.O. has established that year as the baseline for the 25% (16% for our local utility) reduction goal in Ca. ,--,--,n/a,CSUN has several utility grade meters that are owned by LADWP our local water utility. The data from these meters are tracked using our campus wide metering database an analytics platform. ,CSUN has taken advantage of several of our local utility's rebate programs to install low flow aerators and low flow or water urinals campus wide as well as implementing low flow toilets.,n/a,"CSUN has converted over 200,000 sqft of turf to drought tolerant and native plantings. This is a great way for the university to reduce its water consumption as well as offering more useful and inviting spaces for students. we will continue this effort following our turf removal plan.","CSUN has a ""smart"" irrigation system that links to our own weather station specifically designed for the irrigation system. Our irrigation system communicates with this weather station to calculate ET and uses that to automatically adjust irrigation schedules.","CSUN has implemented a smart irrigation system that is capable of detecting leaks and automatically shutting down if this event occurs. This system is also equipped with ET capabilities. We have also developed a special team, Irrigation Strike Team, in the grounds shop that targets leaks/breaks and fixes them in a timely manor to reduce waste.

We have also piloted and adopted Aqua Cents, a biodegradable hydrogel, as a water conservation strategy. We have done 3 large turf spaces (over 370,000 sqft) on campus equating an estimated savings of over 7 million gallons annually. ",http://csun.edu/sustainability,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:03,kristina.cullen@csus.edu,2.0,Pursuing,Low to Medium,**,97364462.83,146907755.45,**,68060647.81,75514353.3,**,1700.0,49.0,--,25229.0,1860.0,9532.0,1700.0,49.0,--,24237.0,1801.0,12372.0,**,5166951.0,5166951.0,**,166.0,169.0,**,2014-08-01,2015-07-31,2013-08-01,2014-07-31,"Since this is the first time Sac State is completing the STARS report, the performance year was chosen based on the most recent 12 month period prior to starting work on the STARS report.  Sac State started working on the STARS report in September 2015.  The baseline year was determined by choosing the next 12 month period prior to the performance year so that the data being looked at for both date ranges would include the last 2 years to include the campus’ most recent sustainability efforts and achievements.",--,--,N/A,"Sac State is currently in the design phase to install approximately 167 smart meters which consist of the following: smart gas meters, smart water meters, and smart Btu meters which will all communicate to the existing EIS software.",,,,"Sac State converted the existing sprinkler heads to low-gallon sprinkler heads, integrated all irrigation controllers to the Rainbird Maxicom irrigation control system. The Maxicom system is now connect to the campus weathers station to automate weather related shut-downs and start-up to conserve irrigation.
The irrigation water used is from the campus Well Water system. This project would reduce the amount of ground water depletion by reducing our irrigation needs.
",,--,--
