Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Percentage of total dining services food purchases comprised of conventionally produced animal ...,A brief description of the methodology used to track/inventory expenditures on animal products,"Does the institution offer diverse, complete-protein vegan dining options at all meals in at least ...","Does the institution provide labels and/or signage that distinguishes between vegan, vegetarian ...",Are the vegan options accessible to all members of the campus community?,"A brief description of the vegan dining program, including availability, sample menus, signage and ...",A brief description of other efforts the institution has made to reduce the impact of its ...,The website URL where information about where information about the vegan dining program is ...,Annual dining services expenditures on food,Annual dining services expenditures on conventionally produced animal products,Annual dining services expenditures on sustainably produced animal products,Public Notes
"University of Maryland, College Park",2016-03-23,2016-03-23 15:55:04,sdeleon@umd.edu,2.0,Pursuing,31.72,"1.Dining Services ran reports in their invoicing database to categorize by food products (meat--including seafood-- and dairy--including eggs), 
2. Dining Services tracks sustainable food products separately, so totals for certified seafood, sustainably raised meats, and cage-free eggs were subtracted from overall food product category totals (total spent on animal products) generated by step one. 
3. The resulting dollar amount was divided by Dining Services total spending on food products, excluding franchises and convenience shops.",True,True,True,"Dining Services offers many vegetarian and vegan selections, including a vegan station in The Diner, Seasons 12 Mongolian Grill at South Campus, and a large selection of vegetarian and vegan items at 251 North. Each night, there is a vegan option or alternative for the daily Chef’s Feature meal. All vegan and vegetarian items are labeled in the nutritional database and on menu boards. ","Students from numerous groups interested in sustainable food joined with Dining Services and the Green Dining interns to hold the first Leave Small FoodPrints event in Spring 2014. Coinciding with Earth Day, Leave Small FoodPrints encouraged students to choose low-carbon meals (meals with lower carbon emissions associated with food production and transportation) in the North Campus Diner and South Campus Dining Hall. The pilot event highlighted a vegetarian spinach lasagna, a less carbon intense option than meat lasagna. Students and Dining Services staff sampled the spinach lasagna, and this eco-friendly option sold out at both dining halls. Dining Services worked with the Office of Sustainability to obtain numbers and statistics on the meals’ carbon and water footprints for the event; these numbers were displayed on signs at the Chef’s Feature station, where the dishes were being served.

Students tabled at each dining hall, sharing information about how to Leave Small FoodPrints, methodology behind the water and carbon numbers, and a whiteboard for students to vote on which low-carbon meals they would most like to see in the dining halls. (The results of this vote will be used to plan future Leave Small FoodPrints events.) Table tents were placed in the dining halls for the event as well.
The pilot Leave Small FoodPrints event served as a guide for future events focused on exploring low-carbon meals available in the dining halls and educating students about how their eating habits impact the climate. There are opportunities to highlight not just foods that emit less carbon in their production, but also local foods with less transportation-related emissions. There have been several additional Leave Small FoodPrints events: Food Day in fall 2014, Earth Day in spring 2015, and Food Day in fall 2015.

The Dining Services sustainability office began hosting dietetic student interns in winter 2015. These students, who have completed their bachelors degrees, fulfill a year-long internship requirement to become a registered dietitian. Dining Services hosts these interns for a sustainability rotation. The interns craft “green eating guides,” which help inform students of meals with smaller environmental impact. Often, the interns focus on the footprint of animal products: they encourage meatless options or suggest opting for a lower carbon-intensive meat, such as eating chicken instead of beef. These green guides will be available for promotion and use in the future.

In 2013-2014, Dining Services began using the Monterey Bay Aquarium Seafood Watch Guide to guide seafood selection and procurement. This guide categorizes seafood products as “Best Choices,” “Good Alternatives,” and “Avoid” options. Dining Services uses these guidelines to purchase Best Choice and Good Alternative seafood (seafood farmed or caught in ways that do not cause too much damage to other wildlife and the surrounding habitat). Dining Services also purchases seafood that has been certified sustainable by the Marine Stewardship Council, the Alaska Seafood Certified Responsible Fisheries, and the Global Aquatic Alliance.

Through collaboration with the Wide Net Project, Dining Services has been able to serve local, sustainable blue catfish in the dining halls. Blue catfish, an invasive species in the Chesapeake Bay, have a mild, sweet flavor. The Maryland Department of Fisheries recommends consuming the blue catfish to control the invasive population. Caught in nets with minimal by-catch, blue catfish are fished sustainably. Not only is the blue catfish local, but serving it on campus also helps to restore the Chesapeake Bay ecosystem.",http://dining.umd.edu/nutrition/,6584769.0,2242197.88,55846.66,"University of Maryland Dining Services uses the fall semester to track progress on Sustainable Food goals. In keeping with the metrics used for Dining Services goals, we have used total expenditures for 8/25/14-12/31/14 on this metric (and not total annual expenditures). "
University of Massachusetts Amherst,2015-12-17,2015-12-17 14:45:25,esmall@facil.umass.edu,2.0,Pursuing,97.0,,True,True,True,There is always a vegan as well as vegetarian options for every meal. There is a station in every dining hall where hot meals can acquired as well as an all day salad bar if the hot meal does not meet the student's liking. ,,http://www.umassnutrition.com/food-allergies,--,--,--,--
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:33:01,Tyler_Arrigo@uml.edu,2.0,Pursuing,50.0,"The percentage of total dining food purchases comprised of conventionally produced animal products is unavailable, 50% was included as a place holder. ",True,True,True,"UMass Lowell Dining Services offers “Meatless Mondays,” “Farmer’s Market” meal option, an extensive salad bar, and a mobile app identifying daily menu identifying vegetarian and vegan options.",NA,http://umasslowell.campusdish.com/EatWellContent/NutritionHighlights.aspx,--,--,--,"UMass Lowell Dining Services Nutritional information can be found here: http://umasslowell.campusdish.com/EatWellContent/NutritionHighlights.aspx

"
University of Michigan,2016-01-11,2016-01-11 15:37:33,ahorning@umich.edu,2.0,Pursuing,38.08,University food vendors provide information annually.,True,True,True,"Vegan options are available throughout UM Dining facilities, diners may use the MyNutrition tool to find vegan options.

MyNutrition is an online tool that can help you make smart, healthy choices in Michigan's residential dining halls. Use it to:
•Select well-balanced meals
•See how your food choices measure up nutritionally
•Screen dining hall offerings for allergens

Special icons are used to denote menu items that qualify as vegetarian, vegan, MHealthy, Halal, or gluten-free. You'll find a key at the top of each MyNutrition page. They are also listed in the lower right corner of each meal planning page. Once you make your choice, only menu items that meet the criteria will be displayed.","More than 30 Michigan farmers and suppliers provide the University with fruits, vegetables, honey and more. All of our milk comes from Michigan dairy farms located within 100 miles of campus. Our milk contains no genetically engineered hormones (rBST and rBGH) and is processed at the famer-owned Prairie Farms dairy plant in Battle Creek.  Most of the meat served at East Quad is supplied by farms less than 250 miles from Ann Arbor.
Sustainable Seafood
As part of our seafood program, we’re partnering with an innovative, family-run company called Sea ToTable. Sea to Table pairs small-scale, sustainable wild fisheries with people who want to buy fresh seafood. 
We’re also the first Big Ten university to gain Marine Stewardship Council (MSC) Chain of Custody certification. MSC is a global, non-profit organization that promotes sustainable fisheries and responsible fishing practices worldwide.",http://housing.umich.edu/dining/nutrition,--,--,--,"Additional information can be found at:

http://nutrition.housing.umich.edu/NetNutrition/1
http://www.housing.umich.edu/dining/sustainable"
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:08,mgranley@d.umn.edu,2.0,Pursuing,1.0,,True,True,True,"UMD hired a Dietician, Jean Rodvold, in 2013 to help in organizing, educating, and changing food to include healthier options.  Vegetarian options are available and many vegan options are offered.  Gluten-friendly, vegetarian, vegan, and locally-sourced foods are in the process of being labeled more clearly, with student-designed labels.

A new sub shop was built, Great Lakes Grains, and many of the subs offered are vegetarian (including a hummus-based sandwich and an avocado/vegetable sub).  The sub wrappers are completely compostable as well!",,http://www.d.umn.edu/food/nutrition/,--,--,--,"UMD Dietician has a Dietitian's Dish blog at:
http://rddish.blogspot.com/

To accommodate gluten-sensitive or allergic people, there are many gluten-friendly options on campus: 
UMD Dining Services has a number of specialty gluten free products available. 
Dining Center
Udi's Gluten Free Hamburger Bun
Udi's Gluten Whole Grain Sandwich Bread
French Meadow Bakery Gluten Free Honey Multigrain Bread
Food Court
Udi's Gluten Free Hamburger Bun
Sandwich Bread
Angie's Artisan Treats brand popcorn
12"" Pizza Crust*

*Taste of Italia offers 12” Gluten Free Pizzas – these are made to order and cooked on a specified clean aluminum pan and cut with a pizza cutter specifically used on gluten free pizza orders only.
Northern Shores Coffee
Gluten free cookies
Udi's gluten free muffins
Udi's gluten free bagel
"
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:28:50,good0044@morris.umn.edu,2.0,Pursuing,39.0,"Sodexo generates a report detailing our meat, fish, eggs, dairy, bakery, canned and other purchases. We sort this data.",True,True,True,"Our dining services has vegetarian and vegan options on the 'hot lunch' menu each day.  In addition, there is a stir-fry line, a pasta bar, and a salad bar with protein options such as tofu and beans at every meal.","We estimate that we have lowered our meat consumption about 10% over the past 10 years. Dining Services does not serve hamburgers daily, instead students must go to Turtle Mountain Cafe is they want to eat beef.",https://morris.sodexomyway.com/dining-choices/index.html,--,--,--,--
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:31,stennes@umn.edu,2.0,Pursuing,28.14,We purchase the majority of our food through Sysco who provides us with annual purchasing reports. Additional meat purchases are made through the University of Minnesota's Andrew Boss Meat Lab and are tracked by both our team and the Meat Lab and reviewed annually. ,True,True,True,"Our dining program offers a total of 86 vegan entrees as part of our  recipe collection to be rotated through throughout the year. In addition to these entrees we offer many vegan choices or substitutions at our dining stations such as a veggie burger at our grill station by request any day/meal of the week. 

In addition to our menu offerings we focus on Mindful Monday's where we highlight low impact dining such as vegan. Throughout the year we identify several events such as World Veg Day to highlight a special vegan item and to foster discussion around the impact of eating less animal based products. 

Sample Menu: 
Breakfast Items:
Tofu-Potato Hash
Vegan Home-Style Pancakes
Spiced Breakfast Quinoa

Entrees:
Harvest Sauté with Bulgur
Southwest Sweet Potato
Butternut & Black Bean Chili
Chickpea Panchmael


","We continually strive to increase availability and variety of vegan and vegetarian options within our dining program and highlight these efforts through special events, on our website and through station signage and communication through staff such as our health and wellness and sustainability coordinators. 

An example of such an event was our Meatless Meal for Earth Day where we served only vegan and vegetarian items in our dining halls and hosted tabling events to highlight the  benefits of reducing meat consumption. 

Finally, we are working to source more sustainable animal derived products such as locally raised, cage free, and grass fed as much as possible. ",http://univofminnesota.campusdish.com/EatWellContent/ViewMenu.aspx,--,--,--,--
University of Missouri,2015-05-01,2015-05-01 15:33:42,raghavans@missouri.edu,2.0,Pursuing,80.0,totaling invoices from vendors,True,True,True,"Every operation has vegan options, including black bean burgers and tofu for protein. 
MJB 

The university employs a tool known as Zoutrition, which allows the user to search every dining area of campus for meal options and filter the results by dietary needs. Using Zoutrition, any student, staff member, or visitor can quickly and easily determine vegan options at any dining area on campus.  Many of the campus dining areas provide vegan and vegetarian options.  All vegan dining options are clearly labeled and information regarding each food item’s ingredients are easily available online.",,http://zoutrition.missouri.edu/zoutrition,9000000.0,--,--,"purchase tons of vegetables locally, including from Bradford farms. "
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:16,johnstonrk@umkc.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
University of Mount Union,2016-01-13,2016-01-13 13:05:26,mcclauca@mountunion.edu,2.0,Pursuing,100.0, At this time the percentage of  Animal products has not been calculated based on the annual spend. We are assuming all food purchases are comprised of conventionally produced animal products until we know otherwise.,True,True,True,unknown,,--,--,--,--,"Data provided by AVI Steve Baity, Resident Director.
Entered by Leah Graham"
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:44:57,pshrestha3@unl.edu,2.0,Pursuing,100.0,,True,True,True,"Vegan and vegetarian options are provided at every meal. Vegan entrees are classified by having at least five grams of protein. 
",,http://housing.unl.edu/dining/,--,--,--,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:33,slburke@unomaha.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
University of New Hampshire,2016-03-25,2016-03-25 21:53:55,colleen.flaherty@unh.edu,2.0,Pursuing,81.0,"A UNH Sustainability Institute intern, under the supervision of the UNHSI associate director, received purchasing data from UNH Dining and culled through the listings to inventory expenditures on conventionally produced animal products.",True,True,True,"Dining Services offers labeled vegan options at every meal on a daily basis in each of the three dining halls. Eight entrees per lunch and dinner are served at each dining hall. Students can also go online to view the daily menu for each dining hall, which includes a vegan category. ",UNH purchases certified Humane and/or Organic animal-derived products whenever possible.,http://www.unh.edu/dining/locations/,8779923.35,--,--,As of May 2015
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:57:56,cpshea@fac.unc.edu,2.0,Pursuing,26.8,Track purchasing invoices ,True,True,True,"Vegetarian and vegan options are available at all meals. Each dining hall has a dedicated vegetarian station, oﬀering one complete-protein vegetarian or vegan entrée and three to four vegetarian or vegan side dishes at lunch and dinner. A four-week cycle menu is written for these stations, which can be viewed on the locations' digital menu boards and website, along with ingredients. 

Both dining halls oﬀer an extensive salad bar featuring protein toppings. Vegetarian and vegan options are also available at other stations including the grill, soup, pizza and pasta stations. Vegan dessert options are available at lunch and dinner.

In addition, an onsite Registered Dietician is available to assist students with special diets and making ""smart"" meal choices. 

On Meatless Mondays, the Vegetarian Station becomes vegan and the following stations become vegetarian: World’s Fare, Sushi, Wrap, and Pasta. Garden or Black Bean Burgers are available at the Grill everyday, and 3 of 4 pizzas are vegetarian.","Carolina Dining Services opened 1.5.0. in January 2010 in Lenoir Hall. 1.5.0.’s seasonal menu features food that is locally grown, harvested and freshly prepared by chefs who are trained in culinary sustainability. Menu items also include organic produce and grains, cage-free eggs, poultry, grass-fed beef, sustainable seafood and house-made breads, dressings and sauces.

Firsthand Foods, located in Durham, NC, is one of the new sustainable food vendors introduced in spring 2013. Firsthand Foods acts as a conduit between local pasture-based livestock producers and local food vendors, restaurants, and food retailers. They source from farmers who raise animals humanely, on pasture, without feeding antibiotics or animal by-products, or using added hormones. Firsthand pork sausage is served on Wednesday mornings during breakfast at Rams Head and Top of Lenoir as well as utilized in other pork dishes throughout the week. 

MeatLESS Mondays profile reduced-meat entree selections.
",http://files.dining.unc.edu/2014-15_Annual_Sustainability_Report.pdf,9633131.25,2584350.977,870512.895,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:19,cgcarwei@uncg.edu,2.0,Pursuing,14.2,"UNCG Dining Services inventories are categorized such that animal products can be separated from other categories. Dining and Catering perform weekly inventories, and purchasing volumes are checked daily. Purchases are tracked and inventoried accordingly.",True,True,True,"UNCG Dining Services ensures that all diners with special dietary considerations are guaranteed a vegan, vegetarian or organic meal. UNCG Dining has a service section of the Dining Center set aside for vegetarian and vegan options. Menus are available on the Dining web site and at the service location. ","UNCG Dining offers a wide range of vegetarian options beyond the main Terra Ve station.
Areas including the Mongolian Grill,and the pasta, pizza, Mexican, deli and salad bars offer complete meal vegetarian options.
",http://www.dineoncampus.com/uncg/show.cfm?cmd=sustainability,2400000.0,1100000.0,596000.0,"Information for this credit was submitted by Kevin Deans, Dining Services Director for UNCG."
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:31,pohlmank@uncw.edu,2.0,Pursuing,66.4,Track purchasing invoices,True,True,True,"-Vegan and vegetarian options are offered at every meal. Wagoner Dining hall provides a Vegan Power Station (#veganpower) every day that is dedicated to providing plant based proteins such as lentils, beans, edamame, tempeh and almond butter. Stations within the dining location offer vegan burgers, vegan cheese and soy nuggets as well as vegetarian burgers. Wagoner Hall offers Vegan dessert items like brownies and cranberry cookies. A large salad bar selection is offered along with vegan pasta, pizza and soup. 
-Dub’s Café offers Vegan Sandwich options for breakfast and lunch, Vegan BBQ, as well as an assortment of vegan sides.
-Meatless Mondays- Our goal is to help reduce meat consumption 15% in order to improve personal health and the health of our planet. UNCW Campus Dining participates in providing meatless alternatives every Monday. 
-Vegan and Vegetarian Sushi is offered every Friday at Wagoner Dining Hall.
","-Vegan and Vegetarian Sushi is offered every Friday at Wagoner Dining Hall.
-Vegan and vegetarian options are offered at every meal. Wagoner Dining hall provides a Vegan Power Station (#veganpower) every day that is dedicated to providing plant based proteins.
-Dub’s Café offers Vegan Sandwich options for breakfast and lunch, Vegan BBQ, as well as an assortment of vegan sides.
-Meatless Mondays- UNCW Campus Dining participates in providing meatless alternatives every Monday.
-Wagoner Hall and Dub’s Café offers a seasonal menu with locally grown and harvested food. 
-Wagoner Hall provides a Chef’s Table station that features locally grown food that is vegan, vegetarian and gluten-free. 
",http://uncw.campusdish.com/-/media/E4AC6DA64B7246ABA074F2B3DA53737F.ashx,4967902.0,1417608.58,717227.42,--
University of Oregon,2016-03-23,2016-03-23 11:01:57,smital@uoregon.edu,2.0,Pursuing,24.0,We use Eatec inventory software to track purchases.,True,True,True,"UO housing dining services offers a wide selection of both vegan and vegetarian entrees. Award winning vegetarian menus (requiring the purchase of over 18,000 lbs of tofu and 1,500 lbs of Tempeh a year) is available daily in addition to authentic international favorites such as Kimchee, Sushi, and Thai Curries. In the UO's EMU, four food establishments offer vegan alternatives.",NA,https://housing.uoregon.edu/nutrition-dietary-needs,6033666.48,1453190.53,297027.39,--
University of Pittsburgh,2016-03-24,2016-03-24 12:58:54,lwzfm1@pitt.edu,2.0,Pursuing,96.0,Our current inventory does not track these products separately from other items.,True,True,True,"Vegan dining options are offered on campus - Tutto Fresco in Market Central (largest dining facility on campus) serves Vegan options at all times, and the Cathedral Cafe and other selected venues now offer vegan options as well.",N/A,http://www.pc.pitt.edu/dining/,9533433.0,1291948.0,53831.0,"Expenditures on conventionally and sustainably produced animal products are based on real food challenge percentage calculations since our current inventory does not track these products separately.

See also:
http://www.tomorrowstarts2day.com/planet.html

http://bettertomorrow.sodexousa.com/s/#!/we-do/our-commitments-to-the-environment/overview"
University of Richmond,2016-02-17,2016-02-17 15:17:35,randreje@richmond.edu,2.0,Pursuing,54.1,"To track sustainable food purchasing, the University of Richmond adopted the Real Food Challenge criteria and utilized an Excel-based spreadsheet based on the Real Food Calculator to track six months of data. We doubled the totals in all categories (to get a year's total) and used the annual expenditure as a denominator to get expenditure percentages in various categories.",True,True,True,"Vegetarian and vegan symbols have been incorporated into our dietary symbols program, which was developed as a reference guide to help individuals with special diets. The Stir Fry and Panini stations prepare entrees to order which increases vegetarian and vegan options. Hot vegan selections are also available throughout the week at the Grains and Greens station. The salad bar includes varied vegetables, beans, tofu, hummus, and an assortment of fresh fruit options. Soy milk is always available. 

Here is a sample menu from our boxed lunch selection, which includes vegetarian and vegan options: http://dining.richmond.edu/common/box-lunch-menu.pdf","There has been a lot of conversation with students, staff, and faculty to incorporate vegetarian and vegan options throughout the University. Heilman Dining Center offers daily hot, vegan options at Grains and Greens, is purchasing a widening selection of meat alternatives, and has added onto an already-robust salad bar, which now includes a prepared salad of the day. Lou's salads are extremely popular with vegetarians and vegans. The cafe at Passport in the International Center offers a vegetarian or vegan option for its Monday-Thursday special and offers many prepared vegetarian and vegan choices in the cooler.",http://dining.richmond.edu/sustainability/index.html,6127331.0,3314886.07,140459.52,--
University of South Carolina,2016-02-29,2016-02-29 17:11:40,KOPPAN@mailbox.sc.edu,2.0,Pursuing,99.0,"A local inventory purchasing system (LIPS) has been created as an supplement to Sodexo's MarketConnect, which does not track local purchasing at the corporate level. LIPS includes the following:

point of origin, amount of product purchased, product identification, how much was spent per unit/total, what dining hall it is being used in, and vegan/vegetarian/nonveg/allergen identifiers, Real Food criteria",True,True,True,Carolina Dining offers dining options labeled with Vegan Identifiers at every meal.,"Once a baseline for sustainable purchases is completed in summer 2016, Carolina Dining's sustainability working group will adopt a series of goals to reduce the impact of animal-derived food purchases.",http://www.sc.edu/dining/sustainability/index.html,--,--,--,--
University of South Florida,2016-02-26,2016-02-26 13:29:36,sustainability@usf.edu,2.0,Pursuing,10.0,n/a,True,True,True,"In 2012, USF Dining received honorable mention for Most Vegan-Friendly College. USF Dining has a vegetarian/vegan station at each of our three dining halls, Champion's Choice, Juniper Dining, and Fresh Food Co. Additionally, we have our New Peace of Mind Station, located at Juniper Dining and Fresh Food Co, where students can find healthy, vegan and allergen friendly foods and sauces cooked to order. We also provide students with a vegan and vegetarian brochure, for our retail locations, as well as information online what vegan options are available at the dining halls daily.
Please see:
https://dl.dropboxusercontent.com/u/26980027/Vegan_Vegetarian_Brochure_2013.pdf 
https://dl.dropboxusercontent.com/s/mr7iyoivbglgwh2/Vegan%20and%20Veg%20Meal%20Options%20Fall%202013.pdf
",n/a,http://www.campusdish.com/en-US/CSS/UnivSouthFlorida/HealthyforLife/SpecialDietaryNeeds.htm,3500000.0,2240000.0,1260000.0,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 22:59:31,davidv@mail.usf.edu,2.0,Pursuing,60.0,"We spend approximately $34,000 dollars on animal products, out of which 40% is made out of sustainable animal products. Mainly on chicken and seafood. we purchase our fish from Slade Gorton Icy Bay that is third party verified to be sustainable by MSC and has partnerships with other companies with the same visions as them such as Marine Stewardship Council and Aquaculture Certification Council. 
",--,True,True,"Every day there is at least one vegan and one vegetarian item on the menu for EVERY MEAL of the day. There are signs placed in front of the food that state if they are vegan, or vegetarian. ",,http://www.usfsp.sodexomyway.com/,--,--,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:22,prestonj@utk.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:02:51,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:26,mtare@uta.edu,2.0,Pursuing,100.0,,True,--,--,Vegetarian options are available every meal.  Vegan meals are available at lunch or dinner (at the Vegetarian/vegan station implemented semester – spring 2010) in a rotating four-week menu cycle.,,http://www.theshorthorn.com/static/pdfs/2010/spring/20100305web.pdf,--,--,--,--
University of Texas at Austin,2016-03-21,2016-03-21 16:14:51,jim.walker@austin.utexas.edu,2.0,Pursuing,78.84,,True,True,True,"Vegetarian entrees are offered in all dining locations at all meal periods. A vegan soup and extensive salad bar including many grain and bean options are at offered during lunch and dinner at both ‘all you care to eat’ dining halls. Vegan desserts, such as vegan brownies, have been incorporated into cycle menus. A dedicated area in our food court concept serves only vegetarian and vegan meals, some of which are gluten free. We permanently instituted Meatless Mondays with a primary vegetarian option in all dining facilities as of the 2013-2014 school year. Meat is available on these days but is not promoted, and fewer options are available. ","Extensive vegetarian dining information and information groups is available year-round on request and by scheduled events such as ""brown bag lunches,"" vegetarian learning groups, test dinners, and an ongoing Focus Group to assist staff in choosing tasty and appealing meals. ",http://www.utexas.edu/student/housing/index.php?site=18&scode=0&id=458,--,--,--,--
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:00,thea.junt@utdallas.edu,2.0,Pursuing,0.8,Chartwells utilizes a system called MyFinance which allows for the tracking of food and beverage purchases.,True,True,True,"To accommodate the 25% of our student population that is vegetarian we have a fixed station in our resident dining hall, called greens and beans, that offers a variety of vegetarian options daily. The menu is on a 4-week cycle, just as the rest of the dining hall stations and is dedicated to providing fresh, healthy vegetarian options. We also have a wide variety of vegetarian options in the majority of our retail locations as well (see attached-vegetarian choices).
",See attached – Menu of Change,http://www.dineoncampus.com/utdallasdining/,148857.0,31500.0,117357.0,"Chartwells, a third-party contractor for UT Dallas Dining provided the information within this section.

http://www.utdallas.edu/news/2009/08/10-001.php"
University of Toledo,2016-03-25,2016-03-25 15:21:09,neil.tabor@utoledo.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
University of Virginia,2015-12-11,2015-12-11 14:05:44,art2k@Virginia.edu,2.0,Pursuing,18.0,Complete review of purchase records. ,True,True,True,"There is a designated vegan/vegetarian station at each residential dining hall, for all lunch and dinner services.  Vegetarian items and vegan items are both identifiable. Each dining hall participates in a Meat Free Monday program, in addition to vegetarian and vegan offerings. ",Expanding and improving upon vegetable based menu options in residential (dining) settings. ,http://www.campusdish.com/en-US/CSMA/Virginia/Nutrition.htm,10240978.55,1843042.82,60036.91,--
University of Winnipeg,2016-01-13,2016-01-13 14:36:45,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,15.0,"Diversity foods works with 165 vendors, the majority of which are small independent farmers.  Executive chef Ben Kramer visits all of farmers to establish personal relationships and to ensure that ethical processing practices are in place.  Thetwo exceptions to this practice are chicken and milk.  Chicken is purchased through one of only 2 large distribution centres for chicken.  This is due to Manitoba's legislation regulating poultry processing.  As such, to track this information Diversity has estimated the percentage of chicken and milk purchases as a percentage of overall purchasing. Local organic milk is not available.",True,True,True,"The University of Winnipeg's in-house food service provider, Diversity Food Services offers a variety of set food options but also has a changing menu. While there is no set vegan dining program, vegan dining options  are available every day from both the set menu items and the changing ones. Some examples:

-Every day there are 2 soups available, one is always vegetarian and sometimes vegan.
-There are a salads (with legumes), veggies for snacks, fruits and a chickpea wrap as part of the regular menu items.
-There is a stir-fry station which includes 2 kinds of tofu as meat substitute options.  A price reduction on this item is in place when meat is not ordered.
-In the rotating hot items menu, there is always a vegetarian option available, or a menu item can be modified to become vegetarian or vegan. 
-Among the snacks and deserts there is a vegan brownie that is available every day. ","Diversity Foods does the majority of its own butchery, ordering in whole animals from local producers depending on seasonality.  This practice is both cost effective and ensures minimal food waste as all parts of the anical can be used.",http://uwinnipeg.ca/food-services/sustainability.html,--,--,--,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:44,fermanij@uwgb.edu,2.0,Pursuing,90.0,,True,True,True,"Tofu-based meals are available daily at at least one of our dining venues. Additional vegan recipes continue to be added to the available choices. A nutritionist provides a listing of current offerings nutritional profiles, including whether they item is vegetarian or vegan, on the dining website. ",,http://www.uwgb.edu/dining/assets/A'viands%20Product%20Ingredients%20List.pdf,--,--,--,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:33:37,knelson6@uwm.edu,2.0,Pursuing,14.5,,True,True,True,"Every Café in the residence facilities offer – Local hummus, fresh cut fruit bars, fresh whole fruit bars, fresh salad bars including (Vinegar(s), Olive oils, non- meat proteins, variety of vegetables, variety of greens)
In addition, during Lunch and Dinner the cafes offer at least one daily vegan selection per meal.
Examples include but not limited to (Vegan Wrap + Grapes, southwest Quinoa salad, wild ride blend, spring potato salad, Daily Deli bar w/ vegan ciabbata bread, roasted vegetable salad, asparagus peanut pilaf, sesame rice noodle stir fry, daily fresh cooked vegetables,  baked potato bar, garlic rice, rice noodle stir fry, Build your own Tator Tot Bar). Website lists specific meals that are vegan & vegetarian.
","By utilizing brochures, item labeling, and informational screens, vegetarian and vegan options are more widely advertised and the offerings have steadily increased since 2009.",http://uwm.edu/dining/dietary-info/,740000.0,402121.31,68172.28,A representative sample was used to inventory the sustainably produced animal products. September 2014 and February 2015 were used as the two sample months. 
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:40:38,kermathb@uwosh.edu,2.0,Pursuing,42.0,"This includes all purchases of meat, seafood, poultry, eggs, and cheese products. Purchases and inventory are divided by category and these carry all the way through the monthly operating statements.",True,True,True,"Daily at all locations on campus there are vegetarian options.  In Blackhawk on a daily basis there is a vegan bar with freshly made salsas, prepared salads, and corn chips, all in addition to the Pasta Bar which is all vegetarian, salad bar which is more than 90% vegetarian, at least one of three soups daily is vegan, two selections of pizza are vegetarian, vegetarian deli options including hummus, egg salad, cheeses, vegetables and toppings. The “Mindful” program by Sodexo including menu labeling, ability to scan QR codes to look up nutritional information, integration and sales of Fit Bits which work with My Fitness Pal, and the Sodexo recipes for the most part being loaded into My Fitness pal, all help promote healthy eating and lifestyles.","Meatless Monday did not have the desired affect and so more locations in the All You Care To Eat facility were made primarily vegetarian, including the new Cold Vegan Bar, stir fry to order at dinner instead of grilled sandwiches.  All dining locations have more non meat items available for students than items containing animal-derived foods.
",http://reeve.uwosh.edu/dining/dining-locations,3147073.0,--,--,--
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:16:01,seebotha@uwplatt.edu,2.0,Pursuing,100.0,We have not yet calculated percentage of total dining services food purchases comprised of conventionally produced animal products so we used 100% as a placeholder assumption.,True,True,True,"Campus Dining Services provides vegetarian and vegan meal options at all dining locations every day. In most cases, ingredients of each meal are listed directly upon the item, if they are not they are made available by request to any Dining Service staff. The Dining Services website includes a listing of vegetarian and vegan meal options available at their locations: https://www.uwplatt.edu/dining/special-dietary-needs

Students and staff may also request special meals be made to accommodate eating preferences with one day notice. ",,https://www.uwplatt.edu/dining/special-dietary-needs,--,--,--,--
