Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Number of employees,"Number of staff and faculty covered by sustainable compensation standards, guidelines, or policies; ...",Does the institution have employees of contractors working on-site as part of regular and ongoing ...,Number of employees of contractors working on campus,"Number of employees of contractors covered by sustainable compensation standards, guidelines, or ...","A brief description of the sustainable compensation standards, guidelines, or policies; and/or ...",Does the institution wish to pursue Part 2 of this credit (assessing employee compensation)?,Number of staff and faculty that receive sustainable compensation,Number of employees of contractors that receive sustainable compensation,A brief description of the standard(s) against which compensation was assessed,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,The local legal minimum hourly wage for regular employees,"Does the institution have an on-site child care facility, partner with a local facility, and/or ...",Does the institution offer a socially responsible investment option for retirement plans?,The website URL where information about the institution’s sustainable compensation policies and ...,Public Notes
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:27,stennes@umn.edu,2.0,Pursuing,23153.0,23153.0,--,--,--,"SECTION III. GUIDING PRINCIPLES. 
The following principles shall guide the University's compensation and recognition systems: 
(a) The University strives to achieve and maintain a compensation structure that, when combined with benefits and other rewards, is competitive relative to institutional peers and other appropriate labor markets and serves to attract and retain a high performance workforce. 
(b) The University seeks to reward meritorious performance and employee contribution to the success of the University through compensation and other forms of recognition. 
(c) In the setting of initial salaries and subsequent pay adjustments, the University considers the work responsibilities, market, internal equity, experience and expertise, performance, and other criteria as appropriate. 
(d) The University adheres to compensation and recognition practices that are fair and equitable in design, application, and delivery.
",True,23153.0,--,"The state of Minnesota is $8/hr and is expected to rise soon, so they were preemptive in their adjustment. ","Minimum salaries have also been established for academic appointments and vary based on job classification. The lowest minimum among academic job classifications is $25,727.","The University moved, in 2001, to a pay floor of $12.00 an hour for nonacademic staff working 20 or greater hours a week. This pay floor was established through the collective bargaining process. The floor was then adopted for the University’s non-represented Civil Service employees. The non-academic pay floor was increased and/or maintained, since 2001, through successive collective bargaining agreements and the Civil Service Pay Plans.
",Pay floor of $12.50/hr.,"Pay floor of $25,727/yr.",Pay floor of $9/hr.,8.0,True,True,http://regents.umn.edu/sites/regents.umn.edu/files/policies/Employee_Compensation.pdf,--
University of Missouri,2015-05-01,2015-05-01 15:33:31,raghavans@missouri.edu,2.0,Pursuing,10670.0,7362.3,True,24.0,--,"MU completed the Staff Job Title and Salary Study in 2014 which assessed staff job titles (except service/maintenance job titles) in an effort to consolidate jobs with comparable responsibilities into a single global title as well as ensure sustainable and fair compensation is given to all employees. An internally equitable and externally competitive compensation and classification system for enhanced recruitment and retention of staff was developed through the study. The study reviewed and evaluated over 1,600 job titles affecting over 5,700 campus employees. Using a new Global Grading System (GGS), market data was collected and pay ranges developed to create a new compensation structure. 

Human Resource Services runs regular reports to ensure employees are paid into the ranges of their official job title. If an employee is paid below the minimum of the range for the title, then HRS works with departments to ensure the employee is moved up into the range. 

HRS also ensures that no employee is paid less than the Federal or State minimum wage rate, whichever is higher and most favorable to the employee.  Currently, the Missouri minimum wage is $7.65/hr.
",True,7362.3,--,"The standard that we used was the MIT Living Wage Calculator for Boone County, Missouri. The living wage assessed for this area is $17.08/hour for two adults and two children. ","Employees at the University of MO are paid no less than  $7.65/hour.  
The University currently has three salary plans for staff titles all of which pay above the minimum wage:
SALARY PLAN	GRADE		MINIMUM WAGE RATE
S/M		1		               $ 8.93/hour
GGS		1		               $ 7.65/hour
PAT		1		               $ 9.27/hour

**The University of Missouri System offers a comprehensive benefit programs that gives employees flexibility with the choices involving health and financial security.  The benefits offered as a part of the myTotal Rewards package include medical, dental, vision, accidental death and dismemberment, and life insurance programs, long term disability, educational assistance and tuition reduction",see above,"Temporary, non-regular staff are not eligible for the University’s health and welfare benefits.  However, these employees are paid no less than $7.65 per hour.  The University’s internal temporary staffing office pays its temporary employees, at minimum, $9.00/hour. ",see above,"Undergraduate students are paid anywhere from $7.65/hour and up depending on the work they are performing.  Graduate students are paid no less than $13.08/hour.  

Student wage guidelines can be accessed here: http://hrs.missouri.edu/policies-and-procedures/pay-and-compensation/compensation-and-classification/student-wages-and-titles.php.  
And additional guidance on assistantships can be found at: http://hrs.missouri.edu/docs/Salary%20Wage%20FY14_60313_final.pdf
",7.65,True,True,http://hrs.missouri.edu/docs/Salary%20Wage%20FY14_60313_final.pdf,"Employee numbers obtained from the Office of Institutional Research.

Study numbers obtained from Teresa Long, Human Resource Services."
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:12,johnstonrk@umkc.edu,2.0,Pursuing,4018.0,4018.0,True,103.0,103.0,"UMKC Human Resources is committed to attracting and retaining highly qualified faculty and staff. The UMKC compensation team exists to promote fair, equitable and competitive staff compensation policies, programs and practices that support management and the University's mission.

To accomplish this, the compensation team provides five-star service regarding:

    guidance and compensation/classification expertise;
    administration of staff compensation programs in compliance with UM Policy;
    development of compensation strategies;
    leadership on regulatory matters regarding overtime pay and minimum wage; and
    training on compensation and classification related topics.
",True,4018.0,--," As you know, the University of Missouri is currently engaged in a Job Title and Compensation Project to review the classification and compensation of administrative titles at the university. This project was piloted with the Student Support Services job family, and it was approved and implemented effective December 1, 2011.

In January 2012, it was announced that the next job family to be addressed was the Office Administration/Support job family, encompassing jobs that perform clerical and administrative duties in support of the various functions and services of the university.

We have completed evaluating the Office Administration/Support job family and have completed almost all of the job families now.","UMKC provides of the compensation and benefits for all job categories including lowest paid regular, full-time employees.","UMKC provides of the compensation and benefits for all job categories including lowest paid regular, full-time employees.","UMKC provides of the compensation and benefits for all job categories including lowest paid regular, full-time employees.",Part-time Unranked non-tenure track Adjunct faculty positions should be less than 75% and may be appointed either semester-by-semester or by academic year.  These are non-benefit-eligible positions.,"UMKC Human Resources is committed to attracting and retaining highly qualified faculty and staff. The UMKC compensation team exists to promote fair, equitable and competitive staff compensation policies, programs and practices that support management and the University's mission.

To accomplish this, the compensation team provides five-star service regarding:

    guidance and compensation/classification expertise;
    administration of staff compensation programs in compliance with UM Policy;
    development of compensation strategies;
    leadership on regulatory matters regarding overtime pay and minimum wage; and
    training on compensation and classification related topics.
",7.5,True,True,http://hrs.missouri.edu/docs/Salary%20Wage%20FY14_60313_final.pdf,--
University of Mount Union,2016-01-13,2016-01-13 13:05:22,mcclauca@mountunion.edu,2.0,Pursuing,481.0,481.0,True,100.0,60.0,"This past year the institution under went a compensation review for all hourly staff. We brought in a consultant to compare our support ""office"" type hourly positions against the appropriate labor force. In addition, each position was slotted into a salary pay grade. This pay grade will be reviewed every other year, with a comprehensive review every 5 years. 
The Institution also reviewed the physical plant staff and increased wages to be competitive with the surrounding community.
Administrative staff compensation is reviewed against national CUPA data.
Faculty compensation is reviewed against national AAUP data.

All open positions are evaluated against competitive peer and aspirant institutions; as well as the local labor market.
Annual wage increases, when provided are comparable to the CPI.
All faculty and staff are compensated above both the federal and state minimum wage.
Contractors are covered by applicable Union contracts. 
",True,481.0,60.0,"For our support staff we recently underwent a complete assessment with an outside consultant and compared our positions through professional compensation surveys of northeastern Ohio employers. Our faculty and administrative staff are evaluated against CUPA data.

Administrative pay:

As part of the process to determine the pay for any new administrative staff member the following process is used:
•         The position is brought before the entire President Council to determine if the position will be replaced.
•         Once the position is approved, the HR department will utilize the data-on-demand tool of the College and University Association Salary survey, published annually. (CUPA)
o   Data-on-demand is a tool to request data on a list of specific institutions as related to a specific administrative (even faculty) position.
  For instance, Mount Union has a list of approximately 20 peer and aspirant institutions, I log-in to the secure CUPA salary survey website, indicate the position I would like to have assessed against our list of peer and aspirant institutions, I indicate that I would like to have data related to the minimum dollar amount paid to the incumbent in the position, the medium and the highest salary paid. I also request longevity in the position.
•         This information is analyzed against the wage of the current incumbent and others at the institution in similar positions, to ascertain the appropriate starting wage. (there are times that the new hire is paid at or higher than the former incumbent.)
•          The practice of Mount Union is to pay at or above the 60th percentile of similar positions at our peer and aspirant institutions. 

Evaluation of pay in times of institutional raises:

•         Each VP is given a spreadsheet of the wages of their entire staff.
•         HR performs a data-on-demand assessment of each position within the VP’s area to determine if any substantial wage movement has happened in the area over the past 12 months in the positions they are responsible to oversee.
•         Wages are then adjusted to either match the 60th percentile of the CUPA wage information or the VP has to provide performance related examples of why the person should not receive a larger then annual cost of living wage increase.


Contractors are paid in accordance with applicable bargained for labor agreements.
PREVAILING LAW: The Proposer shall comply with all federal, state and local laws now in effect or hereafter promulgated, as may apply to this proposal and the services provided thereunder. In the event of any conflicts or ambiguities between these instructions and state or federal laws, regulations or rules, the state or federal laws shall apply. These instructions and specifications shall take precedence over any vendor contracts. The resulting contract shall be written under the laws of the State of Ohio.
Vendor contract excerpts are listed below, which go into more detail about the University of Mount Union’s business partner’s employee work standard agreements, guidelines and policies.
Campus Dining Food Vendor Contract Excerpts
ARTICLE 8 PERSONNEL
8.1 CONTRACTOR shall employ all hourly and management personnel for the performance of its services hereunder. Subject to review with the College, CONTRACTOR shall maintain an adequate staff of employees to direct, manage and operate the Operations of the College. Any modification to the number of staff initially assigned by CONTRACTOR to the performance of services hereunder shall be subject to the prior approval of the Director of Auxiliary Services of the College.

8.5 CONTRACTOR shall not discriminate against any employee or applicant for employment because of race, creed, color, sex, or national origin, and CONTRACTOR shall make a diligent and continuing effort to provide equal employment, without discrimination. Such action shall include all recruitment, job assignments, promotions, demotions, transfers, layoffs, terminations, rates of pay, and selection for training. Continuing efforts by CONTRACTOR hereunder shall also include the employment of handicap persons, whenever possible. All employment advertisements of CONTRACTOR shall comply with
Federal and State laws and shall state that all applicants shall be afforded equal employment opportunities.

8.6 CONTRACTOR shall assume full responsibility for the payment and reporting of all compensation, fringe benefits, federal, state, and local income taxes, payroll taxes, Workers' Compensation premiums, unemployment compensation premiums, and qualified plan contributions (i.e. 401(K) contributions) for its employees who provide services hereunder.

8. 7 All work study employees employed by CONTRACTOR shall be paid, at a minimum, the prevailing Federal minimum wage. The Office of Financial Services of the College reserves the right to limit the number of hours each work study student may work, the nature of the work to be performed by each

8.8 Notwithstanding Section 8.14, for the first year of the term hereof, CONTRACTOR shall retain all existing dining service personnel, and shall pay them, at a minimum, at their existing rate of pay. CONTRACTOR shall also provide all existing personnel with comparable benefits, including, without limitation, sick leave, vacation leave, holidays, medical insurance, life insurance, and pension/401 (k). Any changes in compensation and/or benefits for employees of CONTRACTOR assigned to the College, shall be subject to review and approval by the College.

8. 9 CONTRACTOR shall, at its cost, service and maintain Workers' Compensation insurance for its employees providing services hereunder for the term of this Agreement.

8.10 CONTRACTOR shall schedule and conduct an on-going training program for its employees, which program shall train its employees to provide the services hereunder with the highest degree of courtesy, efficiency, and cleanliness. All training programs of CONTRACTOR shall be subject to the prior review and approval of the College.

8.11 CONTRACTOR, at its own expense, shall outfit all of its employees hereunder in uniforms acceptable to the College. CONTRACTOR acknowledges that catering uniforms shall be different from campus food service personnel uniforms, but agrees that all uniforms shall be regularly laundered and replaced. CONTRACTOR shall provide name tags for all ""point of sale"" employees and management personnel.

8.12 CONTRACTOR shall maintain a drug free work place program which shall comply with all state and federal regulations.

8.13 All employees of CONTRACTOR shall comply with College registration and parking regulations and shall be subject to penalties for violations thereof. Employees of CONTRACTOR who park on the College campus shall secure a parking decal and shall appropriately display said decal. Any fine which remains unpaid by an employee of CONTRACTOR for more than thirty (30) days, shall be paid by CONTRACTOR and shall not be included as an operating expense of CONTRACTOR hereunder.

8.14 Schedule 8.14 sets forth the principal functions and qualifications of the management personnel and other designated employees of CONTRACTOR.

REQUEST FOR PROPOSAL HOUSEKEEPING EXCERPTS

INSURANCE
The contractor shall at its sole cost and expense procure and maintain in full force and effect during the term of the contract:
1. Workman’s Compensation and employer liability insurance covering all of contractors’ employees who are engaged in any work under this contract.
2. Public Liability and property damage insurance (construed as including contractor’s protective and broad contracted insurance) as shall protect the contractor and any subcontractor performing work covered by the contract from claims and damages for personal injury, including death, as well as from operations under the contract, whether such operations be by the contractor or any subcontractor, or by anyone directly or indirectly employed by either of them. The limits shall be $1,000,000 each incident, $1,000,000 aggregate and $500,000 property damage or $1,000,000 combined single limit.
3. Automobile bodily injury and property damage liability insurance when the services to be performed require the use of motor vehicles. Such insurance shall be secured from companies licensed to do business in the State of Ohio. The limits shall be $250,000 each accident, $500,000 aggregate bodily injury and $100,000 property damage.
4. Contractor shall furnish customer certificates evidencing this insurance coverage before work is commenced under the contract. All certificates of insurance shall provide that the insurance company will give customer 30 days written notice prior to cancellation or any change in the stated coverage of such insurance.
","Newly hired housekeeper rate $9.10 per hour.
The staff member receives tuition benefit for themselves and dependents. 
After 1 year of service the institution provides 10% of base pay into a TIAA-CREF 403(b) retirment  account . (There is not an employee match required)
Comprehensive medical, dental and vision plans are offered. the institution pays approximately 65% of the premium for medical and 80% of the premium for the dental and vision plans.
The institution provides life insurance up to 1 times their base salary, free to the staff member.
Vacation, the staff member start earning 80 hours of vacation upon their hire. They can earn up to 160 hours after 10 years of service. 
","$8.20 per hour.
If the part time employee works 1,000 hours in the calendar year, they are eligible for 10% TIAA-CREF retirement contribution.
If the staff member works 960 hours in the vacation year, they earn up to 40 hours vacation to be used during the next vacation year. 
",Not applicable,"New Adjunct faculty are paid $800 per credit hour.
Returning faculty after their 9th semester are paid $833 per credit hour
","Students are always paid at the higher of the State or federal minimum wage.
Currently the Ohio minimum wage is higher than the federal minimum wage, so students are paid at the State of Ohio minimum wage. 
",7.95,--,True,http://portal.mountunion.edu/CampusOffice/HumanResources/Pages/Retirement.aspx,"Data entered by Leah Graham, data provided by Pam Newbold, Director of Human Resources and Staff Development"
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:44:53,pshrestha3@unl.edu,2.0,Pursuing,6000.0,4000.0,True,1000.0,--,UNL is part of a system of compensation called broadbanding.  The University of Nebraska compensation system applies to all staff at UNL.  Faculty compensation is determined by each college.  The compensation systems for both faculty and staff are market relevant.,--,--,--,,,,,,,1000.0,True,True,--,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:29,slburke@unomaha.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of New Hampshire,2016-03-25,2016-03-25 21:53:42,colleen.flaherty@unh.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"http://www.usnh.edu/olpm/USY/V.Pers/F.htm

The Child Study and Development Center is a laboratory school affiliated with the Department of Family Studies at the University of New Hampshire. A laboratory school is one with both an early care and education mission and an academic mission. Children attending the center, and the UNH students working at the center, benefit from the highly trained teaching staff and from the family studies faculty.

Each year more than one hundred students enrolled in family studies courses at UNH use the center as a laboratory for experimental teaching and learning, and documentation of those experiences. Students from other disciplines, for example, education, psychology,
Occupational therapy, and communication disorders, also uses the center as a laboratory for the study of children.

The seven classrooms in the center are equipped with observation booths that are used by college students, faculty, parents, and visitors. These booths provide researchers with the opportunity to observe children in a natural context.

The CSDC has a long tradition dating back to 1929. The current facility, which includes 20 full-time staff serving 122 children and their families, was built in 1988. The Center was accredited by the National Association for the Education of Young Children (NAEYC) in 1999 and is licensed by the State of NH. In addition to tuition revenues, the CSDC academic mission is supported by UNH College of Health and Human Services funds.

All benefits-eligible UNH faculty and PAT or O/S staff and full-time students (minimum 12 credits of undergraduate or equivalent graduate full-time enrollment) may access a sliding scale tuition based on family income.

As one of its primary retirement planning and investment options, the University System of New Hampshire (USNH) offers employees the opportunity to invest in ""Teachers Insurance and Annuity Association - College Retirement Equities Fund (TIAA-CREF),"" which has a socially conscious option. In doing so, employees have the ability to invest with a firm that values community investing, shareholder
Advocacy and social screening.

TIAA-CREF summarizes their socially responsible investment priorities as follows:

TIAA-CREF has a long-standing commitment to socially responsible investing (SRI) that is consistent with our nonprofit heritage and unwavering mission to serve those who serve the greater good.

Our SRI program combines three complementary strategies: social screening, shareholder advocacy and community investing. This globally integrated approach seeks to influence positive social change in the countries and communities in which we invest while helping our clients achieve their goal of a safe and secure retirement.

SOCIAL SCREENING
GOAL: Provide competitive returns aligned with investors' values through comprehensively screened investment options that give special consideration to companies’ environmental, social and governance (ESG) records

SHAREHOLDER ADVOCACY
GOAL: Promote long-term investment value by exercising our shareholder rights to influence the ESG policies of the companies in which we invest across the entire TIAA-CREF portfolio – not just in our socially screened offerings

COMMUNITY INVESTING
GOAL: Deliver a combination of competitive returns and positive social impact through focused investment programs


"
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:57:53,cpshea@fac.unc.edu,2.0,Pursuing,11900.0,11809.0,True,562.0,68.0,"It is the policy of the State of North Carolina to compensate its employees sufficiently to encourage excellent performance and to maintain labor market competitiveness. 

The Chancellor’s 2007 policy raised the minimum salaries of full-time permanent SPA (i.e., covered by the State Personnel Act) employees to $25,000 as a way of addressing the issue of providing a “living wage."" This was a significant act given the fact that the minimum salary permitted by the State’s compensation plan was (and still is) well below that mark. There is no such threshold for other types of employees.",True,11809.0,68.0,Local market rates ,"The lowest paid full time employees at UNC earn a minimum of $25,000 annually plus benefits.",The minimum rate is determined by UNC's Office of Human Resources and the Office of State Personnel. ,The minimum rate for temporary employees at UNC is $10.61 per hour. The rate may be higher depending on the type of work that is performed.,The minimum rate is determined by UNC's Office of Human Resources and the Office of State Personnel. , Undergraduate students earn a minimum of $7.25 per hour. ,7.25,True,True,http://hr.unc.edu/classification-compensation/index.htm,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:15,cgcarwei@uncg.edu,2.0,Pursuing,2734.0,2734.0,True,230.0,230.0,"Per the UNCG Human Resources Dept: 
The University of North Carolina at Greensboro’s compensation philosophy is committed to the creation of an inclusive, collaborative, and responsive university by attracting, retaining, and developing a diverse community of talented individuals in support of the university's mission. As a public research university, UNCG must govern its resources in an efficient and effective way. Within the boundaries of financial feasibility, employee compensation will be administered in a manner that is externally competitive and internally equitable, recognizes performance, and includes, but is not limited to consideration of job independence and discretion, job complexity, scope, supervisory or lead roles, relevant experience and credentials, and additional position responsibilities.

COMPENSATION OBJECTIVES
Administering compensation to reflect this philosophy means that:
 Salaries will be reviewed on an on-going basis by the University. These analyses will
support the institution's efforts to obtain appropriate salary funding from the state
legislature. As funding permits, salary increases shall focus on maintaining market
alignment, supporting internal equity, retaining key personnel, and recognizing
performance.
 Within the parameters of discipline, function, job-related experience, and performance,
and individual effectiveness, employees shall be paid similarly for similar work.
 Salaries for new employees should be established at levels that recognize the individual's skills, competencies, and experience while considering the salary levels of current employees with similar job duties.

Further, UNCG ensures that contracts are closely monitored to ensure that proper compensation guidelines and policies are included.

See also the 2014 State of NC Compensation and Benefits Report: http://www.oshr.nc.gov/Guide/CompWebSite/2014%20compensation%20&%20benefits%20report.pdf",True,2734.0,230.0,"UNCG has a sustainable compensation standard developed or adopted by a committee with multi-stakeholder representation. The UNCG compensation standard has been adopted by the University's Executive Staff, which consists of stakeholders from all divisions including the Provost's Office, Student Affairs, Business Affairs, Information Technology Services, and Advancement. This standard has been reviewed and updated on an annual basis to adjust to market conditions. It represents an ongoing effort to recruit high quality talent, maintain market competitiveness, and ensure retention of faculty and staff in support of the university's educational mission. In addition, the University is conducting ongoing equity reviews to address compression, compensation for similarly situated positions, and strategies to address the living wage. A major initiative to create a career ladder program for housekeeping and grounds workers is underway with a projected implementation date of July 1, 2015.

SPA employees are compensated within the guidelines of Career Banding established by the Office of State Human Resources, and pay is based on the following factors: 
i. Financial Resources -The amount of funding that a manager has available when making pay decisions. Agency business need (budget)
ii. Appropriate Market Rate - The market rate applicable to the functional competencies demonstrated by the employee.
iii. Internal Pay Alignment (equity) - The consistent alignment of salaries among employees who demonstrate similar required competencies in the same banded class within a work unit or organization.
iv. Required Competencies - The functional competencies and associated levels that are required based on organizational business need and subsequently demonstrated on the job by the employee.

Salaries paid to faculty members are set by the Office of the Provost and is based on peer data in accordance with University policy. 

Salary ranges for deans are set by the Office of the Provost and is based on discipline, national peer data, and CUPA-HR data for the BOG approved peer institutions. Requests for salary exceptions are forwarded with recommendations from the Chancellor and the President to the BOG Committee on Personnel and Tenure. 

Senior Academic and Administrative Officers (SAAO) with a Tier I status - salaries must be set within ranges authorized by the Board of Governors.
 
For both SAAO Tier I and II administrators, and EPA Non-faculty Professionals, employee compensation will be administered in a manner that is externally competitive and internally equitable, recognizing performance, and includes, but is not limited to consideration of job independence and discretion, job complexity, scope, supervisory or lead roles, relevant experience and credentials, and additional position responsibilities.
","Full-time employees paid at the lowest end of the salary ranges ($11.22/hr) are Subject to the Personnel Act (SPA) of the State of North Carolina and are afforded the same benefits offerings as other SPA employees with higher salaries. These benefits include 
•	State PPO Health Plan (NC Smart Choice)
•	NC Flex (Dental, FSAs, AD&D, Vision, and more)
•	Retirement (TSERS, ORP)
•	Supplemental Retirement/Annuities
•	Disability
•	MetLife - Life Insurance
•	MetLife - Auto/Home Insurance
•	CFNC 529 College Savings Plan
•	Employee Assistance Program
•	FMLA
•	Leave (Sick, Vacation)
","Part-time employees paid at the lowest end of the salary ranges ($11.72/hr) are Subject to the Personnel Act (SPA) of the State of North Carolina and are afforded the same benefits offerings as other SPA employees with higher salaries, with some benefits prorated or deemed ineligible based on the part-time hours appointment.","The lowest paid temporary staff are normally paid at the new minimum of $11.22, with the exception of Childcare workers, who are paid at $9/hr.  Temporary staff are not considered State Employees and are therefore not afforded the same benefits offerings as permanent SPA employees described earlier. Temporary staff, who work on average 30 hours a week or more are offered Medcost, an alternative health coverage benefit that meets the standards of the Affordable Care Act.","In general, the lowest standard rate is $3,500 for one (3) credit-hour course. A temporary faculty member at this rate would not qualify for benefits. [Provided by Office of Faculty Personnel Services]","Students are paid no lower than $7.25 and are not afforded the same benefits offerings as permanent SPA employees.  UNLESS they are in the Federal Work-Study Program, students who work on average 30 hours a week or more are offered Medcost, an alternative health coverage benefit that meets the standards of the Affordable Care Act. Undergraduate students can work an average of 28 hours per week to include summer and jobs in multiple departments. Graduate students can work 20 hours per week to include summer and multiple departments. ",7.25,True,True,http://web.uncg.edu/hrs/Class_Comp/UNCGCompensationPhilosophy.pdf,"In July 2012, Human Resources produced the SPA Compensation Analysis, a comprehensive study of all SPA classifications that are most significantly below market. This analysis was designed to equip Executive Staff members with current salary information so as to review and prioritize salary proposals for their respective units. 

Since July 2014 HR has been working with the Vice Chancellor for Business Affairs in conducting market and pay assessments for the following staffing groups:
•	Grounds and Housekeeping staff. The Associate Vice Chancellor for Facilities Operations is looking to create career ladders and operational efficiencies among our lowest paid employees. 
•	Public Safety and Police staff. A local/regional salary study was conducted in December to compare salaries among ranking police officers as well as telecommunicators in local municipal police departments, universities and colleges.

Information for this credit was received from Dr. Edna Chun, Associate Vice Chancellor for Human Resource Services at UNCG and from the NC Office of State Human Resources (OSHR). The number of employees of contractors is an estimate from the HR Department, as this number varies througjout the year."
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:27,pohlmank@uncw.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Oregon,2016-03-23,2016-03-23 11:01:38,smital@uoregon.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Pittsburgh,2016-03-24,2016-03-24 12:58:40,lwzfm1@pitt.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Richmond,2016-02-17,2016-02-17 15:17:31,randreje@richmond.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of South Carolina,2016-02-29,2016-02-29 17:11:36,KOPPAN@mailbox.sc.edu,2.0,Pursuing,6495.0,--,--,--,--,,--,--,--,,,,,,,--,True,True,http://hr.sc.edu/employ.html,--
University of South Florida,2016-02-26,2016-02-26 13:29:32,sustainability@usf.edu,2.0,Pursuing,15684.0,14940.0,True,14940.0,14940.0,"Classification and Compensation is responsible for the pay and other terms of employment for Administration, Staff and Temporary positions at USF. To help ensure consistency in the application of these terms of employment, USF has established a classification structure.

One of the most important functions of the Classification Team is determining whether a position is properly classified as exempt or non-exempt under the Fair Labor Standards Act. FLSA requires that most employees in the United States be paid at least the federal minimum wage for all hours worked and overtime pay at time and one-half the regular rate of pay for all hours worked over 40 hours in a workweek. A special provision of FLSA for public agency employers like USF allows use of compensatory time off at a rate of not less than one and one-half hours for each overtime hour worked instead of cash overtime pay.
Every Staff and Administration job at USF has a position description which includes its formal title, department, primary purpose, essential functions, qualifications, and other significant characteristics. In the classification process, a position description is prepared by a supervisor or manager, reviewed by administrators, and submitted to HR where it is associated with a formal job classification.

Every new job is assigned a position number and classified by HR before it is filled. When duties change significantly, jobs are reclassified by HR. During the classification process, the exemption status under the federal Fair Labor Standards Act is also evaluated. Therefore, evaluation of sustainable wages is ongoing.

Although USF requires that contractors comply with the Davis-Bacon Act, the university does not evaluate the wages and benefits policies and guidelines for the employees of contractors operating on campus.

Employees had not received across the board increases in several years due to reduction in state funding and the economic recession. This year, when resources were available, the lowest paid workers received a higher percentage increase than the more highly compensated employees to ensure a more sustainable wage. In addition, benefits, both individual and family, have been provided for all employees working over 30 hours per week effective January 1, 2014.
",--,--,--,,,,,,,--,True,True,http://usfweb2.usf.edu/human-resources/class-comp/flsa.asp,"USF has on-site child care facilities.

1) USF Family Center - The center opened its doors to serve the children and families of the University of South Florida staff, faculty and students in 1998. It now welcomes affiliate and community children. The center earned NAEYC accreditation, the mark of quality. In each classroom, from infants to Pre-K, highly skilled teachers provide the environment and experiences from which children learn and grow. Its mission is to provide a caring and nurturing environment where children can learn and develop. The USF Family Center is conveniently located on The University of South Florida campus. Please see:http://child-care-preschool.brighthorizons.com/FL/Tampa/usf/

2) USF Preschool for Creative Learning - The Preschool for Creative Learning (PCL) is a partner of the University of South Florida College of Education’s Early Childhood Education Program. The Preschool serves children 2 - 5 years of age whose parents are students, faculty and staff of the University of South Florida, or from the community at large, please see: http://www.coedu.usf.edu/main/auxiliary/pcl/Home.html

USf has socially responsible investment option for retirement plans:


USF has several vendors who provide a variety of investment options for retirement plans. Several have options that are socially responsible. For example,

1) Valic offers three options: - Valic offers three options: - USF Supplemental TSA 403(b): Global Social Awareness Fund (Pinebridge Investments) and Socially Responsible Fund (SunAmerica) - State of Florida Deferred Compensation 457(b): Calvert Social Investment Equity A;

2) ING offers the Neuberger Berman Socially Responsive Fund and

3) TIAA-CREF offers the CREF Social Choice account and the TIAA-CREF Social Choice Equity fund. The Social Choice account is a balanced portfolio, consisting of two asset classes, Stocks and Bonds. The Social Choice Equity fund normally invests at least 80% of its assets in equity securities. Both give special consideration to having a screen to eliminate investments that are not considered socially responsible.
"
University of South Florida St. Petersburg,2016-03-25,2016-03-25 22:59:14,davidv@mail.usf.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:18,prestonj@utk.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:02:47,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"FPIL--living wage--20k/year for family of 4

Salary:  check salary roster 2015 website"
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:22,mtare@uta.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
