Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Total number of vehicles in the institution’s fleet ,Number of vehicles in the institution's fleet that are:,"Gasoline-electric, non-plug-in hybrid vehicles in the institution’s fleet ","Diesel-electric, non-plug-in hybrid vehicles in the institution’s fleet ",Plug-in hybrid vehicles in the institution’s fleet ,100 percent electric vehicles in the institution’s fleet ,Vehicles in the institution's fleet that are fueled with Compressed Natural Gas (CNG),Hydrogen fueled vehicles in the institution’s fleet ,Vehicles in the institution’s fleet that are fueled with B20 or higher biofuel for more than 4 ...,"Vehicles in the institution's fleet fueled with locally produced, low-level (e.g. B5) biofuel for ...",A brief description of the institution’s efforts to support alternative fuel and power technology ...,The website URL where information about the institution's support for alternative fuel and power ...,Public Notes
University of South Florida St. Petersburg,2016-03-25,2016-03-25 22:58:58,davidv@mail.usf.edu,2.0,Pursuing,94.0,**,2.0,--,--,50.0,--,--,--,--,,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:15,prestonj@utk.edu,2.0,Pursuing,1017.0,**,1.0,--,--,17.0,--,--,--,514.0,"All of the campus' buses are powered by bio-diesel. Additionally, Facilities Services has a fleet of all-electric golf carts for travelling around campus.",http://ridethet.utk.edu/,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:02:44,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,"UTPA owns 53 vehicles which are capable of utilizing biofuels, however, filling stations are located outside of campus city limits."
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:14,mtare@uta.edu,2.0,Pursuing,280.0,**,1.0,--,--,6.0,--,--,--,--,,--,--
University of Texas at Austin,2016-03-21,2016-03-21 16:14:44,jim.walker@austin.utexas.edu,2.0,Pursuing,946.0,**,8.0,--,7.0,194.0,--,--,--,--,"The two primary alternative fuel policies that govern the Universities’ fuel program, both consider E85 (flex-fuel) to be an alternative fuel (Federal Policy - EPACT92, and Texas State HB432).  Since flex-fuel vehicles are the easiest to procure, (the most abundant and the easiest to service), the University has made a concerted effort to buy these types of vehicles.  Last year 100% of our purchases were alternative fuel vehicles according to these regulations.  A few years ago we were awarded a SECO (ARRA funded) grant to upgrade our fueling infrastructure to support E85 (flex fuel) vehicles, and to allow other State agencies to use our fueling station.  We converted one of our 8000 gallon unleaded gasoline tanks, to E85 and installed card readers for the State of Texas issued fueling card, the Voyager Card.  In our first full year of operation we replaced 62,718 gallons of regular unleaded gasoline, with E85.
Last year, the University also replaced 20 older unleaded vehicles with 20 electric carts.
",--,--
University of Texas at Dallas,2016-02-29,2016-02-29 18:12:53,thea.junt@utdallas.edu,2.0,Pursuing,235.0,**,158.0,1.0,1.0,75.0,--,--,--,--,UT Dallas is committed to integrating alternative energy into the overall fleet. Alternative fuel options are evaluated with every vehicle purchase.,http://www.utdallas.edu/facilities/,--
University of Toledo,2016-03-25,2016-03-25 15:20:36,neil.tabor@utoledo.edu,2.0,Pursuing,161.0,**,--,--,--,1.0,--,--,--,14.0,"The University of Toledo currently has one fully electric Ford Focus as the promotional vehicle for the SEED Initiative. Additionally, two of the campus buses run on a B5 biodiesel blend. 

UT is currently exploring ways traditionally fueled vehicles can be retired and replaced with more electric or hybrid vehicles. ",--,--
University of Virginia,2015-12-11,2015-12-11 14:05:37,art2k@Virginia.edu,2.0,Pursuing,627.0,**,10.0,2.0,--,1.0,--,--,--,--,"The University Transit Service (UTS) runs on a 5% or less mixture of biodiesel, but it is not locally sourced.",http://www.virginia.edu/parking/,--
University of Winnipeg,2016-01-13,2016-01-13 14:36:38,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,10.0,**,1.0,--,--,--,--,--,--,--,,--,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:37,fermanij@uwgb.edu,2.0,Pursuing,55.0,**,--,--,--,1.0,1.0,--,--,--,"Every time a fleet vehicle is due for replacement, alternatives such as hybrids, all electric , and other fuels are considered. Cost differentials in purchase costs and break-even analysis are also considered. ",--,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:33:03,knelson6@uwm.edu,2.0,Pursuing,87.0,**,--,--,--,--,--,--,--,--,UW-Milwaukee employs numerous E85 vehicles in the campus fleet.,--,--
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:40:06,kermathb@uwosh.edu,2.0,Pursuing,90.0,**,60.0,17.0,--,2.0,1.0,--,4.0,--,"Each year the University is given the opportunity to replace existing vehicles meeting 
mileage and condition requirements.  E85, electric, hybrid electric, and CNG vehicles are 
requested, as financially possible.

In 2012, the University purchased its first all-electric vehicle with a $20,000 grant awarded by the WI State Energy Office.  A second all-electric vehicle was purchased in 2013.  In 2013, the University was successful in obtaining an $8,000 grant to convert one of its maintenance vehicles from running on gasoline to CNG (compressed natural gas).  In 2014, the University purchased its first hybrid (electric/gas) Chevy Impala sedan for the Fleet rental operation, and 2 CNG Ford F250 trucks for plowing and maintaining campus grounds.

In 2013, the University’s fleet of 90 vehicles was inducted into the Wisconsin Smart Fleet program, aimed at reducing the University’s carbon footprint.  The program is funded through a U.S. Department of Energy grant called “Forwarding Wisconsin’s Fuel Choice.”

Working with Wisconsin Clean Cities and being a member of the Wisconsin Smart Fleet 
program will provide the University’s fleet operation valuable feedback and insight in the use of alternative fuels, advanced vehicles, funding opportunities, and new technology news and events, as the University continues its effort in becoming a more sustainable higher education institution.",http://www.uwosh.edu/fleet/vehicle-usage,The fleet vehicles have recently been sold and will not be included in future reports.
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:15:54,seebotha@uwplatt.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:01:42,sjanowsk@uwsp.edu,2.0,Pursuing,93.0,**,1.0,--,--,6.0,--,--,--,--,"To reduce our emissions and greenhouse gasses, electric vehicles have been purchased by UWSP. All 5 E-Ride vehicles that are on campus are owned by Facility Services.  The vehicle used for the mailroom was purchased in 2012 with a grant from State of Wisconsin, Department of Administration- State Energy Office.  The Mailroom gave its pre-existing electric vehicle to Central Stores for campus deliveries.  The ability for Central Stores to use an electric vehicle for small deliveries versus only having access to 2006 Ford box truck has reduced fuel consumption for the Facility Services department which oversees both Mailroom and Central Stores.  An environmental benefit to using the E-Ride vehicles is the use of less fuel needed for campus errands. The amount of alternative fuels used by program vehicles averages 134 KwH monthly while they travel an average of 230 miles/month. Fuel costs and savings are approximately $10.00/month for Facility Services.",--,--
University of Wisconsin-Stout,2016-03-25,2016-03-25 10:47:25,rykals@uwstout.edu,2.0,Pursuing,47.0,**,--,--,--,--,--,--,--,--,"There are currently no policies or requirements for improvements in fuel efficiency through either DOA (Dept. of Administration who governs our leased fleet) or through the UW System.
 ",--,Information about fleet vehicles provided by Physical Plant/Fleet Vehicles 
University of the Pacific,2016-03-23,2016-03-23 15:37:33,seller@pacific.edu,2.0,Pursuing,97.0,**,8.0,--,2.0,87.0,--,--,--,--,"To encourage use of alternative transportation methods racks which can accommodate over 200 bikes, have been installed on the campus in the past two years.  

To reduce energy consumption, solar panels have been installed on 43 electric carts approximately one-half of the electric carts operated by Support Services. 

A policy was established that said employees could only use a gas-powered truck or van to travel across campus when it was absolutely necessary, such as to transport bulky equipment that could not fit on a cart.",http://www.pacific.edu/About-Pacific/Sustaining-Pacific/Commitment-to-Sustainability/Sustainable-Living/Transportation.html,1/2 of our carts have solar panels. 42 of 84 electric carts have solar panels.
Vanderbilt University,2016-03-21,2016-03-21 10:46:00,andrea.george@vanderbilt.edu,2.0,Pursuing,95.0,**,--,--,--,28.0,--,--,--,1.0,,--,--
Vassar College,2016-03-10,2016-03-10 19:47:19,alihall@vassar.edu,2.0,Pursuing,32.0,**,--,--,--,6.0,--,--,--,--,"Vassar is seeking reduce the total size of our vehicle fleet. As departments evaluate retiring a vehicle, we first evaluate whether replacement is necessary and then encourage departments to investigate hybrid and all-electric options. ",--,--
Villanova University,2016-03-21,2016-03-21 13:11:21,liesel.schwarz@villanova.edu,2.0,Pursuing,148.0,**,--,--,--,10.0,--,--,--,--,"To foster the interest of students on biodiesel, the College of Engineering developed a 7-week mini course comprised of multidisciplinary projects on Biofuels and Sustainability for Freshman Engineering students. In the mini course, freshman students gain hands on experience of synthesizing and characterizing biodiesel from waste cooking oil.  Students also learn how to make soap from the glycerol by-product.  This mini course has been an effective tool of recruiting students to participate and take active roles in the VU Biodiesel program.  
",--,--
Virginia Commonwealth University,2015-07-24,2015-07-24 09:33:01,eestanforth@vcu.edu,2.0,Pursuing,274.0,**,3.0,--,--,4.0,1.0,--,--,--,,--,--
Warren Wilson College,2016-03-21,2016-03-21 15:29:53,aclimo@warren-wilson.edu,2.0,Pursuing,89.0,**,1.0,--,1.0,22.0,--,--,8.0,--,Warren Wilson has built a photo-voltaic solar panel to create the energy needed to power the golf cart which are ridden around campus,http://inside.warren-wilson.edu/~fmts/Virtual_Tour.php,"All of our lawn mowing equipment is propane powered, but there is no category for propane. "
Wartburg College,2015-04-27,2015-04-27 09:07:43,anne.duncan@wartburg.edu,2.0,Pursuing,22.0,**,2.0,--,--,--,--,--,--,--,We are working on decreasing our fleet in general. ,--,--
"Washington State University, Pullman",2016-03-25,2016-03-25 18:58:14,slkane@wsu.edu,2.0,Pursuing,320.0,**,26.0,--,--,3.0,--,--,--,--,WSU continues to expand the use of alternate fuel and power technology when replacing vehicles within the fleet.,http://facops.wsu.edu/RPBS_PS_mp.aspx,--
Washington University in St. Louis,2016-02-29,2016-02-29 19:41:57,valko@wustl.edu,2.0,Pursuing,151.0,**,5.0,--,--,1.0,--,--,3.0,--,"The university aims to decrease emissions from the campus fleet by 22% by 2020, increasing the efficiency and decreasing the number and necessity of fleet vehicles. 

The university uses biofuel technology in support of this goal. The university currently uses a B20 mix of biodiesel-diesel in colder months and B50 in warmer months to fuel three Dining Services delivery trucks. Kelley Green Biofuel retrieves waste oil from campus dining locations and filters it locally. The refined fryer oil then goes to Louisville, KY, where it is processed into biodiesel at Kelley's custom-designed plant. The finished biodiesel mix is driven back to St. Louis and pumped from a 500-gallon double-wall storage tank with an electric pump at the university's North Campus.",http://sustainability.wustl.edu/campus-operations/energy-emissions/,--
Weber State University,2016-01-13,2016-01-13 14:16:55,jenniferbodine@weber.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--
Wellesley College,2016-01-12,2016-01-12 12:03:24,pwilloug@wellesley.edu,2.0,Pursuing,116.0,**,1.0,--,--,1.0,--,--,--,15.0,"In recent years, the fleet has been reduced by 20%. We are transitioning to smaller vehicles such as smart cars, utility vehicles, and golf carts for part of the fleet to allow employees to get around campus. Total mileage for our fleet is relatively small since most is limited to campus travel. When vehicles are replaced it is replaced with a smaller and more efficient vehicle where feasible. 

Additionally, more electric charging stations are being planned to support more electric vehicles in the fleet. ",--,--
Wells College,2016-02-26,2016-02-26 16:59:27,mbrown@wells.edu,2.0,Pursuing,12.0,**,--,--,--,--,--,--,--,--,"For future fleet replacements, the college will explore whether to replace fleet vehicles or not and whether to ""right size"" vehicles. Whenever the decision is made to replace vehicles, we will seek best-in-class fuel-efficient vehicle replacements, whether these are alternatively fueled or not. We do have a number of vehicles that are FlexFuel, enabling them to utilize E85 ethanol as a fuel, however, the sustainability of that option is an open question. We will continue to explore options for appropriate opportunities for alternative fueled vehicles. ",--,--
Western Michigan University,2016-02-24,2016-02-24 12:21:27,jeffrey.spoelstra@wmich.edu,2.0,Pursuing,270.0,**,2.0,1.0,1.0,7.0,--,--,--,--,"In October 2012 Western Michigan University partnered with the Michigan based Clean Energy Coalition in a two year program.  WMU participated in a fleet assessment to identify alternative fuel replacement options and agreed to explore and potentially adopt university wide policy changes that would establish alternative fuel vehicle procurement/replacement practices.  At this time and whenever possible, Western Michigan University will purchase vehicles that have the capability of using an alternative fuel, hybrid technology or electric drive technology while balancing sustainable technologies with cost effective practices. ",--,--
Western State Colorado University,2016-02-16,2016-02-16 19:23:02,bmoran@western.edu,2.0,Pursuing,52.0,**,52.0,--,--,--,--,--,--,--,"Western's fleet belongs to the state of Colorado, so we are limited in some capacities (e.g., biofuel). Western is looking into CNG; however, our county is so small (~14K people), the price of installing a fueling station is cost prohibitive at this time. Currently, the closest stations are 2.5 -3 hours away. Electric vehicles aren't as powerful as we often need in this high-altitude (7700'), cold-climate, such as those for plowing snow, hauling heavy loads uphill, etc. ",--,--
Western Washington University,2016-02-29,2016-02-29 19:39:07,seth.vidana@wwu.edu,2.0,Pursuing,203.0,**,8.0,--,--,6.0,--,--,--,--,"There is currently no centralized institutional process to incorporate alternative fuel or other technologies into its campus fleet.  A campus committee has been chartered to deliver, among other things, recommendations for the campus to make progress as a whole.  Separately, Facilities Management has begun to implement steps to integrate electric vehicles into its fleet, and is currently meeting the state governor’s mandate to make a minimum of 20% of all FM vehicle purchases electric.  ",--,--
Westminster College,2016-02-25,2016-02-25 14:15:35,kcase@westminstercollege.edu,2.0,Pursuing,21.0,**,--,--,--,4.0,--,--,--,--,None,https://www.westminstercollege.edu/environmental_center/index.cfm?parent=6676&detail=9163,"Fleet vehicles:  Three minivans and three 12-passenger vans
Maintenance vehicles:  Four trucks (three pickups and a dump truck)
Campus Patrol:  One Honda Fit
President’s vehicle:  Lexus RX
Maintenance has two electric golf carts and two (regular gas powered) small utility vehicles, as well as three John Deere carts. Conferences and events has one electric utility vehicle. Campus Patrol has one electric golf cart. "
Wilfrid Laurier University,2015-12-22,2015-12-22 11:30:42,cbennett@wlu.ca,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,"Information from each vehicle-using department were provided by the following parties:
Special Constables- Harry Oldengarm 
Recruitment- Holly Cox
Food Services- Kelly Ough
Physical Resources- James Emary
Distribution- Chasity Stewart
Facilities- Dan Graham"
Williams College,2016-03-23,2016-03-23 08:22:14,mae3@williams.edu,2.0,Pursuing,80.0,**,3.0,--,--,1.0,--,--,--,--,We have been buying 4 cyl Ford Transits recently instead of 6 cyl vehicles.  Currently there are not many options on the market where cargo vans or heavy trucks are concerned.  We did explore converting vehicles to propane but that concept was shelved for now.,http://sustainability.williams.edu/campus-resource-use/transportation,--
Worcester Polytechnic Institute,2016-03-21,2016-03-21 14:52:33,ltomasz@wpi.edu,2.0,Pursuing,58.0,**,1.0,--,--,2.0,--,--,--,--,"The institution evaluates  alternative fuel powered vehicles each year when older vehicles are taken out of inventory, and the decision is based on practical application
",--,--
