Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Please enter data in the table below:,"Number of reportable workplace injuries and occupational disease cases, performance year","Number of reportable workplace injuries and occupational disease cases, baseline year","Full-time equivalent of employees, performance year (annualized FTE)","Full-time equivalent of employees, baseline year (annualized FTE)",Start and end dates of the performance year and baseline year (or three-year periods),"Start date, performance year or 3-year period","End date, performance year or 3-year period","Start date, baseline year or 3-year period","End date, baseline year or 3-year period",A brief description of when and why the workplace health and safety baseline was adopted,A brief description of the institution’s workplace health and safety initiatives,The website URL where information about the institution’s workplace health and safety initiatives ...,Public Notes
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:43,stennes@umn.edu,2.0,Pursuing,**,903.0,803.0,19633.0,17053.0,**,2014-07-01,2015-06-30,2007-07-01,2008-06-30,,"The Office of Occupational Health and Safety works to promote and protect the health and safety of all employees, students, volunteers, and visitors who participate in activities related to the University's missions of teaching, research, and service.

Initiatives:
Aerial Lifts
Agriculture-related Safety Training
Agricultural Tractor Safety
Anhydrous Ammonia
AWAIR (A Workplace Accident and Injury Reduction Program)
Carbon Monoxide
Confined Space Entry
First Reports of Injury (FROI) and OSHA Injury and Illness Logs
The Grain-Handling Safety Regulation vs. the Permit-Required Confined Space Regulation
Heat-Related Illnesses
Laboratory Animal Allergens and Respiratory Protection
Lockout/Tagout
Lyme Disease
Minnesota Employee Right to Know Act (MERTKA)",http://www1.umn.edu/ohr/ohs/,--
University of Missouri,2015-05-01,2015-05-01 15:34:20,raghavans@missouri.edu,2.0,Pursuing,**,446.0,458.0,12566.0,12419.0,**,2013-07-01,2014-06-30,2008-07-01,2009-06-30,Baseline year is FY2009. Six FY worker’s compensation experience.,"Risk and Insurance Management (RIM) organizes, coordinates, and implements programs to control risks for all University of Missouri campuses. Workers’ Compensation is apiece of RIM that ensures benefits for work related injuries.",http://www.umsystem.edu/ums/fa/management/risk/insurancecoverages-workerscompensation,FY 2009 was the first year the University collected this data. 
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:28,johnstonrk@umkc.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Mount Union,2016-01-13,2016-01-13 13:05:38,mcclauca@mountunion.edu,2.0,Pursuing,**,9.0,13.0,381.0,381.0,**,2013-07-01,2014-06-30,2012-07-01,2013-06-30,"Health and safety of our faculty and staff has always been a priority to the institution. 
We are self-funded for workers compensation so we offer many worksite tools and programs to assist the faculty and staff in safely performing the functions of their jobs.
In addition, we offer the healthy campus initiative to assist faculty and staff in their physical well-being. 
","healthy Campus initiative
Blood borne pathogen annual training
healthy lifting techniques
MSDS sheets
safely handling of chemicals
",--,"data provided by Pam Newbold, Director of Human Resources and Staff Development, entered by Leah Graham"
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:45:09,pshrestha3@unl.edu,2.0,Pursuing,**,115.0,148.0,11194.0,12059.0,**,2015-01-01,2015-12-31,2009-01-01,2009-12-31,,"By offering various training opportunities, safety programs, and several committees, UNL Environmental Health and Safety works to create a safe environment for the entire campus community. 

Committees and programs are listed below:

Chancellors University Safety Commission:
The overall charge of the committee is to advise UNL administration on methods and means of minimizing safety and health hazards at UNL to the extent feasible. In pursuit of this goal, the committee is charged with the following:
• Adopting an effective written injury prevention program;
• Reviewing occupational injuries and/or illnesses for the purpose of formulating
recommendations regarding future prevention;
• Reviewing or conducting worksite safety inspections for the purpose of formulating
recommendations on accident prevention;
• Reviewing reports of safety and health concerns expressed by the general campus
population for the purpose of formulating recommendations on hazard abatement;
• Enhancing awareness of campus safety programs, identifying best practices, and
encouraging the sharing of information throughout the campus community.

Institutional Bio Safety Committee: The IBC has oversight over and the UNL Biosafety Guidelines apply to clinical/diagnostic, research, and teaching activities involving any of the following:

-Recombinant and Synthetic Nucleic Acids
-Biological Toxins
-Bloodborne Pathogens
-Human Blood, Tissue, Organs, Cell Lines and Other Potentially Infectious Materials, 
-Select Agents, including designated biologically-derived toxins
-Agriculture or Health and Human Services.
-Use and/or Creation of Transgenic Animals or Plants
-Field Collection or Sampling of Wild Animals


Radiation Safety Committee

Safety Programs include:
1. Bloodborne Pathogen Exposure Control Plan
2. Hearing Conservation Program 
3. Injury and Illness Prevention Program 
4. Respiratory Protection Program 
More information about these plans and programs can be found on the Environmental Health and Safety website


",http://ehs.unl.edu/,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:45,slburke@unomaha.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of New Hampshire,2016-03-25,2016-03-25 21:55:15,colleen.flaherty@unh.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:58:09,cpshea@fac.unc.edu,2.0,Pursuing,**,203.0,236.0,11696.97,11295.23,**,2012-07-01,2013-06-30,2007-07-01,2008-06-01,"A new EHS Director was hired in 2008 and then a Safety Manager in Facilities Services. Workplace safety training and data management were subsequently enhanced. Workplace safety and health data is reviewed annually.  This is the fourth year the University has received a ""Certificate of Safety Achievement"" at the Gold level from NC Department of Labor.","The University of North Carolina at Chapel Hill (UNC-CH) is committed to providing a safe and healthful environment for all persons associated with the University, including faculty, staff, students, visitors, and members of the Chapel Hill community. The EHS department supports that effort through education, training, consultation, recognizing and controlling health and safety hazards, ensuring a process of regulatory compliance, and minimizing potential liabilities. Annually EHS goals are established and there is a program review.  The results of the program review are in the EHS Annual Report http://ehs.unc.edu/ehs/ar/.

The University emphasizes an integrated systems approach, as well as safety education and training, as the primary means of achieving this goal. The Environment, Health and Safety department is primarily responsible for environment, health and safety functions at the University, by developing EHS programs and performing various periodic inspections. Department heads, faculty members, and supervisors are considered directly responsible for maintaining full compliance with State and Federal regulations and University safety policies and procedures.  The EHS website http://ehs.unc.edu/index.shtml provides in-depth health and safety information. ",http://ehs.unc.edu/ehs/ar/,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:30,cgcarwei@uncg.edu,2.0,Pursuing,**,48.0,71.0,4675.0,3971.0,**,2014-01-01,2014-12-31,2003-01-01,2003-12-31,2003 is the first year of complete workplace injury data in UNCG records.,"UNCG has an Environmental Health and Safety professional staff of 7 full-time safety professionals who oversee all health and safety programs and initiatives on campus.  This includes, but is not limited to, OSHA compliance, Injury Reduction and Investigation, Safety Training, Laboratory Safety, Radiation Safety, Biological Safety, OSHA 300 Log, Hazardous Materials Management, Hazardous Waste Consolidation/Reduction and Disposal, Spill Prevention Control and Countermeasures, Industrial Hygiene, Ergonomics, and Indoor Air Quality.  Workers Compensation at UNCG is administered by the Human Resource Services Staff; Environmental Health and Safety staff oversee the OSHA 300 Log and all injury prevention/investigations.  ",http://www.uncg.edu/sft/,"Information on this credit was received from Tim Slone, Director of Environmental Health and Safety at UNCG. Note that the employee FTE numbers are different here than in other credits - the EHS Dept. considers different data for its employee figures, incorporating student workers into their assessments."
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:42,pohlmank@uncw.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Oregon,2016-03-23,2016-03-23 11:03:16,smital@uoregon.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Pittsburgh,2016-03-24,2016-03-24 13:00:21,lwzfm1@pitt.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Richmond,2016-02-17,2016-02-17 15:17:47,randreje@richmond.edu,2.0,Pursuing,**,22.0,19.0,1647.0,1440.0,**,2014-01-01,2014-12-31,2010-01-01,2010-12-31,The OSHA regulations require employers to maintain injury logs for the previous 5 calendar years. ,"The University has and continues to incorporate a wide variety of safety initiatives throughout the university. These include SDS electronic database for the entire university, 
safety programs for the Theater and Arts, site specific online training for employees (canned or generic programs are not used), and traditional programs such as LOTO. ",http://ehs.richmond.edu/,--
University of South Carolina,2016-02-29,2016-02-29 17:11:52,KOPPAN@mailbox.sc.edu,2.0,Pursuing,**,50.0,183.0,6890.0,5841.0,**,2014-01-01,2015-12-31,2006-01-01,2007-12-31,This baseline is the baseline USC is utliizing for this year's AASHE STARS submission.,"We have tried to identify trends with our injury data such as; groups or departments with high frequency and severity of injures. Based on trends we worked with groups and departments to improve training, inspections, and culture changes. Also, we provide them with information related to their trends and WC cost.",https://www.sc.edu/ehs/EHSMission.html,--
University of South Florida,2016-02-26,2016-02-26 13:29:48,sustainability@usf.edu,2.0,Pursuing,**,--,--,16421.0,15215.0,**,2013-10-01,2014-09-30,2007-10-01,2008-09-30,"The goals of the Occupational Health and Safety Program (OHSP) at the Florida Department of Health are to characterize work-related injuries and illnesses and to use this information to inform prevention activities that will improve the health and safety of Florida’s workforce. The OHSP is funded by a grant from the National Institute of Occupational Safety and Health (NIOSH).
http://www.floridahealth.gov/%5C/environmental-health/occupational-health/index.html","USF has several programs to ensure health and safety of its workers and students.
Some of the services include:

Counseling Center

The Counseling Center offers comprehensive psychological services to help students navigate the challenges of college life and take advantage of opportunities for personal growth. Learn about the psychological services, workshops, counseling and treatment programs available.

 Student Health Services

Student Health Services offers a variety of healthcare services, including general medical care, immunizations, nutrition counseling, smoking cessation, laboratory services, allergy shots, travel health and a full-service pharmacy

 Wellness Education

At the Wellness Center in the Marshall Student Center, you can meet with a registered dietitian, get a blood pressure screening, pick up free condoms and gather information on a variety of health and wellness topics. Learn about programs to maximize your wellbeing.

 Victim Advocacy & Violence Prevention

USF’s dedicated team of victim advocates will confidentially assist any crime victim with on-campus and community support services and resources. Additionally, students can participate as peer educators in outreach programs

 Emergency and Safety Management

The safety of students, faculty, staff and visitors is a top priority at USF. Learn about the various initiatives, emergency notification systems and programs in place to ensure the safety of every member of the USF community.

 SAFE Team

Each year the SAFE Team provides thousands of students safe travel from one campus location to another, via escort, between the hours of 6:30 pm and 2:30 am daily. Learn more about the SAFE Team.

 University Police

The University Police Department is a full-service law enforcement agency serving and protecting the university community. Officers patrol the campus and surrounding areas 24/7. Learn more about the USFPD, get activity reports and more.
",http://www.usf.edu/campus-life/health-safety.aspx,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 23:00:42,davidv@mail.usf.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:34,prestonj@utk.edu,2.0,Pursuing,**,95.0,131.0,7333.0,8096.0,**,2014-07-01,2015-06-30,2007-07-01,2008-06-30,,"The Office of Environmental Health and Safety offers a Safety Manual with dozens of policies, procedures and written plans, as well as safety training, dependent upon job type. EHS also has a Job Safety Analysis website, where employees can look up specific occupational hazards based on their job title or task (http://web.utk.edu/~ehss/job_safety_analysis/JSA.html).

Additionally, in the winter of 2013 the College of Social Work's Center for Applied Research and Evaluation launched an employee health and wellness initiative by sending out a survey to assess employees' health behaviors, risks and interests in terms of health and wellness activities on and off campus. The initiative was developed under the guidance of the VOLwell Committee.",http://safety.utk.edu/,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:03:02,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:38,mtare@uta.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Texas at Austin,2016-03-21,2016-03-21 16:15:02,jim.walker@austin.utexas.edu,2.0,Pursuing,**,233.0,259.0,12849.0,13519.0,**,2011-08-01,2012-08-31,2009-08-01,2010-08-31,"Baseline year corresponds to the year that our on-campus occupational health program and clinic, HealthPoint OHP, opened.","In partnership with the university community, EHS and OHP promote a safe and healthful environment to protect students, faculty, staff and visitors, and to ensure protection of the environment.  We assess working conditions and advise on appropriate precautions through job and activity specific risk assessment.  Programs include but are not limited to: biological and laboratory safety, chemical safety and waste management, occupational health and safety, radiation and laser safety, etc.",http://www.utexas.edu/hr/current/services/ohp.html,Also see http://www.utexas.edu/safety/ehs/
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:11,thea.junt@utdallas.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Toledo,2016-03-25,2016-03-25 15:22:23,neil.tabor@utoledo.edu,2.0,Pursuing,**,163.52,207.9,6567.0,6000.0,**,2013-07-01,2014-06-30,2008-07-01,2009-06-30,,"UT has an active safety committees on both health science campus and main campus, a robust testbank for annual safety training, as well as offering numerous other trainings in classrooms. UT completes Environmental Safety Rounds in both clinical and non-clinical areas on both campuses. In addition, UT investigates each injury and if a trend is noticed initiatives are produced and directed towards solving those class of injuries. We have various institutional safety programs dedicated to providing and maintaining a safe environment for all University employees. Annually as a Joint Commission requirement, UT has to evaluate the effectiveness of our Safety Management Program, so that is completed for health science campus. ",https://www.utoledo.edu/depts/safety/,--
University of Virginia,2015-12-11,2015-12-11 14:05:56,art2k@Virginia.edu,2.0,Pursuing,**,120.0,154.0,9755.0,9855.0,**,2014-01-01,2014-12-31,2009-01-01,2009-12-31,"""The University of Virginia regards its moral, legal and economic responsibility for providing a safe and secure working environment for its students, faculty and staff to be a high priority. All University activities shall be conducted using reasonable precautions to protect faculty, staff, students, the public, and the environment so as to minimize dangers to life, safety and property."" 
-- This policy was developed by a consensus of HS administrators and approved by the Vice Presidential Planning Group 2/14/1984.

","The University of Virginia is a major research institution. The Office of Environmental Health & Safety (EHS) is responsible for coordinating and monitoring the execution of all health, safety, and hazardous material use activities at the University. EHS assists individuals, departments, and committees, to achieve compliance with University, local, state and federal policies and regulations. EHS serves as the University's liaison with external regulatory agencies. Compliance is monitored through audit, program development, education, accident investigation, and consultation. Online training modules are provided by EHS to satisfy regulatory training requirements. Full-time Biosafety, Chemical Safety and Radiation Safety Officers, Hazardous Materials Manager, and Industrial Hygienists are available to consult and advise on appropriate safety procedures. The University has developed a Chemical Hygiene Plan, and EHS strongly recommends that each chemical laboratory maintain lab-specific Standard Operating Procedures. Proper Hazardous Waste collection and disposal is provided as a service to researchers through EHS's Hazardous Waste program.",http://ehs.virginia.edu/ehs/,--
University of Winnipeg,2016-01-13,2016-01-13 14:36:56,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,**,1.0,--,810.0,750.0,**,2013-04-01,2014-03-31,2009-04-01,2010-03-31,,,http://uwinnipeg.ca/safety/index.html,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:55,fermanij@uwgb.edu,2.0,Pursuing,**,28.0,40.0,683.0,720.0,**,2012-07-01,2013-06-30,2009-07-01,2010-06-30,,,--,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:34:59,knelson6@uwm.edu,2.0,Pursuing,**,58.0,68.0,7877.0,8174.0,**,2015-01-01,2015-12-31,2014-01-01,2014-12-31,The baseline and performance years were chosen because they represent the two most recent and up to date information reported by the university. ,The University of Wisconsin-Milwaukee highly values all of its employees and is responsible for providing a safe place to work. Supervisors and managers are trained to handle all health and safety issues in their respective departments to ensure that staff is properly cared for and all preventative measures are taken to reduce injury and illness. UWM follows all Performance and Accountability Standards required by Wisconsin Statute 36.115(4). ,https://www4.uwm.edu/secu/acad_staff/acad_staff_com/Agendas/14-15/upload/UPS-University-Staff-Workplace-Safety-Policy-Final-2.pdf,--
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:41:49,kermathb@uwosh.edu,2.0,Pursuing,**,62.0,20.0,2141.0,2620.0,**,2015-01-01,2015-12-31,2008-01-01,2008-12-31,,The mission of the University of Wisconsin Oshkosh Health and Safety Committee is to promote a healthy and safe environment for all persons at UW Oshkosh through activities that identify unsafe practices and conditions and their remediation as well as to assist in developing and implementing strategies designed to prevent accidents and reduce risk.,http://www.uwosh.edu/ehs,--
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:16:13,seebotha@uwplatt.edu,2.0,Pursuing,**,26.0,41.0,1266.0,1240.0,**,2014-07-01,2015-06-30,2013-07-01,2014-06-30,The baseline was chosen since it was the previous year.,"-Dedicated safety committees:  University Safety Committee, College of EMS Safety Committee, Chemical Hygiene Committee, Emergency Operations Committee.
-Trainings: Blood Borne Pathogens; Office Safety; Back and Lifting Safety; Personal Protective Equipment; Large Van  Driving; Hazardous Materials Communication; Spill Prevention Control and Countermeasures; Fire Prevention; Fire Extinguisher; Electrical Safety; Confined Space; Lockout/Tagout; Respiratory Safety & Respirator Fit Tests; Lift Truck Safety; Asbestos Awareness; First Aid/CPR/AED; Lab Safety; Slip, Trip, & Fall Awareness
-Initiatives: Safe Walk, Management Led Safety, IceAlert Ice Awareness, Education Abroad Travel Safety; Asbestos Abatement; Green Chemistry Initiative.
",http://www.uwplatt.edu/safety,--
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:02:01,sjanowsk@uwsp.edu,2.0,Pursuing,**,36.0,40.0,1147.0,1034.0,**,2013-07-01,2014-06-30,2008-07-01,2009-06-30,"In 2009 we converted from contracted food service to a self-operated program.  This resulted in a large increase in employees, with the potential for increased risk and injuries.","UW-Stevens Point Occupational Health Programs are designed to protect personnel with best practices and technology, from factors that may adversely impact health and productivity while providing a comfortable and safe environment in which to work and study. Initiatives are directed at general employee and student wellness, disease prevention, eyes, ears and feet safety, indoor air quality and a respiratory program.",http://www.uwsp.edu/rmgt/Pages/ehs/occ-health/default.aspx,--
University of Wisconsin-Stout,2016-03-25,2016-03-25 10:49:13,rykals@uwstout.edu,2.0,Pursuing,**,51.0,54.0,1403.0,1267.0,**,2013-07-01,2014-06-30,2007-07-01,2008-06-30,This baseline was adapted in order to correspond with the GHG data which needed FY2008 as a baseline for the most thorough data record. ,"A safety initiative was establish in August 26, 2013 to reward teams of employees for safe behavior that does not result in time lost from their position. Four levels of rewards are presented for the duration of safe time. ",https://www.uwstout.edu/healthandsafety/safety/committee/index.cfm,"*Data gathered form the Safety Committee 
*Performance year: 2014
*Baseline year: 2008 "
University of the Pacific,2016-03-23,2016-03-23 15:39:37,seller@pacific.edu,2.0,Pursuing,**,43.0,24.0,4030.0,4116.0,**,2014-01-01,2014-12-31,2012-01-01,2012-12-31,"The current program was adopted in 2012 as the baseline because this is when the current supervisor was hired for EH&S. As the current health & safety initiatives are slightly different then the past iterations, 2012 is the appropriate baseline. ","Our health & safety initiatives follow that standard four tenants of a robust program; management commitment/employee involvement, worksite analysis, hazard prevention & control, safety and health training. We have implemented a clear and effective communication plan and are actively engaged in safety. ",http://www.pacific.edu/About-Pacific/AdministrationOffices/Business-and-Finance-Division/About/Budget-and-Risk-Management/Risk-Management.html,Full-time equivalent of employees include student staffers. 
Vanderbilt University,2016-03-21,2016-03-21 10:46:19,andrea.george@vanderbilt.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vassar College,2016-03-10,2016-03-10 19:47:37,alihall@vassar.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Villanova University,2016-03-21,2016-03-21 13:11:40,liesel.schwarz@villanova.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,full- time equivalent includes all full time employees and half part time employees. 
Virginia Commonwealth University,2015-07-24,2015-07-24 09:33:20,eestanforth@vcu.edu,2.0,Pursuing,**,58.0,117.0,8932.0,8755.0,**,2015-01-01,2015-07-24,2014-01-01,2014-12-31,Baseline year adopted in 2015 in response to changes in the STARS program.,,http://oehs.vcu.edu/,--
Warren Wilson College,2016-03-21,2016-03-21 15:30:12,aclimo@warren-wilson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wartburg College,2015-04-27,2015-04-27 09:09:01,anne.duncan@wartburg.edu,2.0,Pursuing,**,17.0,24.0,387.0,345.0,**,2014-01-01,2014-12-31,2006-01-01,2006-12-31,,"The Safety Committee, headed by our Director of Campus Security, John Myers, is organized to plan, implement, and manage the missions and functions of the Environmental and Occupational Safety Program. The primary responsibility of the committee is to address health and safety issues in college programs, activities, and facilities. The committee is advisory to the President. The campus safety committee  meets monthly to conduct a review of work related injury or illness, discuss ways to prevent future injuries, and discuss improvements to current standards or practices, as a result of previous discussions. The workman's compensations insurance carrier comes regularly to discuss improvement potential. The Mission and Objective of the committee are as follows:
     We are committed to fostering a safe environment for all members of the campus
community and visitors. We strive to protect our natural resources and environment for
present and future generations. To assure fulfillment of our commitment, Wartburg
College has adopted the following safety goals:
• Maintain a safe work, living, and academic environment for faculty, staff, alumni,
and visitors.
• Demonstrate leadership in safety and environmental issues.
• Minimize adverse environmental and health impacts while contributing to a fully
functional college.
• Incorporate the consideration of safety and the environment as an integral part of the
institutional planning process.
• Take aggressive action to comply with all federal, state, and local occupational safety
and environmental laws and regulations.
• Support programs to prevent pollution and minimize the generation of waste.



The campus safety portion of the internal website includes safety plans for easy access across campus. There is currently ten plans online, with more coming soon.

The Staff Handbook is the go-to document for many issues across campus. For this reason it addresses many workplace safety topics, including: 
Violence in the Workplace
Emergency Response
Hazardous Chemical Communication (Worker Right To Know)
Workplace Injury Reporting
Exposure Control Plan
Fire Prevention
Open Flames and Space Heaters
Hate Crime Reporting 
Weapons/Firearms Policy
Disclosure of Crime Statistics
Suspected Child Abuse
",--,--
"Washington State University, Pullman",2016-03-25,2016-03-25 19:00:05,slkane@wsu.edu,2.0,Pursuing,**,157.0,172.0,6323.8,5616.0,**,2015-01-01,2015-12-31,2005-01-01,2005-12-31,Arbitrarily selected to match baseline years of all other reporting requirements.,"The overall program consists of the Safety Policies and Procedures Manual, Occupational Health & Safety administered programs, and department level safety and health programs. The goal of these programs is controlling exposures to chemical, physical and biological hazards to prevent occupational injuries and illnesses. 
Departments' Role 
Each department's role in the University’s overall safety and health program involves developing and implementing an Accident Prevention Program. Additionally, Work Specific Safety and Health Programs, a Laboratory Safety Program and a Student Safety Program might be needed based on the activities performed by the department.
Safety Committees' Role
Safety Committees play a vital role as part of the University’s overall program by promoting and supporting their department’s safety and health programs and providing an employee forum for safety.
Environmental Health & Safety's Role
EH&S's Occupational Health & Safety (OH&S) program promotes and supports the University’s overall safety and health program. 
OH&S primary role is to assists departments, employees and safety committees in implementing policies, programs and procedures by providing a number of Safety and Health Services and Resources.
",http://ehs.wsu.edu/ohs/import_index.html,--
Washington University in St. Louis,2016-02-29,2016-02-29 19:42:15,valko@wustl.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Weber State University,2016-01-13,2016-01-13 14:17:13,jenniferbodine@weber.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wellesley College,2016-01-12,2016-01-12 12:03:42,pwilloug@wellesley.edu,2.0,Pursuing,**,39.0,33.0,1083.0,1003.0,**,2014-01-01,2015-12-31,2008-01-01,2009-12-31,,http://www.wellesley.edu/safety,--,--
Wells College,2016-02-26,2016-02-26 16:59:45,mbrown@wells.edu,2.0,Pursuing,**,5.0,7.0,175.0,166.0,**,2015-01-01,2014-01-01,2015-12-31,2014-12-31,"This is the first time we have established this baseline so we utilized 2014 data, as this was most readily accessible. ","Various offices and departments provide workplace health and safety training, depending upon their function. Annual fire training is provided for all student-focused personnel, including resident assistants and orientation leaders. Facilities staffers receive OSHA-approved workplace safety training, including information on safe lifting and chemical handling. Building care staffers receive special training in bloodborne pathogens. Faculty and staff working with potentially hazardous chemicals and waste products are trained in proper handling and disposal. The Human Resources department sends out periodic newsletters that often include reminders about workplace health and safety. ",--,--
Western Michigan University,2016-02-24,2016-02-24 12:21:46,jeffrey.spoelstra@wmich.edu,2.0,Pursuing,**,150.0,137.0,2891.0,2861.0,**,2012-01-01,2012-12-31,2009-01-01,2011-12-31," The 3-year average better represents overall previous injury and illness performance.  A baseline of one year's data might include a spike or valley that might be weather dependent or from another confounding factor such as a change in the occupational physician or preparer of the OSHA log. 
","Initiatives include but are not limited to: Indoor Air Quality Investigations, Ergonomic  Analysis, Respirator Fit Testing, Building Safety Inspections, Safety Training (including Forklift, Respirator Fit Testing, Asbestos, Confined Space, Aerial Lifts, Bloodborne Pathogens, Personal Protective Equipment, Lockout/Tagout, Hearing Conservation, Fall protection, Hot Work, Chemical Hazards).
",http://www.esem.wmich.edu/,--
Western State Colorado University,2016-02-16,2016-02-16 19:23:20,bmoran@western.edu,2.0,Pursuing,**,20.0,29.0,295.0,275.0,**,2014-07-01,2015-06-30,2011-07-01,2012-06-30,"The institution left the state risk management pool July 1, 2011 and acquired insurance policies independently.  At that time, we began instituting workplace safety policies and cost containment procedures, which ultimately make our workplace safer for employees and our claims costs lower.","The institution has a safety policy, workplace safety rules and training for employees, a safety committee, accident analysis protocols, building safety inspections, safety awareness campaigns are conducted, designated medical providers are used for treatment, and Western has received a Cost Containment certificate from the Colorado Division of Worker's Compensation.",https://collaborate.western.edu/HumanResources/Pages/SafetyToolkit.aspx,--
Western Washington University,2016-02-29,2016-02-29 19:39:26,seth.vidana@wwu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Westminster College,2016-02-25,2016-02-25 14:15:53,kcase@westminstercollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wilfrid Laurier University,2015-12-22,2015-12-22 11:31:00,cbennett@wlu.ca,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Williams College,2016-03-23,2016-03-23 08:24:08,mae3@williams.edu,2.0,Pursuing,**,14.0,32.0,1338.0,1261.0,**,2014-01-01,2014-12-31,2010-01-01,2010-12-31,This was the oldest data that was easily accessible in the HR office at the time of the request.,,http://sec.williams.edu/,--
Worcester Polytechnic Institute,2016-03-21,2016-03-21 14:52:52,ltomasz@wpi.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
