Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Floor area of building space covered by an indoor air quality (IAQ) management program that meets ...,Gross floor area of building space,A brief description of the institution’s indoor air quality program(s) (including information about ...,The website URL where information about the institution’s indoor air quality program(s) is available,Public Notes
University of Connecticut,2016-03-25,2016-03-25 18:15:09,rich.miller@uconn.edu,2.0,Pursuing,12535305.0,12535305.0,"UConn’s Environmental Health and Safety Office has a department that deals with indoor air quality.  The Indoor Air Quality department addresses complaints from the university on a case by case basis; calls or e-mails are sent into the department regarding the nature and extent of the complaint or problem.  The department then follows a process alongside UConn Facilities to address and correct the issue.  The Compliance Office within the OEP deals with the more proactive measure of defining standards for indoor air quality that must be met in all buildings and ensuring that these standards are met.
EH&S Website: www.ehs.uconn.edu
University Health & Safety Policy (references health and safety which encompasses IAQ and part of EH&S’s purview): http://web2.uconn.edu/policy/?p=313
EH&S Who to Contact (references IAQ):http://www.ehs.uconn.edu/about/#occu
Contractor EHS Manual (IAQ references throughout on pp 10, 15, 16, 25, 28, 31, 32): http://www.ehs.uconn.edu/ppp/Contractor_EHS_Manual.pdf

UCONN DESIGN GUIDELINES TO PROTECT INDOOR AIR QUALITY:
UConn Design Guidelines and Performance Standards (pp 72, 11.11 Paint, Primers, and Caulking; pp 91, 14.4 Ventilation Requirements; pp 94, 14.11 Fume Hoods):
http://paes.uconn.edu/DesignGuides/Design_Guidelines_and_Performance_Standards_May2015.pdf

Campus Sustainable Design Guidelines (pp 26, Enhancing Indoor Environmental Quality):
http://ecohusky.uconn.edu/docs/development/Sustainable_Design_Guidelines_2004.pdf

STATE MANDATES/POLICIES THAT UCONN ABIDES BY AS A STATE-FUNDED INSTITUTION:
Policy for Use of Environmentally Preferable Cleaning & Sanitizing Products (pp 33)
“In late 2007, the Connecticut Legislature passed Public Act 07-100, which mandates that cleaning products used in State buildings must meet environmental standards set by a state-approved environmental certification program (e.g., Green SealTM). These cleaners have low volatile organic compound (VOC) content which helps improve indoor air quality.”
http://ecohusky.uconn.edu/docs/climate/cap/Full_Climate-Action-Plan.pdf",http://web2.uconn.edu/policy/?p=313,--
University of Denver,2016-02-26,2016-02-26 12:38:06,chad.king@du.edu,2.0,Pursuing,3346080.0,3346080.0,"The University has published the common symptoms related to Indoor Air Quality issues, and has an appointed Environmental Health and Safety Director responsible for the identification of potential IAQ issues and initiation of steps necessary to mitigate the problem. ",http://www.du.edu/ehs/general/airquality.html,--
University of Florida,2016-03-23,2016-03-23 09:05:56,miwilliams@ufl.edu,2.0,Pursuing,18023575.0,18023575.0,"University of Florida
Indoor Air Quality Management Program Summary

A broad Indoor Air Quality Management Policy that covers IAQ issues throughout the University of Florida is active and was developed based on the EPA’s Building Air Quality guide and on EPA’s Tools for Schools IAQ management program guidelines.

Indoor Environmental Quality (IEQ) at UF is coordinated by the Environmental Health and Safety Department (EH&S). An EH&S certified industrial hygienist serves as the UF IEQ Coordinator, and acts as a central point of contact for IAQ issues. 

With over 900 buildings on the University’s Gainesville campus, regular active monitoring by EH&S is not currently feasible. However, educational programs and shared responsibility expectations for physical plant staff, building occupants, construction project managers, and contractors are covered in the IEQ Policy and procedures.  IAQ concerns are investigated on a case by case basis. Each IAQ concern is entered into a log that notes the dates that the concern is received and evaluated, the location and the specific actions taken.

Specifications and guidance on a detailed range of IAQ issues are provided on the EH&S website (http://www.ehs.ufl.edu/IH/IEQ.htm).

An IAQ protocol with guidelines related to maximum limits for various comfort parameters in University buildings has been in place for several years. Since there are currently no regulations in effect covering indoor air quality in a non-industrial environment, we follow the recommendations of the American Industrial Hygiene Association (AIHA), the American Conference of Governmental Industrial Hygienists (ACGIH), the National Institute for Occupational Health and Safety (NIOSH) and the American Society of Heating, Refrigerating and Air-Conditioning Engineers (ASHRAE). 
",http://www.ehs.ufl.edu/IH/IEQ.htm,--
University of Houston,2016-03-23,2016-03-23 17:21:25,smkelly5@central.uh.edu,2.0,Pursuing,4147546.94,12730708.815,"The University of Houston’s indoor air quality program is taken from the LEED Silver criteria (LEED 4). This includes the following regulations:
1) Smoking will be prohibited in and adjacent to the building: Required. 
(The University of Houston transitioned to a tobacco-free campus 
beginning Fall 2015.)
2) Minimum ventilation performance: Required.
3) Carbon dioxide monitoring and control: Required in large common 
spaces (student lounges, multi-purpose rooms, etc.).
4) Increased ventilation effectiveness: Desirable.
5) Construction procedures that reduce impact on interior air quality 
during and after construction: Required.
6) Use of materials that are low-emitting, non-toxic, and chemically inert: 
Required.
7) Control of sources of indoor pollutants: Required.
8) Individual occupant control of environmental systems: If possible.
9) Individual occupant control of lighting systems: Desirable.
10) Thermal comfort conditions: As specified.
11) Provision of daylighting: Desirable.
12) Provision of views to outdoors: Desirable.
13) Humidity control and monitoring: Required in large common spaces 
(student lounges, multi-purpose rooms, etc.).
All buildings built since 2009 must meet these criteria. Environmental Health and Life Safely no longer regulates indoor air quality, but instead respond to incident reports. 

Campus labs also self-regulate indoor air quality.
",http://www.uh.edu/facilities-planning-construction/Vendor%20Resources/owners-design-criteria/design-guidelines/07_sustain.pdf,"Square footage comes from the total area of buildings built to LEED Silver criteria (all buildings since 2009) and total laboratory area (self-regulate indoor air quality). 

LEED Buildings: 3,210,283.94 square feet

Lab Space: 937,263.0 square feet

Laboratory regulations: http://www.uh.edu/ehs/manuals_and_forms/Laboratory-Standard-and-Design-Guideline.pdf

General Safety Guidelines: http://www.uh.edu/ehs/manuals_and_forms/manuals_Lab_Saf.pdf"
University of Illinois at Chicago,2016-02-12,2016-02-12 17:23:46,Cindy@uic.edu,2.0,Not Pursuing,--,--,--,--,--
"University of Illinois, Urbana-Champaign",2016-03-23,2016-03-23 09:19:09,spauldng@illinois.edu,2.0,Pursuing,13525632.0,13525632.0,"We investigate indoor air quality (IAQ) complaints including temperature extremes, stuffy air, odors, sleepiness, headaches, nasal congestion, the presence of active mold growth, and dry air.

Individual sensitivities will cause each person to react differently, and often the source of symptoms people experience is something other than building conditions.  If any of the above conditions persist for more than two weeks, or if 25% of the occupants suffer from the same symptoms, the issue may be related to the building.

To report an indoor air quality problem, please call (217) 265-9828, or safetyandcompliance@illinois.edu.",http://safetyandcompliance.fs.illinois.edu/air_indoor.html,--
University of Louisville,2016-02-13,2016-02-13 03:02:54,justin.mog@louisville.edu,2.0,Pursuing,3539186.0,8701642.0,"The University of Louisville has several fixed Carbon Dioxide (CO2) continuous monitoring systems in the return air systems of buildings for purposes of energy conservation/Indoor Air Quality and which meet the ASHRAE 62.1 “Ventilation for Acceptable Indoor Air Quality” requirements.  This program and systems are monitored by Physical Plant’s energy management.  

The new LEED Gold Student Recreation Center and the new LEED Silver Lynn Soccer Stadium are fully compliant with the ASHRAE 62.1 requirements, as well will be any other new buildings constructed.  Other University buildings, which also have CO2 monitoring systems in the return air systems, include the Natatorium and several auditoriums in buildings, such as Strickler Hall, Davidson Hall, Humanities and Student Activities Center.  If the CO2 levels in these return air systems reaches above 1100 ppm of CO2, the outside air fully opens to bring in more fresh air.  

The full list of buildings which have these fixed CO2 continuous monitoring systems includes: Baptist, Planetarium, Business, Education, EKS, Papa John's Cardinal Stadium, Houchens, Duthie, Law, MITC, Natatorium, Playhouse, SAC, Schneider, Strickler, Yum Center, Davidson, Humanities, Music, Natural Science, Lynn Soccer Stadium, Student Rec Center, HSC instructional building, Center for Translational Research, Dental School, Burhans Hall and Center for Predictive Medicine.

Other measures which the University has taken towards improving Indoor Air Quality include Department of Environmental Health and Safety (DEHS) efforts in conducting investigations and tracking indoor air quality issues/projects (on Sharepoint); development of procedures for addressing indoor air quality complaints and measures which building and residential housing occupants can take to improve indoor air quality (IAQ).  There is an IAQ log for occupants to track occurrences of odors or other IAQ issues.  Finally, there is a questionnaire (occupant survey) for occupants/complainants to complete to request an investigation and/or monitoring by DEHS.  This questionnaire provides detailed information for DEHS to conduct the IAQ investigation and most often assists with determining the root cause of the IAQ problem.  The link to the procedures, IAQ log, and IAQ request/survey and other Indoor Air Quality information are available on the DEHS website at http://louisville.edu/dehs/ohs/iaq",https://louisville.edu/dehs/ohs/iaq,--
"University of Maryland, College Park",2016-03-23,2016-03-23 15:55:55,sdeleon@umd.edu,2.0,Pursuing,14801476.0,14801476.0,"The University of Maryland's (UMD's) Occupational Safety & Health Unit (OSH) of the Department of Environmental Safety is responsible for routine indoor air quality monitoring and responding to any complaints or incidents across campus. The OSH unit is staffed with certified industrial hygienists and certified safety professionals. The unit maintains the indoor air quality sampling equipment. Additionally, on-call industrial hygiene contractors respond to any incidents that may arise. Furthermore, UMD’s HVAC team in Facilities Management also performs continuous maintenance and routine inspections of all heating and ventilation equipment. The HVAC team responds to any complaints and also has on-call contractors. All of UMD’s building space is covered by these indoor air quality practices.",http://www.des.umd.edu/os/iaq/index.html,--
University of Massachusetts Amherst,2015-12-17,2015-12-17 14:45:32,esmall@facil.umass.edu,2.0,Pursuing,9343825.0,9343825.0,"The department of Environmental Health and Safety has an emergency call system for unusual and dangerous smells. Complaints can also be registered on the physical plant website in which EHS will take the complaint if there is a potential health risk. Audits of buildings are regularly done. All complaints are followed up on in a timely manner. 
",http://www.ehs.umass.edu/,"This data is the Sum of Net Assignable Area and comes from Tririga Space and Asset Database.

"
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:33:08,Tyler_Arrigo@uml.edu,2.0,Pursuing,1967450.0,4254334.0,"The Office of Environmental and Emergency Management provides a comprehensive indoor air quality program. The program provides web based data management and automated expert reports including data collection of temperature, relative humidity, carbon dioxide, total volatile organic compounds, small particles, large particles, carbon monoxide, ozone, radon, and mold sampling.  During new employee orientation and through Environmental Health and Safety (EHS) general awareness and program sessions/training, employees are informed to contact their supervisors or the  EHS office and request an indoor air quality assessment if they have concerns for their indoor environment.",--,--
University of Michigan,2016-01-11,2016-01-11 15:37:40,ahorning@umich.edu,2.0,Pursuing,--,35472141.0,The University of Michigan OSEH department conducts indoor air quality investigations when occupants express concern about their indoor environment.  OSEH can evaluate the workspace indoor air to determine if hazards exist and to ensure compliance with applicable regulatory and guidance requirements. ,--,--
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:15,mgranley@d.umn.edu,2.0,Pursuing,3516202.0,3516202.0,"A 5-step process is used to identify and address indoor air quality concerns.  The following is taken from the UMD INDOOR AIR QUALITY (IAQ) RESPONSE PROCESS (MARCH 2010)

1. Occupant identifies IAQ concern.  Information about the situation is collected and is referred to Facilities Management at x8262 or by email.

2.The FM IAQ Coordinator will:
*	Gather details from the occupant.
*	E-mail concern to IAQ Team and designate the IAQ Team Leader for the project. 
*	Determine need for immediate response by DEHS or Facilities Management which may include a site visit and/or work order for appropriate personnel to evaluate the ventilation system.

3.In a worker’s compensation or disabilities case, the UReturn Coordinator will compile information on the scope of IAQ investigation and testing that may be needed.  The coordinator will assure HIPPA compliance with survey questionnaires. 
The UReturn Coordinator will:
*	Contact the occupant as soon as possible and meet to fill out the Occupant Interview Form.
*	Encourage occupant to complete the work-related Employee Incident Report at http://www.d.umn.edu/umdhr/WorkComp, as required by University policy and filed with Cathy Rackliffe in UMD Human Resources, 255 DAdB.  
*	Request that the EHS IAQ Specialist complete a Pollutant & Source Inventory Form. 
*	Based on initial medical screening and site visit information, work with the EHS IAQ Specialist to determine the timing and scope of any environmental testing and further investigation needed.

4. If the problem is not readily identified:
*	The FM IAQ Coordinator will initiate a work order for Facilities Management ventilation specialists to complete a UMD HVAC IAQ Quick Form,  HVAC Short Form or Long Form.
*	IAQ Team Leader will distribute IAQ Diary Forms to concerned occupants.
*	IAQ Team Leader will arrange a meeting(s) for the IAQ Team to analyze all information obtained on case to date and, if possible, develop an action plan.
*	IAQ Team Leader will notify Human Resources, appropriate Department Head, supervisor and occupant and all concerned parties of action plan.
*	EHS IAQ Specialist will complete and test a Hypothesis Form.
*	If physical problems are identified, FM IAQ Coordinator will bring scope to appropriate FM management to determine course of action and report findings to team. 

5. If problem still not identified, set IAQ process in motion:
*	IAQ Team Leader will gather team to further analyze additional information.
*	The IAQ Team will determine whether case is an IAQ problem.  If more information is needed, decision will be made whether to perform additional in-house testing or to hire an outside consultant.
*	IAQ Team Leader will notify and update Human Resources, Department head, supervisor and occupant(s). 
*	IAQ Team Leader will follow up on corrective actions to ensure they have been effective.
 ",http://www.d.umn.edu/ehso/focus/,--
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:28:56,good0044@morris.umn.edu,2.0,Pursuing,993166.0,993166.0,"The University of Minnesota system has a comprehensive Indoor Air Quality program.  At Morris, this program is managed by the Dept of Environmental Health & Safety (DEHS) in collaboration with Facilities Management. The program has a major focus on preventing and responding to water infiltration from rain and other sources into buildings. There are protocols for water events involving DEHS evaluations and FM standard operating procedures. The program also receives and responds to a variety of complaints from building occupants and tracks trends. Smoke-free polices enforced.",http://www.dehs.umn.edu/iaq.htm,--
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:38,stennes@umn.edu,2.0,Pursuing,20750888.0,23384200.0,Indoor air quality assessments are in every occupied floor space at the institution.  Indoor air quality assessments include constant monitoring through out buildings and a department to contact if there is a problem.  DEHS handles phone calls surrounding all air quality concerns.,http://www.dehs.umn.edu/iaq.htm,--
University of Missouri,2015-05-01,2015-05-01 15:34:03,raghavans@missouri.edu,2.0,Pursuing,14178920.0,14178920.0,"Indoor Air Quality (IAQ) is simply defined as maintaining an indoor environment that is conducive to getting work done in a safe and healthy way. Environmental Health and Safety is responsible to ensure that people are not exposed to health hazards. Many IAQ complaints are not the result of health hazards but are nuisance issues due to poor circulation, make-up air, humidity, and temperature control. Campus Facilities Facility Operations maintains and coordinates the building's air handler systems that supply a comfortable indoor environment.
IAQ complaints should first be directed to the respective Building Coordinator who will coordinate the necessary resources to address the problem. A list of the campus building coordinators can be found in the campus directory or can be found at their website. If a health hazard is suspected, the building coordinator or Campus Facilities will contact the Industrial Hygiene Office at EHS as a resource to provide IAQ support. 
",http://ehs.missouri.edu/work/indoor-air.html,--
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:23,johnstonrk@umkc.edu,2.0,Pursuing,2908699.0,2908699.0,"This section provides general standards for overall sizing and design of Heating, Ventilating, and Air Conditioning (HVAC) systems.  Other sections contain specific standards for each system per CSI specification format.",http://info.umkc.edu/sustainability/green-campus/buildings/,--
University of Mount Union,2016-01-13,2016-01-13 13:05:32,mcclauca@mountunion.edu,2.0,Not Pursuing,--,--,--,--,--
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:45:04,pshrestha3@unl.edu,2.0,Pursuing,8474151.67,8474151.67,UNL's Environmental Health and Safety department has a procedure for registering and addressing indoor air quality complaints. Much of UNL's building space is monitored by building monitoring systems that routinely check for air pollutants. They also conduct routine informal audits on all buildings. The building space we have counted towards this credit is only that which is monitored by the building monitoring systems. ,http://ehs.unl.edu/sop/s-IAQ.pdf,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:39,slburke@unomaha.edu,2.0,Pursuing,2846481.0,2846481.0,"Baseline air sampling has been conducted using an Aircuity Optima, both to ensure expected building operations and to establish levels for comparison when questions or concerns with IAQ arise.

Indoor air concerns or complaints are registered with the Facilities Service Desk and investigated by facilities management & planning and EHS personnel.",http://www.unomaha.edu/facilities/maintenance/,--
University of New Hampshire,2016-03-25,2016-03-25 21:54:44,colleen.flaherty@unh.edu,2.0,Pursuing,6109044.0,6109044.0,"The UNH Office of Environmental Health and Safety (EHS) drafted a new Indoor Air Quality Plan in the fall of 2015.  The plan outlines a partnership between campus EH&S, Housekeeping, Facilities, Housing and the Sustainability Institute to conduct training and outreach to building occupants and users about how to precent indoor air quality issues, how to spot potential sources of concern and how to report them.  It also documents a procedure for collecting baseline building data for every space on campus moving forward.  

The plan sets out standards for air quality based on rigorous third-party guidelines, and lays out a clear path for promptly and effectively remediating any issues that might arise.",http://www.unh.edu/research/environmental-health-and-safety,"In early 2016, EH&S is inviting stakeholder review; the Plan is slated to be put officially into force by the end of the spring semester of 2016.  "
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:58:03,cpshea@fac.unc.edu,2.0,Pursuing,18950654.0,18950654.0,"The Department of Environment, Health & Safety (EHS) developed an Indoor Air Quality Policy that was approved in 2002. UNC is committed to providing a work environment free of recognized hazards. Review of the Indoor Air Quality Policy is performed annually and updated if needed based on emerging practices and procedures. 
Building occupants can submit a Request for Indoor Air Quality Investigation form, which is available online. If warranted, an EHS Industrial Hygienist will conduct an initial on-site IAQ investigation to evaluate the site/work area and building for probable sources of contaminants. 
If necessary a Phase II IAQ investigation will be conducted to provide more detailed information regarding the nature of the problem. EHS prepares written reports of investigation results and proposes remedial measures as required.
",http://ehs.unc.edu/oeh/iaq/,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:25,cgcarwei@uncg.edu,2.0,Pursuing,6067800.0,6067800.0,"An indoor air quality program was developed by the UNCG Department of Environmental Health and Safety approximately 10 years ago, and is reviewed and incorporated into the investigation of IAQ concerns on the campus. The objectives of this program include:  
* to prevent illness and adverse health symptoms associated with poor indoor air quality; 
* to respond to indoor air quality complaints effectively and make recommendations for improvement; and
* to maintain indoor air quality within acceptable levels according to guidelines (i.e., ASHRAE).  

Should building occupants suspect an IAQ issue, they may contact the EH&S Dept. to arrange an investigation. The EH&S Dept. works in collaboration with the Facilities Operations Dept. in the investigation. At that time, an initial Phase I investigation is conducted on site where an Occupant Interview Form is completed, and the details of the nature/origin of the concern are evaluated. If possible, all available resources are used to mitigate or eliminate the origins of the concern during this phase. Based on the information gathered during the Phase I evaluation, the EH&S Dept. will determine if a Phase II IAQ investigation is necessary. Common parameters tested during the Phase II assessments include an extended study of the temperature, Volatile Organic Compounds (VOCs), relative humidity, CO and CO2 levels in the affected areas. If appropriate, a Phase III assessment may be completed.  A Phase III assessment is performed when evidence of potential air quality problems have been identified, but a definitive cause for the symptoms was not determined during the Phase I or II assessments. A Phase III assessment consists of a more in-depth evaluation of the indoor environment and building envelope, which may include sampling for suspected air contaminants. The EH&S Dept. documents these investigation results and works with the Facilities Operations Dept. and outside vendors (where applicable) to implement any needed remedial measures.
",http://www.uncg.edu/sft/indoor_air_quality/indoor_air.html,"Information for this credit was received from Todd Beck, Industrial Hygiene Manager at UNCG."
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:38,pohlmank@uncw.edu,2.0,Pursuing,3978116.0,3978116.0,"UNCW's integrated approach, involving Environmental Health & Safety (EH&S), Office of Facilities departments (Physical Plant, Architectural and Construction Services, Project Design & Management), the occupants of the building space in question, and senior management ensures that conditions will be evaluated consistently, responses will address immediate needs, and planning will consider long-term implications.",http://uncw.edu/ehs/indoorquality.html,--
University of Oregon,2016-03-23,2016-03-23 11:02:49,smital@uoregon.edu,2.0,Pursuing,8094236.0,8094236.0,The UO follows ASHRAE indoor air quality guidelines for all buildings. Complaints and follow-up monitoring are handled by the Environmental Health and Safety unit.,http://ehs.uoregon.edu/,--
University of Pittsburgh,2016-03-24,2016-03-24 12:59:47,lwzfm1@pitt.edu,2.0,Pursuing,12011936.0,12011936.0,"The department of Environmental Health and Safety has a policy on Indoor Air Quality (see link below).  This policy does not regularly audit or monitor air quality in the course of normal operations, but rather upon request from building occupants.  Concerns may be reported electronically or via phone and are fully investigated.  The Department of Environmental Health and Safety and the Facilities Management Division work together to ensure proper indoor air quality via design standards and proper building operations.  All new construction and renovation projects are designed to meet or exceed ASHRAE requirements for indoor air quality.  ",http://www.ehs.pitt.edu/assets/docs/indoor-air.pdf,--
University of Richmond,2016-02-17,2016-02-17 15:17:42,randreje@richmond.edu,2.0,Pursuing,408710.0,2594490.0,"CO2 monitors are used in several campus buildings. A work order form for the campus is always available for occupants to submit complaints. When the CO2 monitors sense an elevated level of CO2 in the space, an alarm is sent to the Building Automation System (BAS) to alert the controls manager that additional ventilation is required. He then makes adjustments to provide additional ventilation. In some buildings, the BAS automatically opens the outside air damper until the CO2 levels fall within the accepted range.",--,--
University of South Carolina,2016-02-29,2016-02-29 17:11:47,KOPPAN@mailbox.sc.edu,2.0,Pursuing,13061105.0,13061105.0,"An IAQ Program is maintained by the industrial hygiene manager.  There is no routine auditing or monitoring program in place.  Currently, building occupants may request an IAQ assessment through EHS.  The IH responds to all requests and conducts an assessment, which may vary in scope depending on the issue.  After the assessment, the IH will forward any recommended corrective actions to the appropriate department responsible for managing the affected facility – usually Facilities or University Housing.  The managing entity is responsible for implementing corrective actions.",http://www.sc.edu/ehs/IH/IHforms.htm#air,--
University of South Florida,2016-02-26,2016-02-26 13:29:43,sustainability@usf.edu,2.0,Pursuing,5183274.0,5183274.0,"When issues are found an AQ monitor is placed in the workplace.  The monitor remains in the space for approximately one week. The monitor records temperature, relative humidity and carbon dioxide levels. 

The temperature and relative humidity parameters is used to document whether conditions are conducive to promoting microbial contamination in the space.

The carbon dioxide parameter is used to document the air exchange in the space.  The air exchange is adequate when it controls carbon dioxide at acceptable limits.  This also means that incidental contaminants such as dust introduced into the space can be controlled below problematic levels for most individuals.  

If applicable EH&S will request that Physical Plant thoroughly clean the carpet. Carpet is known to harbor ""every allergen known to man.""  These allergens can be re-suspended in the air when individuals walk across the carpet. 
 
EH&S will also request that Physical Plant inspect the air handling system cleanliness and proper operation.  IAQ services are provided by EH&S at no cost to the requesting department.",http://www.usf.edu/administrative-services/environmental-health-safety/indoor-air/index.aspx,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 23:00:18,davidv@mail.usf.edu,2.0,Pursuing,899181.0,1204033.0,"The USFSP Office of Safety and Compliance investigates indoor air quality (IAQ) concerns of employees, students, contractors and other building occupants (leased property). Complaints lead to investigations which address health concerns, symptoms, and sensitivities related to indoor air quality. A formal report is prepared for all IAQ investigations and shared with concerned occupants. A corrective action plan, if needed, is included in the report and sent to the appropriate building contact, supervisor(s) or department head for implementation.

Furthermore, the Safety & Compliance office conducts an annual safety tour of all campus buildings with the exception of residential rental property, where annual inspections are conducted by USFSP Housing staff. The safety tour includes inspection for conditions that may impact indoor air quality.

Policy 8.1.5 of the USFSP Master Plan states: ""USFSP should implement a program for the monitoring of both indoor and outdoor air quality. Indoor sampling shall occur at chemistry laboratories, kitchens, and other sites where fumes are produced. Outdoor sampling sites shall include parking lots and congested intersections. Failure to meet air quality standards adopted by the State Department of Environmental Protection shall result in an assessment of the probable cause and the preparation and implementation of a plan to improve and maintain air quality.""

Lastly, the architectural guidelines in the USFSP Master Plan state: ""Architectural design for USFSP will allocate an agenda of sustainable design principles. The benefits of this practice will challenge the collaboration of the design process and deliver an accountable construction program. Technical performance projections need to be verified long after buildings are constructed. Sustainable design will not only save water and energy but will also administer a higher standard of indoor air quality. USFSP shall set a good example in the community by provision of healthy indoor environments for its students and faculty.""",--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:29,prestonj@utk.edu,2.0,Pursuing,15233655.0,15233655.0,"It shall be the policy of the University of Tennessee, Knoxville to provide a safety working environment for students, staff and faculty. Air monitoring is a recognized method to evaluate and characterize air contaminants that may impact the health of the university community.  Additionally, it shall be the policy of the University of Tennessee to provide a work environment that is safe and reasonably comfortable. Complaints involving indoor air quality shall be investigated to determine the cause and evaluate the risk (if any) to occupants. UT Knoxville faculty, staff and students may register IAQ complaints with Facilities Services or Environmental Health & Safety. The two departments work together to determine the cause of complaints, evaluate the risk (if any) to occupants, and where necessary take corrective action.",http://web.utk.edu/~ehss/pdf/iaqchm35.pdf,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:02:57,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:33,mtare@uta.edu,2.0,Pursuing,6517694.0,6517694.0,"Source control, building/zone pressurization, filtration, and ventilation-dilution are a few of the many methods utilized by UT Arlington to maintain excellent indoor air quality.

UT Arlington has recently upgraded most HVAC systems on campus with MERV 13 or better filtration, with most new HVAC installations also including UVG lighting for microbrial control.  In addition, UTA's work order system is operational continually to receive and respond to occupant comfort and IAQ complaints in timely fashion.",http://www.uta.edu/campus-ops/ehs/occupational/docs/iaq-program.pdf,--
University of Texas at Austin,2016-03-21,2016-03-21 16:14:57,jim.walker@austin.utexas.edu,2.0,Pursuing,22623133.0,22623133.0,"The office of Environmental Health and Safety (EHS) has the primary responsibility for indoor air quality issues throughout the institution- main campus and satellite locations. EHS has had a written Indoor Air Quality Plan since 2001 and the program is directed by a Certified Industrial Hygienist (CIH) with support from certified and licensed asbestos, lead paint and mold experts. Instruments are routinely used to measure volatile organic compounds, carbon monoxide, carbon dioxide, relative humidity, temperature, flammable vapors, airborne mold and particulates.
 
Indoor air quality (IAQ) complaints are registered through several mechanisms including the EHS website which has a “comments or concerns” link on the opening page. Other departments including Facilities have similar links as well as email and phone systems to report building problems for corrections and maintenance requests.
 
The Indoor Air Quality program varies depending on the type of building and the department responsible.
 
Housing and Food
New dorm residents are provided with Indoor Air Quality Information Sheet. Water-based paints and low VOC cleaners are used in dorms. Housing staff have their own certifications in Lead Abatement Project Designer, Lead Inspector, Lead Abatement Supervisor, Asbestos Inspector, Asbestos Individual Consultant, Mold Assessment Consultant. Housing complies with ASHRAE 62 standards for acceptable indoor air quality requirements and ASHRAE 55 standards, providing thermally comfortable environments that support the productivity and well‐being of dorm occupants.
 
Facilities Services
Preventive Maintenance monitor pressure drops and change HVAC air filters quarterly, as necessary. Facilities inspects and services motors and fans every 4 months. Coils are cleaned annually. All buildings have at least MERV-8 efficiency filters. Many buildings have direct digital control automation systems and these AC systems can be monitored and controlled. Direct digital controls are standard on all new buildings and included in major renovations.
 
Laboratories and Offices
In labs, EHS annually measures flow rates in chemical fume hoods. Before lab remodeling, testing is conducted for asbestos and lead. 
 
Custodial Services
Custodial Services uses high efficiency vacuum filters certified by the Carpet and Rug Institute and has reduced the number of cleaning chemicals from 260 to 27. Pest Control uses baits first for insects and if sprays are needed, gives MSDSs to occupants for approval and advanced notice first.
 
Project Management and Construction Services (PMCS)
Design and Construction Standards are used to prevent exposure to dust, exhaust, asbestos and lead by occupants during remodeling in buildings and new construction. Paint Shop uses low VOC water-based paints indoors. 
 
Non smoking Policy
Smoking is prohibited on University property.
",http://www.utexas.edu/safety/ehs/air/,--
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:06,thea.junt@utdallas.edu,2.0,Pursuing,5885695.0,5885695.0,"The University of Texas at Dallas has created a guiding policy for the
minimization of indoor air quality issues surrounding new construction/ remodeling/
renovation projects on campus or leased facilities. The policy framework adopted
relevant sections of the Voluntary Indoor Air Quality Guidelines for Government
Building issued by the Texas Department of Health, December 22, 2002.

Additionally, UT Dallas policy requires that all buildings are tobacco-free.  This policy was implemented in August 2012.

Building occupants contact Facilities Management or Environmental Health & Safety for IAQ concerns. The concerns are follow-up with active indoor air quality monitoring.

http://www.utdallas.edu/ehs/download/Indoor_Air_Quality_Policy.pdf",http://www.utdallas.edu/ehs/programs/safety/,http://www.utdallas.edu/tobaccofree/
University of Toledo,2016-03-25,2016-03-25 15:21:58,neil.tabor@utoledo.edu,2.0,Pursuing,7825067.0,7825067.0,"UT's indoor air quality program includes regular preventative measures, and monitoring by UT's Environmental Safety and Health team, as well as tradesmen who work in these buildings on a regular basis. All UT personnel have the ability to report any IAQ issues through our work order system when then dispatches an investigator to find and resolve the issue as outlined in the plan. This is a process that takes place within all indoor UT space.",https://www.utoledo.edu/depts/safety/docs/HM-08-034.pdf,--
