Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have an ongoing incentives program or programs that meet the criteria for this ...,"A brief description of the program(s), including positive outcomes during the previous three years",A brief description of the incentives that faculty members who participate in the program(s) receive,The website URL where information about the incentive program(s) is available,Public Notes
University of Colorado Boulder,2016-03-03,2016-03-03 07:50:09,dave.newport@colorado.edu,2.0,Pursuing,True," Environmental Center's Sustainable Practices Program offers non-credit classes and awards a certificate. Instructors are paid to develop these courses. Likewise, the Peak to Peak program trains campus faculty and incentivizes th einclusion of sustainablity content in curriculum.","Faculty that include sustainability in courses and participate in P2P are paid.
http://www.colorado.edu/academicaffairs/p2p.html",http://ecenter.colorado.edu/education/sustainable-practices,--
University of Colorado Colorado Springs,2016-03-23,2016-03-23 11:36:17,lkogan@uccs.edu,2.0,Pursuing,True,"As part of the new general education curriculum adopted by UCCS, the Provost's Office is supporting a Sustainability Director who will plan and facilitate workshops for faculty to develop sustainability courses across campus. The general education requirement that all students take at least one course relating to sustainability also serves as an incentive, since colleges and departments must now make sustainability courses available in order for their students to graduate.",The Sustainability Director receives a one-course offload; financial incentives are forthcoming (but not yet specified) from the Provost's Office to develop integrative sustainability courses.,http://www.uccs.edu/provost/compass-curriculum-approval-forms.html,"This is new as of spring 2014, so we are not yet able to describe outcomes from the program. To access relevant information from the URL posted above, click on ""Overview"" and scroll down to ""Sustainability Integrated Component."""
University of Connecticut,2016-03-25,2016-03-25 18:15:51,rich.miller@uconn.edu,2.0,Pursuing,True,"Environmental Literacy EPAC Workgroup

With approximately 22,000 students located at the UConn Storrs campus, the University of Connecticut is aware more than ever of its impact on the local environment and has therefore increased its efforts to educate students, faculty, and staff regarding their daily impact upon important natural resources. To further these efforts, the Environmental Literacy Workgroup strives to identify areas of improvement in environmental awareness and education, as well as to advertise and promote environmental leadership and outreach throughout the UConn community. By promoting new academic courses, hosting environmental speakers series and ""green"" career panels, and developing environmental outreach and education events, we continue to advance environmental stewardship and progress at UConn.
","Sustainability is one of only three areas specifically mentioned in the Academic Plan, providing institutional support and resource allocation that is targeted towards the development of programs related to sustainability. 

This workgroup participated in the Climate Change Adaptation task force, which drafted an amendment to the University Climate Action Plan that specifically addresses the need to focus institutional resources on sustainability-related research, which the University President signed on March 26, 2012.

http://www.ecohusky.uconn.edu/docs/climate/Adaptation%20narrative.pdf

This group also has been working for the past 3 years to create an undergraduate major in Environmental Studies, to complement our existing Environmental Science program. This major was implemented incrementally, starting in September, 2012, and is targeted towards students who wish to pursue careers in environmental policy making. 

Incentives for sustainable building technology are also being written into existing plans for new construction projects via interdisciplinary collaboration during the planning phase. For example, the use of the new Depot Campus fuel cell as a microgrid research station was designed into its siting and installation; and the new Biotech Park project has $172 million earmarked for sustainable design, including a state-of-the art human-centered smart building research project. Members of the teams pursuing this research were included in the Environmental Policy Advisory Committee workgroups, permitting the vision of the lead scientists, philosophers, and researchers to have their vision translated into action items for the university. 

",http://ecohusky.uconn.edu/outreach/,--
University of Denver,2016-02-26,2016-02-26 12:38:15,chad.king@du.edu,2.0,Pursuing,True,The University supports a Center for Community Engagement and Service Learning (CCESL) with five full-time staff members. Goals of the center include 1) supporting faculty in community-based learning and public good efforts at the university and 2) developing students into engaged citizens who actively participate in the public life of their communities.,"CCESL supports the development of creating sustainability courses by providing stipends, mini-grants and administrative support to assist faculty in:
- developing new course syllabi which include service-learning components;
- purchasing books, journals and print material related to community-based learning;
- creating assessment models and evaluation practices of community-based learning courses.
",http://www.du.edu/ccesl/,"The University of Denver hopes to develop similar initiatives and incentives in other areas of sustainability beyond service learning and community engagement. While the work of this office has been admirable, the University realizes that this office's mission does not encompass all aspects of the definition of sustainability in the curriculum."
University of Florida,2016-03-23,2016-03-23 09:06:47,miwilliams@ufl.edu,2.0,Pursuing,True,"UF has hosted the Prairie Project Workshop for curriculum development training for faculty and advanced graduate students since 2010.  In addition to members of the UF community, the workshop also includes faculty from Santa Fe College which is also located in Gainesville.  Initially participants received a direct monetary stipend for participation and subsequent implementation of a course with sustainability content.  After the first year stipends were not provided.  This past year a book stipend was reintroduced as an incentive for participants.","Faculty members receive a stipend for attending the workshop, and additional funds to use during the next school year to implement sustainability within a course or sharing their experience with colleagues in their college or departments.
",http://sustainable.ufl.edu/academics-research/curriculum-development/,--
University of Houston,2016-03-23,2016-03-23 17:22:15,smkelly5@central.uh.edu,2.0,Pursuing,True,"Part of the UH Energy Initiative strategic focus is a dedication to the development of new courses relating to sustainability, alternative energy sources, and grid power. The Energy Initiative is an integrative system-wide effort, offering support to participating faculty through various means. For example, Dr. Kairn Klieman is presently developing the graduate certificate in global energy development and sustainability as part of this initiative. As a co-director of the program, she is offered direct support to develop courses including departmental leave, summer pay for curriculum development, and compensation; she is also fostering further course development across the campus. 

Dr. Klieman is given an extra stipend by the institution to hold a reading group focused on energy and society. Ten faculty members from the College of Liberal Arts and Social Sciences are given a $250 monthly stipend and free books as incentives to take part. As a result, new courses are soon to be developed with the mission to foster more collaboration between traditional energy disciplines and the humanities. One course presently in development is ""Women and Energy"", which examines how women are affected by the energy sector in the Middle East.

An example of already implemented curriculum as a result of the Energy Initiative can be found in the  Undergraduate Program section of STARS under energy and sustainability minor. 

Additionally, the University of Houston department of Faculty and Departmental Instructional Support (FDIS) has an ongoing grant award process known as the Teaching Innovation Program (TIP) geared specifically to foster innovative approaches to teaching, course development, and course sustainability. Guided by the FDIS commitment to innovative practices, the majority of awards go to courses that foster interdisciplinary collaboration, new technology to allow for better and more accessible distance education, and the flipped course model. 

New courses, and even minors, have already grown from the awards granted by TIP. Examples of awards relating to sustainability include: the innovative flipped courses for the interdisciplinary food and society minor, iPad curriculum equipping students for success in the new media environment (paperless course), flipped STEM coursework with ICS videos, and art history hybrid courses through app and web development (developing a free visual database of humanity-related art).","Funds for online teaching equipment: computers, projectors, iPads, etc. 
Summer pay for curriculum development
Stipends to organize sustainability reading groups
Stipends to take part in sustainability reading groups
Budgeted pay to hire and train co-directors of new programs
Leave from department duties to develop new course materials
Positive priority press coverage of new courses and programs ",http://www.uh.edu/uh-energy/,"UH Energy Initiative Magazine: http://www.uh.edu/uh-energy/files/ENERGY_Fall%20Magazine.pdf

FDIS Innovation Grants: http://www.uh.edu/fdis/innovation/

Energy and Sustainability Minor: http://www.uh.edu/uh-energy/educational-programs/undergraduate/energy-sustainability-minor/"
University of Illinois at Chicago,2016-02-12,2016-02-12 17:23:55,Cindy@uic.edu,2.0,Not Pursuing,--,--,--,--,--
"University of Illinois, Urbana-Champaign",2016-03-23,2016-03-23 09:19:58,spauldng@illinois.edu,2.0,In Progress,--,--,--,--,--
University of Louisville,2016-02-13,2016-02-13 03:03:03,justin.mog@louisville.edu,2.0,Pursuing,True,"Green Threads: Sustainability across the Curriculum is a faculty development workshop, sponsored by UofL’s Sustainability Council and the Office of the Provost which has been run annually since 2009. The intention is to infuse themes of sustainability across the curriculum and is open to full- & part-time faculty as well as Graduate Teaching Assistant Academy participants from all disciplines. Participants receive inspiration, resources, and mutual support. Incentives also include an honorarium of $500, a series of workshops and tours with local food meals, and resource materials on sustainability. In return, Green Threads participants are required to revise an existing course or create a new course with sustainability content and must agree to: (1) Participate in the day-long workshop; (2) Read materials prior to the workshop; (3) Submit a syllabus for the revised or new course and a paragraph on the intellectual process involved; and    (4)  Report back to the group on progress during a Fall gathering of all Green Threads alumni.

A 2015 survey of Green Threads faculty alumni documented the following positive outcomes: 
Total number of Green Threads program participants: 47
Departmental Breakdown of Participants:
Communication	2
Economics and Business	 2
Psychological & Brain Sciences 	2
Anthropology	3
Education	 2
Social Work	1
Health & Sports Sciences	 3
Law	3
Other Social Sciences	 3
Biology	4
Geography & Geosciences	4
Math and Engineering	5 
Humanities	6
Political Science / Urban & Public Affairs	7

Number of survey participants: 18
Number of Sustainability-Focused or Related courses taught prior to GT participation: 21
Number of Sustainability-Focused or Related courses taught after to GT participation: 36","Participants receive an honorarium of $500, a series of workshops and tours with local food meals, and resource materials on sustainability.",http://louisville.edu/sustainability/education-research/green-threads.html,--
"University of Maryland, College Park",2016-03-23,2016-03-23 15:56:48,sdeleon@umd.edu,2.0,Pursuing,True,"The Chesapeake Project is an initiative to integrate sustainability across the curriculum of the University of Maryland. Central to the project is a two-day workshop where participants learn about core concepts of environmental, economic, and social sustainability and explore unique ways of integrating sustainability into their existing courses across all academic disciplines.",Each professor receives a $500 stipend for attending the workshop and submitting a written description of how they will integrate sustainability into at least one course they teach during the following academic year.,http://www.sustainability.umd.edu/content/curriculum/chesapeake_project.php,--
University of Massachusetts Amherst,2015-12-17,2015-12-17 14:45:39,esmall@facil.umass.edu,2.0,Pursuing,True,"Both the College of Natural Sciences and the Library have mini-grant programs for faculty who want to develop courses related to sustainability.  The purpose of the College of Natural Sciences (CNS)' mini-grant program is to provide funds to CNS faculty who wish to pursue opportunities to increase their effectiveness as a researcher or instructor. The goal of the program is to improve the quality of research and teaching within the College.  The Library, in partnership with the Center for Teaching and Faculty Development has developed a Sustainability Curriculum Initiative, now in its third year (2014/15).","Small curriculum development grants, typically ranging from $1000 to $1500, are awarded on a competitive basis for proposals supporting the stated purpose and goal. ",http://www.cns.umass.edu/faculty/cns-teaching-mini-grants,"Details on the Library Sustainability Curriculum Initiative mini-grant process:
http://www.library.umass.edu/about-the-libraries/news/press-releases-2013/sustainability-grants/
"
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:33:17,Tyler_Arrigo@uml.edu,2.0,Pursuing,--,NA,NA,--,--
University of Michigan,2016-01-11,2016-01-11 15:37:49,ahorning@umich.edu,2.0,Pursuing,True,"The University of Michigan's Graham Sustainability Institute has an incentive program to fund field-based sustainability-focused courses for undergraduates.  Interested faculty can submit proposals for new courses including a syllabus and proposed budget. Positive outcomes in the past three years have included the successful development of new sustainability-focused courses in Kenya, Wyoming (U.S.A.), Detroit, China and Ghana.","Proposals are reviewed and funding will be provided if they are accepted.  Funds are typically used to offset the additional costs of the field experience compared to a classroom course, thus lowering the barrier to entry for students to engage in these experiences.  The funds can also be used to compensate faculty for the additional time that field-based courses require.",http://graham.umich.edu/learning/course-support,--
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:23,mgranley@d.umn.edu,2.0,Not Pursuing,--,--,--,--,--
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:29:05,good0044@morris.umn.edu,2.0,Pursuing,True,"Yes, we provide grant funds for faculty to develop new sustainability-related courses via the Educational Development Program (EDP). Our mission and vision reflect our desire to grow the number of sustainability-related courses we offer. This aspiration has produced an increasing number of courses and creative work in this area. Our environmental studies program is multi-disciplinary and is actively working to add courses and colleagues to the program. 

","Grant awards may range up to $3,000 per proposal. It is expected that salary will be the dominant budget item in EDP proposals.",http://www.morris.umn.edu/services/acad_affairs/EDP_Request_Memo_10-17-14.pdf,--
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:47,stennes@umn.edu,2.0,Pursuing,True,"IonE Mini Grants are intended to spur new collaborative efforts by providing small amounts of funding, administrative and logistical support and space to interdisciplinary groups of faculty, staff and students from across the University system.

Valentine Cadieux, College of Liberal Arts
Cadieux will create a platform for building continuity and capacity around publicly engaged teaching and research on food and society at the University.

Matteo Convertino, School of Public Health
Convertino will identify common epidemiological, social and environmental processes that are physically and functionally responsible for the occurrence of communicable and non-communicable syndemics in socio-ecological systems.

Tian He, College of Science and Engineering
He will conduct environmental crowd-sensing data in a Chinese metropolitan area, collected for environmental application from roving taxicabs. 

Kathryn A. Milun, College of Sociology and Anthropology, UMD
Milun will develop a business plan and demonstration project to take advantage of a new Minnesota law that enables communities to purchase solar power from solar arrays owned by investors or co-ops.

Robert W. Sterner, College of Biological Sciences
Sterner will develop the first community-level anaerobic digestion system in the country for use in converting organic solid waste to heat, electricity and compost in a St. Louis Park neighborhood. 

","IonE Mini Grants help spur new collaborations by providing small amounts of funding (from $500 to $3,000, with average grants of $1,500), administrative support (including organizing and staffing meetings) and space (for meetings, small conferences, new courses, reading groups, etc.) to interdisciplinary groups of faculty, staff and students from across the University of Minnesota system. The grants are meant to encourage collaboration across disciplines, units and campuses.",http://environment.umn.edu/fellowships-grants/,--
University of Missouri,2015-05-01,2015-05-01 15:34:28,raghavans@missouri.edu,2.0,Pursuing,True,"Mizzou Advantage is a program designed by University of Missouri faculty, students and alumni working together to identify competitive assets that set MU apart from other universities. These assets underlie five dynamic initiatives that collectively are called the Mizzou Advantage.  They include:
*Food for the Future 
*Media of the Future 
*The Convergence of Human and Animal Health 
*Sustainable Energy 
*Understanding and Managing Disruptive and Transformational Technologies 

Mizzou Advantage encourages developing new sustainability educational courses related to these five initiatives.

For example: 

Students involved in the Food for the Future initiative will capitalize on MU's strengths in plant and animal sciences; food safety and biosecurity; local food systems; food and health research; and food-related topics in the arts, humanities, and social sciences. 

With faculty from 40 departments teaching courses related to the environment and sustainability, and the Sustain Mizzou student group coordinating sustainability projects, the Sustainable Energy initiative offers students opportunities to learn about and develop new green technologies like biofuels and nuclear power. ","Developing sustainability courses through the Mizzou Advantage program allows faculty members access to Mizzou Advantage grants and fundraising provided by both the University and by outside collaborators.  This funding can be used for books, class affiliated trips, guest speakers, etc.",http://www.missouri.edu/mizzou-advantage/,--
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:32,johnstonrk@umkc.edu,2.0,Pursuing,True,"The University of Missouri System is providing funding to encourage faculty members to share their expertise with other UM campuses. The initiative is designed to encourage the sharing of courses among the four UM campuses to increase options for students, provide opportunities for faculty development leaves, or even expand departmental offerings.  In the past, one of the major barriers to sharing courses has been that when students from one campus take courses from another UM campus, the home campus loses tuition fees.  Based on the work at other universities, this initiative is designed to promote course sharing and collaborative programs and overcome that barrier.","Grants will be awarded to develop and offer “shared courses” where courses are available to students on at least one other UM campus.  The courses could be delivered through conferencing software (e.g. Adobe Connect, WebEx), as a blended or hybrid class, a fully online class, or through other similar methods.  A total of $250,000 is available and awards will be made in the spring of 2014.  Proposals will be funded for up to $10,000* per course.  Preference will be given to proposals that tie multiple courses together that can be shared across at least two campuses – thus increasing the overall impact.To promote the cross-campus course sharing, UM Academic Affairs will provide an incentive of $300 to the host campus for each student who enrolls in the course from another UM campus.  For example, if UMKC offers a course that has capacity of 20 students and only 10 UMKC students enroll, but five enroll from other UM campuses, the UMKC campus would get an additional $1,500.  This arrangement would provide incentives for campuses to offer courses in the “cooperative” and share courses with the other campuses.  While the campuses will likely have different policies on how these incentive funds are distributed – some of the incentive funding should go to the faculty member teaching the course that is shared.",http://info.umkc.edu/umatters/2014/02/03/grant-funding-to-expand-course-sharing-through-university-of-missouri-system/,--
University of Mount Union,2016-01-13,2016-01-13 13:05:41,mcclauca@mountunion.edu,2.0,Pursuing,True,"The University provides professional development training and support for developing courses particularly in our new Integrated Core (General Studies)Curriculum,  Faculty members have been assigned to the task of providing support for those interested in developing courses.  At the recent Spring Faculty Conference about 40% of our faculty participated voluntarily is a series of session that include incorporating sustainability into the curriculum diversity issues, and interdisciplinary teaching,","Positive consideration for promotion and tenure
Funds for professional development
Free meals",--,The new Integrated Core curriculum is providing us with many opportunities to include sustainability in our teaching.  The inclusion of THEMES (paired classes from different disciplines that are approaching the same issue from different perspectives)
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:45:13,pshrestha3@unl.edu,2.0,Not Pursuing,--,--,--,--,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:48,slburke@unomaha.edu,2.0,Not Pursuing,--,--,--,--,--
University of New Hampshire,2016-03-25,2016-03-25 21:55:24,colleen.flaherty@unh.edu,2.0,In Progress,--,--,--,--,--
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:58:12,cpshea@fac.unc.edu,2.0,Pursuing,True,"Course development grants for water-related courses with global content, especially in schools and departments that currently lack such a focus. ","Fundng of $2,500-$4,000 per course ",http://cgi.unc.edu/awards/curriculum-development,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:34,cgcarwei@uncg.edu,2.0,Pursuing,True,"In AY 2013-14 the newly-appointed Academic Sustainability Coordinator held two Sustainability in the Curriculum Workshops for Faculty (August 12-13, 2013, and January 8-9, 2014).  
The goals of these workshops are:
	1) to increase the number of new and existing sustainability courses at UNCG,
	2) to improve the quality of sustainability education at UNCG, and
	3) to strengthen the community of scholars and teachers involved in sustainability education at UNCG.
Circa one dozen participating faculty submit syllabi in advance, participate in the 2-day workshop, and submit revised syllabi by the end of the calendar year.  The workshop is organized by UNCG Academic Sustainability Coordinator in collaboration with UNCG faculty and staff and the UNCG FTLC.  ","In addition to all meals and snacks, and the camaraderie and edification, faculty participants receive add pay of $250 if they successfully complete the workshop and submit a new or revised syllabus.
",http://ure.uncg.edu/prod/cweekly/2013/11/19/sustainabilityinthecurriculum/,--
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:46,pohlmank@uncw.edu,2.0,Not Pursuing,--,--,--,--,--
University of Oregon,2016-03-23,2016-03-23 11:03:41,smital@uoregon.edu,2.0,In Progress,--,--,--,--,--
University of Pittsburgh,2016-03-24,2016-03-24 13:00:32,lwzfm1@pitt.edu,2.0,Not Pursuing,--,--,--,--,--
University of Richmond,2016-02-17,2016-02-17 15:17:51,randreje@richmond.edu,2.0,Pursuing,True,"The River City Project is a faculty development program modeled after the Piedmont and Ponderosa Projects that aims to integrate sustainability into the curriculum across all disciplines. During a two day workshop, core concepts of sustainability, including ecological limits, systems thinking, environmental impacts, and the triple bottom line, are introduced. Participants are guided through the process of linking these ideas to a course they teach and modifying the syllabus to include sustainability. The ""River City Project"" name was inspired by the network of universities that have established similar programs, starting with the Piedmont Project at Emory University and the Ponderosa Project at Northern Arizona University. The name also reflects a goal to have participants link their courses to the unique geographical and environmental features of Richmond and Virginia. 

Following the two-day workshop, faculty submit a modified course syllabus that clearly demonstrates the integration of sustainability content into the course. Sustainability content ranges from one class session to a thematic approach to the whole semester. At the end of the semester, each faculty participant writes a reflective narrative on the experience at the conclusion of teaching the course. 

More than twenty courses have been adapted since the start of this program.

In addition to the River City Project, Faculty Learning Communities the Office of the Provost supports Faculty Learning Communities from across the University of Richmond’s five schools to provide opportunities for faculty to come together to share and develop ideas. Each Faculty Learning Community (FLC) encourages cross-program, cross-department, and cross-school interdisciplinary engagement with projects that are germane to the institution’s mission and the greater good of the University, the City of Richmond, the nation, and the world. Each FLC cohort engages in collaborative year-long projects that reflect the breadth and depth of UR faculty and staff commitment to both producing and expanding the frontiers of knowledge and education for the common good. In the inaugural year of this program, there is a climate change FLC, one on human rights, and another on critical diversity in higher education. ","Each River City Program recipient who agrees to modify their course content, submit a revised syllabus, and draft a reflective narrative upon course completion receives a $1,000 stipend.  The stipend is processed when the faculty member submits his or her syllabus at the beginning of the semester in which the revised/new course is taught. ",http://sustainability.richmond.edu/academics/river-city/,--
University of South Carolina,2016-02-29,2016-02-29 17:11:56,KOPPAN@mailbox.sc.edu,2.0,Pursuing,True,"1. The Office of Sustainability's Curriculum Committee hosts an annual Sustainability Across the Curriculum workshop. This workshop introduces faculty audience members to nine ways to include sustainability within coursework, and allows for time to assist faculty members in brainstorming revisions to existing curriculum to create sustainability-related modules.  Participation in the workshop allows faculty to enter a competitive application process for a Sustainability Curriculum Award.  

In 2014-15, new course content included:

-Marketing research assignments focusing on sustainable consumption behavior 
-Development of a curriculum working group within the College of Social Work (CoSW) to achieve goal of 100% inclusion of ecological justice perspectives within CoSW courses
-Development of apparel life cycle analysis and worker rights dicussions within Knitting and Philosophy course
-Introduction to sustainability modules within two sections of university's introductory U101 courses

15 Sustainability Curriculum Awards have been given in the last three years.

USC Connect offers Integrative Learning grants for faculty members helping students connect what they learn in the classroom to beyond-the-classroom experiences applied for grants of $500 - $3,500 to develop instructional materials or pedagogical strategies that help students meaningfully connect theory and practice in ways that reinforce course learning outcomes. Three grants were given to faculty for the development of sustainability components  in 2014-15. Positive outcomes include:

-series of field trips to SC-based green technology companies in a Languages, Literature, and Culture course focused on germany and green technology development
-class assignments focused on bicycle safety and literacy through Mass Communications and Information Studies course (http://www.sc.edu/about/offices_and_divisions/cte/about/news/cocky_pedals_literacy.php)
-development of environmental film class within Film and Media Studies","Participation in UofSC's Sustainability Across the Curriculum workshop allows faculty to enter a competitive application process for a Sustainability Curriculum Award of up to $1000 to develop new and/or redesigned courses including sustainability.  Limited Funding is also provided for faculty to receive training, develop new programs and implement projects from the Office of Sustainability.  

USC Connect offers Integrative Learning grants for faculty members helping students connect what they learn in the classroom to beyond-the-classroom experiences applied for grants of $500 - $3,500 to develop instructional materials or pedagogical strategies that help students meaningfully connect theory and practice in ways that reinforce course learning outcomes.
",http://www.sc.edu/about/offices_and_divisions/cte/grants/integrative_learning_spring_2015.php,--
University of South Florida,2016-02-26,2016-02-26 13:29:52,sustainability@usf.edu,2.0,Pursuing,True,"The Academy for Teaching and Learning Excellence (ATLE) serves full-time faculty, adjunct instructors, and graduate teaching assistants on the USF Tampa campus in a multitude of was including teaching incentives, workshops and a new learning community:

Groups of faculty can work on specific topics in pedagogy and course design through Faculty Learning Communities (FLCs).  FLCs are cross-disciplinary groups of faculty ""who engage in an active, collaborative, yearlong program with a curriculum about enhancing teaching and learning with frequent seminars and activities that provide learning, development, the scholarship of teaching, and community building."" 


Faculty may wish to consult several online resources to situate themselves to teaching at USF:
• Instructional Resource Guide
• Teaching Essentials: A self-paced online ""course"" discussing best practices
• Information about creating a teaching video for the Undergraduate Teaching Awards at USF.

In addition to the services ATLE provides, faculty may be interested in these other opportunities: 
• Faculty Fellows
• Faculty Liaisons
• Faculty Book Club
• Tech Camp
• Summer Institute
• Outstanding Undergraduate Teaching Award","Whether Faculty are interested in altering a small section of your class or the entire curriculum, the Academy for Teaching and Learning Excellence (ATLE) can help. They are happy to consult with faculty members regarding many topics:
    • Revising course objectives (and everything else that must change as a result)
    • Converting the class to be partly online (fully online course conversions should work with Innovative Education)
    • Adding a new dimension, such as an international or global perspective
    • Incorporating a service-learning component
    • Changing assessment methods
    • Experimenting with alternate modes of content delivery and/or new technologies",http://www.usf.edu/atle/faculty/full-time-faculty.aspx,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 23:01:06,davidv@mail.usf.edu,2.0,Not Pursuing,--,--,--,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:38,prestonj@utk.edu,2.0,Pursuing,True,"Smart communities are strategic, purposeful, and resourceful. They are driven by long-term commitments to safeguard their natural resources and economic opportunities for future generations, and are characterized by a deep commitment to preserving the beauty, vitality, and equity of the region. The Smart Communities Service-Learning Program, encourages faculty to create courses that engage students in solving real sustainability (environmental, social and economic) issues in their local community. Some examples of recent courses developed under this program include a nursing course that partnered students with local agencies for health promotion and maintenance in the community, and students working with the city of Cleveland, TN dedicated to finding long-term solutions to area challenges such as jobs, housing, city infrastructure, transportation, environment, and health there.","UT Service-Learning offers a range of resources and support services for faculty members, including individual consultations, group trainings, assistance with student placements, processing of student insurance payments, and customized pre-service trainings for your students. Since our work intersects with a number of other campus offices who work with students, faculty, or community partners, we also welcome opportunities to collaborate with these offices to better meet your needs.",http://servicelearning.utk.edu/smart-communities-initiative/what-is-a-smart-community/,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:03:06,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:42,mtare@uta.edu,2.0,Pursuing,True,"The University Sustainability Committee awards Faculty Fellowships on Sustainability in the Curriculum. The Committee’s Working Group on Curriculum, Research and Community Engagement evaluates applications from faculty to support the integration of teaching on sustainability into courses that they teach. 

Faculty Fellowships are awarded to support development of modules on sustainability for existing courses, laboratory exercises, service learning exercises, field trips, development of new courses, or development of other curriculum products. Dissemination of products via scholarly publications or other venues is encouraged but not required. Tenured and tenure-track faculty as well as Lecturers are eligible for awards. Two to three awards per year are made.

","Faculty Fellowships in the amount of $2,000 - $5,000 for one semester are awarded. Funds may be used as a salary supplement for the Fellow, to support purchase or production of materials and resources, development of service learning projects, attending relevant conferences or workshops, conducting evaluations or surveys that support the curricular activity, or other relevant expenses. 

",http://www.uta.edu/sustainability/academicsResearch/index.php,--
University of Texas at Austin,2016-03-21,2016-03-21 16:15:06,jim.walker@austin.utexas.edu,2.0,Pursuing,True,"UT Austin's Center for the Core Curriculum, Sanger Learning Center, and Office of Sustainability have partnered to create the Sustainability Course Development and PLUS Awards program, which is funded by the Green Fee.  The program runs an annual competition for the development of new courses or course conversions to a Peer-Led Undergraduate Studying (PLUS) model. To be eligible for either award, a course must address issues related to sustainability and fulfill the requirements for one or more of the university's flags (Writing, Quantitative Reasoning, Ethics and Leadership, Global Cultures, Cultural Diversity in the US, and Independent Inquiry; https://www.utexas.edu/ugs/ccc/flags).  

For the new course development competition, the course must:
-- Be a course that has never been previously taught.
-- Incorporate sustainability as a distinct and significant course component/module OR concentrate on a single sustainability principle or issue throughout the course.
-- Integrate the sustainability component with one or more flags (Writing, Quantitative Reasoning, Ethics and Leadership, Global Cultures, Cultural Diversity in the US, Independent Inquiry).
-- Be offered at least three times. Preference will be given to courses that are designed to be a regular part of the department’s course offerings.

The PLUS program is designed to enhance undergraduate student learning by providing a framework for peer course support. Since 2003, PLUS has successfully optimized UT undergraduate courses by providing training and other resources to volunteer study group leaders, who facilitate discussions and practice sessions related to course content. In addition, each PLUS-supported course features one Senior Preceptor who, under the guidance and support of the professor and the SLC, oversees student-led study groups and other course-related activities.

For a PLUS conversion course, the proposed course must:
--  Incorporate sustainability as a distinct and significant course component/module OR concentrate on a single sustainability principle or issue throughout the course.
-- Integrate the sustainability component with one or more flags (Writing, Quantitative Reasoning, Ethics and Leadership, Global Cultures, Cultural Diversity in the US, Independent Inquiry).
-- Feature student-led activities.
","Each year, three $6000 awards are available for new courses; $5000 is award to the instructor and $1000 is awarded to the department. 

Each year, five $1500 awards are available for course conversions to a PLUS-supported course; $1000 goes to the student senior preceptor and $500 is offered for course-related expenses. 
",https://www.utexas.edu/ugs/ccc/teaching-resources/funding,--
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:15,thea.junt@utdallas.edu,2.0,Not Pursuing,--,--,--,--,--
University of Toledo,2016-03-25,2016-03-25 15:22:48,neil.tabor@utoledo.edu,2.0,Not Pursuing,--,--,--,--,--
University of Virginia,2015-12-11,2015-12-11 14:06:00,art2k@Virginia.edu,2.0,Pursuing,--,,,http://www.virginia.edu/provost/public/courses.html,"With the loss of the Academic Community Engagement (ACE) grant program, there are currently no incentives for developing sustainability courses. The Teaching and Research Subcommittee of the University Committee on Sustainability is currently investigating a new incentive program."
University of Winnipeg,2016-01-13,2016-01-13 14:37:00,a.lajoie-omalley@uwinnipeg.ca,2.0,Not Pursuing,--,--,--,--,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:59,fermanij@uwgb.edu,2.0,Pursuing,True,"With the inclusion of sustainability as a requirement in the general education curriculum beginning in Fall 2014, funding was available to faculty interested in adapting their courses to the new GenEd requirements, including bringing in sustainability modules. Because this program is still new and classes will be delivered beginning Fall 2014, outcomes are still to be determined. 

In addition, a faculty development workshop was held in August 2014 for faculty interested in including a sustainability topic into an already existing course. 22 faculty attended. ","$1,000 funding - course development

$250 - faculty development workshop",--,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:35:24,knelson6@uwm.edu,2.0,In Progress,--,--,--,--,--
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:42:11,kermathb@uwosh.edu,2.0,Not Pursuing,--,--,--,--,--
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:16:16,seebotha@uwplatt.edu,2.0,Not Pursuing,--,--,--,--,"Evan Larson applied for a CIF grant in 2014 to implement these types of incentives, but the grant was not awarded. "
