Institution,Date Submitted,Last Updated,Liason Email,Version,Status,The percentage of entering students that are provided an opportunity to participate in orientation ...,A brief description of how sustainability is included prominently in new student orientation,The website URL where information about sustainability in student orientation is available,Public Notes
University of Connecticut,2016-03-25,2016-03-25 18:14:11,rich.miller@uconn.edu,2.0,Pursuing,100.0," This year, the UConn Co-Op participated in an LED desk lamp giveaway for all incoming students, funded by UConn's energy provider, Eversource Energy. Students were given free LED desklamps and handouts outlining the environmental benefits of LED vs. Incandescent/CFL bulbs in addition to information on campus sustainability at UConn.    https://uconnoep.wordpress.com/2015/09/04/a-bright-idea-from-uconn-and-eversource/     Furthermore, Dining Services gave out reusable water bottles to all first-year students. Also held in the beginning of the semester is the school involvement fair which helps students get involved on campus. The involvement fair is UConn’s largest free event open to all students, faculty, and staff. Over 350 student organizations and university programs participate in the fair held on Fairfield Way, the heart of campus. A section of the fair is dedicated to environmental groups on campus. Many clubs and organizations such as EcoHusky, Office of Environmental Policy, and Spring Valley Student Farm table in this area to introduce students to environmental issues and ways to get involved.  The EcoHusky homepage and facebook page contain a large amount of sustainability information and resources for new students. 

Additionally, in the late spring, the Director and the Sustainability Coordinators of the Office of Environmental Policy train University Orientation leaders on sustainability activities and green campus features for the orientation program, including the walking tour of the campus. As part of the tour, the students and parents stop in front of a sustainability wall mural (near the model dorm room) that gives an overview of campus sustainability initiatives and programs.  https://www.flickr.com/photos/59650600@N07/sets/72157628029670804/with/6303350632/   Additionally, the wall has become a feature on the campus tour, as it is located near McMahon dining hall, which was recently certified LEED-gold. The dining hall’s LEED features (along with the several other LEED certified buildings on campus) are also discussed with incoming students and their parents. ",http://www.ecohusky.uconn.edu/ecohusky/resources.html,"New students can also learn about campus sustainability efforts by visiting the EcoHusky or EcoHouse tables at the Student Activities Fair, which usually occurs during the first month of the fall semester. The EcoHusky homepage and facebook page contain a large amount of sustainability information and resources for new students.  
"
University of Denver,2016-02-26,2016-02-26 12:38:04,chad.king@du.edu,2.0,Not Pursuing,--,--,--,--
University of Florida,2016-03-23,2016-03-23 09:05:49,miwilliams@ufl.edu,2.0,Pursuing,100.0,"Orientation reduces waste at meals by using reusable plates, silverware, and bags. Recycling is provided for single-serve beverages at lunch. Dinner is at a trayless dining hall, offering local food. Vegetarian and vegan options are available throughout. 

The Office of Sustainability outreach tool, the ""sustainability hut"" interacts with students and parents as part of the resource fair and campus sustainability features are mentioned on the campus tour. 	

Students receive a flash drive of information in place of flyers, including a pdf about sustainability at UF and how to get involved.


Each student receives a refillable bottle and a Green Guide upon moving into the residence halls. RA's have resources to promote sustainability throughout the year and each residence hall has at least one Eco-Rep. The Common Reading Book relates to sustainability issues (this year it's The Boy Who Harnessed the Wind). The Office of Sustainability partners with New Student Programs on speakers series and volunteer opportunities throughout the year- including Gator Plunge, and Make a Difference Day- two campus wide service events. A section of our freshman experience course, SLS1102-First Year Florida, is themed on sustainability. 

",--,--
University of Houston,2016-03-23,2016-03-23 17:21:14,smkelly5@central.uh.edu,2.0,Pursuing,100.0,"The Office of Sustainability attends resource fairs and presents sustainability information at all new student orientations, transfer student orientations, the graduate student and professional fair. and the law center student orientation, among other orientation fairs directed to employees and faculty. In addition, the Office of Sustainability is prominently featured at the new student orientation conferences by hosting an interactive presentation to all new students. In 2014, a general sustainability video was shown at this conference, which defined sustainability, highlighted on-campus sustainability initiatives like academics, research, recycling, gardening, volunteer opportunities, renewable energy and more. In 2015, the Sustainability Program Manager introduced a new, engaging format to spark behavior change and student interest in sustainability.

Sustainable items are given to new students like reusable totes, drawstring bags, bottles and more.",http://www.uh.edu/sustainability/outreach-and-events/,--
University of Illinois at Chicago,2016-02-12,2016-02-12 17:23:45,Cindy@uic.edu,2.0,Pursuing,100.0,"The Office of Sustainability participates in new student orientation by providing educational information on sustainability in higher education.  An education presentation is provided to the students with information on climate change, green house gas emissions, UIC's Climate Action Plan, and efforts students can take to help make better sustainability choices.  The presentation also informs students of the role of the Office of Sustainability and ways to get involved, either through volunteer efforts, internships, or committee memberships. The Office of Sustainability also provides bookmarks with a sustainability facts and a website link, campus bike maps, and how to bike in the city booklets to be included in the materials students get at orientation. 

The Office of Sustainability also provides entering students an opportunity to participate in sustainability related programming through the UIC Involvements Fair.  The Involvements Fair occurs at the beginning of both the Fall and Spring semesters.  The purposes is to gather over 200 student organizations and departments, including the Office of Sustainability to inform and engage new, entering students. The Office of Sustainability offers entering students information on campus sustainability initiatives, volunteer opportunities, and involvement opportunities, such as joing one of our sustainability focused committees on campus. 

In addition, the Office of Sustainability participated in Market Place - an information fair that took place at each of the over 20 orientation days held over the summer.  This included tabling the events so students could learn more about sustainability at the University and sign up for our bi-weekly sustainability newsletter, Greenlights, as well as sign up for volunteer opportunities with the Office of Sustainability.",--,--
"University of Illinois, Urbana-Champaign",2016-03-23,2016-03-23 09:19:02,spauldng@illinois.edu,2.0,Pursuing,100.0,"Campus holds a resource fair on the day before school starts and the Institute for Sustainability, Energy, and Environment has a booth and works to educate new students about sustainability on campus and the many ways they can become involved.   In addition, early in the school year, an environmental resource fair is held to inform students about opportunities.",http://sustainability.illinois.edu/outreach/annual-events-conferences/,--
University of Louisville,2016-02-13,2016-02-13 03:02:52,justin.mog@louisville.edu,2.0,Pursuing,100.0,"New student orientation is an extended, multi-phase process at UofL. Beginning in 2010, the Sustainability Council has worked closely each year with Admissions and the Office of First-Year Initiatives to integrate sustainability into the orientation process with the following elements:

Sustainability in Summer Orientation (two-day, mandatory sessions offered multiple times throughout the summer):
• In-person training is provided by UofL’s sustainability coordinator for all Student Orientation Staff (SOSers) on the principles of sustainability, UofL’s commitment to sustainability, and ways students can contribute and engage. 
• Orientation staff receive a one-page hand-out covering 10 key points about UofL sustainability, and a list of campus groups involved, as well as details about our new alternative transportation programs.
• Themes of campus sustainability are integrated into evening “Real World” skits.
• Water filling stations are made available instead of bottled water.
• Two Sustainability Council ads are printed in the Summer Orientation Guide magazine that all participants receive. One includes the Cards Go Green! pledge and the other features the top five reasons you won't need to bring a car to campus.
• Campus sustainability clue(s) are included in the mandatory “Cardinal Challenge” text message scavenger hunt.
• Green campus post(s) are included in Admissions blog at http://uoflblog.com/uncategorized/uofls-green-committment/
• Sustainability slides are included in the slideshow loops on monitors in SAC, Strickler, etc. and in the pre-show slideshow during gathering.
• Bike maps and information on transportation alternatives are included in orientation packets for international students.
• A reusable shoulder bag made with recycled material content is provided to all families and they are encouraged to bring reusable water bottles.
• Attention is given to adequate provision and placement of recycling and composting bins and student volunteers staff waste stations at meal times to help orient new students to the single-stream recycling and composting systems on campus.
• All new students must spend a night in Unitas Hall, featuring our Building Dashboard system that provides real-time feedback about energy use in the dorm. 
• Sustainability-related student groups such as the student environmental group, GRASS, and the EcoReps Program recruit members at the Cards Expo during lunches.
• UofL Sustainability Council representatives are present for all Family Orientation Receptions to inform about more sustainable choices and transportation alternatives.
• In partnership with the University Admissions office and Louisville Farm to Table, UofL Dining Service has included local ingredients in the 8000 meals served to parents and new students during Orientation. Commensurate marketing materials accompany this meal service, including menu identification of local foods and a leaflet stating “U of L Likes Local” with five reasons why the university supports the use of local food and a list of campus sustainability efforts.
• The UofL Sustainability banner & Tree Campus USA flag is hung in the Student Activities Center.

Sustainability in Welcome Week:
• UofL Sustainability literature, brochures, and maps available for pick-up at the Welcome & Info Lounge
• Morning Walk: Discover Old Louisville! Highlighting local businesses and healthy local food options! 
• Car-Free Lunch Trip to Gray St. Farmers' Market
• Belknap Farmers' Market
• Louisville Sustainability Bike Tour
• Health Promotion’s Cardinal Quest Treasure Hunt features UofL Sustainability initiatives! 
• UofL's Sustainability Council hosts on-campus Student Outreach Uniting Louisville (SOUL) volunteer project sites focused on sustainable urban agriculture.
• UofL Community Composting Volunteer Day 
• Garden Commons Workday & Salsa-Making Workshop
• Pedal with the President!

Sustainability in New Graduate Student Orientation: 
• The Sustainability Council includes a flyer in all new grad student packets and staffs a table during the resource fairs promoting EcoReps, transportation alternatives, and Cards Go Green Pledge.
• UofL Sustainability slides are included in preview slideshow.",http://louisville.edu/sustainability/past-events.html,--
"University of Maryland, College Park",2016-03-23,2016-03-23 15:55:48,sdeleon@umd.edu,2.0,Pursuing,89.1,"The Orientation Office has made great strides to infuse sustainability into the New Student Orientation Program. The Orientation Office now explains the environmental benefits of campus green initiatives so that all new students learn that environmental stewardship is part of the culture of the University of Maryland. To address the food waste generated from meals, the Orientation Office coordinates with the Department of Dining Services to use compostable paper plates and to collect waste for compost during orientation dinners. Using well-labeled bins for compost, recycling, and trash, many new students learn to separate their waste in a new way. The Orientation Office also saves paper by creating an online Virtual Folder that has all the fliers and resources students typically receive during the Orientation Program. The student Orientation Advisors create a high-energy and entertaining skit about adopting sustainable behaviors as Maryland students. As an example, one skit encouraged students to turn off lights and electronic devices when they leave their rooms, to recycle overwhelmingly long term-papers, and to dine-in at the dining hall instead of using disposable take-out containers. ",http://www.orientation.umd.edu/virtualfolder.html,--
University of Massachusetts Amherst,2015-12-17,2015-12-17 14:45:23,esmall@facil.umass.edu,2.0,Pursuing,100.0,"Sustainable UMass (Eco-Rep Program, Fellowship Program, Permaculture Initiative) is present at all New Students Orientations (NSO) and Open Houses in the spring, summer, and fall.  It holds information sessions for the new students to talk to them about sustainability and how they can get involved here on campus.

In Fall 2013, NSO was completely sustainability themed and partnered with Sustainable UMass to hold sustainability discussions around the common read which was selected as ""No Impact Man.""",http://www.umass.edu/newstudent/fall/commonreading/,--
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:33:06,Tyler_Arrigo@uml.edu,2.0,Pursuing,58.0,"The Difference Makers was developed by The Center for Innovation and Entrepreneurship and during the two day summer orientation, the Difference Makers challenge involved utilizing recyclable materials to solve problems.  In collaboration with The Center for Innovation and Entrepreneurship, the Office of Residence Life hosts a Difference Makers Living Learning Community for first-year students focused on creativity, entrepreneurship and innovation. Students have the opportunity to work together in small groups to create solutions for a variety of problems (many of which included sustainability) – on campus, locally and beyond.   ",http://www.uml.edu/student-services/reslife/living-learning-communities/Difference-Maker.aspx,All new undergraduate students are provided with an opportunity to participate in orientation activities.  These activities are held twice per year. They are offered both in the summer (multiple sessions) and winter.   
University of Michigan,2016-01-11,2016-01-11 15:37:38,ahorning@umich.edu,2.0,Pursuing,100.0,"Sustainability is included in new student orientation in many ways.  All students watch a video on sustainable transportation.  All students receive a University of Michigan Sustainability guide, which includes detailed information on U-M's goals related to climate action, waster prevention, healthy environments and community awareness.  The guide also mentions local restaurants with sustainable food practices, re-use stores, and bike shops.  Students also receive a Planet Blue water bottle to encourage re-usable bottles over bottled water.  Additionally, Planet Blue has a table at every orientation event on campus to provide more information on ways to increase sustainable practices.  EarthFest is another event held each fall on campus that is open to all new students.  EarthFest focuses on the four key areas representing the 2025 goals: climate action, waste prevention, healthy environments and community awareness.  Students can browse dozens of booths with information on how to get involved in sustainability on campus and beyond.",http://sustainability.umich.edu/media/files/Sustainability-Guide-2014-15.pdf,--
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:06,mgranley@d.umn.edu,2.0,Pursuing,94.0,"Bulldog Welcome Week is an annual, required event for incoming freshman.  Sustainability is present in the event through formal training (two different workshops on sustainability at UMD) and also incorporated into the group via low-waste meals and other activities (energy pledges, eco-movies, green water bottle give-aways, and re-uasable backpack bags.)",http://www.d.umn.edu/sit/bulldog-welcome-week/parents-family/,"UMD Sustainability Office staff and students work directly with the Office for Students in Transition to help plan events.  At the beginning of the weekend, the attendance nears 98%, and near the end of the event it wanes to around 89 - 90%."
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:28:55,good0044@morris.umn.edu,2.0,Pursuing,100.0,"During new student orientation the Chancellor of Morris talks to new students about being at Morris. Sustainability-related themes are directly discussed during her introduction to campus life.

During orientation/Welcome Week we offer students ""sustainability tours"" to identify our campus sustainability efforts. During the tour students visit the wind turbines, biomass plant, solar thermal systems, solar PV, green buildings, compost areas, and more.

We also highlight our mission and vision as offering a ""renewable, sustainable education"" at Morris, which is evident as students driving to campus are welcomed by our two 1.65MW U of M wind turbines. One common first night floor activity is a walk up the hill to sit under the turbines. In addition, we highlight the 'hit the lights' stickers and recycling bins prominently featured on campus.",--,--
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:37,stennes@umn.edu,2.0,Pursuing,60.0,"Staff and students are involved in workshops, tabling events, and talks about various sustainability programs on campus during Welcome Week, the University’s week-long extended orientation program. Residence hall leaders, along with over 400 Welcome Week leaders, receive orientation on sustainability and/or training on sustainability programs held during Welcome Week. Also, in the introduction to residence halls, community advisers conduct trash sorts to demonstrate how to properly use the three stack series of recycling bins. 

Current student leaders support sustainability efforts throughout Welcome Week through participating in events like Sustainability Action!, zero waste Class of 2019 Cookout and encouraging their groups to get involved in sustainability efforts on campus.

Sustainable events: Zero waste meals are served during Welcome Week and an effort has been made to reduce “throwaway giveaways”. The 60+ printed Welcome Week handbook was eliminated in 2014 and program information was offered through U Minnesota app/Class of 2019 guide. Additionally, the events are scheduled across our three UMTC campuses; students ride the bus and connector during the week, many for the first time, getting over the initial hurdle of using public transportation. 

Engagement: Sustainability topics are also intertwined in the community engagement portion of the orientation - this is an important aspect of the urban campus especially as students move off campus in the following years. An open house with our Institute on the Environment is part of the ‘U of M Day’, which helps show how university research is linking to issues that are important on campus, locally and globally (energy, food, transportation, etc). Current students participate in the event to connect new students to on-campus groups as well as community organizations focused on the environment and sustainability. This event offers every student the chance to engage with demonstration projects, hands-on learning activities, and chances to win prizes all while learning about sustainability.",http://www.ofyp.umn.edu/welcome-programs/welcome-week/schedule#quicktabs-welcome_week_events=2,60% taken as 90% of incoming freshman that attend the full orientation.
University of Missouri,2015-05-01,2015-05-01 15:33:37,raghavans@missouri.edu,2.0,Pursuing,100.0,"Summer Welcome, Transfer Summer Welcome, and Winter Welcome are all opportunities where incoming students can learn about the various organizations and offices that are sustainability focused and driven to become involved with. For example, the Sustainability Office, Sustain Mizzou, and the Environmental Leadership Office are present in the resource fairs attended by freshmen and transfers at all welcome fairs.

The Fall Welcome Campus Picnic in the Mizzou Rec Center is a zero waste event. The leftover food and compostable serving materials used are transported to Bradford Research Farm to be composted. 
",http://environmentalleadership.missouri.edu/,--
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:21,johnstonrk@umkc.edu,2.0,Pursuing,100.0,"Roos Fest Sustainability Orientation
Each semester the campus holds Roos Fest to orient incoming students as to what is available on campus.  The UMKC Sustainability Office has an educational table about the campus sustainability efforts and has a sign-up for students who are interested in joining the sustainability team and want more information.  

UMKC is going green, and Residential Life is ready to join in the challenge! In Fall 2009, the first LEED®-Certified building on the UMKC Campus was opened - Herman and Dorothy Johnson Residence Hall. Some of the features of this certification included:

    construction activity pollution prevention
    access to public transportation
    parking space for alternative fuel vehicles
    maximizing open space
    light pollution reduction
    water efficient landscaping
    optimized energy performance
    recycling and reuse of construction materials, and
    a green cleaning program.

The largest source of carbon emissions at UMKC is from students, faculty and staff commuting to and from campus. Campus housing plays a large role in decreasing these emissions by providing comfortable housing close to campus. The Residential Life Department supports the goal of making recycling and other sustainability efforts become the norm for the UMKC campus community.
How you can help

The University has taken many steps to decrease our footprint on the earth, but we still need the help of the campus and the community in making Kansas City a greener place. Here’s how you can help us protect the environment:
Reduce, Reuse, Recycle – In December 2009, UMKC reflected a recycling rate of 50% of our total waste. By recycling paper products alone, UMKC has the potential to annually save 7000 trees, 12 tons of air pollution and 3 million gallons of water. Try using reusable cloth bags when going to the store, register online to stop junk mail, avoid products with excessive packaging and buy in bulk.
Conserve energy – Johnson Hall features motion-activated lights in the hallways and windows that offer additional daylight for the breezeways in order to reduce energy usage. Remember to turn off lights and other electrical items when leaving a room, unplug items that you are not using, and take the stairs to avoid using the elevators.
Save water – In the landscaping for Johnson Hall, careful consideration was given to maximize water efficiency, in addition to water reduction strategies used in the construction of the building. Don’t leave water running while brushing teeth or washing dishes, take short showers – every minute you take off your shower time saves three gallons of water – and wash only full loads of laundry (not much of a challenge for the average college student!).",http://www.umkc.edu/housing/sustainability.asp,--
University of Mount Union,2016-01-13,2016-01-13 13:05:31,mcclauca@mountunion.edu,2.0,Pursuing,98.0,"Prominent inclusion of sustainability in orientation is a new initiative for the 2014 incoming class. The following measures will be undertaken this August to ensure students are aware of sustainability efforts and to promote early buy-in for a campus culture of sustainability. 
-Disposable serving ware will be greatly reduced as students are encouraged to utilize water bottles, cloth napkins, and reusable flatware.  Signage around any disposable items will suggest more sustainable alternatives.
-A session on sustainability will be included in the menu of options for Campus Life 101, a series of hour-long presentations by various campus offices.  Each office presents three times so that students can choose the three in which they're most interested. The sustainability session will highlight sustainability-related employment opportunities, related clubs, sustainable housing options, green initiatives in the dining hall, and a virtual tour of Mount Union's hidden green features.
-A self-guided walking tour will be set up for students to explore the green features of campus, including LEED-certified and LEED-standard buildings, a solar array, herb garden, Tree Campus USA designation, and others.

In addition to the above Fall Orientation measures, sustainability will also be introduced in our summer orientation series, called Preview, which includes both students and families as the intended audience.  For the first time, the sustainability coordinator will have an independent table at the Resource Fair during each of the four Preview dates in June and July.  The above-described walking tour will also be available to families during the July Preview dates.",--,Prominent focus on sustainability in orientation is a new initiative for the 2014 New Student Orientation and no web presence has yet been developed for this initiative.
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:45:02,pshrestha3@unl.edu,2.0,Not Pursuing,--,--,--,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:38,slburke@unomaha.edu,2.0,Pursuing,100.0,"All incoming freshman and transfer students are encouraged to participate in campus orientation, during which all students are familiarized with our five campus priorities (including sustainability) and with the 8 dimensions of wellness (as well as our single-stream recycling program and sustainability clubs and orgs.   

http://www.unomaha.edu/student-life/index.php",http://www.unomaha.edu/student-life/achievement/orientation/,--
University of New Hampshire,2016-03-25,2016-03-25 21:53:50,colleen.flaherty@unh.edu,2.0,Pursuing,100.0,"Through the Sustainability Institute at UNH, sustainability information is included in new student orientation by featuring sustainability at the following events:

- Spring new students and parents orientation

- Fall orientation events: Wildcat Days, Jukebox, Resident Assistants training and fair, UNH tour guides training, University Day, Graduate Student Resource Fair, Commuter and Transfer Students Resource Fair, and more.

Other offices also provide students with sustainability information related to their areas. Such offices include but are not limited to University Transportation Services, the Office of Commuter Students, the Office of Multicultural Affairs, UNH Dining, UNH Housing, UNH Residential Life, and others.

College and schools also provide their own sustainability-related information, usually around academic programs, to students.",http://www.sustainableunh.unh.edu/students,--
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:57:54,cpshea@fac.unc.edu,2.0,Pursuing,100.0,"Campus sustainability programs and opportunities are promoted to all new students through the “Carolina Green” Initiative during each of the major orientation events – 

• The two main orientation programs for new students at UNC are CTOPS (Carolina Testing & Orientation Program Sessions), which is required for all first-year students, and TSOP (Transfer Student Orientation Program). At each session of CTOPS and TSOP, students are given a binder with information about student life at UNC. One section of this guide highlights sustainability at UNC and how to implement sustainable practices into student life while at UNC. Tables focused on Greening the Campus are staffed at both the informational and lunch events. In addition, sustainability tips can be found in the “Move In” section of the guide.

• Week of Welcome (WOW) is a multiday series of events for new students at UNC. Several WOW events partner with the Carolina Green Initiative, and are highlighted as such in the WOW Guide and event calendar. These include an EcoRep Recruiting Fair, a Sustainability Social, and orientations to the bus system and recycling program. 

• FallFest is a huge event two nights before the first day of classes that welcomes new and returning students and promotes student involvement on campus. Student organizations, activity clubs, and recreational sports teams set up booths to recruit new members. Free food, games, and performances attract thousands of students. The Sustainability Office and the Office of Waste Reduction and Recycling are regular participants as are student organizations focused on sustainability related topics. 
",https://sustainability.unc.edu/week-of-welcome-2015/,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:23,cgcarwei@uncg.edu,2.0,Not Pursuing,--,--,--,--
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:36,pohlmank@uncw.edu,2.0,Pursuing,100.0,"Throughout each orientation, a PowerPoint is set up in several locations that rotates between general sustainability facts, a quiz about UNCW Sustainability and pictures of students getting involved. Campus Dining, Housing & Residence Life and the Library  speak or promote sustainability in their individual areas during orientation through talks, tabling and their website. All new students are invited to attend the Resource & Involvement Fair where the Sustainability Committee, Environmental Concerns Organization, Surfrider and other sustainably focused organizations can promote their message and invite others to volunteer.",http://www.uncw.edu/transitions/includes/EssentialInformation.html,--
University of Oregon,2016-03-23,2016-03-23 11:02:42,smital@uoregon.edu,2.0,Pursuing,100.0,"The Student Sustainability Center has an event at Introducktion that is designed to educate incoming students about sustainability at the University of Oregon. In addition, the Student Sustainability Center, UO Bike Program, and the Multicultural Center are some of the many groups working on sustainability issues that are featured at the IntroDucktion resource fair.",https://orientation.uoregon.edu/introducktion,--
University of Pittsburgh,2016-03-24,2016-03-24 12:58:48,lwzfm1@pitt.edu,2.0,Pursuing,100.0,"Sustainability is infused into both the programming and operational aspects of the University of Pittsburgh's arrival survival and orientation in the following ways;

During Arrival Survival all incoming students are offered assistance with recycling packaging materials and information on sustainability in the residence halls through the Green Team ambassador program.

In 2015, O-Week featured a number of new sustainability efforts including a Zero Waste Ice Cream Social for first year students and food waste composting /near-zero waste events of Global Carnivale and Discover Pittsburgh.  These events were staffed by the Pitt Green team and featured compostable items and information on zero waste events across campus.

During Pitt's orientation week, first year students were offered a ""Discover U"" tour of sustainable highlights on campus, including LEED Gold Certified facilities, green roofs, dining hall food composting, the campus student ""Plant to Plate"" garden, and even a view of Pitt's resident Peregrine falcon nesting site on the iconic Cathedral of Learning.  ",http://www.fye.pitt.edu/orientation-newandtransfer/index.php,--
University of Richmond,2016-02-17,2016-02-17 15:17:40,randreje@richmond.edu,2.0,Pursuing,75.0,"Sustainability is featured throughout orientation. The Office for Sustainability tables at Orientation Express, an opportunity for new students to meet all offices that might be of use to them while they are on campus. Sustainability is prominently featured in welcome materials for incoming students and in training materials for Orientation Aides. Information about waste reduction during move-in is located on the website. Student and staff volunteers help new students recycle their packing materials during move-in and offer information on environmentally focused student groups.",http://sustainability.richmond.edu/living/green-room/guide.html,--
University of South Carolina,2016-02-29,2016-02-29 17:11:45,KOPPAN@mailbox.sc.edu,2.0,Pursuing,--,"Sustainable Carolina, EcoReps, and the Green Quad host an information table at student orientation fairs to promote internships, Graduation with Leadership Distinction options, programs, and volunteer opportunities. Vehicle Management and Parking Services distribute information regarding alternative transportation options. ",https://www.sa.sc.edu/orientation/,--
University of South Florida,2016-02-26,2016-02-26 13:29:41,sustainability@usf.edu,2.0,Pursuing,100.0,"Sustainability is prominently featured during new student orientation in several ways, including:
1) The Office of Sustainability organizes and initiates practices prominently featured during Week of Welcome (W.o.W.) activities. The Director of the Office of Sustainability and other staff of the Office are present during these events such as Resident Assistant Orientation and many other W.o.W. activities, including new student registration.

2) The Office of Sustainability distributes special brochures and flyers for becoming more sustainable campus wide.  This included special ""lights-out"" stickers and Sustainable Living Tips throughout resident housing.

3) The Student Government distributes sustainability related materials to all first-year students during W.o.W. activities, in which all first-year students participate and which are open to all USF students. The materials include reusable shopping bags and water bottles along with sustainability related literature from the Office of Sustainability.

4) Green LLC tour - Students from the Green Living and Learning Community are given a green tour of campus. The guide, a faculty member, speaks about the development of sustainability initiatives on campus, shows examples of sustainability related projects, and has students visit the Office of Sustainability, the Center for Urban Transportation Research, and the Botanical Gardens.  Overall the tour takes about 1.5 hours.
",http://www.newstudent.usf.edu/,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 23:00:12,davidv@mail.usf.edu,2.0,Not Pursuing,--,--,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:27,prestonj@utk.edu,2.0,Pursuing,100.0,"Every orientation session, 4-6 representatives from the Office of Sustainability and UT Recycling host a table at information sessions to engage new students in sustainability, showcasing projects, initiatives and ways the students can get involved. Overall, the orientation program has been made more sustainable by banning hand outs (stated in the Student Engagement Showcase information sheet they provide all participants). Additionally, all lunches are zero waste, with representatives from the Office of Sustainability and Recycling Office present to explain what can be composted or recycled and why reducing UT's waste is important.",http://environment.utk.edu/,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:02:56,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:31,mtare@uta.edu,2.0,Pursuing,100.0,"The Office of Sustainability has been promoting various programs like the Car Sharing recycling, volunteer opportunities, service learning projectsthrough the new student orientation. ",--,"The promotion of sustainability programs is done in collaboration with the Office of Student Affairs, Office of International students, etc"
University of Texas at Austin,2016-03-21,2016-03-21 16:14:55,jim.walker@austin.utexas.edu,2.0,Pursuing,90.0,"New Student Orientation is held six times during the summer and serves over 90% of incoming students. New Student Services in the Dean of Students office coordinates Orientation (http://deanofstudents.utexas.edu/nss/). 

The only direct reference to campus sustainability is in an hour-long optional session on the second day of Orientation, which is led by the Campus Environmental Center. Typical attendance at the optional session is 10-15 students.
",--,All entering undergraduate students have the opportunity to participate. Transfer students and international students do not have the opportunity to participate in the summer orientation programming.
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:04,thea.junt@utdallas.edu,2.0,Not Pursuing,--,--,--,--
University of Toledo,2016-03-25,2016-03-25 15:21:51,neil.tabor@utoledo.edu,2.0,Pursuing,100.0,"All students are educated about a number of sustainability systems in place during their orientation, including the student green fund available to all students and the recycling process. Additionally, sustainability staff are present at the open portion of orientation to interact with students, answer any questions they may have and provide additional information about getting involved with sustainability related opportunities directly.",--,--
University of Virginia,2015-12-11,2015-12-11 14:05:49,art2k@Virginia.edu,2.0,Pursuing,75.0,"Prior to arrival, every resident was sent a Green living Guide in their packet of information. The UVa Green Living Guide was created specifically for new UVa students. The guide is distributed to students during orientation and covers energy, water, recycling and waste reduction topics as well as ways to get involved with sustainability programs.In addition, we created a video on how to have a green dorm room and made a how-to-recycle in residential areas video. Finally, every RA has received a Green Living Guide. 
Upon arrival, staff and student employees from UVa Sustainability are present at every orientation's resource fair to answer questions about sustainability.

Partnerships are key to sharing sustainability with new students. One of the most high profile opportunities to engage new students in sustainability is working with Athletics on their very well attended Welcome Week event.  We tabled with the bike smoothie, recruited Sustainability Advocates, passed out ""Green Living Guides,"" and talked about how to recycle in the dorms.  

We partnered with the First Year Leadership Experience Program to ensure the Sustainability Advocates (SAs), our peer educators for sustainability, are a part of each dorm’s House Council. SAs often provide the first introduction to sustainability for new students. We’re also providing each RA a list of the Sustainability Advocates in their dorm so that they know who their point person is for sustainability issues.

UVa Dining Services has an information session that includes sustainability, including reusable to-go boxes, local and organic foods, and sustainable seafood. Parents and students have their meals in the dining halls, where sustainability information is prominent.

Parking & Transportation includes its TDM information, including ZipCar and UBike programs, at orientation events in which we often co-present.",http://virginia.edu/sustainability/,"UVa has two orientations, one in the month of July and one during move-in at the start of the fall semester. Students get their classes scheduled, tour Grounds, and meet fellow students in the summer. The orientation move-in covers more immediate logistics. There is also a host of Welcome Week activities for new students. "
University of Winnipeg,2016-01-13,2016-01-13 14:36:50,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,100.0,"All incoming students are invited to attend Orientation on campus.  Sustainability resources and actions are included in the initial welcoming information and materials given to all students.  During the course of Orientation week, sustainability on campus is also highlighted during the student presentations and the parent/family presentations. In addition, a specific sustainability presentation is offered to interested students.",--,--
