Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution offer continuing education courses that address sustainability?,Number of continuing education courses offered that address sustainability,Total number of continuing education courses offered,A copy of the list and brief descriptions of the continuing education courses that address ...,A list and brief descriptions of the continuing education courses that address sustainability,Does the institution have at least one sustainability-themed certificate program through its ...,A brief description of the certificate program,Year the certificate program was created,The website URL where information about sustainability in continuing education courses is available ,Public Notes
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:41,pohlmank@uncw.edu,2.0,Pursuing,True,11.0,520.0,,"-The Biofuel Production Operations Online Training Program will give you the education you need to begin an exciting career in biofuel production. As a biofuel production operator, your job will be to ensure the quality and purity of the biofuel your plant produces. This involves inspecting and repairing equipment, operating computer systems, and handling lab equipment. This online program will ensure you have the skills you need to handle these tasks.
-The Building Analyst Quick Start online program was developed and written in partnership with nationally recognized building science experts. You'll learn about the principles of green buildings—from insulation to indoor air quality—as well as how to perform comprehensive building assessments.
-The Certified Green Supply Chain Professional Online Training Program will give you the specialized knowledge to enable a company to achieve its environmental sustainability goals through global sourcing, materials management, procurement and buying, transportation and logistics, and new product development.
-Are you a facility manager, building engineer, or health and safety officer who wants to improve the indoor air quality of your building? Are you properly prepared to handle air quality complaints? Common mistakes can turn a small grievance into a wildfire of speculation and accusation.
-Certified Indoor Environmentalist (CIE) demonstrates that you understand how to create healthy homes and buildings by preventing, diagnosing, and resolving indoor environmental problems. This online program prepares you to pass the CIE examination through a series of video lectures on exam topics such as contaminants, health effects, building science, HVAC, equipment, assessments, mold remediation, and industry standards and guidelines. The course also covers practice questions in detail and provides a practice examination to ensure you succeed at becoming a Certified Indoor Environmentalist.
-The Natural Gas Plant Operations Online Training Program provides you with the knowledge and skills you'll need to begin an exciting career in natural gas plant operations. Natural gas has two things going for it. First, it provides clean energy. Second, it’s plentiful in the United States. For decades to come, natural gas will be produced and consumed in the United States, creating ongoing demand for natural gas plant operators.
-The Performing Comprehensive Building Assessments (PCBA) Online Training Program will give you a thorough understanding of the building assessment process. This intermediate program focuses on the skills you need to professionally conduct visual building inspections, perform diagnostic testing, determine residential building improvement opportunities, document a home's performance, prioritize improvements, and prepare a work scope that will guide the homeowner's decision-making process for making the improvements.
-The Principles of Green Buildings Online Training Program is designed to teach you the principles you must know in order to make buildings perform more efficiently. The program was developed and written in partnership with nationally recognized building science experts from Advanced Energy of North Carolina. The Principles of Green Buildings Online Training Program will also help prepare you for industry credentials for green building.
-The Senior Certified Sustainability Professional Online Training Program will prepare you for an exciting career as a leader in the green-collar economy. As a certified sustainability professional, you’ll be responsible for setting the course and coordinating an enterprise's sustainability strategy. Millions of new jobs in this rapidly growing sector will be available to people who set themselves apart from the crowd by earning the professional credentials and skills they need to lead sustainable business practices.
-In this online program, you'll learn the fundamentals of photovoltaic ""PV"" solar powered energy systems, gaining the knowledge you'll need for an entry level position with a dealer, installer, or other photovoltaic industry company.",True,"-The Biofuel Production Operations Online Training Program will give you the education you need to begin an exciting career in biofuel production. As a biofuel production operator, your job will be to ensure the quality and purity of the biofuel your plant produces. This involves inspecting and repairing equipment, operating computer systems, and handling lab equipment. This online program will ensure you have the skills you need to handle these tasks.
-The Building Analyst Quick Start online program was developed and written in partnership with nationally recognized building science experts. You'll learn about the principles of green buildings—from insulation to indoor air quality—as well as how to perform comprehensive building assessments.
-The Certified Green Supply Chain Professional Online Training Program will give you the specialized knowledge to enable a company to achieve its environmental sustainability goals through global sourcing, materials management, procurement and buying, transportation and logistics, and new product development.
-Are you a facility manager, building engineer, or health and safety officer who wants to improve the indoor air quality of your building? Are you properly prepared to handle air quality complaints? Common mistakes can turn a small grievance into a wildfire of speculation and accusation.
-Certified Indoor Environmentalist (CIE) demonstrates that you understand how to create healthy homes and buildings by preventing, diagnosing, and resolving indoor environmental problems. This online program prepares you to pass the CIE examination through a series of video lectures on exam topics such as contaminants, health effects, building science, HVAC, equipment, assessments, mold remediation, and industry standards and guidelines. The course also covers practice questions in detail and provides a practice examination to ensure you succeed at becoming a Certified Indoor Environmentalist.
-The Natural Gas Plant Operations Online Training Program provides you with the knowledge and skills you'll need to begin an exciting career in natural gas plant operations. Natural gas has two things going for it. First, it provides clean energy. Second, it’s plentiful in the United States. For decades to come, natural gas will be produced and consumed in the United States, creating ongoing demand for natural gas plant operators.
-The Performing Comprehensive Building Assessments (PCBA) Online Training Program will give you a thorough understanding of the building assessment process. This intermediate program focuses on the skills you need to professionally conduct visual building inspections, perform diagnostic testing, determine residential building improvement opportunities, document a home's performance, prioritize improvements, and prepare a work scope that will guide the homeowner's decision-making process for making the improvements.
-The Principles of Green Buildings Online Training Program is designed to teach you the principles you must know in order to make buildings perform more efficiently. The program was developed and written in partnership with nationally recognized building science experts from Advanced Energy of North Carolina. The Principles of Green Buildings Online Training Program will also help prepare you for industry credentials for green building.
-The Senior Certified Sustainability Professional Online Training Program will prepare you for an exciting career as a leader in the green-collar economy. As a certified sustainability professional, you’ll be responsible for setting the course and coordinating an enterprise's sustainability strategy. Millions of new jobs in this rapidly growing sector will be available to people who set themselves apart from the crowd by earning the professional credentials and skills they need to lead sustainable business practices.
-In this online program, you'll learn the fundamentals of photovoltaic ""PV"" solar powered energy systems, gaining the knowledge you'll need for an entry level position with a dealer, installer, or other photovoltaic industry company.",1999.0,http://uncw.edu/profdev/ceus.html,--
University of Oregon,2016-03-23,2016-03-23 11:03:07,smital@uoregon.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
University of Pittsburgh,2016-03-24,2016-03-24 12:59:47,lwzfm1@pitt.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
University of Richmond,2016-02-17,2016-02-17 15:17:45,randreje@richmond.edu,2.0,Pursuing,True,6.0,450.0,,"Global Sustainability Institute: a course that explores the twenty-five most critical global sustainability issues identified by the United Nations Commission for Sustainable Development. Objectives of this course include an increased understanding of critical global issues, the impact that sustainability will have on society, and the development of students’ capacity to be agents of positive change. Students will also develop a practical, broad-based view of what sustainability is and what challenges and opportunities sustainability creates within their society.

LEED AP+ Building Design and Construction
LEED V4 Accredited Professional for Existing Buildings
LEED V4 Exam Prep and Study Group
All three of these courses are included in the LEED Exam Preparation program. 

Going Local, Sustainable, and Seasonal: In this food service class, students will be introduced to the concepts of sustainability, going green, and buying local and seasonally. 

Work/Life Balance:In this course, students will learn concrete ways to identify areas of imbalance in one's work/personal life s well as best practice techniques to achieve more life balance. 



",True,"1. Landscape Horticulture Plants and Practices (2011): Study principles of horticulture, plant identification, design elements, and industry practices of Landscape Plants. Courses cover sustainable methods, soils, pruning, and planting standards from the perspective of professionals utilizing best practices for habitat and ecology. Curriculum covers the study of native plants, ornamental grasses and perennials that perform well in the Central Virginia, Piedmont and Tidewater regions.

2. Permaculture Design Certificate (est. 2014): Permaculture is a system of land design and cultivation incorporating renewable resources and a self-sustaining ecosystem. The Permaculture Design Certificate is designed for students who have an interest in learning the history and philosophy of permaculture as a conceptual and applied design system. The course will cover the principles and ethics of permaculture, discuss why such a system is needed, and explore the global challenges that affect permaculture implementation.

3. Senior Certified Sustainability Professional: Students in this certification program learn to take responsibility for coordinating an enterprise's sustainability strategy across multiple functional areas, including sales, marketing, communications, new product development, global supply chain, operations, and corporate social responsibility. Beginning students learn the basics of green purchasing, moving on to cover corporate social responsibility and carbon strategies. Other topics of study include environmental accounting, green transportation, and sustainability consulting. ",2011.0,http://spcs.richmond.edu/noncredit/areas/environment-sustainability/index.html,"Courses are based on Spring 2016 offerings

Courses in certificate programs not offered as standalone classes available to all SPCS students are not counted as sustainability-related continuing education courses."
University of South Carolina,2016-02-29,2016-02-29 17:11:50,KOPPAN@mailbox.sc.edu,2.0,Pursuing,True,9.0,28.0,,"Photography After Dark: Nighttime Photography
A to Zzzzz to Be Stress Free: The Stress and Sleep Relationship
Financial Survival for Retirement
Nutrition 101: Healthy Eating Basics
Playing the Numbers Game
Promoting Physical Activity and Preventing Obesity in Today’s Children
We Will Never Manage the Obesity Epidemic unless We Develop a Better Understanding of Energy Balance
Natural History with Rudy Mancke - Congaree National Park
Natural History with Rudy Mancke- Edisto Beach State Park",True,"The Continuing Education Unit at the University of South Carolina offers individual courses relating to sustainability as well as certification programs. The relevant certification programs include the Lean Six Sigma Green Belt and Black Belt Certifications and PMI's Project Management Professional. Below is a brief description of each program. 

Lean Six Sigma Green Belt Certificate
     Earn your Green Belt in just one month with USC’s online format. Our program consists of 40 hours of online training (20 hours of self-paced and 20 hours of live online instructor-led sessions) conveniently scheduled during evening hours. As a Lean Six Sigma Green Belt, you will support organizational change through project management, communication and technical process improvement. You will be able to quantify deliverables to an organization in terms of cost, quality, and cycle time and safety improvements.

Lean Six Sigma Black Belt Certificate 
     In two months, you can earn your Black Belt. Our program includes 80 hours of online training (40 hours self-paced and 40 hours of live online instructor-led sessions). Offered during evening hours, these sessions can fi t easily into your busy professional schedule. You will work on an independent project, improving a process within your own organization. As a certified Lean Six Sigma Black Belt, you will demonstrate that you are trained in advanced problem solving and the statistical tools needed to effectively lead process improvement.

The project management courses at USC weave theory and real-life projects, risks and challenges to help each student develop strategic management strategies, resulting in stronger professional leadership. The practical applications obtained during the project management courses empower professionals – giving a competitive edge in the professional world. You will gain practical instruction and working knowledge on how to successfully organize, manage and complete projects in an effective and efficient manner, yielding the desired outcome.

Whether you are an experienced or an occasional project manager, the tools you will receive at USC will bring the ability to strategically plan, manage and close projects successfully.

At USC, we have two interactive programs designed to prepare you for a successful future in project management. Click below to find out which one is the best fit for you!

Fundamentals of Project Management
Project Management Certificate",2009.0,http://saeu.sc.edu/cec/index.php,--
University of South Florida,2016-02-26,2016-02-26 13:29:46,sustainability@usf.edu,2.0,Pursuing,True,51.0,467.0,,"1.	Biofuel Production Operations- 
Building Analyst Quick Start- Establish and maintain a green procurement strategy Identify corporate social responsibility strategies to meet organizational needs
Develop and use Green Supply Practices (GSP)
Select and use a variety of environmental accounting methods effectively
Improve operational sustainability by applying green strategies to the logistics and supply chain
Align supply chain operations and business strategies to meet sustainability objectives

2.	Certified Green Supply Chain Professional- Overview
The Certified Green Supply Chain Professional Online Training Program will give you the specialized knowledge to enable a company to achieve its environmental sustainability goals through global sourcing, materials management, procurement and buying, transportation and logistics, and new product development.

Objectives
Upon successful completion of this program, you'll be able to:

Establish and maintain a green procurement strategy
Identify corporate social responsibility strategies to meet organizational needs
Develop and use Green Supply Practices (GSP)
Select and use a variety of environmental accounting methods effectively
Improve operational sustainability by applying green strategies to the logistics and supply chain
Align supply chain operations and business strategies to meet sustainability objectives              
3.	Certified Indoor Air Quality Manager- Overview
Are you a facility manager, building engineer, or health and safety officer who wants to improve the indoor air quality of your building? Are you properly prepared to handle air quality complaints? Common mistakes can turn a small grievance into a wildfire of speculation and accusation.

4.	In this Certified Indoor Air Quality Manager Online Training and Certification Program, you'll learn how to diagnose, resolve, and prevent indoor air quality (IAQ) complaints. You’ll also establish a comprehensive IAQ plan specific to your buildings.

Objectives
Upon successful completion of this program, you'll be able to:

Develop a comprehensive IAQ management plan
Establish a system to manage IAQ complaints
Create an IAQ Profile for your buildings
Identify conditions that lead to IAQ problems
Solve simple IAQ problems in-house
Prevent IAQ problems
5.	Certified Indoor Environmentalist Prep- Overview
Would you like to become a Certified Indoor Environmentalist (CIE)? This designation demonstrates that you understand how to create healthy homes and buildings by preventing, diagnosing, and resolving indoor environmental problems. This online program prepares you to pass the CIE examination through a series of video lectures on exam topics such as contaminants, health effects, building science, HVAC, equipment, assessments, mold remediation, and industry standards and guidelines. The course also covers practice questions in detail and provides a practice examination to ensure you succeed at becoming a Certified Indoor Environmentalist.

Objectives
Upon successful completion of this program, you'll be able to do the following:

Pass the ACAC’s Certified Indoor Environmentalist examination
Understand the concepts contained in the CIE Required Body of Knowledge
Demonstrate the ACAC Required skills related to the following:
IAQ Contaminants and Health Effects
The Built Environment 
HVAC
Equipment and assessments
Guidelines, Regulations, and Standards
6.	Remediation    Natural Gas Plant Operations-  Overview
The Natural Gas Plant Operations Online Training Program provides you with the knowledge and skills you'll need to begin an exciting career in natural gas plant operations. Natural gas has two things going for it. First, it provides clean energy. Second, it’s plentiful in the United States. For decades to come, natural gas will be produced and consumed in the United States, creating ongoing demand for natural gas plant operators.
For people who want to enter this field, it’s difficult to find suitable training to become an entry-level worker. This online program provides the fundamental technical background you need to get started in this field. This online certificate program is offered in partnership with major colleges, universities, and other accredited education providers.

Objectives
Upon successful completion of this program, you’ll be able to:

•	Describe basic math, physics, and chemistry knowledge necessary for a gas plant operator
•	Understand safety as it relates to gas plant production
•	Describe basic elements of electricity
•	Read technical process drawings
•	Describe basic operational elements of lubrication and centrifugal pumps
•	Understand how natural gas is found in nature and how gas wells are developed
•	Describe how natural gas compression and refrigeration systems work
•	Determine various methods used to purify natural gas

7.	Performing Comprehensive Building Assessments- Overview
The Performing Comprehensive Building Assessments (PCBA) Online Training Program will give you a thorough understanding of the building assessment process. This intermediate program focuses on the skills you need to professionally conduct visual building inspections, perform diagnostic testing, determine residential building improvement opportunities, document a home's performance, prioritize improvements, and prepare a work scope that will guide the homeowner's decision-making process for making the improvements.
Objectives
Upon successful completion of this program, you'll be able to:
•	Use your senses and technology to assess, gather, and organize data for building analysis
•	Employ a standardized approach to assessments and diagnostic evaluations of a building
•	Describe the operation and installation of a blower door and interpret the blower door test results
•	Demonstrate understanding of combustion testing, instruments used, and analysis made from the data
•	Determine duct system status using a duct blaster
•	Develop and present a work scope with prioritized recommendations for customers                  Principles of Green Buildings-  

8.	Senior Certified Sustainability Professional- Overview
The Senior Certified Sustainability Professional Online Training Program will prepare you for an exciting career as a leader in the green-collar economy. As a certified sustainability professional, you’ll be responsible for setting the course and coordinating an enterprise's sustainability strategy. Millions of new jobs in this rapidly growing sector will be available to people who set themselves apart from the crowd by earning the professional credentials and skills they need to lead sustainable business practices.

Objectives
Upon successful completion of this program, you'll be able to:
•	Establish and maintain a green procurement strategy
•	Apply the principles of environmentally preferred purchasing, design for environment, eco-control systems, and sustainable business practices
•	Indentify corporate social responsibility strategies to meet organizational needs
•	Develop and use Environmental Management System (EMS) practices
•	Select and effectively use a variety of environmental accounting methods
•	Improve product positioning using the green marketing-mix principles
•	Organize and sequence carbon strategies using the World Resource Institute protocol
•	Improve operational sustainability through greening the logistics and supply chain
•	Plan continued organizational sustainability strategies as an internal or external consultant      
  
9.	Solar Power Professional- Overview
In this online program, you'll learn the fundamentals of photovoltaic ""PV"" solar powered energy systems, gaining the knowledge you'll need for an entry level position with a dealer, installer, or other photovoltaic industry company.
Objectives
Upon completion of this program you'll be able to:

•	Describe the history of PV technology and industry
•	Describe markets and applications for PV
•	Describe types of PV systems and their features and benefits.
•	Demonstrate an understanding of electrical and solar terminology
•	Identify safety hazards, practices, and protective equipment used during PV system installation and maintenance
•	Define basic electrical terms
•	Describe the use of a digital multi-meter
•	Calculate simple circuit values
•	Define basic solar terms
•	Describe basic solar movement and effect of earth tilt
•	Predict solar position using solar path diagrams
•	Describe angular effects on the irradiance of solar array
•	Identify factors that reduce or enhance solar irradiation
•	Explain how solar cells convert sunlight into electric power
•	Label key points on an IV curve
•	Illustrate effect of series and parallel connections on IV curve
•	Define measurement conditions for solar cells and modules          
 
10.	Wind Energy Professional-    Overview
Wind energy companies are growing exponentially to meet America's demand for clean, renewable, domestic energy. This entry-level Wind Energy Professional Online Training Program prepares you for a career in the wind energy industry. This online certificate program is offered in partnership with major colleges, universities, and other accredited education providers.

Objectives
Upon successful completion of this program, you’ll be able to:

•	Describe the evolution of wind turbine technology
•	Discuss air flow characteristics and blade efficiencies
•	Assess human resources and business planning policies, procedures, and processes
•	Explain contract management, fulfillment, and liability to the landowner and manufacturer
•	Discuss wind business policies and procedures
•	Explain atomic structure and basic values such as voltage, current, resistance, and power
•	Summarize the principles of magnetism
•	Utilize electrical measuring instruments
•	Display competence in principles and operation of basic hydraulic systems
•	Interpret schematics and troubleshoot both open- and closed-center hydraulic systems
",True,"USF offers a very popular certificate in “Water, Health, and Sustainability,” and the College of Global Sustainability is developing more focused certificates in sustainable business practices, renewable energy, sustainable tourism, the designed and built environments, and other sustainability topics (please see http://www.gradcerts.usf.edu). USF also offers a range of sustainability related certificates including Environmental Policy and Management, Environmental Health, Environmental Education, Community Development, and Human Rights. ",2009.0,http://gradcerts.usf.edu/certificates.asp,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 23:00:35,davidv@mail.usf.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:32,prestonj@utk.edu,2.0,Pursuing,True,79.0,1091.0,http://stars.aashe.org/media/secure/329/6/574/3583/Non%20Credit%20Courses%202014-2015.docx,,True,"Sustainability is about creating a better world for future generations, meeting our own needs without reducing the quality of life for them. In practical terms, this involves reducing our environmental footprint: how much waste we produce, how many resources we use, and other activities that can degrade the environment. This certificate is an introduction to some of the best ways we can reduce our personal footprint as well as the footprint of our institutions, including businesses, schools, and cities.",2014.0,https://aceweb.outreach.utk.edu/ShowSchedule.awp?&Mode=GROUP&Group=PROSUS&Title=Sustainability+Certificate&SubGroup=PRO,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:03:00,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:36,mtare@uta.edu,2.0,Pursuing,True,75.0,700.0,,"Specialist in Environmental Regulations (SER) 
This certification introduces three key areas within the environmental industry: Air, Water, and Waste. Earn your SER by completing four (4) required fundamental regulatory courses. Once you complete these requirements, you are only four (4) additional courses away from completing your Environmental Regulatory Professional (ERP) or Environmental Science Professional (ESP) requirements, and five (5) additional courses away from completing your Environmental Management Professional (EMP).

ETI 101 – Introduction to Environmental Compliance
AIR 201 – Fundamentals of the Clean Air Act
WTR 301– Introduction to Water and Wastewater Regulations
WST 401 – Resource Conservation and Recovery Act ",True,"Safety, Health & Environmental Professional (SHEP) Certification 

Requires eight (8) total courses including: five (5) OSHA courses, two (2) Environmental courses, and one (1) Risk Management course. 
Here’s the website with more information.",2009.0,https://www.uta.edu/wconnect/osha/static/osha-home.shtml,The University will be pursing additional certificate programs in the next year.
University of Texas at Austin,2016-03-21,2016-03-21 16:15:00,jim.walker@austin.utexas.edu,2.0,Pursuing,--,--,--,,,True,"The Lady Bird Johnson Wildflower Center’s Go Native U informal educational program is designed to teach adults about the sustainable use and conservation of native wildflowers, plants, and landscapes and encourages discovery of the natural world.  As part of the program, the following certifications are available:

Landscape For Life™ (LFL) 
Landscape For Life instructs gardeners and those interested in landscape sustainability how to transform a traditional landscape into a beautiful and healthy environment that also benefits the surrounding community. This series of five classes will teach you to work with nature to make your landscape a model of sustainability. Teachings based on the principles of SITES™, the Sustainable Sites Initiative™.

Art in Nature
The Wildflower Center is the perfect backdrop for the new Art in Nature series. Brilliant displays of flowering native plants, vibrant water features teeming with fish and turtles, and flitting butterflies and acrobatic hummingbirds make capturing the beauty and wonder of the natural world easy for budding artists. This nature based art series is geared towards those interested in learning the foundations of photography, watercolors, floral silk painting, ink painting, and botanical illustration.

Most classes can be taken individually, without pursuing the certificate.
http://www.wildflower.org/gonativeu/
",2012.0,--,"Continuing and Innovative Education (CIE) at The University of Texas at Austin has a 100-year history of extending the resources of the university to anyone with a desire to learn. CIE provides a wide range of credit and noncredit courses, services and programs that encompass K-16 academics, online college and professional development courses, professional certificate programs and personal enrichment opportunities including an array of informal classes.

CIE is comprised of the K-16 Education Center, Petroleum Extension Service, Professional Development Center, Thompson Conference Center, University of Texas-University Charter School and University Extension. 

The university does not currently have an inventory of sustainability-focused continuing education offerings."
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:09,thea.junt@utdallas.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
University of Toledo,2016-03-25,2016-03-25 15:22:15,neil.tabor@utoledo.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
University of Virginia,2015-12-11,2015-12-11 14:05:54,art2k@Virginia.edu,2.0,Pursuing,True,2.0,60.0,http://stars.aashe.org/media/secure/281/6/574/3583/Spring2015Catalog.pdf,"The two courses in the attached catalog that address sustainability are: 

ISHU 4890: America and Ethics of Food and Energy in the 21st Century
ISIN 4520: Humanities: Minds, Machines, and Human Nature",--,,--,--,--
University of Winnipeg,2016-01-13,2016-01-13 14:36:54,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,True,162.0,541.0,,"DPS 51035
1401
Strategic Human Resource Planning

DPS 51040
1402
Strategic Planning

DPS 51045
1501
Risk & Decision Analysis

DEA 16440
1403
Cross Cultural Awareness

DPS 51014
1501
Managing and Governance In Arts and Cultural Organizations

DPS 51060
1401
Quality Management

DPS 51077
1401
Create

DPS 51059
1402
Ethics & Corporate Social Responsibility

DPS 51059
1405
Ethics & Corporate Social Responsibility

DPS 51057
1402
Cultural Dimension and Environmental Influences

DIT 16292
1401
Introduction to Business Analysis

DPS 51109
1402
Cultural Awareness – Environmental Factors/Life Skills & Capabilities

DEA 16440
1402
Cross Cultural Awareness

DPS 51022
1401
Career Development and Counselling Theories (online)

DPS 51068
1401
Career Development Practitioner Certificate

DPS 51056
1401
Strategic Public Relations Planning

DPS 51035
1402
Strategic Human Resource Planning

DPS 51040
1401
Strategic Planning

DPS 51059
1401
Ethics & Corporate Social Responsibility

DPS 15357
1401
Strategic Marketing & Planning

DPS 51023
1402
Career Development and Counselling Process (online)

DPS 16200
1401
Canadian Indigenous Awareness

DPS 51088
1501
Systems Analysis & Design

DPS 51080
1401
Communicate

DPS 51077
1402
Create

DPS 51114
1401
Managing Organizational Change

DPS 51085
1401
Managing Operations

D55 21133
1401
Geopolitics: Geographical Perspectives on Current World Issues

DPS 51059
1406
Ethics & Corporate Social Responsibility

DIT 36058
1501
Strategies and Models for IT Governance

DPS 51059
1404
Ethics & Corporate Social Responsibility

D55 21139
1401
Origins - Most of Life - on Earth?

DPS 59017
1401
Transformational Leadership

D55 21135
1401
Exploring Inner Space or Exploring our Inner Geography

DIT 16294
1401
Systems Analysis & Design

DPS 59061
1403
Psychological Health At Work

DEA 16440
1404
Cross Cultural Awareness

DPS 51057
1404
Cultural Dimension and Environmental Influences

DPS 59061
1404
Positive Mental Health at Work

DPS 15201
1401
Strategic Planning: An Overview

DPS 51059
1403
Ethics & Corporate Social Responsibility

DPS 51105
1501
Commercialize

DPS 51080
1501
Communicate

D55 21142
1402
A Zookeeper's Perspective on the Health of Planet Earth

DPS 51045
1404
Risk & Decision Analysis

DPS 59046
1501
Cultural Intelligence for Today's Workplace

DPS 51057
1501
Cultural Dimension and Environmental Influences

DPS 59016
1501
Creating a Respectful Workplace

DEA 16440
1501
Cross Cultural Awareness

DPS 51057
1405
Cultural Dimension and Environmental Influences

DPS 51075
1501
Sustainable Business Practices

DPS 51029
1501
Ethical Practice in Career Development (online)

DPS 51024
1501
Career Development and Counselling Challenges (online)

DPS 51026
1501
Facilitating Client Learning",--,,--,http://pace.uwinnipegcourses.ca/timetable,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:53,fermanij@uwgb.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:34:50,knelson6@uwm.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:41:41,kermathb@uwosh.edu,2.0,Pursuing,True,3.0,53.0,,"LEED AP Builing Design and Construction
The course will prepare students to earn the LEED for Building Design + Construction Accredited Professional (LEED AP BD+C) credential from the Green Building Certification Institute.  This exam is the second of in a two-part series of exam, the first of which is the LEED Green Associate exam.

LEED v4 Accredited Professional
   The course will prepare students to earn the LEED for Existing Buildings Operations & Maintenance Accredited Professional (LEED AP O+M) credential from the Green Building Certification Institute.  This exam tests the knowledge and skills necessary to participate in the operation and maintenance of existing buildings that implement sustainable practices and reduce the environmental impact of a building over its functional life cycle.

LEED v4 Green Associate Exam Prep

This course covers the fundamental concepts of green building and is intended for design, construction and real estate professionals, building owners, or anyone who wants to develop their knowledge in this area. The course will prepare students to earn the LEED Green Associate credential from the Green Building Certification Institute. Students examine case studies of LEED certified building projects, concepts of integrated design, third-party verification and the LEED administration process.  ",--,,--,http://www.uwosh.edu/llce/conted,--
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:16:11,seebotha@uwplatt.edu,2.0,Pursuing,True,23.0,784.0,http://stars.aashe.org/media/secure/753/6/574/3583/Continuing_Education_021916.docx,See attached.,True,"The Senior Certified Sustainability Professional prepares graduates to:
-Establish and maintain a green procurement strategy
-Apply the principles of environmentally preferred purchasing, design for environment, eco-control systems, and sustainable business practices
-Identify corporate social responsibility strategies to meet organizational needs
-Develop and use Environmental Management System (EMS) practices
-Select and effectively use a variety of environmental accounting methods
-Improve product positioning using the green marketing-mix principles
-Organize and sequence carbon strategies using the World Resource Institute protocol
-Improve operational sustainability through greening the logistics and supply chain
-Plan continued organizational sustainability strategies as an internal or external consultant
",2011.0,http://www.uwplatt.edu/continuing/classes-and-courses,--
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:01:59,sjanowsk@uwsp.edu,2.0,Pursuing,True,61.0,429.0,http://stars.aashe.org/media/secure/115/6/574/3583/Continuing%20Education%20Course%20Descriptions_1.pdf,,True,"Aquaponics Master Class
This is a comprehensive course covering all aspects of aquaponics and controlled environment agriculture. Our Aquaponics Master Class is intended for anyone seriously considering getting into aquaponic food production, or those already doing aquaponics who want to learn more about the technology. We cover the topics most important to being successful in aquaponics including aquaponic methods and applications, crop choices and recommendations, water quality, daily operation and growing techniques, greenhouses and environmental control, fish biology and feeds, plant care and health, system start up and business considerations.
http://www.uwsp.edu/conted/ConfWrkShp/Pages/Aquaponics/workshops.aspx",2014.0,--,--
