Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution make counseling, referral, and wellbeing services available to all staff?","Does the institution make counseling, referral, and wellbeing services available to all members of ...",A brief description of the institution’s wellness and/or employee assistance program(s),The website URL where information about the institution's wellness program(s) is available,"Does the institution make counseling, referral, and wellbeing services available to all students?","Does the institution make counseling, referral, and wellbeing services available to all faculty?",Public Notes
University of Michigan,2016-01-11,2016-01-11 15:37:42,ahorning@umich.edu,2.0,Pursuing,True,**,"MHealthy is a program for faculty and staff.  It offers a variety of services to help meet your health and wellness needs including: exercise classes, personal training, Active U incentive program, the Good Choice program for nutrition, weight management programs, mental and emotional health services, ergonomics, tobacco treatment, alcohol management, MHealthy Rewards, and occupational health clinics.  Wolverine Wellness is a program dedicated to students through the University Health Service that provides information and referrals, early intervention, collaboration and consulting, influences policy and advocates for health for the U-M campus community.  They offer alcohol intervention, HIV testing, wellness coaching, and quit kits for smokers.",http://hr.umich.edu/mhealthy/about/,True,True,http://www.uhs.umich.edu/wolverine-wellness
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:17,mgranley@d.umn.edu,2.0,Pursuing,True,**,"The goals of the UMD Wellness Program are to:
-promote and preserve the health and well-being of UMD faculty and staff
-to encourage our campus community in maintaining a healthy living environment and active lives

Health Coaching:
A Health Coach can help motivate and encourage eligible UPlan members to better health. Your Health Coach provides unbiased up-to-date health information to assist you with the development of a personalized wellness plan to effectively change behavior.",http://www.d.umn.edu/umdhr/wellness/,True,True,--
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:28:58,good0044@morris.umn.edu,2.0,Pursuing,True,**,"Morris takes a comprehensive approach to wellness, including violence prevention, peer health education, Morris Healthy Eating, a Student Health 101 program (with several workshops) and an on-campus fitness center with many fitness programs available.",http://www1.umn.edu/ohr/wellness/eap/index.html,True,True,"Additionally, the Employee Assistance Program (EAP) provides cost-free and confidential professional consultation and referral services for University employees, academic staff, and faculty who have work or personal concerns. Spouses/partners and dependents are also eligible for EAP services.

Consultation areas include everything from stress management, to work relationships, to mental health.

http://www1.umn.edu/ohr/wellness/eap/index.html"
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:40,stennes@umn.edu,2.0,Pursuing,True,**,"The Wellness Program is pointing the way to better health for University employees and their families. The Wellness Program for faculty and staff offers wellness assessments, web-based resources, the HealthPartners 10,000 Steps Program, information about healthy eating, smoking cessation support, pregnancy and child care help, health screenings, vaccinations, in-person or telephone health coaching, stress management resources and activities, and weight management programs for free or at a reduced cost.",http://www1.umn.edu/ohr/wellness/index.html,True,True,--
University of Missouri,2015-05-01,2015-05-01 15:34:09,raghavans@missouri.edu,2.0,Pursuing,True,**,"For faculty and staff, Healthy for Life, the T.E. Atkins University of Missouri Wellness Program, has the long-term goal of developing a world-class wellness program for the university. A steering committee and a work group were appointed in June of 2004, and the UM Board of Curators voted in December 2006 to extend the program from its pilot phase to UMH and the four campuses.
University of Missouri Wellness Program Mission Statement:
To support the university's teaching, research, service and economic development missions by aligning university health care resources to foster a vibrant, healthy climate in which university faculty, staff, retirees and students thrive and flourish.

The UM System's Employee Assistance Program (EAP) is a confidential, professional service provided to all employees, their families, retirees and organizational work units. The EAP provides a variety of services to help employees influenced by a range of personal concerns or stressors. The EAP also assists work units and the larger organization to improve quality and productivity.

The Wellness Resource Center (WRC) uses a comprehensive, campus wide, year-long wellness approach that begins during summer orientation and continues every month throughout the year. Each year, over 200 student programs are delivered in a wide variety of locations including academic classrooms and residence halls. The WRC plans on-going activities and events that support wellness as it relates to issues such as alcohol, tobacco and other drug use, nutrition and fitness, stress and mental health and other wellness issues.

",http://www.umsystem.edu/curators/wellness/,True,True,--
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:24,johnstonrk@umkc.edu,2.0,Pursuing,True,**,Promoting health for UMKC employees.,http://www.umsystem.edu/curators/wellness/links_umkcf,True,True,--
University of Mount Union,2016-01-13,2016-01-13 13:05:34,mcclauca@mountunion.edu,2.0,Pursuing,True,**,"Mount Union has two full-time, and three intern counselors dedicated to student well-being.
Faculty and staff are invited to participate in the Healthy Campus Challenge, it is not mandatory. 
",http://portal.mountunion.edu/CampusOffice/HumanResources/Pages/BenefitsChallenge.aspx,True,True,"Data provided by Pam Newbold, Director of Human Resources and Staff Development, entered by Leah Graham"
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:45:06,pshrestha3@unl.edu,2.0,Pursuing,True,**,"The campus wellness initiative has been established in conjunction with the Chancellor's Office and many departments on campus. The Chancellor's Committee on Wellness has been established to review current practices, propose and facilitate wellness programming, and promote current opportunities on campus. Further information and wellness resources are available online at wellness.unl.edu We also have a wellness on wheels program that goes from college to college doing a number of different tasks including identifying BP, analyzing BMI, and promoting better diet habits.",http://wellness.unl.edu/,True,True,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:41,slburke@unomaha.edu,2.0,Pursuing,True,**,"The UNO Counseling Center is dedicated to working with students to maximize their potential and meet the challenge of becoming whole, purposeful, thriving individuals. One's college years provide an exciting opportunity for inquiry, experimentation, productivity and self-discovery. We at the Counseling Center are eager to assist you in these pursuits.
The Center is staffed by licensed mental health practitioners and a graduate assistant. Each is committed to providing support and encouraging personal success in identifying and reaching your goals.


The FEAP is a confidential cost-free assessment and short term counseling service designed to assist faculty, employees and their families in addressing personal problems at home and on the job.
Assessment, short-term counseling, referral and follow-up• Management / supervisory education and consultation • Crisis management / intervention / counseling• Departmental orientations to FEAP services• Conflict management• Educational in-services and workshops .  http://www.unomaha.edu/humanresources/unoempfeap.php
",http://counseling.unomaha.edu/,True,True,--
University of New Hampshire,2016-03-25,2016-03-25 21:54:52,colleen.flaherty@unh.edu,2.0,In Progress,--,--,--,--,--,--,"See also http://www.unh.edu/healthyunh/resources

For information about UNH student health and wellness, contact: Kevin E. Charles, DEd, Assistant Vice-President for Student & Academic Services; Executive Director of Health Services.

For information about Healthy UNH, contact Ned Helms and Jo Porter: http://www.unh.edu/healthyunh/staff-members"
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:58:05,cpshea@fac.unc.edu,2.0,Pursuing,True,**,"Student Wellness provides services and resources across a variety of wellness topics, including alcohol and drug brief intervention counseling, sexual wellness counseling appointments, diversity trainings, and interpersonal violence prevention workshops, just to name a few.   For more information:   http://studentwellness.unc.edu/our-services or http//campushealth.unc.edu/caps

As part of the University’s ongoing commitment to the health and wellness of employees, a variety of programs are offered that focus on healthy lifestyles and balancing the responsibilities of work and personal life.   The Work/Life and Wellness Office helps the University’s diverse population find solutions to the daily challenges of personal, work, and family life. The office provides information and referrals to assist with all kinds of life events and to help employees manage unexpected disruptions of work or study. For concerns ranging from workplace stress to caring for a young child or other family members, there are a wide variety of resources to help employees integrate their work and life responsibilities.
For more information:   Work-Life Programs:  http://hr.unc.edu/benefits/work-life-programs/
                                          Wellness Programs:   http://hr.unc.edu/benefits/wellness-programs/

UNC's Employee Assistance Program offers confidential counseling and resources to help employees and their families deal with the pressures of life issues, including family or workplace concerns, depression and anxiety, alcohol and drug dependency, finances, domestic violence, grief, and fear and anger associated with health problems. Counselors are available on-site during the day and by telephone 24-hours.",http://hr.unc.edu/benefits/wellness-programs/,True,True,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:27,cgcarwei@uncg.edu,2.0,Pursuing,True,**,"Enhancing employees' health and wellness - by enhancing and extending health, wellness, and quality of life for children, adults, families, and communities, through scientific inquiry and application, workforce development, reduction of disparities, sustainability efforts, and recreational opportunities - is of primary importance to UNCG. 

To meet these goals, UNCG offers many wellness programs to its employees. These include weight-loss assistance and healthy-eating initiatives, Employee Assistance Programs (mental health assistance), smoking cessation, and a variety of exercise groups.

The mission of Student Health Services is to provide collaborative health care designed to empower students to develop lifelong skills that enhance their physical, psychological and wellness status in an inclusive and affirming environment.

Student Health Services…
- Provides student-centered, medical, counseling and health promotion services which are affordable and accessible
- Utilizes a multidisciplinary and collaborative approach to wellness and health care
- Provides an environment of inclusion, respect and appreciation of diversity
- Promotes professional excellence, responsiveness and ethical practice
- Is committed to the support of educational, research and service missions of U NCG",http://web.uncg.edu/hrs/Benefits/Wellness/,True,True,"Info about Employee Assistance Programs (EAP) is available here:
http://web.uncg.edu/hrs/Benefits/EAP/

Info about Student Health Services (SHS) is available here:
http://shs.uncg.edu/"
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:39,pohlmank@uncw.edu,2.0,Pursuing,True,**,"•	Counseling: Employee Assistance Program free for all faculty and staff
•	Covers health, legal, and financial
•	Employees get health and mental health insurance
•	Students have counseling center free
•	All students required to have health insurance
•	Health services and counseling both available on campus
•	Full health promotion department
",http://uncw.edu/healthservices,True,True,"http://uncw.edu/counseling/ 
http://uncw.edu/hr/training-eap.html"
University of Oregon,2016-03-23,2016-03-23 11:02:57,smital@uoregon.edu,2.0,In Progress,--,--,--,--,--,--,--
University of Pittsburgh,2016-03-24,2016-03-24 12:59:55,lwzfm1@pitt.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Richmond,2016-02-17,2016-02-17 15:17:44,randreje@richmond.edu,2.0,Pursuing,True,**,"Human Resources and Recreation and Wellness have partnered together to make employee wellness a top campus priority for faculty and staff at the University of Richmond. The program strives to create and sustain a culture of health and well-being for University faculty and staff and their dependents through quality programs in order to: Empower faculty and staff and their dependents to maintain and improve health: Coordinate the highest quality health and wellness programs, resources, and opportunities; Reduce health risks, prevent disease, and manage chronic conditions; Build an environment that supports the health and well-being of faculty and staff; and, Provide programs and support to meet individual needs

The Recreation and Wellness department provides daily wellness and fitness classes for free to all employees.  All new hires receive three free visits with a personal trainer to determine fitness level, create a wellness profile and fitness plan. 

The University provides an Employee Assistance Program (EAP) which is a free, confidential service that provides employees with the resources needed to resolve personal problems that may affect their emotional health, well-being, and work productivity.",http://employeewellness.richmond.edu/,True,True,--
University of South Carolina,2016-02-29,2016-02-29 17:11:48,KOPPAN@mailbox.sc.edu,2.0,Pursuing,True,**,"For students:

Student Health Services at USC is accredited as a Patient Centered Medical Home Model by the Accreditation Association for Ambulatory Health Care (AAAHC). Programs and services are available to students for addressing their health and wellness needs. Full-time students pay a student health fee along with their tuition which covers the cost of 10 individual counseling appointments; unlimited group counseling, nutrition, physical activity and stress consultations; preventive health screenings; and clinical office visits. As a holistic patient centered model referrals are made with Student Health Services to other care units to ensure the student's health needs are being met.
Mission: Encourage and support healthy lifestyles for all members of the USC community. Our Philosophy: We take a holistic approach encompassing all dimensions of wellness: physical, social, emotional, occupational, spiritual, financial and intellectual. As students, you are faced with many decisions regarding your health and well-being. Campus Wellness is committed to assisting you with finding the best solutions possible that fit your interests and lifestyle. What We Do: Campus Wellness health educators and trained peer leaders provide programs and services specializing in stress management, sexual and reproductive health, physical activity and exercise, weight management, nutrition, disease prevention and general well-being. Services We offer on-going drop-in and appointment-based individual preventive health screenings and services at several locations on campus. Services are available for FREE or low cost to students: Nutrition Physical Activity and Exercise Preventive Health Screenings Sexual Health and Relationships Stress and Time Management Tobacco Cessation and Treatment Presentations and Workshops Campus Wellness offers a variety of presentations and workshops for academic classes or your group or organization. Topics include, but are not limited to health-related issues and behaviors important to college students such as nutrition, exercise and physical activity, stress management, weight management, sleep, relationships and sexual health. If one of our existing presentations or workshops does not meet your needs, we are happy to tailor a program for your group. Descriptions of Presentations and Workshops & Online Request Form HERE! Programs, Events and Campaigns Campus Wellness encourages you to make a healthy choice every day! We do this through programs, events and campaigns. Popular events and regular campaigns include: Changing Carolina 5K Project Condom Carolina BeYOUtiful Keep Calm (including Pet-a-Pup and DeStress Fest) Curbside Wellness Festival National Nutrition Month. You’ll also find us at the Farmer’s Markets and other campus partner events. Visit the Student Health Services events website or contact Campus Wellness for information about upcoming programs. Counseling & Psychiatry provide a variety of services to meet the needs of the campus community including: Individual Counseling Couples Counseling Group Counseling Psychiatric Services Suicide Prevention Services Community Support Meetings following the death of a community member Crisis Intervention Services Currently-enrolled USC students who have paid the student health fee are eligible to receive most services for counseling at no additional charge. However, students who request more than 10 individual sessions per academic year may incur additional charges. Visits with a psychiatrist require additional charges. Enrolled students who have NOT paid the student health fee are eligible to receive most services within Counseling & Psychiatry but are charged on a fee-for-service basis.

For faculty/staff:

Services We offer on-going drop-in and appointment-based preventive health screenings and services at the Solomon Blatt Physical Education Center (Room 201), Strom Thurmond Wellness and Fitness Center (lower level) and the Thomson Student Health Center. Services are either free or available to faculty and staff at a low cost. • Nutrition • Preventive Health Screenings • Physical Activity and Exercise • Stress Management • Tobacco Cessation Presentations and Workshops Campus Wellness offers a variety of presentations and workshops for faculty and staff. Topics include health-related issues and behaviors such as nutrition, exercise and physical activity, stress management, weight management, disease prevention and management. If one of our existing presentations or workshops does not meet your needs, we are happy to tailor a program for your group. Descriptions of Presentations and Workshops & Online Request Form HERE! Programs Making healthy choices on a regular basis can be difficult! Campus Wellness recognizes that knowledge is power and that support and accountability can be key factors contributing to successful behavior change. Several multi-week programs are offered throughout the academic year to help individuals create and sustain healthy lifestyles. Choose to Lose Heart Beat Pedometer Challenge Summer Wellness Bingo Wellness Ambassadors Wind Down Wednesdays Events and Outreach Campus Wellness plans and coordinates several health and outreach events throughout the year. Benefits Fair Tabling Event Flu Clinics Grocery Store Tours Mobile Mammography USC also contracts with Deer Oaks for a comprehensive Employee Assistance Program (EAP) which allows for self-referral.

USC has a Campus Wellness office dedicated to Faculty and Staff health and wellbeing. Employees of the university are provided opportunities to participate in stress management, physical activity and healthy eating programs through this office. Human Resource's Professional Development office also hosts training sessions for personal development including these topics as well as financial wellness. As a state institution employees have the option to be covered by the South Carolina State Health Plan and everyone has access to the Employee Assistance Program (EAP), Deer Oaks. The EAP provides resources for many areas of wellness including nutrition, physical activity, mental and emotional health, safety, and financial. EAP even connects employees to direct counseling services if needed.
",http://www.sc.edu/healthycarolina/index.html,True,True,--
University of South Florida,2016-02-26,2016-02-26 13:29:44,sustainability@usf.edu,2.0,Pursuing,True,**,"The University of South Florida Employee Assistance Program (EAP) is a service program designed to assist employees with personal, family, or workplace concerns. The EAP professional staff seeks to enhance the emotional functioning of employees and to respond to the needs of faculty and staff through various educational and psychological interventions including assessment, crisis intervention, psychological counseling, substance abuse services, couples counseling, career counseling, seminars, consultation, and information/referral services.

USF student Health Services  strives to provide high-quality healthcare in a manner that is culturally respectful, fiscally responsible, and developmentally appropriate. It combines a wide range of medical, counseling, prevention, and wellness services to help support students so that students can be personally and academically healthy and successful (http://www.usf.edu/student-affairs/student-health-services/about-us/aboutshs.aspx). ",http://usfweb2.usf.edu/human-resources/eap/index.asp,True,True,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 23:00:26,davidv@mail.usf.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:31,prestonj@utk.edu,2.0,Pursuing,True,**,"Student Counseling Center services are a confidential process designed to help you address your concerns, make better decisions, learn effective coping strategies, improve your personal skills and acquire a better awareness of your thoughts, feelings and actions. While in counseling, you may also examine beliefs and ways of thinking about the world, reflect on patterns of behavior, increase personal confidence, and become more aware of the needs of others. Most students find only a few sessions are needed to address their concerns. If longer term counseling is needed, your therapist will discuss this with you.

The Counseling Center also gives referrals to off-campus mental health services to faculty and staff. They also provide presentations, guest lectures and workshops to students, faculty and staff upon request.",http://counselingcenter.utk.edu/,True,True,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:02:59,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:35,mtare@uta.edu,2.0,Pursuing,True,**,"The University offers a Comprehensive Wellness Program for full-time and part-time employees who are benefits eligible and retirees of the University. This program includes: 1) physical fitness activities and 2) wellness education programs. A variety of University sponsored wellness activities are available such as nutrition counseling, stress management, massage therapy, group exercise, personal training, etc. Recreation activities include walking, jogging, tennis, biking, bowling, swimming, weight training, etc. Members will receive a monthly newsletter designed to be educational and informative. Educational seminars will be held during working hours on a variety of wellness related topics. Membership is not required to participate in the educational seminars. Participation incentives are also available through the program.",http://www.uta.edu/policy/procedure/3-62,True,True,--
University of Texas at Austin,2016-03-21,2016-03-21 16:14:58,jim.walker@austin.utexas.edu,2.0,Pursuing,True,**,"The HealthPoint Wellness Program is part of Human Resources. The overall goal of the HealthPoint Work-life Balance and Wellness Program is to improve the health and well-being of faculty and staff. We accomplish our mission through improving policies and the environment to make it easier to be healthy on campus. We also provide educational opportunities and wellness programs. By taking a holistic approach to wellness, HealthPoint expands beyond physical health to other dimensions of wellness, including emotional, spiritual, social, occupational, and environmental. 
",http://www.utexas.edu/hr/current/wellness/,True,True,Also see http://www.utexas.edu/hr/eap/
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:08,thea.junt@utdallas.edu,2.0,Pursuing,True,**,"The purpose of the Wellness Committee is to create an environment that supports and promotes the value of individual well-being by education and the provision of appropriate physical facilities.

The Wellness program leads campus participation in the City of Richardson Corporate Challenge and an annual 10-week Wellness Challenge for faculty and staff.  The Wellness Committee has also mapped out indoor walking paths throughout campus; a series of building-to-building skybridges make it easy to get your exercise even during inclimate weather.",http://www.utdallas.edu/wellness/,True,True,--
University of Toledo,2016-03-25,2016-03-25 15:22:06,neil.tabor@utoledo.edu,2.0,Pursuing,True,**,"The University of Toledo Rocket Wellness Program provides university quality care at your workplace. Through the development of comprehensive educational services, UT Rocket Wellness can develop a program to meet your worksite needs, including but not limited to the following: conducting health fairs, workshops, programs, group classes, one-on-one coaching at the workplace, in schools, or community settings to students, faculty and staff. Counseling services are also offered to students, faculty and staff through the UT Counseling Center. https://www.utoledo.edu/studentaffairs/counseling/",http://www.utoledo.edu/offices/rocketwellness/,True,True,--
University of Virginia,2015-12-11,2015-12-11 14:05:52,art2k@Virginia.edu,2.0,Pursuing,True,**,"Hoo's Well is the comprehensive employee wellness program at the University of Virginia.

The University of Virginia cares about your good health.  When you're healthy, you have the energy and focus to do your best work.

All Academic Division and Medical Center employees (spouses too) who are enrolled in the UVa Health Plan can participate.  

For students, The U.Va. Department of Student Health, Harrison Bowne ""Tersh"" Smith Jr., Memorial Center for Counseling and Psychological Services (CAPS) is the University of Virginia's primary student counseling clinic. Their mission is to be responsive to the mental health needs of U.Va. students while also providing consultation, education, outreach and crisis management to the broader U.Va. community.",http://www.hooswell.com/,True,True,"URL for CAPS:  http://www.virginia.edu/studenthealth/caps.html
"
University of Winnipeg,2016-01-13,2016-01-13 14:36:53,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,True,**,"Eligible Employees are entitled to limited financial assistance when seeking psychological counseling under the Extended Health Benefits offered through Blue Cross.

Eligible Employees participate in an Employee and Family Assistance Program which provides short term counseling for a variety of issues.

Eligible employees are entitled to reimbursement under the Wellness & Sustainability Account which includes but is not limited to the following items. Refer to the Wellness & Sustainability Claim form for the complete list of eligible items.

Wellness:
-Membership at the Duckworth Centre or another fitness centre held in the employee's name
-Formal instruction for a physical activity or recreational centre program with a wellness focus
-Specific types of fitness equipment
-Weight management program fees (excluding food) offered by accredited practitioner, for the employee
-Non-Prescription smoking cessation aids

Sustainability
-Bus passes and tickets
-Home composters
-CFL and LED light bulbs (net of any rebates)
-Programmable thermostats
-Personal bicycle and replacement parts
-Carbon offsets purchased from a recognized carbon offset vendor

Students who identify that they need help reach out to the University's Intake Manager in Counseling Services - via drop in hours, phone or email. If it is a crisis they are seen that day by her or a counselor. Students may also present to the on campus health clinic, and speak with the nurse practitioner. The University is situated in downtown Winnipeg, a couple of blocks from our Regional Health Authority's Mental Health branch, which operates both a mobile crisis service and a new Crisis Response Centre, for people with mental health emergencies, so they don't have to go to the Emergency department. Mobile Crisis Services can be accessed on campus and in residence, after hours. On site in the daytime, along with the Intake Manager and Counselor, there is a full time mental health clinician (Psych Nurse- currently a job share with 1 male,1 female), full time Nurse Practitioner, half time Addictions clinician, and three grad students from marriage and Family Therapy. All are clinically supervised and registered with their licensing/professional body. All of them are trauma informed, and are trained in how to respond to and de-escalate a crisis. ",http://www.uwinnipeg.ca/hr/benefits/index.html,True,True,"Weblinks for applicable programs:

http://www.uwinnipeg.ca/hr/benefits/efap.html
http://www.uwinnipeg.ca/hr/benefits/extended-health-benefits.html#Psych
http://www.uwinnipeg.ca/hr/benefits/wellness-sustainability-account.html
http://www.uwinnipeg.ca/hr/benefits/wellness-resources.html
"
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:52,fermanij@uwgb.edu,2.0,Pursuing,True,**,"All UW-Green Bay faculty and staff have access to an Employee Assistance Program at no charge to the employee. The EAP is a confidential, work place based Employee Assistance Program. The program is designed to assist in the prevention, early identification and resolution of personal matters which may affect both an employee's sense of well being and their ability to effecitviely carry out their work responsibilities. Examples of issues which the EAP might be helpful with are health, marital, family, financial, alcohol and other drugs, emotional, stress and other personal concerns. ",http://www.uwgb.edu/counselinghealth/for_Employees/eap.asp,True,True,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:34:41,knelson6@uwm.edu,2.0,In Progress,--,--,--,--,--,--,--
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:41:32,kermathb@uwosh.edu,2.0,Pursuing,True,**,"Healthy Titans 2020 is dedicated to educating, motivating and empowering UW Oshkosh employees, their families and students to make healthy lifestyle choices, the UW Oshkosh The program provides faculty and staff members with access to numerous fitness, nutrition and general health resources.
For a low cost, UW Oshkosh employees have access to the Albee Fitness and Strength Training Center  (including swimming pool) through the Healthy Titans 2020 Fitness Program. Depending upon the program you choose, you can exercise individually on treadmills, elliptical machines, stair steppers and more, or attend any of the available group exercise classes or sign up for a personal trainer. 

Health Risk Assessments
A free program in partnership with Thedacare, UW Oshkosh employees can participate in the Health Risk Assessment Program. This voluntary screening program identifies which health conditions an individual is at risk for and offers interventions.
Every Wednesday a group of faculty and staff meet outside of Dempsey Hall at noon to walk on various routes.
There is an annual flu clinic at the health center for all faculty and staff.  Golf is made available at a reduced rate at the local country club.  

The Weight Watchers at Work program provides UW Oshkosh employees with the opportunity to participate in weekly Weight Watchers meetings/weigh-ins on campus, at a reduced rate.  The reduced rate is made available through the University paying a portion through the Healthy Titans 2020 program.
The university also provides an Employee Assistance Plan (EAP) and referral service.
",http://www.uwosh.edu/hr/benefits/health-wellness/healthy-titans,True,True,http://www.uwosh.edu/eap/confidentiality
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:16:09,seebotha@uwplatt.edu,2.0,Pursuing,True,**,"Students - UW-Platteville students have 24/7 access to heath and counselling services (which include stress reduction and wellness programming), and regular access to the Pioneer Activity Center (campus gym) which includes free wellness classes.
http://www.uwplatt.edu/counseling-services
http://www.uwplatt.edu/pac

Employees- All employees have 24/7 access to counselling and wellness services through the Employee Assistance Program (EAP). Those with more than 54% positions have additional access to wellness programming through their health insurance benefits. All staff have access to the Pioneer Activity Center (campus gym) which includes discounted wellness classes.
https://www.uwplatt.edu/human-resources/employee-assistance-program-eap
http://www.uwplatt.edu/pac",http://www.uwplatt.edu/counseling-services,True,True,--
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:01:58,sjanowsk@uwsp.edu,2.0,Pursuing,True,**,"The mission of the Health Promotion/Wellness Program is to provide high quality education and experiences to future professionals for placement in worksites around the nation, and to assist all UWSP students, faculty and staff in understanding the process of developing a healthier lifestyle.
These resources are available to faculty, staff and students:
Cardio Center
Employee Assistance Program
Counseling Center
Environmental Health and Safety Committee
Health Enhancement Center",http://www.uwsp.edu/hphd/Pages/empWell/default.aspx,True,True,"UWSP has a long history in helping create the wellness movement. The Health Promotion and Wellness (UWSP-HPW) academic program introduced in 1987 and continues to produce professionals with a Health Promotion and Wellness bachelor of science degree.
"
University of Wisconsin-Stout,2016-03-25,2016-03-25 10:48:56,rykals@uwstout.edu,2.0,Pursuing,True,**,"The Counseling Center offers an Employee Assistance Program (EAP), a confidential, university sponsored service for employees and their immediate family members. The EAP provides professional consultation to assist in the prevention and resolution of personal problems that may affect job performance. The program is designed to link people who have personal concerns to services or agencies that are able to assist in resolving their problems.

The Counseling Center provides free, confidential counseling to currently enrolled students and also offers consultation, outreach and prevention services that address a variety interpersonal, adjustment, and mental health concerns.",http://www.uwstout.edu/counsel/eap.cfm,True,True,Information from the Director of the Counseling Center
University of the Pacific,2016-03-23,2016-03-23 15:39:09,seller@pacific.edu,2.0,Pursuing,True,**,"All Pacific medical plans have wellness elements which are augmented with on campus programming and co-curricular activities, events and education coordinated by the campus wellness coalition.  

Counseling, Health and Nutrition services are available to all students who have paid the access fee. Additionally there are several outreach events throughout the year that focus on each of the 8 dimensions of wellness. ",http://www.pacific.edu/Documents/hr/acrobat/RevisedStaffHandbook2009b.pdf,True,True,"https://www.guidanceresources.com/groWeb/login/login.xhtml

http://www.pacific.edu/healthservices"
Vanderbilt University,2016-03-21,2016-03-21 10:46:16,andrea.george@vanderbilt.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Vassar College,2016-03-10,2016-03-10 19:47:33,alihall@vassar.edu,2.0,In Progress,--,--,--,--,--,--,--
Villanova University,2016-03-21,2016-03-21 13:11:36,liesel.schwarz@villanova.edu,2.0,In Progress,--,--,--,--,--,--,--
Virginia Commonwealth University,2015-07-24,2015-07-24 09:33:16,eestanforth@vcu.edu,2.0,Pursuing,True,**,"The program seeks to improve the physical, mental, emotional, and social health and well-being of VCU faculty and staff, reduce and prevent health risks and build – and expand on – current programs. The program offers physical, nutritional, recreational and social, financial and career, and mental and emotional wellness resources.",http://www.hr.vcu.edu/wellness/health.html,True,True,--
Warren Wilson College,2016-03-21,2016-03-21 15:30:08,aclimo@warren-wilson.edu,2.0,In Progress,--,--,--,--,--,--,--
Wartburg College,2015-04-27,2015-04-27 09:08:47,anne.duncan@wartburg.edu,2.0,Pursuing,True,**,"Employees who work at least three-fourths time are eligible for membership to the wellness center at no cost. Benefit eligible employees can also purchase a membership to the wellness center for their spouse and/or family at a discounted rate. Part-time employees get a benefit of a wellness center membership at a reduced rate. 

Wartburg College offers an EAP through Allen Hospital for employees to self-refer for short-term assistance and for supervisors/managers to refer employees for evaluation in matters impacting an employee’s health, welfare and productivity.

Access to the wellness center is open to students, partially covered by student fees. A student counseling center is also available, and fully staffed throughout the school year.",http://www.the-w.org/,True,True,"https://www.unitypoint.org/waterloo/employee-assistance-program.aspx
http://www.wartburg.edu/counseling/"
"Washington State University, Pullman",2016-03-25,2016-03-25 18:59:41,slkane@wsu.edu,2.0,Pursuing,True,**,"WSU offers an employee assistance program and wellness programs to employees.  The Employee Assistance Program (EAP) is a free and confidential service available to WSU employees which provides counseling, education, and consultation services to improve job performance, worker health, and the well-being of the employee.   EAP also provides a monthly tip sheet to the university community.  The mission of the Wellbeing program is to promote opportunities, engage individuals and inspire choices for personal and community wellbeing.  The wellbeing program takes a holistic approach focusing on the eight dimensions of wellbeing.  ",http://www.wellbeing.wsu.edu/,True,True,--
Washington University in St. Louis,2016-02-29,2016-02-29 19:42:12,valko@wustl.edu,2.0,In Progress,--,--,--,--,--,--,--
Weber State University,2016-01-13,2016-01-13 14:17:10,jenniferbodine@weber.edu,2.0,In Progress,--,--,--,--,--,--,--
Wellesley College,2016-01-12,2016-01-12 12:03:39,pwilloug@wellesley.edu,2.0,Pursuing,True,**,"All employees have free membership to the on-campus sports facilities. Through the hire of a new health educator, Wellesley College plans to nurture a culture of health on campus. Wellesley also provides free, confidential resources that employees can refer to for advice on physical as well as mental health. Wellesley partners with its health insurance plan to provide workshops on exercise, nutrition and stress management.

The Healthy You Program includes incentives plus a variety of events, programs and online resources to help you get and stay healthy. Programs include walking challenges, reimbursement for weight loss programs, webinars and presentation. ",http://www.wellesley.edu/hr/benefits/healthyyou,True,True,--
