Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Has the institution assessed diversity and equity in terms of campus climate?,A brief description of the campus climate assessment(s) ,Has the institution assessed student diversity and educational equity?,A brief description of the student diversity and educational equity assessment(s),Has the institution assessed employee diversity and employment equity?,A brief description of the employee diversity and employment equity assessment(s),Has the institution assessed diversity and equity in terms of governance and public engagement?,A brief description of the governance and public engagement assessment(s),The website URL where information about the assessment(s) is available,Public Notes
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:11,mgranley@d.umn.edu,2.0,Pursuing,True,"A Subcommittee of the Campus Change Team (CCT) developed, vetted, and piloted two climate surveys based on assessment instruments used by the campus in 2002, 2009, and 2010.  The CCT and the Leadership Team reviewed and approved the final surveys.  One of the surveys was sent to 1828 UMD faculty and staff members in January 2013.  The response rate was 19.4% (355 respondents).  The other was sent to 9809 UMD undergraduate students in March 2013. The response rate was 4.0% (393 respondents).

Recognizing the importance of assessing the campus climate using multiple approaches, two Student Focus Group studies (http://www.d.umn.edu/chancellor/climate/surveys.html) and a Campus Labs student survey have been completed since June 2011.  
",True,"A Subcommittee of the Campus Change Team (CCT) developed, vetted, and piloted two climate surveys based on assessment instruments used by the campus in 2002, 2009, and 2010.  The CCT and the Leadership Team reviewed and approved the final surveys.  One of the surveys was sent to 1828 UMD faculty and staff members in January 2013.  The response rate was 19.4% (355 respondents).  The other was sent to 9809 UMD undergraduate students in March 2013. The response rate was 4.0% (393 respondents).

Recognizing the importance of assessing the campus climate using multiple approaches, two Student Focus Group studies (http://www.d.umn.edu/chancellor/climate/surveys.html) and a Campus Labs student survey have been completed since June 2011.  



",--,,--,"Although not a through diversity and equity assesment in terms of governance and public engagement, the campsu did create a shared governance model in 2013.  
See:  http://www.d.umn.edu/chancellor/governance/",http://www.d.umn.edu/chancellor/climate/surveys.html,--
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:28:54,good0044@morris.umn.edu,2.0,Pursuing,True,"We assess diversity and equity information on campus in several ways. We collect student experience data yearly. Our last NSSE survey was 2014.

1) We use institutional student experience survey information and NSSE data to examine how diverse student groups are performing at Morris, and to learn about participation and satisfaction of these groups, as well as identify areas for improvement.
2) Students living on campus (95% of first year students and half of all students) complete an annual educational benchmarking study assessing students experience with residential life.  Questions assessing the equity and diversity climate ask student a series of questions rate ""to what extent do your fellow residents respect people of differing genders"" as well as sexual orientation, races/ethnicities, religious beliefs, and political views.
2) The Office of Equity, Diversity, and Intercultural Programs engages with large numbers of students from under-represented student populations and receives feedback from them.
3) Focus groups and listening sessions have been used to gather feedback about attitudes and campus culture for diversity and equity.
4) Campus leaders regularly review retention and graduation data for diverse student populations.  
 
We send out a Residential Life benchmarking survey that goes out to first year students and half of the student body.
",True,As described above for students. Based on campus climate assessment work we now have gender-inclusive housing and we are working on a map of gender-neutral restrooms to link to our QIC website.,True,"Each year, including 2014, the University of Minnesota administers an Employee Engagement (E2) survey. The survey reaches all faculty and staff at Morris. The results allow campus groups to assess their unit's climate towards equity and diversity. Specifically, the following question is asked: ""Overall, my department demonstrates a commitment to diversity and inclusion."" The results from the survey are shared with all campus staff and faculty. Typically, our Chancellor then provides an email to campus describing future directions based on the survey results. Most recently, improvement has focused on raising faculty salaries.",--,,http://www.morris.umn.edu//hr/engagement/,--
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:35,stennes@umn.edu,2.0,Pursuing,True,"In 2014 President Eric Kaler charged a group of senior leaders to develop strategies and tactics to improve the climate on the Twin Cities campus.  Those leaders formed the Campus Climate Workgroup and met, with staff from their respective units, 19 times between February and October 2014. In addition, smaller working subgroups met between full workgroup meetings and reported their findings and recommendations.  The Workgroup assessed the current climate, using available quantitative and qualitative data; reviewed current activities aimed at improv¬ing the campus climate; reviewed promising practices nationally; developed a definition of a welcoming campus; and identified, and began to implement, strategies and tactics for further improving the climate on campus.",True,"The Student Experience in the Research University (SERU), a comprehensive survey is administered periodically (2009, 2010, 2012, 2013) to all undergraduates at the University of Minnesota Twin Cities campus. The data are used to help leaders understand the student experience across a number of dimensions including, but not limited to, campus climate.
 
In 2010 the Office of Institutional Research produced a report for the Office for Equity and Diversity analyzing the SERU questions pertaining to campus climate. Overall, the results were very positive, with 92 percent of all students somewhat to strongly agreeing that different student subgroups are respected on campus. However, in looking at the responses of members of subgroups, differences between students of color and white students emerge on some questions of campus climate.

The Campus Climate Workgroup also sought data through qualitative assessment. Student Affairs and Equity and Diversity leaders regularly meet with student cultural centers and other student groups and share what is learned with the Workgroup. Campus leaders have also heard a number of issues related to campus climate raised by a student collective, Whose Diversity? In addition, listening sessions were held with students, faculty, and staff in February and March of 2014 to gather a range of perspectives.",True,"The Collaborative on Academic Careers in Higher Education (COACHE) survey was administered November 2013–January 2014. This survey is used to understand how faculty at different career stages experience academic work life as compared to faculty at selected peer institutions.  It highlighted differential experiences between white faculty and faculty of color and between male and female faculty. These data will be shared with deans to help them develop strategies to enhance faculty satisfaction and development.

The Employee Engagement survey was recently established for all faculty and staff and is a useful measure of employee perceptions of the campus and workplace climate. There are a number of items on the survey that shed light on employee perceptions of the campus climate.  The Workgroup will assess the strengths faculty and staff find related to campus climate and any differences between faculty and staff or between employees of color and white employees on key dimensions once there is more data collected.",True,"While there is not an official assessment done in terms of governance, this past year the University Senate Office did a very ""unofficial"" review of the racial composition of the Senate’s committee members and deducted that only about 8% of the members were people of color.  That led to the chair of the Faculty Consultative Committee’s request to the Committee on Committees to work to increase the diversity of people in the University’s governance bodies.  

The University Senate has three committees who work on issues pertaining to equity and diversity.  1) The Disabilities Issues Committee recommends University policies, procedures, programs, and services concerning faculty/academic professionals, students, staff, and guests of the University with disabilities.   2) The Equity, Access, and Diversity Committee is primarily concerned with the impact and compliance of University policies, programs, and services on equal opportunity, affirmative action, and diversity from a system perspective. 3) The Social Concerns Committee is primarily concerned with the interrelationship between the University and the broader social community. It is concerned with the nature and extent of the University's response to social concerns. 

One of the “issue areas” that the Office for Public Engagement focuses on is “diversity, equity and inclusion.”  This issue area connects individuals, groups and University units that have interest in or are conducting community-engaged research, teaching and/or outreach work on similar issues to build more coordinated, internally aligned approaches to address this issue.  The goal of this issue area is to catalog existing community-engaged work focused on diversity, equity and inclusion and identify gaps in existing work.

In September 2011, the Office for Public Engagement, the Office for Equity and Diversity, and the Global Programs and Strategies Alliance, created the Intercultural Competence Work Group (ICWG).  Recognizing the overlapping intercultural work of these offices, the units’ leaders joined forces to help build a comprehensive and coordinated system-wide agenda for strengthening intercultural competence.  This joint effort is now facilitated by the ICWG.  The mission of the ICWG is to build a university that fosters the capacity for students, staff, and faculty to work intentionally across cultures and contexts in creating inclusive, equitable, and reciprocal community and university partnerships for advancing the institution’s mission.    ",http://engagement.umn.edu/our-impact/issue-area-networks/diversity,--
University of Missouri,2015-05-01,2015-05-01 15:33:53,raghavans@missouri.edu,2.0,Pursuing,True,"Building on earlier campus climate students from 2001-2005 and 2009 which studied the experiences of specific populations on campus, the University of Missouri conducted a comprehensive campus climate study of faculty, staff and students in Spring 2012. Data were collected from 3,380 respondents through an online survey and is currently being analyzed.

The 2001-2005 MU Campus Climate Study was a rigorous and comprehensive self-evaluation that provided new information about how majority and minority group members perceived the current climate for diversity at MU for six groups: women, people of color, people with disabilities, lesbian, gay, bisexual and transgender (LGBT) individuals, non-Christian religious minorities, and non-native English speakers.

Data collection for Phase I began in the fall of 2001, which involved MU’s participation in the Rankin National Climate Study. There were three simultaneous phases of data collection in 2002, and the fifth and final phase of data collection was completed in February 2005. Data was collected from nearly 6,000 faculty, staff, students and administrators at MU across all five phases of data collection. In addition, three volumes of reports were prepared and disseminated containing nearly 500 pages of findings and information, which can be found here: http://diversity.missouri.edu/about/climate/2001-2005/index.php ",True,"The 2009 campus climate survey was used to provide comparative data for earlier campus climate research from 2001 through 2005. Unlike the previous series of studies, the focus was solely on students. All undergraduate, graduate and professional students were notified and invited to participate via mass e-mail, MU Info and campus promotions. A self-selection of 3,522 or 12 percent of the student population responded. Participants were predominantly undergraduate (77.4 percent), female (66.5 percent), White/European American (80.4 percent), Heterosexual (90.1 percent), and without disabilities (92.1 percent)

When asked about numerical diversity on campus, students of color were less satisfied than white students with the number of students, faculty, and staff.  Moreover, students of color were less satisfied with the overall climate than white students. When asked about satisfaction with the overall campus climate related to diversity, the most satisfied groups included White, Christian, Political Conservatives, Political Moderates, Veterans, Men, and Women. The least satisfied groups were Transgender, LGBQ, People of color, Religious minorities, People with disabilities, Political liberals, Agnostics/atheists, and non-native English speakers.

Experiences of harassment (17.8 percent), embracing diversity (14.5 percent), and satisfaction with numerical diversity (34.8 percent) each accounted for significant variance in predicting student “satisfaction with overall climate” with the full model accounting for 66.9 percent of the variance in student ratings. Despite clear influences related to personal experiences of harassment and the general climate, we found that the degree to which “students in general” and “administrators” were perceived to embrace diversity were important.  Moreover, the central predictor of ratings of overall climate were based on “satisfaction with numerical diversity” for students, faculty and staff, which partially mediated the variance accounted for by personal experiences of harassment.
For the complete executive summary, please visit http://diversity.missouri.edu/about/climate/index.php 

Survey with past participants of Diversity 101 (an online course for faculty and staff) revealed that out of complete responses (n=38): 92% of respondents reported that they felt more confident in their ability to engage with individuals who are different from themselves as a result of participating in this online course; 41% reported initiating changes to department policies or practices to be more inclusive; 75% reported that they have made efforts to speak up when people say things that are inappropriate or offensive; and 89% have made an effort to be mindful of when they are applying biases and to stop and question assumptions. 

MU Communication faculty and Chancellor’s Diversity Initiative staff are collaborating with students in Freshmen Interest Groups on a research project to test what impact six online diversity education lessons and the race of the avatar mentor in each lesson has on student learning and attitudes.  ",True,"As required by law, the University completes an affirmative action plan which assesses demographic diversity by comparing employee demographics with the demographics of those eligible to seek employment in the identified job group in the identified recruiting region.  By law, the appropriate comparator is the job market, not the “communities being served.”  The University seeks to remedy underutilization as identified by the Plan.

Additionally, the University seeks to track equity complaints to assess trouble spots and recurring issues.  A faculty exit interview system gives departing faculty a final opportunity to alert the University to equity issues that need to be addressed.
",--,"The University’s strategic plan addresses diversity and creates measures for assessing progress: “Continually strengthen a diverse, safe and inclusive culture that encourages and rewards interaction across demographics, social, and interpersonal differences”",http://diversity.missouri.edu/about/climate/,--
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:20,johnstonrk@umkc.edu,2.0,Pursuing,True,"The Minority Recruitment and Retention Subcommittee of the Strategic Enrollment Management Team is comprised of interested and committed individuals representing the divisions of Academic Affairs as well as Student Affairs and Enrollment Management. The Subcommittee worked for many months to create a plan to be included as part of the university’s overall Strategic Enrollment Management Plan and one of the initiatives of the subcommittee was a survey of the racial climate at UMKC. It was believed this was an important first step in eventually creating the kind of university that would attract, retain and graduate a higher number of students of color which is a clearly stated goal of the university. Further, the previous survey was conducted in 1999 and all agreed that UMKC had changed significantly in that period of time, making it necessary to survey students again.",True,"The Minority Recruitment and Retention Subcommittee of the Strategic Enrollment Management
Team is comprised of interested and committed individuals representing the divisions of Academic Affairs as well as Student Affairs and Enrollment Management. The Subcommittee worked for many months to create a plan to be included as part of the university’s overall Strategic Enrollment Management Plan and one of the initiatives of the subcommittee was a survey of the racial climate at UMKC. It was believed this was an important first step in eventually creating the kind of university that would attract, retain and graduate a higher number of students of color which is a clearly stated goal of the university. Further, the previous survey was conducted in 1999 and all agreed that UMKC had changed significantly in that period of time, making it necessary to survey students again.",True,"The University of Missouri Kansas City values diversity as central to our mission as an urban research university. We believe diversity is an important “driver” of excellence in education an education that prepares students for an increasingly complex global environment. Today’s students are more diverse in age, gender and cultural background, creating opportunities for UMKC to better understand and serve changing and dynamic educational needs. In fact, UMKC’s ability to respond to these changing needs has implications for enrollment, retention and graduation rates. Our undergraduate, graduate and professional programs benefit from a dynamic and diverse student population, faculty and staff that represent the many facets of our
city, the region, and the world. When students, staff and faculty develop competencies to work across differences, then creativity, problem solving and innovation result.",True,UMKC Diversity Plan included public engagement and assessment.  ,http://www.umkc.edu/provost/downloads/UMKC_Strategic_Diversity_Plan_Report_10-24-13.pdf,--
University of Mount Union,2016-01-13,2016-01-13 13:05:30,mcclauca@mountunion.edu,2.0,Pursuing,True,Series of questions presented to students,--,N/A,--,"The University has not performed an official assessment on employee diversity. The University does review diversity with every search. 
Ads are placed with diversity in mind, each candidate’s application is acknowledged and each candidate is asked to complete an EEO card and return the EEO card to the University. The University tracks the diversity pool within each search to ascertain if a diverse group on candidates is represented, once the assessment has been made candidates are invited to campus. 
Diversity is assessed in terms of international, American minorities, including gender, sexual preference and socio-economic status. 
",--,N/A,--,"data provided by Richard Jackson, Assistant Dean of Students, Director of Diversity and Inclusion, entered by Leah Graham"
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:45:01,pshrestha3@unl.edu,2.0,Pursuing,True,The UNL Academic affairs office conducts assessments regarding diversity and equity within the campus climate.,True,"The Oasis town hall meeting first held on October 29 is an opportunity for students and the university community to discuss campus culture and diversity issues on campus.  
Several University Administrators participated in the discussion and have indicated that progress will be made. ",True,The UNL Academic affairs office conducts assessments regarding diversity and equity on campus in a survey every other year.,--,,--,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:37,slburke@unomaha.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
University of New Hampshire,2016-03-25,2016-03-25 21:54:30,colleen.flaherty@unh.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,See also http://www.unh.edu/inclusive/sites/unh.edu.inclusive/files/pdf/progress/10-20_InclusiveExcellenceStategicPlan.pdf.
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:58:00,cpshea@fac.unc.edu,2.0,Pursuing,True,"The 2011-2012 Diversity Plan Report by Diversity and Multicultural Affairs (DMA) provides an update on the implementation of the campus Diversity Plan and describes Carolina’s state of diversity. It builds on the diversity plan reports submitted by the academic and administrative units in 2012, institutional data pertaining to the gender and racial/ethnic diversity of the campus community, undergraduate students’ completion and persistence data for gender and racial/ethnic groups, and the recruiting and retention outcomes of faculty and EPA staff.

Compared to the previous unit reports, more reporting units engaged in diversity education and training. Schools incorporated or highlighted diversity content in their courses. Administrative units offered, and in some instances required, various diversity training programs and seminars such as Safe Zone to their students and staff. The Office of the Vice Chancellor for Finance and Administration required all their employees to complete diversity training. 

DMA recommends:
• Building an assessment mechanism, that incorporates setting achievable diversity goals/objectives (short term) and measurable expected outcomes in the planning phase. The assessment mechanism should be part of a retooled process that also incorporates conducting self-evaluation of the actual outcomes. Additionally, the use of a revised reporting template to capture self-evaluation results in the reporting phase can help to measure success and improve efforts in a more effective and systematic way.
• Increasing resources to enhance academic support to minority students and to evaluate the effectiveness of existing programs or initiatives focused on student retention and academic support. 
• Developing an institutional plan and strategy to effectively recruit and retain faculty from targeted minority populations.",True,"The 2011-2012 Diversity Plan Report is the fourth report describing Carolina’s state of diversity. According to the report, the majority of the academic and administrative units continued to make concerted efforts to improve diversification of students, faculty and staff. Carolina has made continuous improvement in recruiting and enrolling minority students, particularly Hispanic and Asian students, but students’ academic achievement in terms of completion and persistence between gender and racial/ethnic groups vary remarkably. 

In 2010, Carolina conducted its second diversity assessment. There was over 92 percent agreement in responses from students, faculty, and staff that the campus community was well aware of the University’s commitment to diversity. The majority of the respondents agreed that the University demonstrated a commitment to respecting differences of opinion. Approximately 70 percent of the respondents felt that they were valued by the University. However, African American and Hawaiian/Pacific Islander student and faculty respondents, as well as American Indian faculty respondents, were much more likely to experience situations in which they felt marginalized at the University. 

Units conducted diversity related research and secured funds to support diversity related research. For instance, the Center for Civil Rights conducted research on the impact of diversity on K-12 education and the Office of Undergraduate Research received funds from the Howard Hughes Medical Foundation to support the HHMI Undergraduate Research for Future Scientists and Clinicians (HHMI-FSC) program. This program empowers high-ability Carolina Covenant Scholars to undertake original research under the supervision of research-active faculty, graduate students, and postdoctoral mentors. The Office of Undergraduate Education published papers on how Undergraduate Education’s academic interventions have served students with diverse needs.

On the basis of the assessment, the DMA recommends increasing resources to enhance academic support to minority students and to evaluate the effectiveness of existing programs or initiatives focused on student retention and academic support. ",True,"The 2011-2012 Diversity Plan Report is the fourth report describing Carolina’s state of diversity. According to the report, the majority of the academic and administrative units continued to make concerted efforts to improve diversification of students, faculty and staff. In contrast to the student population, faculty and staff populations did not make noticeable improvements in the area of racial/ethnic diversity. Efforts were made to recruit and hire minority faculty and EPA staff; however, the University lost a similar amount of minority faculty and EPA staff within the same period of time, resulting in little net improvement. 

In 2010, Carolina conducted its second diversity assessment. There was over 92 percent agreement in responses from students, faculty, and staff that the campus community was well aware of the University’s commitment to diversity. The majority of the respondents agreed that the University demonstrated a commitment to respecting differences of opinion. Approximately 70 percent of the respondents felt that they were valued by the University. However, African American and Hawaiian/Pacific Islander student and faculty respondents, as well as American Indian faculty respondents were much more likely to experience situations in which they felt marginalized at the University. These minority faculty respondents were also more likely to disagree with the statements that the “tenure and promotion processes in the University were free from bias based on personal characteristics”, and “retention efforts in the University reflect a commitment to maintaining a diverse faculty”. 

Compared to the previous unit reports, more reporting units engaged in diversity education and training. Schools incorporated or highlighted diversity content in their courses. Administrative units offered, and in some instances required, various diversity training programs and seminars such as Safe Zone to their students and staff. The Office of the Vice Chancellor for Finance and Administration required all their employees to complete diversity training. 

On the basis of the assessment, the DMA Organization recommends developing an institutional plan and strategy to effectively recruit and retain faculty from targeted minority populations.",--,,http://diversity.unc.edu/research-and-publications/diversity-plan-reports/,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:22,cgcarwei@uncg.edu,2.0,Pursuing,True,"Beginning with the 2013-14 academic year, the Chancellor’s Advisory Committee for Equity, Diversity and Inclusive Excellence established their own goals and objectives for the year. The 2013-14 committee was also divided into three sub-committees charged to conduct a final review and provide recommendations on the following areas:

1) Employee Recruitment and Hiring Process;
2) Faculty Recruitment, Retention, and Promotion and Tenure; and 
3) Undergraduate and Graduate Student Recruitment, Retention and Graduation.

Based upon the findings of the sub-committees (See Attached Sub-Committee Reports), the committee unanimously voiced their desire for administration and the university community to engage and take action to move their recommendations regarding diversity and inclusive excellence initiatives forward. The committee felt strongly that engaging the campus community in the diversity/inclusive excellence objectives was critical for the success and continued evolution of the university in the local, state and global marketplace. Reflecting upon past recommendations as well as those included in the current 2014 sub-committee reports, attached is a listing of all committee recommendations to the university outlining whether the suggested recommendations were acted upon or tabled for future

http://oedi.uncg.edu/wp-content/uploads/2013/03/Final-Report-of-CACEDI-073014.pdf


2008 CAMPUS CLIMATE ASSESSMENT (OUTDATED)

Rankin and Associates, a consulting firm specializing in higher education issues, conducted an assessment of diversity and inclusion at UNCG. The firm conducted fact-finding interviews on campus with groups of minority and majority faculty, and surveyed minority faculty who had left UNCG in the past 10 years. Recommended actions were then developed for the final report. These data have been used in planning the forthcoming Office of Equity, Diversity and Inclusion.",True,"2013 Subcommittee Annual Report: Executive Summary 
(full report available on pages 17-26 in file linked below)

The Student Recruitment, Retention and Graduation Subcommittee of the Chancellor's Advisory Committee on Equity, Diversity and Inclusion was charged to review policies and practices associated with the recruitment, retention and graduation success of UNCG undergraduate and graduate student populations.  To that end the committee has met, and committee members have interviewed campus areas that have direct impact on these issues. The interview process has led to the identification of many dedicated efforts across campus, both by specific supportive areas and on a collaborative system wide level as well. The process also identified possible efforts that could be considered if additional support and resources became available.

The subcommittee also met with members of the Provost's Task Force for Student Retention and Advising, and the FTLC Learning Community for Faculty and Staff on Advising and Retention to share information and ideas. The subcommittee was impressed by the variety and level of commitment across campus to insuring that the diverse student population was appreciated and supported in their academic success. However, there was recognition that further measures were necessary to assess the effectiveness of these various campus areas. In the Recommendations section, the subcommittee proposed a campus climate survey, an online diversity resource guide, and an institutional effectiveness paradigm. 

http://oedi.uncg.edu/wp-content/uploads/2013/03/Final-Report-of-CACEDI-073014.pdf
",True,"Establishment of Goals
[41 CFR 60-2.11 through 2.16]
 
In establishing the affirmative action goals for the current Program year, the following steps were performed:
 
     I.     Job Group Analysis
 
Job categories for the University's full‑time permanent employees were determined.
 
    II.     Availability Analysis
 
Availability data concerning personnel pools for positions in the University's job categories were analyzed.
 
   III.    Comparison of Incumbency to Availability and Goal Setting
 
Ratios of minorities and women in the University's present work force were compared with ratios of minorities and women in the available pools.  Those ratios were analyzed for statistical significance to determine whether females and/or minorities are represented less than would reasonably be expected.  Placement goals were set where females or minorities were not represented as would be reasonably expected.
 
Job Group Analysis
 
In compliance with regulations [CFR 60‑2.12 (b)] of the Office of Federal Contract Compliance Programs (OFCCP), the oversight agency for Executive Order 11246, all the University's job titles (EPA and SPA) were reviewed and grouped on the basis of the following: (1) similar work content, (2) similar rates of pay and (3) similar opportunities.   Data on the work force on December 31 of the most recent year were used.   Each of the identified job groups has been assigned a three‑digit code.  The job categories relate to subdivisions of the Occupational Activity (OA) Code Classification, which is the system used in the University's routine reports to the Office of Federal Contract Compliance.",True,"The University of North Carolina at Greensboro Application for the Carnegie Foundation for the Advancement of Teaching Elective Community Engagement Re-Classification is available here:

http://communityengagement.uncg.edu/wp-content/uploads/2014/07/Carnegie-Application_Public-Updated.pdf

EXCERPT FROM PAGES 39-41:

In January 2013, UNCG hosted Dr. Timothy K. Eatman, Co-Director of Imagining America: Artists & Scholars in Public Life and Assistant Professor of Higher Education at Syracuse University. The focus of the two-day visit was The Intersection of Diversity, Community Engagement, and Student Success. Dr. Eatman spoke to over 127 faculty, staff, students, and community members on a variety of subjects.

Dialogues facilitated by Eatman included strategies for equity, diversity, and inclusion to improve college access and success of traditionally underserved students the next generation of community-engaged scholars; collaborative technologies; the role of the arts, humanities, and design to re-imagine and reinvigorate scholarship and communities.

Evaluation data collected at each of the workshops suggest that faculty found these workshops useful, and that they are excited to continue leveraging a shared agenda around community engagement, diversity, equity, and inclusion, and student success.
Eatman’s visit was part of the larger UNCG Community Engagement Series (http://communityengagement.uncg.edu/speaker-series.aspx), a collaborative university-wide initiative that brings nationally and locally renowned community engagement scholar-practitioners to campus to engage with faculty, staff, students, and community colleagues.

The 2013 series was sponsored by the Office of the Provost, Institute for Community & Economic Engagement, Office of Leadership and Service-Learning, Faculty Teaching & Learning Commons, School of Health and Human Sciences Office of Community Engagement, Chancellor’s Advisory Committee for Equity, Diversity, & Inclusion, Office of Learning Communities, Coalition for Diverse Language Communities, and the UNCG Public Scholarship Graduate Network.

As a direct result of the planning and successful outcomes of the Series, the director of the Institute for Community and Economic Engagement was asked to serve on the Chancellor’s Advisory Committee for Equity, Diversity and Inclusive Excellence (CACEDIE). The Committee has been charged to review practices and efforts by the academic areas to recruit, retain and engage faculty; the recruitment, retention and graduation success of our undergraduate and graduate student populations, and recruitment and hiring processes on campus. The conversation sparked by Eatman about full participation has persisted into these dialogues and plans.

Diversity efforts are also specifically connected to community engagement within the Center for New North Carolinians through partnerships, programs, grants, professional development, and fellowships. ORED shares best practice in cultural competence with CACEDIE and Human Resources. The Coalition for Diverse Language Communities (http://cdlc.uncg.edu/) was founded by faculty and supported by the School of Education dean and the ORED vice chancellor to promote innovative, relevant, and collaborative work in the areas of community-engaged research, outreach and advocacy, policy work, and professional development. This impressive network includes fellowships for community-engaged scholarship, professional development, grants, publications, and conference and community presentations.

Diversity and inclusion are connected via the QEP topic of Global Engagement as the topic relates to intercultural competence and uses community engagement strategies to teach these abilities and skills. Additionally, the School of Health and Human Sciences Office of Diversity hosted a Faculty Forum on Community Engagement and Diversity. Panelists presented data collected from its faculty and other studies on the interconnections between the two priorities.",http://oedi.uncg.edu/,"Information for this credit was obtained in part from the following UNCG employees:

Rod Wyatt, Chair of Chancellor's Advisory Committee on Equity, Diversity and Inclusion

Benita Peace, Human Resources Talent Acquisition Director and Affirmative Action Officer

Emily Janke, Director of the Institute for Community and Economic Engagement (ICEE)"
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:35,pohlmank@uncw.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
University of Oregon,2016-03-23,2016-03-23 11:02:36,smital@uoregon.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
University of Pittsburgh,2016-03-24,2016-03-24 12:59:31,lwzfm1@pitt.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
University of Richmond,2016-02-17,2016-02-17 15:17:39,randreje@richmond.edu,2.0,Pursuing,True,"University staff members are participated in the ""Great Colleges to Work For"" survey, sponsored by The Chronicle of Higher Education and administered by ModernThink. The University has participated in this survey in 2010, 2012, and 2015. Questions related to diversity and equity are included in the sections on Respect & Appreciation, as well as Fairness. 

The University of Richmond was awarded a four-star rating from the Campus Climate Index, a division of Campus Pride, a nonprofit organization promoting LGBT-friendly learning environments at colleges and universities. Campus Pride cited new initiatives, such as the LGBT resource center, in raising the university’s rating from a three-star score in 2010. Richmond received the maximum five-star rating in the areas of support and institutional commitment to LGBT students, their student life and campus safety.",True,"Data is gathered annually to assess the retention and graduation rates of all undergraduate and graduates, in aggregate and disaggregated form. Percentages of students by race, gender, and first-generation status, Pell grant status, nationality are reported annually, and retention and graduation rates are also reported by student group. The University has also completed a lengthy retention study in early 2015 in order to better understand who is leaving before graduation and to determine any trends but that report has not been made public outside the institution. Work groups were created across the campus (within student development, academics, etc.) to recommend policy and programmatic changes related to the retention study and those recommendations are starting to be shared with the campus community. 

Also, annually the University participates in the National Survey of Student Engagement (NSSE).

",True,"The University has participated in the Great Colleges to Work For assessment, administered by the Chronicle of Higher Education since 2010. Working groups have been put in place to address areas of opportunity and our response rate and scores have improved each time we've taken it. Our new president has indicated in campus-wide communication that the results will be used again in the next campus strategic planning process as we work to identify opportunities for improved workplace satisfaction. ",True,"Beginning in January 2016, Provost Jacque Fetrow initiated an institutional equity review through the work of the new Planning Committee for a Thriving and Inclusive Community. The Committee will work with consultants Professor Estela Bensimon of the University of Southern California and Professor Shaun Harper of the University of Pennsylvania to organize numerical data on key indicators of student outcomes (in access, retention, participation in high-impact practices, and excellence in completion) so that progress toward racial equity can be systematically and routinely monitored in order to identify and address significant gaps. The Committee will develop a set of recommendations that should be addressed by working groups as part of the strategic planning process.

The University of Richmond's strategy of intentional engagement led to a community engagement classification from the Carnegie Foundation for the Advancement of Teaching — one of only 16 top national, liberal arts colleges selected. This elective classification is an evidence-based documentation of University practices and requires a substantial commitment from the entire institution.",http://hr.richmond.edu/talent/workplace-survey.html,"http://hr.richmond.edu/talent/workplace-survey.html
https://strategicplan.richmond.edu/"
University of South Carolina,2016-02-29,2016-02-29 17:11:44,KOPPAN@mailbox.sc.edu,2.0,Pursuing,--,"Less than a year ago, the University hired a Chief Diversity Officer who is currently working to conduct a university system-wide climate assessment.  Although there have been faculty and student assessments done in the past, the university has not endeavored in a comprehensive climate assessment.",--,,--,,--,,http://www.sc.edu/focuscarolina/pdfs/Strategic_Plan_for_Diversity.pdf,--
