Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Number of students engaged in community service,Total number of students ,Does the institution wish to pursue Part 2 of this credit (community service hours)?,Total number of student community service hours contributed during a one-year period,Does the institution include community service achievements on student transcripts?,"A brief description of the practice of including community service on transcripts, if applicable",Does the institution provide incentives for employees to participate in community service (on- or ...,A brief description of the institution’s employee community service initiatives,The website URL where information about the institution’s community service initiatives is available,Public Notes
University of Illinois at Chicago,2016-02-12,2016-02-12 17:23:53,Cindy@uic.edu,2.0,Pursuing,4849.0,24607.0,True,22353.5,True,"The UIC Co-Curricular Transcript documents the learning and activities that students engage in outside of the classroom. Used in conjunction with the academic transcript, the co-curricular transcript provides a comprehensive overview of a student’s collegiate experiences during their time at UIC. Students may input various experiences through the Collegiate Link online program to build their Co-Curricular Transcript, thus documenting their learning through experiential education.",True,"Various administrative departments, including the Student Leadership Development & Volunteer Services (SLVDS), Campus Housing, Campus Programs, and Athletics, offer a variety of community-service opportunities for UIC’s undergraduate and graduate/professional students to choose from when they seek to volunteer their time.",http://www.uic.edu/honors/learning/requirements.shtml,"There are numerous opportunities for the student body to get involved in community service and it is difficult to get an exact count since there is no one central repository. The Office of Student Leadership, Development and Volunteer Services operates a volunteer opportunity listing http://www.uic.edu/depts/sldvs/index.html. They reported 179 students participated in the program in the last year.

The Honors College which requires its students to engage in community service each semester.http://www.uic.edu/honors/learning/requirements.shtml The number of students participating through the Honors College is 144.

UIC also has a Co-Curricular transcript program called UIC Experience. Credit for this transcript can be obtained through volunteering for service opportunities in the Chicagoland area, tutoring, etc. http://www.uic.edu/depts/ovcsa/get_involved.html "
"University of Illinois, Urbana-Champaign",2016-03-23,2016-03-23 09:19:52,spauldng@illinois.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"Community Service participation is central to the education mission at Illinois.  More than 10,000 courses include community service as part of the curriculum.  In addition, students have the opportunity to volunteer through the Office of Volunteer Programs and many fraternities and sororities are involved in community service efforts.  Further, Illinois hosts more than 140 registered student organizations that are classified as service oriented.  Acquiring data regarding number of students and hours is a challenge since these numbers are not tracked centrally."
University of Louisville,2016-02-13,2016-02-13 03:03:01,justin.mog@louisville.edu,2.0,Pursuing,17051.0,17317.0,True,447817.0,True,"The University of Louisville recognizes that learning occurs both inside and outside the classroom. Students have the opportunity to record the kinds of engaged activities that take place outside the classroom on a report called Student Engagement Record. While the academic transcript records student learning inside the classroom, the student engagement record documents activities outside of the classroom. It allows students to highlight involvement in student organizations, leadership positions held, service both on-campus and in the community as well as employment information. The Student Engagement Record provides six categories to record what you are doing outside of class. The categories are:
    Campus Involvement
    Community Service
    Employment
    Leadership
    Academic Honors and Student Awards
    Service Learning
http://louisville.edu/engage",True,"In 2013, UofL instituted the following Community Service Leave Policy:

Purpose: The University of Louisville recognizes the importance of community involvement and encourages employees to participate in volunteer activities by providing flexibility in work schedules and paid leave opportunities.

Benefits:
- To promote community engagement through public service and our Signature Partnership.
- To promote involvement in community schools, supporting learning and student success.

Eligibility: Community Service Leave of one day during a calendar year (pro-rated for part-time employees) may be approved for regular (classified, professional and administrative) staff members, subject to the following guidelines:
- Employees, whose performance is deemed satisfactory, are eligible to request Community Service Leave.
- Employees must receive prior approval from their supervisor. The supervisor may require leave be taken at an alternative time, based on operational needs of department. Employee may be required to provide documented proof of volunteer service hours from service organization.
- Community Service Leave does not contribute to time worked in determining overtime and will be offset by any additional time worked during a work week.
- Unused Volunteer Leave may not be carried over to the following calendar year; whenever an employee moves from one unit to another without a break in regular continuous service, unused Community Service Leave shall be transferred to the new unit for future use during the remainder of the calendar year; and will not be paid at termination.

Usage: Community Service Leave may be used for the following initiatives:
- Involvement in schools (daycare, K-12; public or private).
- Volunteering in a community service organization.
- Disaster relief and emergency volunteer activities.
Exclusions are as following:
- Partisan political activities.
- Religious activities or services which support or promote religious beliefs.

Questions can be directed to Human Resources at 502.852.6258 or by email at hradmin@louisville.edu.",http://louisville.edu/communityengagement,"In the 2014-2015 academic year, UofL's Office of Community Engagement documented that 17,051 UofL students logged 447,817 hours of service through 1,214 community partnerships. According to Independent Sector.org, the value of that UofL volunteer time totaled an estimated $9,086,206. Undocumented service activities would bring the total even higher. The number of full-time students enrolled at UofL during the 2014-15 academic year was 17,317. More Details: http://louisville.edu/communityengagement/community-engagement-partnership-1/201415PartnershipReport7215.pdf"
"University of Maryland, College Park",2016-03-23,2016-03-23 15:56:41,sdeleon@umd.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
University of Massachusetts Amherst,2015-12-17,2015-12-17 14:45:36,esmall@facil.umass.edu,2.0,Pursuing,9200.0,21299.0,True,23000.0,--,,--,,http://www.umass.edu/community,"The numbers in this report for this credit come from a recent ""Community Impact Report"" called ""UMass Amherst: Making a Difference""  (http://www.umass.edu/universityrelations/sites/universityrelations/files/pdf/community-impact-report.pdf) which sites that ""It is estimated that 9,200 students engage in some kind of community service each year, performing nearly 23,000 hours of service.""


NOTE re: Employee community service:
The campus’s Civic Engagement and Service Learning Office works with more than a hundred faculty members to partner with over 50 local community organizations and public schools, integrating classroom and community experience to enhance learning and meet community identified needs. Faculty and staff also volunteer their time and specialized skills with organizations throughout the region.  In 2011–12, employees and retirees raised $434,000 through the UMass Amherst Community Campaign, with 56 percent of that going to charities and organizations in the Pioneer Valley. "
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:33:15,Tyler_Arrigo@uml.edu,2.0,Pursuing,6622.0,13408.0,True,168000.0,True,Courses that incorporate service learning can be noted on student transcripts.,True,"The faculty union contract (http://faculty.uml.edu/msp/contract/contract-2012.htm) indicates that the criteria for promotion and tenure include convincing evidence of excellence or strength in teaching, research and service that includes service to the community. 

In 2011, the Provost and college deans in collaboration with the executive board of the faculty union, developed a workload policy. “The primary goal is to ensure that all tenured faculty have an equitable total workload, which is defined as the sum of efforts in teaching, research and service.” Each college then developed policies determining expectations in these areas. For example, excerpted from the Workload Policy of the College of Health Sciences: “All members of the faculty . . . are expected to provide excellent service to University constituents: students, faculty, staff members, and community members…..Faculty members are encouraged to provide their professional expertise to professional societies, community agencies and other external organizations. Such service is recognized as an important asset to the university. Impact on workload will be assessed on an individual basis.” 

The College of Fine Arts, Humanities and Social Sciences is in the process of revisiting their current workload policies. There has been significant dialogue around further specifying what might be eligible for course reductions. The College is proposing to build into the system provisions that would encompass engagement activity. Currently, on a case by case basis, the dean grants course load reductions to allow faculty to work on specific types of service projects.

University faculty and staff have received awards for their engagement in the community. Chancellor Meehan accepted a major award from the Greater Lowell Community Foundation at its annual Philanthropy Day for UMass Lowell’s contributions to the community. Computer Science professor Holly Yanco in 2013 was recognized by Boston Business Journal as one of its “Women to Watch,” based in part on her science-education outreach in local schools as well as her key role in our new robotics research center that supports area companies. 

In 2012, our Executive Director of Community Relations received the locally prestigious Kelakos Award for Community Service, citing his work at UMass Lowell. Professor Georges Grinstein of the College of Sciences last year received the distinguished community partnership award of Community Teamwork Inc. of Greater Lowell. History professor Bob Forrant chaired a year-long commemoration of the centennial of the famous 1912 Bread & Roses Strike in Lawrence, Mass., with city tours, academic symposium, history exhibit, and more; also last year, English professor Diana Archibald organized “Dickens in Lowell,” an ambitious remembrance of author Charles Dickens’ 1842 visit to America with a stop in the model textile-mill city of Lowell, which included an award-winning museum exhibition in collaboration with the National Park Service and 65 community events, including a theatrical interpretation of the novel Oliver Twist by Lowell’s Nigerian Cultural Association.
",http://www.uml.edu/News/press-releases/2013/NatlHonorRoll032713.aspx,"The university was recently renamed a “community engaged” university by the Carnegie Foundation for the Advancement of Teaching until the year 2025. 
See: http://www.massachusetts.edu/news/press-releases/umass-one-two-systems-nationally-honored-community-engagement

UMass Lowell also was designated to the President’s Higher Education Community Service Honor Roll for the fifth year. 
See: http://uml.edu/News/press-releases/2014/Honorroll121914.aspx
"
University of Michigan,2016-01-11,2016-01-11 15:37:47,ahorning@umich.edu,2.0,Pursuing,30581.0,43625.0,True,2417923.0,--,,--,,--,"The number 30,581 is based on a survey of a representative sample of the U-M student body.  2232 students of the 3140 respondents have performed community service.  (70.1%).   The 2232 respondents who said they did complete community service over the previous year reported completing a total of 123,709 community service hours.  For the entire student population (43,625) this equates to 2,417,923 community service hours."
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:19,mgranley@d.umn.edu,2.0,Pursuing,2500.0,9099.0,--,--,--,,--,,http://www.d.umn.edu/outreach/civic/,--
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:29:03,good0044@morris.umn.edu,2.0,Pursuing,626.0,1946.0,True,29504.0,--,"Currently, community service is not listed on student transcripts. Because of interest expressed by students, there is a plan in development to represent service. ",True,The Office of Community Engagement at Morris has awards that celebrate faculty and staff community service. ,http://www.morris.umn.edu/communityengagement/,This number represents students who have gone through the Office of Community Engagement to pursue service opportunities. Many other students on campus engage in volunteerism but may not be represented. A survey of juniors and seniors suggests that 80% of upper class men have made a significant service commitment during their time at Morris.
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:45,stennes@umn.edu,2.0,Pursuing,12555.0,46500.0,True,850000.0,True,"Undergraduate students who enroll in and complete the Community Engagement Scholars Program receive documentation of program completion on their academic transcripts. The program requires 400 hours of documented community work, 8 credits of service-learning courses, a series of reflection submissions based on program themes, and completion of a capstone course and an integrative community engagement project for a community partner organization.

www.servicelearning.umn.edu/cesp

General participation in community service activities is not recorded on the transcript outside of this program.

",True,"The University of Minnesota Outstanding Community Service Awards recognize faculty, staff, students, and University-affiliated community partners who, by devoting their time, talents, and expertise to serve the public good, have made significant, demonstrable, and direct contributions to society's well-being. Award recipients receive an engraved statue, a monetary award, a special recognition ceremony and have their name hung on the Wall of Honor at the University's Campus Club in the Coffman Memorial Union building for a year. 

http://engagement.umn.edu/ocsa",http://www.servicelearning.umn.edu/,--
University of Missouri,2015-05-01,2015-05-01 15:34:17,raghavans@missouri.edu,2.0,Pursuing,15127.0,36376.0,True,216968.0,True,"Students who serve 35 or more hours during the semester through the Office of Service-Learning may earn an ""S"" designation for service on their transcripts. ",True,"Faculty and staff serve as leaders in global service initiatives offered through the Office of Service-Learning. In addition to being a facilitator for students, they provide direct service to communities alongside their students. Programs are offered in Ghana, Thailand, Ireland, Costa Rica, India, South Africa and Ecuador. If accepted, faculty and staff have their travel costs covered and receive a small stipend.",https://muserves.missouri.edu/,"(Total hours do not include any hours students served through participation in athletics, student organizations, Greek Life, etc.)"
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:30,johnstonrk@umkc.edu,2.0,Pursuing,1600.0,13762.0,True,9000.0,--,,True,"Welcome to UMKC Service-Learning, a campus-wide support program that connects campus and community. The program for service-learning connects the service needed by the community with the learning needs of students. Alumni, faculty, and staff are welcomed partners in both service and learning. It is important that UMKC faculty, students, alumni, and administrators engage with the communities and organizations that make Kansas City a great place to live, work, and learn. It is also important for Kansas City communities and organizations to know how to connect with students, alumni, and faculty time, talent, and expertise. UMKC Service-Learning supports these connections through Serve 2 Learn, an online project management resource for service-learning, community service, and internships.
The mission of UMKC Staff Council Outreach Committee is to promote the university’s key mission areas* and visibility by positive engagement between the university and the broader community through service and collaboration",http://www.umkc.edu/servicelearning/,--
University of Mount Union,2016-01-13,2016-01-13 13:05:39,mcclauca@mountunion.edu,2.0,Pursuing,1473.0,2200.0,True,33298.0,--,,True,Contribution to community is an explicit requirement for promotion and tenure for faculty members. Additonally the institution  promotes United Way and provides opportunist for  brad participation in a Martin Luther King Jr Day of Service,http://www.mountunion.edu/regula-center,--
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:45:11,pshrestha3@unl.edu,2.0,Pursuing,17632.0,24445.0,True,852792.0,--,,--,,--,"Reported data is for the 2013-2014 academic year, provided by Linda Moody, Director of Service Learning for the Center for Civic Engagement. "
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:46,slburke@unomaha.edu,2.0,Pursuing,8018.0,14786.0,True,384805.0,--,,True,"Though specifically administered by individual's supervisor, voluntary leave, compensatory time or public recognition for community service are all forms of incentives for employee participation in community service.

UNO recently opened what we believe to be the first building of its kind in the country dedicated to Community Engagement.   To see the myriad programs involved in those efforts, please visit the web site below.",http://www.unomaha.edu/community-engagement-center/,--
University of New Hampshire,2016-03-25,2016-03-25 21:55:11,colleen.flaherty@unh.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"Our figures are based on the work of our student service organizations,  the number of students involved and the number of individuals that visit the Office of Community Service and Learning for support. In reality, the number of students engaged in community service is probably much higher.   

By and large, the figures don’t reflect student participation in the academic realm (service-learning).  Service-Learning differs from community service in that service-learning connects directly to a course through in-class reflection and shared learning.  The time commitment varies.  Some courses require up to a 20-hour out-of-class placement, others participate in a short, one-time activity.  

The Thompson School offers a degree or certificate in Community Leadership.  All students must be involved in community work throughout the 2-year program.

"
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:58:08,cpshea@fac.unc.edu,2.0,Pursuing,17184.0,24498.0,True,1778624.0,True,"The Buckley Public Service Scholars program, started in 2003, recognizes students who graduate with at least 300 hours of service, complete one service-learning course, and four skills trainings. Currently 9% of Carolina undergraduates are enrolled participants. In 2014, UNC graduated 251 Public Service Scholars. As a group, they reported more than 113,400 hours of service, an average of 452 hours per graduate.Fifteen students reported more than 1,000 hours each, and two students recorded more than 2,000 hours. The Public Service Scholar designation is recorded on student transcripts.",True,"UNC employees work on Habitat for Humanity homes, with the Interfaith Council for Social Services that runs a food bank and is building a new homeless shelter, with the Rape Crisis Center, in multiple social service and environmental organizations, and in community gardens. ",http://www.unc.edu/ccps/,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:32,cgcarwei@uncg.edu,2.0,Pursuing,11549.0,17659.0,True,812581.0,True,"Community service appears on UNCG students' academic transcripts if the community service is done through a credit bearing course, such as academic service-learning (which is a formal designation process at UNCG), a student practicum, pre-service teaching, internship or independent study. Co-curricular volunteer service does not appear on the official academic transcript; however, UNCG is preparing to initiate a co-curricular transcript in recognition of leadership and service.",True,"In recognition of the State’s interests in supporting its employees who wish to volunteer in schools, communities, institutions of higher education, State agencies, and not-for- profit organizations, and recognizing the commitment of State employees to engage in volunteer service, Community Service Leave, ... may be granted to any employee for volunteer activity provided that the service is outside of the employee’s normal scope of duties and responsibilities and that the employee is not receiving any form of compensation for the services rendered. The twenty-four hours (24) of paid leave shall be credited to each employee on January 1 of each year, unless the employee chooses one of the special provision options for volunteering in a literacy program or tutoring/mentoring.",http://olsl.uncg.edu/,"Additional information about the institution’s community partnerships can be found at this website URL:  http://communityengagement.uncg.edu/

The website URL where information about the institution’s employee community service initiatives is available: 
http://www.oshr.nc.gov/Guide/Policies/5_Leave/Community%20Service.pdf

General Community Service; Student Service Estimates:

- number of students who engaged in academic service-learning = 7,485

- number of students who engaged in forms of community service not including the students counted in determining (a) = 4,064

- total number of students who engaged in community service of any kind = 11,549

- number of students who engaged in at least 20 hours of any kind of community service per academic term = 6,150

- number of students whose service was supported by one or more CNCS programs = 109

- total number of all community service hours engaged in by the institution's students = 812,581.

These data are for the 2013-14 academic year and the total enrollment figure includes extension courses. Information for this credit was received from Dr. Cathy Hamilton, Director of the Office of Leadership and Service Learning at UNCG."
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:44,pohlmank@uncw.edu,2.0,Pursuing,935.0,12625.0,True,19957.3,--,,True,,--,--
University of Oregon,2016-03-23,2016-03-23 11:03:35,smital@uoregon.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
University of Pittsburgh,2016-03-24,2016-03-24 13:00:16,lwzfm1@pitt.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
University of Richmond,2016-02-17,2016-02-17 15:17:49,randreje@richmond.edu,2.0,Pursuing,1985.0,3972.0,True,71532.0,--,,True,"In celebration of the Martin Luther King Jr. holiday, University of Richmond plans a variety of activities inviting students, faculty and staff to honor the holiday, serve in the community and learn about civil rights in Richmond. Following the day of service, all are invited to a commemoration event and reception with the University. The university is closed for the MLK Day holiday, but the campus community is invited to participate in a day of service and learning. Events in the past year included walking tours of historical neighborhoods, daycare and children's activities through MLK Family Day, and free film screenings.  Service opportunities ranged from a cleanup events to cooking an evening meal for families staying at the Ronald McDonald House.

University of Richmond’s MLK Day events are co-sponsored by the Office of Common Ground and the Bonner Center for Civic Engagement and organized by an array of campus offices. ",http://engage.richmond.edu/,"The total hours of service was calculated by multiplying the number of students working in Community Based Learning courses (1504) by two hours per week by 14 weeks. That was added to the 100 Bonner Scholars who work 7 hours per week for 15 weeks on direct and indirect community service, as well as students volunteering with the Center for Civic Engagement at a co-curricular level (through volunteer programs and internships). We are likely under-reporting, but we are confident in what we have here. 

For a complete list of MLK service events, go to richmond.edu/mlk."
University of South Carolina,2016-02-29,2016-02-29 17:11:54,KOPPAN@mailbox.sc.edu,2.0,Pursuing,26584.0,32971.0,True,240672.0,True,"Student transcripts include completion of USC's Graduation with Leadership Distinction's Community Service pathway, which includes 300 hours of community service per student",True,"Positive recognition is provided to faculty teaching service learning classes, including grants and university MLK Jr Social Justice Awards",https://www.sa.sc.edu/leadershipandservice/service-and-involvement/,--
University of South Florida,2016-02-26,2016-02-26 13:29:50,sustainability@usf.edu,2.0,Pursuing,18420.0,26795.0,True,341076.0,True,"USF provides students with a co-curricular transcript, an official document that records verifiable community service achievements. In addition, the USF Office of Community Engagement (http://usfweb3.usf.edu/Engagement) actively promotes service-learning programs and courses (http://usfweb3.usf.edu/Engagement/Resources/index.aspx) by offering grants to instructors for course development. Courses that are developed with a sustainability theme also receive financial support from the Office of Sustainability (http://psgs.usf.edu/office-of-sustainability/). The Office of Community Engagement is currently working with the USF Center for Leadership and Civic Engagement (http://www.leadandserve.usf.edu/) on ways to acknowledge service-learning in other venues, including faculty tenure and promotion. The Center for Leadership and Civic Engagment also offers students various service opportunities including a spring break service-immersion trip focused on sustainability efforts. ",True,"USF offers many opportunities to get involved and give back to the community. The Division of Human Resources is actively involved in the three listed below. We invite you to join us in supporting these outstanding causes.

American Heart Association Tampa Bay Heart Walk
The American Heart Association’s Tampa Bay Heart Walk raises funding each year to support education and research for fighting heart disease and stroke. Last year, USF was recognized as the nation’s highest contributing university without a hospital, bringing in almost $50,000 for the American Heart Association (AHA). This year, the University has a $55,000 goal, and with your help, USF will again be recognized as a higher education leader in raising funds to support the AHA’s education and research.. For more information, visit the Heart Walk website at http://news.usf.edu/article/templates/?a=3556

USF Faculty Staff Campaign
The Faculty & Staff Campaign for the University of South Florida is a fundraising effort that allows the employees of USF to make a gift to the area of their choice at the university. To facilitate the Faculty & Staff Campaign for the University of South Florida so that each USF employee has the opportunity to become engaged and involved with the fundraising effort in support of USF's students, faculty, staff, and programs. 32% of USF employees have participated in the Faculty & Staff Campaign.THANK YOU! https://usffdn.usf.edu/fs_cmpgn/

United Way Campaign
United Way Suncoast is hosting (presented in partnership with the USF Office of Community Engagement and Partnerships) two symposiums regarding the current financial landscape of our area’s workforce. These events are designed for nonprofit executives, HR professionals, CEOs, public policy and local government staff, educators, and anyone interested in a deeper understanding of the daily challenges and struggles faced by nearly half of our population. United Way Suncoast and USF have partnered to bring together two experts, Dr. Paul Gorski and Lars Gilberts, who will share current research on financial need in our community and effective strategies that social service providers, employers and community members can implement.

WHEN: Thursday, March 26, 2015
Tampa Bay Area: 8:30 a.m. – 11:30 a.m.
Sarasota Area: 3:00 p.m. – 5:00 p.m.
",http://www.leadandserve.usf.edu/,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 23:01:00,davidv@mail.usf.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:36,prestonj@utk.edu,2.0,Pursuing,2018.0,27410.0,True,27410.0,--,"While the University of Tennessee does not include community service on the academic transcript, the Center for Leadership and Service does track community service hours through a self-reporting tool and can issue official service hour transcripts upon request. Additionally, student who complete 100 hours or more of community service are recognized with a medallion to wear at commencement.",True,The Smart Communities Initiative encourages faculty members to participate in their service learning programs with departmental and University-wide recognition of their and their students' work and funding channeled to their department or program.,http://servicelearning.utk.edu/smart-communities-initiative/,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:03:04,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:40,mtare@uta.edu,2.0,Pursuing,7078.0,32956.0,--,443080.0,True,"Co-curricular Transcript (CCIR) -  In the Leadership Center, the CCIR is an official university document that is similar to an academic transcript, lists co-curricular and community involvement activities while at UTA, chronologically delineates all activities and the level of involvement in each, provides a brief description of skills acquired, is verified by University faculty/staff and/or community/corporate representatives.",True,"Since its inception in Fall 2001, UT Arlington’s Center for Community Service Learning has helped faculty and students combine academic course outcomes and field experiences in collaboration with our community partners. Thanks to the work of the Center and the entire university community, for four consecutive years UT Arlington has been named to the President’s Higher Education Community Service Honor Roll.",http://www.uta.edu/ccsl,--
University of Texas at Austin,2016-03-21,2016-03-21 16:15:04,jim.walker@austin.utexas.edu,2.0,Pursuing,29567.0,39955.0,True,3821937.0,--,,--,,http://ddce.utexas.edu/civicengagement/,"The RGK Center for Philanthropy and Community Service conducted a study on volunteerism for the 2001-2002 school year. They found that about 27,000 University of Texas at Austin undergraduate students performed volunteer service between August 2001 and May 2002. The survey was designed through a collaborative effort of researchers and staff from the RGK Center, Office of Survey Research, Department of Sociology, and University Volunteer Center. The 1,514 respondents were chosen through a random selection of all UT undergraduates enrolled in the spring of 2002. Surveying was done via 20-minute telephone interviews administered by the Office of Survey Research. Upon evaluation, the demographic distribution of those surveyed closely matched the true demographics of the student body, including gender, ethnic background, grade level, and academic pursuits. 
 
Seventy-four percent (74%) of students performed volunteer service: 45% reported serving in the community; 25% served in both University and community functions; and 4% volunteered solely for University functions.
 
Volunteers spent a mean of 111 hours volunteering.
 
February 2014: While the Longhorn Center for Civic Engagement is still seeking funds (and staff resources) to conduct another survey, methods and opportunities to connect students with volunteering have only improved with more sophisticated technology. Austin is a larger city every year with thousands of opportunities to volunteer on and off campus. There is every reason to believe, and no evidence to the contrary, that the trends outlined in the RGK report have continued.

There has been no study conducted on graduate student volunteerism, so this report is on undergraduate students only. 
"
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:13,thea.junt@utdallas.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
University of Toledo,2016-03-25,2016-03-25 15:22:42,neil.tabor@utoledo.edu,2.0,Pursuing,4000.0,20626.0,True,25006.5,--,,--,,--,"Student community service hours are tracked by the office of student involvement by number of hours and affiliated organization and project. Due to this, the number of students was rounded down from 4523 to 4000 to prevent the duplication of student volunteers who may have contributed hours in different organizations. "
University of Virginia,2015-12-11,2015-12-11 14:05:58,art2k@Virginia.edu,2.0,Pursuing,11075.0,21238.0,True,334109.0,--,,True,"UVA provides all FT employees with 16 hours of community service time each year that they can use to do whatever service they want, including chaperoning at school trips etc. Also, we typically have about 1,000 employees participate in the United Way Day of Caring each year, and we contribute close to $1M in the Commonwealth of Virginia Campaign (CVC), a giving program to charities of their choice.",https://avillage.web.virginia.edu/iaas/survey/portal/2010-11/11nsse.shtm,"The numbers provided are just for undergraduates: 

We know from the National Survey of Student Engagement (2011) that 81% of UVA undergraduate students do service while they are at UVA ~ 12,150 students

We know from the Student Experience in the Research University survey (2014) that 70% of UG students do service in a year ~ 10,500.

An example of U.Va.'s service is Madison House's The Big Event: http://www.nbc29.com/story/28779576/uvas-madison-house-holds-the-big-event

School of Law Pro Bono program:  for the 2013-14 school year 265 students logged 17,609 hours of Pro Bono assistance.  http://www.law.virginia.edu/html/publicserv/publicservice.htm"
University of Winnipeg,2016-01-13,2016-01-13 14:36:58,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,440.0,9359.0,--,--,--,,--,,--,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:57,fermanij@uwgb.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:35:17,knelson6@uwm.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"The total number of students is full-time students in Fiscal Year 2013. According to the 2011 NSSE survey 69% of graduating seniors reported doing service during their college career.  Although this number cannot take a single year's cross section snapshot, it is the most accurate data available."
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:42:05,kermathb@uwosh.edu,2.0,Pursuing,4297.0,13000.0,True,18861.0,--,,True,"USP requires community engagement, which is organized and supervised by faculty and staff.  ",https://reeve.uwosh.edu/involvement/volunteerism,--
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:16:14,seebotha@uwplatt.edu,2.0,Pursuing,3115.0,8901.0,True,79130.0,--,,--,,https://uwplatt.collegiatelink.net/,--
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:02:03,sjanowsk@uwsp.edu,2.0,Pursuing,1751.0,9643.0,True,20562.0,--,Student volunteerism is not listed on student transcripts.,True,"The classified staff University Service Award recognizes time and effort voluntarily given to the university community.  The time and effort are considered not part of the normal work assignment and may include being involved on a campus committee, providing assistance to staff, students or a campus organization, etc.  The result of this involvement is increased positive perception of the University within the community or enhancing the ability of the University to accomplish its mission of providing educational opportunities.  
UWSP Academic Staff Spirit of Community Service Award stresses the importance of service in building and contributing to a healthier community environment on and off campus.  Awards will be provided to an academic staff member (Category A or C) for their contributions made in any of the following areas: mental, social, physical, emotional, intellectual, vocational, spiritual/philosophical, and/or environmental.
http://www4.uwsp.edu/governance/acadstaff/commserv.aspx
Faculty University Service Award: This award recognizes outstanding service to the
University and/or community.  http://www.uwsp.edu/facSen/Pages/Awards.aspx",http://www.uwsp.edu/csac/Pages/nominations.aspx,--
University of Wisconsin-Stout,2016-03-25,2016-03-25 10:49:31,rykals@uwstout.edu,2.0,Pursuing,2962.0,7313.0,--,--,--,"UW-Stout does not include community service achievements on student transcripts, but students can create an involvement transcript in the program ORGSYNC and record the information themselves. An advisor or supervisor can validate for them. ",--,,--,"UW-Stout does not count the number of students engaged in community service, there is only an estimate provided from the National Survey of Student Engagement (NSSE)

Information from the Assistant Director of the Memorial Student Center and the UW-Stout PARQ Office 

Total # of students from 2013-2014 school year

Part two is not completed because there is no measurement or estimate of the total number of hours contributed by volunteering students."
University of the Pacific,2016-03-23,2016-03-23 15:39:31,seller@pacific.edu,2.0,Pursuing,1054.0,4676.0,True,60400.0,--,N.A.,True,"Incentive - Policy Statement on Employee Volunteer Community Service: ""This policy works to provide eligible employees with paid time off to volunteer for community service. An employee is eligible to take the equivalent of two regularly scheduled workdays to a maximum of sixteen (16) hours per calendar year (January 1 through December 31) for community activities.""

Initiatives - Annually, employees participate in the Rotary-Read-In, where professionals take one hour for one day to brighten the lives of a whole classroom by reading a book to a K-3 class at a local school. In 2014, an estimated 70 Pacific employees participated in this day.",http://www.pacific.edu/CCI,Data from AY14-15; could not be updated due to budget cuts. 
Vanderbilt University,2016-03-21,2016-03-21 10:46:21,andrea.george@vanderbilt.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Vassar College,2016-03-10,2016-03-10 19:47:35,alihall@vassar.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"In order to arrive at the number of students engaged in community service we consulted a variety of community service program directors and student coordinators regarding the number of students involved with their programs. These numbers were added to come up with a number of participant-equivalents. 

To calculate the total number of community service hours, we started with the fact that students participate in Field Work for either 4 (half-credit) or 8 hours (full-credit) a week for the 12-week semester. We calculated the average of each of these hourly totals to arrive at the one-year total of 49,320 hours. 

other urls:
http://studentemployment.vassar.edu/community_service/index.html 
http://neighbors.vassar.edu/getinvolved/credit-other/index.html 
http://vsa.vassar.edu/organizations
"
