Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have any building space certified under the following green building rating ...,Does the institution have any building space certified under LEED or another 4-tier rating system ...,"Does the institution have any new building space certified under the DGNB system, Green Star, or ...","Does the institution have any building space certified under BREEAM, CASBEE, or another 5-tier GBC ...",Does the institution have any building space certified under the Living Building Challenge?,Does the institution have any building space certified under other non-GBC rating systems for new ...,A brief description of the green building rating system(s) used and/or a list of certified ...,Total floor area of eligible building space (design and construction),Floor area of building space that is certified at each level under a 4-tier rating system for new ...,Floor area that is certified at minimum level under a 4-tier GBC rating system for new construction ...,Floor area that is certified at the 3rd highest level under a 4-tier GBC rating system for new ...,Floor area that is certified at the 2nd highest level under a 4-tier GBC rating system for new ...,Floor area that is certified at the highest achievable level under a 4-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 3-tier rating system for new ...,Floor area that is certified at minimum level under a 3-tier GBC rating system for new construction ...,Floor area that is certified at mid-level under a 3-tier GBC rating system for new construction and ...,Floor area that is certified at the highest achieveable level under a 3-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 5-tier rating system for new ...,Floor area that is certified at minimum level under a 5-tier GBC rating system for new construction ...,Floor area that is certified at the 4th highest level under a 5-tier GBC rating system for new ...,Floor area that is certified at mid-level under a 5-tier GBC rating system for new construction and ...,Floor area that is certified at the 2nd highest level under a 5-tier GBC rating system for new ...,Floor area that is certified at the highest achievable level under a 5-tier GBC rating system for ...,Floor area of building space certified Living under the Living Building Challenge,Floor area of building space that is certified at any level under other green building rating ...,Floor area of building space that was designed and constructed in accordance with green building ...,A copy of the guidelines or policies ,The date the guidelines or policies were adopted,A brief description of the green building guidelines or policies and/or a list or sample of ...,A brief description of how the institution ensures compliance with green building design and ...,The website URL where information about the institution’s certified buildings and/or green building ...,Public Notes
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:33:00,Tyler_Arrigo@uml.edu,2.0,Pursuing,**,True,--,--,--,--,"UMass Lowell uses U.S. Green Building Council’s (USGBC) Leadership in Energy & Environmental Design (LEED) rating system.

UMass Lowell's Emerging Technologies and Innovation Center (ETIC) is Gold certified. University Suites, University Crossing and the Health & Social Sciences Building are in the process of being certified.  ",1620728.0,**,--,--,86288.0,--,**,--,--,--,**,--,--,--,--,--,--,--,1534440.0,http://stars.aashe.org/media/secure/832/6/475/2712/Sustainability%20Initiatives%20and%20Green%20Design%20Guidelines.docx,2011-02-22,"Per Executive Order 484, new construction and major renovation projects over 20,000 SF managed by the Division of Capital Asset Management and Maintenance (DCAMM) must meet Mass. “LEED Plus” building standards including: 1) U.S. Green Building Council’s (USGBC) Leadership in Energy & Environmental Design (LEED) Silver certification, 2) energy performance exceeding MA Energy Code by at least 20%, and 3) independent 3rd party commissioning. New construction and major renovation projects less than 20,000 SF shall meet at least one of the following: 1) adhere to MA LEED Plus, 2) surpass the MA Energy Code requirements by at least 20% or 3) follow prescriptive approach of New Building Institute’s Advanced Buildings Benchmark Tool.

Additionally, UMass Lowell has Sustainability Initiatives and Green Design Guidelines which are attached. 

UMass Lowell's Emerging Technologies and Innovation Center (ETIC) is Gold certified (86,288 SF). A total of 591,662 SF of space was reported as designed and built according to sustainable design and construction guidelines including: Leitch & Bourgeois, Fox Hall, the Health & Social Sciences Building, University Crossing and University Suites.  Leitch & Bourgeois (124,928 SF) were designed to meet LEED silver but will not be formally certified.  Fox Hall (17,000 SF) was also constructed with LEED design features but is not certified. University Suites (148,000 SF), University Crossing (229,000 SF) and the Health & Social Sciences Building (72,734 SF) are in the process of obtaining LEED certification (counted as designed in accordance with guidelines because not yet certified).  
",UMass Lowell works with its architects and contractors to conduct design and construction projects in accordance with the University’s green building guidelines to the extent possible.,http://www.mass.gov/anf/docs/dcam/dlforms/energy/energy-eo484-final.pdf,"The score for this credit is calculated based on the percentage of ""total floor area of eligible building space"" designed and built in accordance with formal sustainable design guidelines and/or LEED certified.  Eligible building space is defined as the total floor area of all building space eligible for certification under a green building rating system.  To be eligible for certification the space must meet ""minimum  program requirements"" for new construction & major renovations, commercial interiors or core and shell.  UMass Lowell has constructed/renovated over 2 million square feet (SF) of space in the past five years.  Approximately 1.6 million of the 2 million SF constructed/renovated were related to large projects (including construction of two new garages).  The remaining constructed/ renovated area is comprised of many smaller projects.  Due to the number of small projects, it was not feasible to review each individual project to determine whether the space met the ""minimum program requirements.""  For the purposes of STARS reporting, the total square feet constructed/renovated was therefore conservatively assumed to be ""eligible"" space.  By assuming all of the space was eligible the resulting STARS score for this credit may be underestimated.  
Leitch & Bourgeois were designed to meet LEED silver but will not be formally certified.  Fox Hall was also constructed with LEED design features but is not certified.  University Suites, University Crossing and the Health and Social Sciences building (HSSB) are going through the process to be LEED certified but are not yet certified.  

Notes:
•	Bourgeois  (62,313 SF) includes 77% certified wood by Forest Stewardship Council (FSC), low VOC paints, energy efficient lighting w/ occupancy sensors, low flow fixtures, high performance glazing and building envelope, condensing boilers, heat recovery and valance units.
•	Leitch (62,313 SF) utilizes FCS wood, low VOC paints, energy efficient lighting w/occupancy sensors, reuse of existing buildings, low flow fixtures, new flooring with high recycled content.
•	Fox Dining Hall (17,000 SF) utilizes low flow toilets and faucets, LED lighting, high efficiency kitchen equipment, low VOC materials, FSC certified wood table tops, recycled content in carpet, sustainable casework, a pulper to convert food/paper waste to compost.

The following lists information about certified buildings and green building design construction features for various UMass Lowell buildings

•	Sustainability Initiatives: http://www.uml.edu/docs/LeadByExample-February132013-EnergyandSustainabilityInitiatives_tcm18-149026.pdf 
•	Manning Business School: http://www.uml.edu/News/press-releases/2014/BusinessBldg051614.aspx 
•	ETIC: http://www.uml.edu/News/stories/2011-12/ETICupdate.aspx
•	University Suites: http://www.uml.edu/News/press-releases/2013/UniversitySuites091813.aspx
•	University Crossing: http://www.uml.edu/News/news-articles/2014/sun-uxing-opens.aspx 
•	HSSB: http://www.uml.edu/News/press-releases/2013/HSSB-Opening.aspx 

"
University of Michigan,2016-01-11,2016-01-11 15:37:33,ahorning@umich.edu,2.0,Pursuing,**,True,--,--,--,--,LEED,4461000.0,**,--,1295700.0,173000.0,--,**,--,--,--,**,--,--,--,--,--,--,--,2992300.0,http://stars.aashe.org/media/secure/344/6/475/2712/Master-Plan-2015-03-02.pdf,2015-03-02,"U-M Architecture, Engineering, and Construction Department (AEC) has developed guidelines to incorporate sustainable features in all construction projects.  These guidelines contain requirements for written documentation verifying adherence to the guideline.","U-M has developed a sustainability checklist to ensure that sustainability
opportunities are fully addressed during design and construction.  The checklist assists
designers, Design Managers, and Project Managers.  As the Sustainability Master Plan is
further developed and design guidelines are updated and created, the Team will update
the corresponding steps in the checklist.",http://www.umaec.umich.edu/sustainability-2/master-plan/,"A list of recent major projects can be found at:
http://www.umaec.umich.edu/projects/major-projects/

The Sustainability Master Plan is a living document.  It was originally implemented in 2004, but has undergone numerous revisions since then.  Most recent updates are 03/02/2015.  It is this most recent date that is listed as date adopted above."
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:08,mgranley@d.umn.edu,2.0,Pursuing,**,True,--,--,--,--,"LEED buildings at UMD in the past 5 years include:
Swenson Civil	Engineering (GOLD -46,612 sq ft)
Bagley Outdoor Classroom	(PLATINUM - 1,985 sq ft)
Ianni	 Hall (SILVER - 96,594 sq ft)

",145191.0,**,--,96594.0,46612.0,1985.0,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,,https://umdsustain.wp.d.umn.edu/campus-initiatives/buildings/green-buildings/,"Compliance with MN State B3 guidelines are required by legislative mandate. Minnesota's Sustainable Building Guidelines require certain procedures followed regarding performance management, site and water, energy and atmosphere, indoor environmental quality, and materials and waste. The guidelines include state and climactic specific requirements for builders and building operators. Buildings must meet performance outcomes annually, with the aim of achieving carbon neutral buildings by 2030.

B3 is also incorporated in to the University's design and construction standards, which are incorporated in to all design, engineering and contractor contracts.

More information about UMD Green Buildings is available at:
https://umdsustain.wp.d.umn.edu/campus-initiatives/buildings/green-buildings/

University of MN Building Codes are located at:
http://www.buildingcodedivision.umn.edu/codes/index.htm
"
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:28:50,good0044@morris.umn.edu,2.0,Pursuing,**,True,--,--,--,--,"We are using LEED to rate our buildings. We have two LEED Gold buildings. The Welcome Center (2012) and the Green Prairie Community (2014). Additionally, buildings that Morris constructs must meet the Minnesota Sustainable Building Guidelines (B3) AND conform to the University of Minnesota Board Regents - Sustainability Policy.",45551.0,**,--,--,45551.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/300/2/33/255/B3%20stars.pdf,--,,"Compliance with State of Minnesota B3 guidelines are required by legislative mandate. Minnesota's Sustainable Building Guidelines require certain procedures followed regarding performance management, site and water, energy and atmosphere, indoor environmental quality, and materials and waste. The guidelines include state and climactic specific requirements for builders and building operators. Buildings must meet performance outcomes annually, with the aim of achieving carbon neutral buildings by 2030. 

B3 is also incorporated in to the University's design and construction standards, which are incorporated in to all design, engineering and contractor contracts.

",http://www.msbg.umn.edu/,--
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:31,stennes@umn.edu,2.0,Pursuing,**,True,--,--,--,--,"LEED for New Construction: LEED® is a third-party verification system developed by the U.S. Green Building Council that strives to improve a building's performance in the areas of energy conservation, water, emissions reduction, indoor quality, and resource use. LEED® is one of the foremost sustainable building programs currently in existence and has quickly been adopted as a sustainable building tool by many in the public and private sector. 
TCF Bank Stadium - LEED Silver
Science Teaching and Student Services - LEED Gold
",1940289.0,**,--,545351.0,121714.0,--,**,--,--,--,**,--,--,--,--,--,--,--,1273224.0,http://stars.aashe.org/media/secure/124/6/475/2712/B3GuidelinesVersion2.2.pdf,2013-05-01,"Minnesota B3 Guidelines: The B3 Guidelines are sustainable building guidelines for major renovations and new buildings that are funded by state monies. The Guidelines are mandated by the Minnesota Legislature and focus on energy efficiency and conservation, material costs, operating costs, building occupant well-being and productivity, and the quality of the natural environment. Since many buildings at the University are at least partially funded by the State, most new buildings and major renovations are required to follow the B3 Guidelines. More info at http://www.b3mn.org/

Sample of buildings:
University Recreation Center, Northrop Auditorium, 17th Avenue Residence Hall
","All new building projects and major renovations receiving state funding are required to meet the B3 guidelines. Projects are reviewed throughout design and construction by B3 team, project managers, designers, and other stakeholders. B3 compliance is tracked through the State of Minnesota's B3 Tracking Tool http://www.msbgtracking.com/Login.aspx
",--,--
University of Missouri,2015-05-01,2015-05-01 15:33:41,raghavans@missouri.edu,2.0,Pursuing,**,True,--,--,--,--,University of Missouri utilizes a campus-wide approach to sustainable construction thought the continued development and implementation of Sustainable Design Guidelines.  The MU Sustainable Design Guidelines set standards for design and construction that at minimum meets the requirements of LEED Certified construction.,443945.0,**,20548.0,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,381301.0,http://stars.aashe.org/media/secure/125/6/475/2712/MU_SDG_Binder_january%202012%20draft.pdf,2011-08-22,"To further the Campus’ commitment to sustainable design, the University developed a campus-wide approach to sustainable building using LEED as a framework.  MU held its first workshop to develop this approach to building facility sustainability in May of 2011.  The resulting collection of strategies has become the content of the University’s Sustainable Design Guidelines (SDG).  Campus Facilities continues to hold workshops with division directors semi-annually in order to review the effectiveness of current policies and update the SDG.  The campus as a whole has one LEED certified buildings, and six projects in the process of certification.  ","The University reviews the effectiveness of the SDG and sustainability policies semi-annually.  Prior to design and construction, Campus Facilities provides a sustainability packet to consultants and contractors.  This packet includes a copy of the SDG, a LEED tracker including standards satisfying the SDG, as well as template specifications and logs to report compliance.  Consultants and contractors report compliance with these standards during all major phases of design and construction.  The campus also has a full-time manager for sustainable design and construction, whose responsibility is to monitor and advance green building practices.",http://sustainability.missouri.edu/pdfs/MU_SDG_Binder_january%202012%20draft.pdf,"Tate Hall Renovation (45,250 sq. ft.) was designed and constructed in accordance with the University of Missouri’s Sustainable Design Guidelines and is pursuing a rating of Certified under the 2009 version of LEED for New Construction and Major Renovation.  Construction work on the Tate Hall Renovation was declared complete in June of 2011.
Switzler Hall Renovation (28,080 sq. ft.) was designed and constructed in accordance with the University of Missouri’s Sustainable Design Guidelines and is pursuing a rating of Certified under the 2009 version of LEED for New Construction and Major Renovation.  Construction work on the Switzler Hall Renovation was declared complete in July of 2011.
Gwynn Hall Renovation (36,196 sq. ft.) was designed and constructed in accordance with the University of Missouri’s Sustainable Design Guidelines and is pursuing a rating of Certified under the 2009 version of LEED for New Construction and Major Renovation.  Construction work on the Tate Hall Renovation was declared complete in November of 2013.
This totals 109,526 sq. ft. in gross floor area for buildings designed and constructed in accordance with the University of Missouri’s Sustainable Design Guidelines while also pursuing LEED certification.
"
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:16,johnstonrk@umkc.edu,2.0,Pursuing,**,True,--,--,--,--,"UMKC uses LEED and there are currently 4 buildings that have been built to LEED Standard.  
Herman and Dorothy Johnson Hall LEED Certified 
Student Union LEED GOLD Certified
Miller Nichol Learning Center open fall 2013 awaiting certification
Henry W. Bloch Executive Hall for Entrepreneurship and Innovation open fall 2013 awaiting certification",203426.0,**,85939.0,--,117487.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/427/6/475/2712/Construction%20Design%20and%20Standards%202010-01.pdf,2010-01-01,"Codes
that apply to University design & construction.
1. ICC International Building Code and reference standards
2. ICC International Fire Code
3. ICC International Plumbing Code
4. ICC International Mechanical Code
5. NFPA 70 National Electric Code (NEC)
6. Americans with Disabilities Act Accessibility Guidelines (ADAAG) and
American National Standards Institute (ANSI) 117.1 Guidelines for Accessible &
Useable Buildings & Facilities.
7. NFPA 101 Life Safety Code (as noted in 2.4.1 above)
8. American Society of Mechanical Engineers (ASME) Safety Code of Elevators
and Escalators A17.1 (1996) and other codes as adopted by The Missouri
Division of Fire Safety, Elevator Safety Unit.
2.4.2.5
Standards
that apply to University design & construction.
1. National Fire Protection Association (NFPA) standards
2. Missouri Standard Specification fo
r Highway Construction, Missouri State
Highway Commission
3. American Concrete Institute (ACI)
4. American National Standards Institute (ANSI)
5. American Refrigeration Institute (ARI)
6. American Society for Testing and Materials (ASTM)
7. Underwriter's Laboratories, Inc. (UL), Federal Specifications
8. National Electrical Manufacturers Association (NEMA)
9. Williams Steiger Occupational Safety and Health Act of 1970 (OSHA)
10. American Society of Heating Refr
igeration & Air Conditioning Engineers
(ASHRAE) ","UMKC adheres to new building energy standards developed by the American Society of Heating, Refrigerating and Air Conditioning Engineers, Inc., the same standards practiced by the State of Missouri. Standards include efficient insulation and glazing; heat recovery; occupancy sensors for light and temperature control; and improved electric motors",http://www.umsystem.edu/ums/fa/management/facilities/guidelines/,--
University of Mount Union,2016-01-13,2016-01-13 13:05:26,mcclauca@mountunion.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:44:57,pshrestha3@unl.edu,2.0,Pursuing,**,True,--,--,--,--,"-Jacike Gaughan Multicultural Center
-International Quilt Museum ",1200342.0,**,--,155000.0,--,--,**,--,--,--,**,--,--,--,--,--,--,--,883868.0,http://stars.aashe.org/media/secure/407/4/172/997/Sustainable_Design_Policy.pdf,2008-05-22,"In the interest of being good stewards of the environment, the University of Nebraska is implementing 
sustainable building goals and requirements into their design guidelines. 

The goals and requirements being implemented are based on the Leadership in Energy and Environmental 
Design program for New Construction (LEED-NC) which is sponsored by the United States Green Building 
Council (USGBC). This program encompasses a holistic approach to sustainable design. The intents of the 
program are to provide a quantifiable rating system universal to the building industry and to transform the 
marketplace to become more sustainable.",UNL Facilities Planning and Construction requests a completed LEED checklist once the building design is finalized. ,http://nebraska.edu/docs/policies/SustainableDesignPolicy.pdf,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:33,slburke@unomaha.edu,2.0,Pursuing,**,True,--,--,--,--,Mammel Hall - LEED Gold,382960.0,**,--,--,110949.0,--,**,--,--,--,**,--,--,--,--,--,--,--,272011.0,http://stars.aashe.org/media/secure/454/6/475/2712/UN_SustainableDesignPolicy_2008.pdf,2008-05-22,"College of Public Affairs and Community Service building renovation.
Roskens Hall renovation.
School of Health, Physical Education and Recreation (HPER) renovation + addition.","As Board policy, all new construction and major renovations projects will achieve a minimum number of points to meet certified level. This is accomplished in the design and construction process overseen by Facilities Management and Planning.",http://nebraska.edu/docs/policies/SustainableDesignPolicy.pdf,--
University of New Hampshire,2016-03-25,2016-03-25 21:53:55,colleen.flaherty@unh.edu,2.0,Pursuing,**,True,--,--,--,--,"DeMerrit Hall: LEED Silver equivalent
James Hall: LEED Gold
Peter T. Paul College of Business and Economics: LEED Gold

To date 8 buildings are rated Energy Star.",196695.0,**,--,--,196695.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,2013-01-25,"The buildings covered comprise 290,000 square feet, and are the following: DeMeritt Hall, Fairchild Hall, Parsons Hall, McConnell Hall and the Veterinary Diagnostic Lab 

The University of New Hampshire Planning, Design and Construction Guidelines are intended to provide general instructions to designers in the planning and preparation of construction documents, as well as general guidance to construction professionals working on projects for the University.  The purpose is to ensure a minimum standard of quality, durability, consistency, maintainability, and sustainability in building and infrastructure design and construction. The information collected here clarifies what is unique or different about construction at the University as compared to other projects that designers and contractors typically work on. 

The Guidelines are a baseline that allow for the introduction of new methods, systems, and materials for consideration by the University due to specific constraints, opportunities, or conditions of a specific project.  It is expected that any alternatives will be proposed before the completion of Design Development. The documents are not to be used as specifications for projects, but are to be incorporated, as appropriate, into the specifications for each University project. Nothing in The Guidelines shall preclude or take precedence over compliance with applicable codes, regulations, requirements, mandates, or laws of the State of New Hampshire or the federal government.  This is intended to be a living document that evolves through continual review and updates as needed.  The Guidelines will be made available by Web access and it is expected that designers will utilize the latest version available at the time a project proceeds with Schematic Design.

WHILE EVERY EFFORT IS MADE TO MAKE THE GUIDELINES COMPLETE AND COMPREHENSIVE, THERE ARE ALWAYS ELEMENTS THAT NEED FURTHER CLARIFICATION OR THERE IS NEW INFORMATION THAT HAS YET TO BE INCLUDED.  THE GUIDELINES DO NOT RELIEVE THE DESIGNERS FROM THE RESPONSBILITY TO PROVIDE COMPLETE, ACCURATE, AND QUALITY CONSTRUCTION DOCUMENTS TO MEET OUR NEEDS AND EXPECTATIONS.

The UNH Planning, Design and Construction Guidelines is organized in chapters that follow the sequence of the project process.  Chapter 1, General Principles, addresses several planning guides or master plans that describe the University’s design goals and intentions.  Chapter 2, Project Process, provides requirements for developing a typical project and the products that are expected along the way.  Chapter 3, University Planning Standards, delineates the University’s expectations and considerations for some of the major design elements and functions of most projects.  Chapter 4, Supplemental Project Requirements (under development), contains information on specific protocols and processes unique to the University environment. Chapter 5, Technical Construction and Renovation Standards, is a constant resource to designers from Design Development through the completion of Construction Documents and Specifications.  It is organized in the CSI format. 

The University of New Hampshire has made a commitment to achieve the equivalent of “LEED” silver for new construction and major renovations, including the formal commissioning of each new project. The University Planning, Design and Construction Guidelines incorporate the University’s strategies, standards, and methodology to fulfill this commitment.  It is believed that The Guidelines alone provide the equivalent to at least a LEED basic certified level. So, each new project will be expected to develop a set of sustainable design objectives specific to that project, above and beyond what is in The Guidelines.","The University of New Hampshire has made a commitment to achieve the equivalent of “LEED” silver for new construction and major renovations, including the formal commissioning of each new project. The University Planning, Design and Construction Guidelines incorporate the University’s strategies, standards, and methodology to fulfill this commitment.  It is believed that The Guidelines alone provide the equivalent to at least a LEED basic certified level. So, each new project will be expected to develop a set of sustainable design objectives specific to that project, above and beyond what is in The Guidelines.",http://scholars.unh.edu/facilities,"Press release on James Hall LEED Gold certification
http://www.unh.edu/news/cj_nr/2010/jun/bp30leed.cfm

Eight buildings on the UNH campus have been awarded the Energy Star label by the Environmental Protection Agency (EPA). In total, the eight Energy Star buildings are preventing pollution equivalent to annual emissions from 230 vehicles - more than 135,000 gallons of gasoline - while saving UNH more than $180,000 per year in energy bills.

More here: http://www.energy.unh.edu/News2.htm"
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:57:56,cpshea@fac.unc.edu,2.0,Pursuing,**,True,--,--,--,--,LEED: Koury Oral Health Sciences Building - Gold; Genome Sciences Building - Gold; NC Botanical Garden - Platinum; Carrington addition - Certified,879287.0,**,--,--,451085.0,32301.0,**,--,--,--,**,--,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/32/6/475/2712/Design%20Guidelines%20March%202013%20compressed.pdf,2013-03-01,"All new buildings at UNC are designed to perform at the LEED Silver level or above and to use 30% less energy and 30% less water than code.

Genome Sciences Building- LEED Gold
Koury Oral Health Sciences- LEED Gold
NC Botanical Garden- LEED Platinum
","RFQs, RFPs, designer selection interviews, design guidelines, design and review process, energy modeling, CM at risk, construction process, inspections by campus trades shops, commissioning, LEED documentation",http://www.eis.facilities.unc.edu/DesignGuidelines.aspx,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:19,cgcarwei@uncg.edu,2.0,Pursuing,**,True,--,--,--,--,"The primary green building rating system that the university utilizes is LEED® for New Construction and Major Renovations. The 2009 strategic plan mandates all new major projects meet LEED Silver standards.

List of CERTIFIED Buildings:
1. Academic Classroom and Office Bldg. – Certified LEED Gold 2011
2. Jefferson Suites Residence Hall – Certified LEED Silver in 2013
3. Quad Housing Project – Certified LEED Gold 2013

List of REGISTERED Buildings:
4. Spartan Village Student Housing – PH. I (Construction COMPLETE – LEED Certification PENDING).
5. Campus Police Building (Construction COMPLETE – LEED Certification PENDING).
6. Moran Commons/Dining Hall Renovation (UNDER Construction – LEED Certification PENDING).
7. Student Recreation Center (UNDER Construction – LEED Certification PENDING).
",1417770.0,**,--,171004.0,349757.0,--,**,--,--,--,**,--,--,--,--,--,--,--,743708.0,http://stars.aashe.org/media/secure/235/6/475/2712/201101_guidelines.pdf,2014-12-18,"UNCG Facilities Design and Construction maintains an updated set of guidelines to assist architects and engineers when working on new construction and major renovation projects on campus.  These included university specific systems that are required to maintain operation and functionality on the campus, as well as best practices from projects completed on the campus over the last twenty-plus years. The guidelines have recently been updated (December 2014) to include items related to sustainability such as reduced maintenance, material and equipment selections, and reducing both energy and water consumption. 

","The 2009 UNCG strategic plan, UNCG Tomorrow, mandates that all new major projects to meet LEED Silver standards at a minimum. All new buildings and major renovations must comply with standards established by NC Senate Bills 668 and 1946. These established a new Sustainable, Energy Efficient Buildings Program, with specific energy and water efficiency requirements for major new and renovated State-funded facilities that enter their schematic design phase on or after August 8, 2008. These requirements have been incorporated into State construction requirements (http://www.nc-sco.com/documents/guidelines/EEREPORT.pdf).

The State Sustainability Policy also includes a section on new construction: ""Design and Construction: Capital project planning and construction processes shall meet statutory energy and water efficiency requirements and deliver energy, water, and materials efficient buildings and grounds that minimize the impact on and/or enhance the site and provide good indoor environmental quality for occupants.""

UNCG’s Design and Construction Guidelines, General Design Standards, state: “Designers shall consider long-term durability and maintainability when selecting and specifying materials and equipment. Life cycle cost including installation, maintenance, and disposal will be considered in the selection of building systems and equipment.  The designer must develop life cycle cost studies and present the information for review by the University to assist with the selection of materials and equipment on major renovation and new construction projects.” These guidelines complement the state mandates (http://www.northcarolina.edu/apps/policy/index.php?pg=vs&id=5606). 

All designers are required to design new and renovated buildings in accordance with these guidelines. The professional design staff at UNCG reviews the design documents and monitors the construction to ensure all guidelines and policies are followed. Either the design consultant or a member of the FDC staff submits the templates to USGBC for certification on those projects seeking LEED certification. UNCG has 5 LEED APs  and 1 LEED Green Associate on staff.
",http://facdc.uncg.edu/resources/,"Information for this credit was received from Matt Takacs, Assistant Director of Project Management, Facilities Design and Construction at UNCG.

See also: Sustainable Energy Efficient Buildings report from the North Carolina State Construction Office:
http://www.nc-sco.com/documents/guidelines/EEREPORT.pdf

"
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:31,pohlmank@uncw.edu,2.0,Pursuing,**,True,--,--,--,--,"•	LEED Silver – Student Apartments – Seahawk Crossing
•	LEED Silver – Parking Deck – East Parking Deck
•	LEED Silver – Student Rec Center Addition
•	LEED Silver – Classroom / Office / Vivarium – Teaching Laboratory Building
•	LEED Silver – Lab - MARBIONC
",842956.0,**,--,842956.0,--,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,,--,--
University of Oregon,2016-03-23,2016-03-23 11:01:56,smital@uoregon.edu,2.0,Pursuing,**,True,--,--,--,--,LEED,8094236.0,**,--,143085.0,752730.0,103000.0,**,--,--,--,**,--,--,--,--,--,--,--,538900.0,http://stars.aashe.org/media/secure/75/6/475/2712/Policy10_CampusPlan3rdEdition2014.pdf,2011-07-11,"""The University of Oregon Model for Sustainable Development addresses the unique aspects of campus buildings and landscapes by focusing on what matters most:
ENERGY, WATER, AND PEOPLE. ALL DEVELOPMENT PROJECTS- new buildings, major remodels, and ASSOCIATED LANDSCAPES that are subject to State Energy Efficiency Design (SEED) Type 1 requirements- SHALL ADHERE TO THE UNIVERSITY'S Oregon Model for Sustainable Development.""",Campus construction standards require buildings to be 35% more efficient than state energy code requirements and be at least LEED Gold Certified.,http://uplan.uoregon.edu/plandoc/CampusPlan/CampusPlan3/Policy10_CampusPlan3rdEdition2014.pdf,"Totals come from ""LEED Buildings from GHG Survey-but updated for 2016"" in the Sonya Folder."
University of Pittsburgh,2016-03-24,2016-03-24 12:58:53,lwzfm1@pitt.edu,2.0,Pursuing,**,True,--,--,--,--,"Benedum Hall Phase I (LEED C&S - Gold) 
Mascaro Center for Sustainable Innovation (LEED NC - Gold)
Chevron Science Center Addition (LEED NC - Gold)
Mark A. Nordenberg Hall (LEED NC - Silver)
Thomas E. Starzl Biomedical Science Tower 12th floor Renovation (LEED CI - Gold)
Mid-Campus Research Complex Renovation (LEED NC - Silver)
",706484.0,**,--,227471.0,302958.0,--,**,--,--,--,**,--,--,--,--,--,--,--,176055.0,http://stars.aashe.org/media/secure/664/6/475/2712/Professional%20Design%20Manual.docx,2014-06-06,"The University has published professional design standards which often exceed required regulatory standards for new construction and renovation projects. The standards are updated regularly to incorporate new practices and technologies.  Sustainable practices are identified throughout the standards with a green leaf symbol.  Please see here for additional information: http://www.facmgmt.pitt.edu/sustainability/designconstruction.html.  A current copy of the design manual can be found at http://www.facmgmt.pitt.edu/DesignManual.htm (last updated 6/6/2014). 

Buildings constructed or renovated during the last 5 years, in accordance with these standards, but not certified by a third party, are as follows:

Bouquet Gardens Building J
O'Hara Student Center Renovation
Book Center Renovation
David Lawrence Hall Renovations
","All new construction and major renovation projects are considered for LEED Certification, and certification is pursued for the large majority of these projects.  The University has developed and ensures compliance with design standards that stipulate sustainable and energy conserving measures for all new construction and renovation projects.  The standards are provided to all design professionals, and FM's on-staff architects, engineers, and project managers ensure full compliance with these standards throughout the construction process. ",http://www.facmgmt.pitt.edu/sustainability/designconstruction.html,"The University currently holds seven (7) LEED Gold and two (2) LEED Silver certifications (two of these projects were constructed on regional campuses). Two projects were completed prior to the eligible dates for this submission.  In addition to these projects, the University is pursuing LEED certification for eight (8) projects either recently completed or currently in design or construction."
