Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Has the institution conducted an employee satisfaction and engagement survey or other evaluation ...,"The percentage of employees (staff and faculty) assessed, directly or by representative sample",A brief description of the institution’s methodology for evaluating employee satisfaction and ...,A brief description of the mechanism(s) by which the institution addresses issues raised by the ...,The year the employee satisfaction and engagement evaluation was last administered,The website URL where information about the institution’s employee satisfaction and engagement ...,Public Notes
University of Colorado Boulder,2016-03-03,2016-03-03 07:49:57,dave.newport@colorado.edu,2.0,Pursuing,True,68.0,"There are three methods the University has enlisted to evaluate employee satisfaction.  
1. The University conducts confidential exit surveys of all staff and tenure/tenure-track faculty who leave the University.  The surveys are conducted by a third-party vendor who provides confidential reports. The data is used to identify areas for improvement that can be used for recruitment and retention of current and potential employees, and to develop program improvements as appropriate.
2. Human Resources conducts employee engagement surveys on a regular basis, most recently in 2012.
3. The University of Colorado System Staff Council conducts periodic staff opinion surveys, the most recent in 2012.",The university creates a Themes and Goals document that outlines goals set forth by the responses to the evaluation.  Each goal is addressed differently depending on the nature of the goal and deadline.,2012.0,http://hr.colorado.edu/es/recognition/ee/Pages/results.aspx,"Additional url:
http://www.colorado.edu/StaffCouncil/Governance/2013BCSCSurvey.pdf
"
University of Colorado Colorado Springs,2016-03-23,2016-03-23 11:35:13,lkogan@uccs.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Connecticut,2016-03-25,2016-03-25 18:14:53,rich.miller@uconn.edu,2.0,In Progress,--,--,--,--,--,--,--
University of Denver,2016-02-26,2016-02-26 12:38:03,chad.king@du.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Florida,2016-03-23,2016-03-23 09:05:43,miwilliams@ufl.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Houston,2016-03-23,2016-03-23 17:21:08,smkelly5@central.uh.edu,2.0,Pursuing,True,100.0,"In 2011, the UH Staff Affairs Subcommittee of the UH Staff Council consulted with Dr. Lisa Penney (Associate Professor, Organizational Psychology) to develop and administer a survey to understand staff morale issues, including the factors that drive morale and how morale affects organizationally valued outcomes.

In the summer of 2012, the UH Staff Council requested that a follow-up survey be administered in Fall 2012. Based on the results of the 2011 Survey and staff feedback, several changes were made to the 2012 survey. Because of staff concerns about the anonymity of their responses, no demographic information was collected in the 2012 survey. The survey length was also reduced by 42%. Finally, new items were added to the survey to gather more detailed information about two issues that staff identified as important in the 2011 Survey: communication quality and staff perceptions of fairness. However, the main goal of this survey, as in 2011, was to examine staff attitudes regarding their jobs and UH, identify aspects of the work environment that drive staff attitudes, and examine potential consequences of these attitudes. 

UH staff received an email invitation from Staff Council to participate in an online version of the survey over a two-week period in November through December 2012. Paper surveys in English and Spanish were also made available to staff with limited or no computer access. The survey contained 96 items and one open-ended item inviting staff to leave comments. Survey participants were asked to respond to a number of questions using a five-point likert scale (e.g., strongly disagree to strongly agree). All scales are reliable and valid measures of their respective constructs. Of the 1,169 staff members who attempted the online survey, 932 (80%) completed the entire survey and 333 (35.7%) included comments at the end. The survey participants represent every division and college on the main campus, as well as positions ranging from technical service craft (e.g., electrician, groundskeeper) to executive (e.g., deans, associate vice presidents).
","Survey results indicate that staff are satisfied with their jobs in general (76%) and committed to UH (62%); thus we did not target those attitudes for further investigation. However, staff satisfaction with pay (16%) and promotions (20%), as well as perceptions of reward fairness (32%) were relatively low. A comparison of UH staff attitudes in 2011 and 2012 indicated few significant changes. However, although the 2011 survey indicated that staff in Technical & Service Craft jobs experienced more challenges to morale and poorer attitudes, the results of the 2012 survey indicate that the attitudes of those in Technical & Service Crafts jobs have increased to a level that is on par with attitudes of other staff at UH.

Together, these results suggest that the primary issue regarding staff morale is one of feeling under appreciated. The data resulted in at least four strategies for managers at all levels who desire to improve staff morale: 1) communicate important information that affects staff to them in a clear and timely manner; 2) be open and candid in all communications with staff, particularly with information that pertains to performance feedback, raises, and promotion opportunities; 3) communicate with staff regarding what role they play in helping UH solidify its status as a Tier 1 research university; 4) find informal ways to demonstrate appreciation for staff contributions. 

Moreover, there are several strategies supervisors can implement to improve morale: 1) performance expectations should be communicated to staff in clear, unambiguous terms; 2) procedures and standards for pay and promotion decisions should be explained thoroughly and in clear, unambiguous terms; and 3) provide staff with accurate performance feedback year-round so that they know where they stand.
",2012.0,http://www.uh.edu/staff-council/_documents/2012-Morale-Survey-rpt.pdf,Executive Summary of Staff Morale: http://www.uh.edu/staff-council/_documents/2012-Morale-Survey-exec-summary.pdf
University of Illinois at Chicago,2016-02-12,2016-02-12 17:23:44,Cindy@uic.edu,2.0,Pursuing,True,21.4,"In the fall of 2011, a University-wide Climate Survey was distributed to all faculty, staff, and students at the University of Illinois.  The survey was conducted by the Survey Research Laboratory (SRL) in collaboration with the Office of the Vice President for Academic Affairs (OVPAA), with a final sample of 13, 938 received for UIC. Data was collected by means of an online survey; however efforts were made to assist persons without computer access by providing paper questionnaires.  ","The survey aimed at assessing the perceptions of the work and academic climate at the University of Illinois. The survey assessed perceptions of inclusiveness, friendliness, cooperation, professionalism, recognition, support, and opportunities for advancement and academic success. An analysis was set up in terms of outcome and explanatory variables.  Correlations were then examined between the explanatory components and the outcome variables. ",2011.0,http://www.uillinois.edu/climatesurvey/,--
"University of Illinois, Urbana-Champaign",2016-03-23,2016-03-23 09:18:56,spauldng@illinois.edu,2.0,In Progress,--,--,--,--,--,--,--
University of Louisville,2016-02-13,2016-02-13 03:02:51,justin.mog@louisville.edu,2.0,Pursuing,True,100.0,"Anonymous Employee Satisfaction Surveys for Faculty, Staff, and Students are conducted regularly such as the Campus Climate Survey, The Chronicle of Higher Education's Great Places to Work, the Institutional Research Culture Surveys and UofL's Quality Measurement Survey.","The findings are shared publicly and within the UofL community. As Provost Shirley Willihnganz stated, “These surveys give us a lot of good information, some positive and some not so positive. By knowing the issues that are weighing on our community, we can analyze and react to improve the environment for our students, faculty and staff.” Campus governance bodies such as the Commission on the Status of Women and the Commission on Diversity and Racial Equity use the results of these surveys to develop better policies and procedures to address issues raised.",2012.0,http://louisville.edu/uofltoday/campus-news/campus-climate-survey-yields-good-information-on-employee-morale,--
"University of Maryland, College Park",2016-03-23,2016-03-23 15:55:42,sdeleon@umd.edu,2.0,In Progress,--,--,--,--,--,--,--
University of Massachusetts Amherst,2015-12-17,2015-12-17 14:45:29,esmall@facil.umass.edu,2.0,Pursuing,True,100.0,"In January 2014 the UMass Amherst Human Resources Department partnered with Buck Consultants, an external firm specializing in HR management, to conduct a review of employee satisfaction with HR services and programs across the campus. 

UMass also conducted a Workplace Bullying Survey of all UMass employees in 2012 in order to assess the nature and extent of their overall work experiences and their familiarity with workplace bullying. This is the first stage of a campaign aimed at spreading awareness about workplace bullying and ultimately to increase safety, respect, and overall employee satisfaction.

UMass Amherst also partnered with a third-party program run through the Chronicle of Higher Education to evaluate employee satisfaction.  The ""Great Colleges To Work For Program"" is an annual survey designed to recognize institutions that have been successful in creating great workplaces and to further research and understanding of the factors, dynamics and influences that have the most impact on organizational culture at institutions of higher education. 

UMass Amherst is listed among the Chronicle of Higher Education’s “Great Colleges to Work For 2011” in the area of tenure clarity and process. The CHE says “The university tries to ‘demystify the tenure process’ for faculty, one administrator says. It notes that all junior faculty in their third year have pre-tenure reviews with the provost’s office and can attend workshops to learn more about the process.(Chronicle of Higher Education, 7/25/11)

At the core of the program is a two-part assessment process: a faculty/employee survey (The ModernThink Higher Education Insight Survey©) and an institutional audit capturing information detailing various institution demographics, polices, practices and infrastructure (The ModernThink Institution Questionnaire©). 

The survey is anonymous, and is sent to a sample of administrators, faculty and staff.  Our Office of Institutional research receive high level summaries of the survey results. ",The campus followed up the workplace bullying survey by requiring a mandatory 90 minute training for all staff to take place in spring 2014 on the subject of workplace bullying and environmental awareness and the Chancellor's Office has established a Workplace Bullying Committee to respond to bullying in the workplace.  The Campus Sustainability Manager has been appointed to serve on the hearing committee.,2014.0,http://www.workplacebullying.org/2013/06/07/amherst/,--
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:33:05,Tyler_Arrigo@uml.edu,2.0,Pursuing,True,100.0,"UMass Lowell has not undertaken a formal survey for evaluating employee satisfaction and engagement since 2012, however, the University feels strongly that informal measures are in place that allow employees to provide feedback on these areas.  In some instances the feedback is anonymous, but the Department of Human Resources strives to work with other Departments and groups across campus to create a safe environment where all employees feel that their feedback is heard, valued, and considered.","UMass Lowell provides routine training on performance appraisal managements, one to one sessions with employees or managers and collaboration with the labor units.",2012.0,--,"UMass Lowell completed the Top 100 Places to Work Survey conducted annually by the Boston Globe in June 2012.   The survey was administered by Workplace Dynamics LLP, an independent research company.  "
University of Michigan,2016-01-11,2016-01-11 15:37:37,ahorning@umich.edu,2.0,Pursuing,True,52.0,"University Health System: UMHS uses a survey vendor, Press Ganey, to administer the survey and deliver results.  Press Ganey’s clientele is exclusively in health care, and they focus particularly on academic medical centers.  As such, they have the largest external benchmark available in the U.S. for hospitals for employee surveys.  The survey itself is jointly designed by Press Ganey and UMHS, building upon a core set of mandatory items from Press Ganey’s model, and enhanced with supplemental questions that come from Press Ganey’s item bank and a few questions of UMHS’s own design.  All rated survey questions use a 1-to-5 scale methodology. There are two open-ended questions, and a couple of non-standard supplemental questions that are descriptive in nature (i.e., categorical, but not based on a scale nor open-ended).  The survey is administered annually in late winter or early spring.  The survey is hosted through a third party application outside of UMHS (at press Ganey).  Access to the online survey is controlled through a user-known password that is required to enter the survey, and is matched against a list of qualified employees sent to Press Ganey beforehand.  A small number of departments whose employees do not have access to computers are supported with paper-based surveys, which Press Ganey receives and processes.

Budget and Finance: All employees of the Business & Finance Office are surveyed every other year for employee satisfaction.

"," University Health System: Issues raised by the survey can be addressed at several different levels depending on the nexus of control over the issue.  Most issues and concerns are local.  Individual leaders (managers, supervisors, and directors) have access to their survey results and comments, and are responsible for reviewing them, sharing results with their staffs, identifying problems, and developing and publishing action plans.  Common types of issues that are addressed at the local level include professional growth and development opportunities, workload fairness and rebalancing, and ongoing continuous improvement through problem solving.  Issues that are global in nature, or which center around a particular topic that is within the nexus of control of a particular department (e.g., environmental cleanliness, employee safety, etc.), are brought to the attention of the responsible department who has responsibility for addressing issues.

Budget and Finance: Results of the survey are made available to all B&F Departments, examples of initiatives undertaken due to survey results can be found here: http://www.bf.umich.edu/ess/initiatives/initiatives.php.",2014.0,--,--
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:12,mgranley@d.umn.edu,2.0,Pursuing,True,64.0,"The University of Minnesota conducted the 2014 E2 Employee Engagement survey in October. Benefits-eligible faculty and staff received a survey from the University's external vendor, Hay Group.Thank you to all faculty and staff who participated in the E2 Employee Engagement Survey. The overall result is 64% for the entire University with 53% of faculty and 68% of staff responded this year.",The survey was just completed.  Results will be shared with colleges and units in January through March of 2015 and with all faculty and staff through the Campus Conversation session in April.,2014.0,http://www1.umn.edu/ohr/training/e2/survey/index.html,--
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:28:54,good0044@morris.umn.edu,2.0,Pursuing,True,100.0,"The University of Minnesota administers an online employee satisfaction survey developed exclusively for the University of Minnesota. The survey helps to better understand the work experiences of all employees. Reporting and analysis is completed by administrators responsible for system-wide policies and practices in areas such as compensation, benefits, faculty affairs, compliance, and non‐instructional equity and diversity. Unit level reports are also provided to campus, college, and administrative support unit leaders.","Campus shared governance committees and administrators work together to address issues raised in survey. Committees have previously worked faculty salary issues, and are also working on improving professional development and leadership opportunities. Two or three issues raised by the survey are selected for targeted improvement.",2014.0,http://www.morris.umn.edu//hr/engagement/,--
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:35,stennes@umn.edu,2.0,Pursuing,True,100.0,"2015 will mark the third year that the University will measure faculty and staff engagement utilizing a survey instrument developed in 2013.  The survey's results are then utilized to develop specific action plans that address results.  Participation rates to the survey are very strong with an overall rate of 57%(47% faculty, 60% staff) in 2013, growing 64% (53% faculty and 68% staff) in 2014.","Key Metrics of E2 Survey:
Commitment and Dedication, Effective Environment, Engagement, Strengths and Opportunities, Commitment to Excellence, Confidence in Leaders, Development Opportunities, Respect and Recognition, Authority and Empowerment, Clear Expectations and Feedback, Collaboration, Support and Resources, Work Structure, and Process.

Reports are provided for every unit in the university of size minimum 10 employees.  The Office of Human Resources also helps action plans to implement strategies necessary.
",2014.0,http://www1.umn.edu/ohr/training/e2/survey/index.html,--
University of Missouri,2015-05-01,2015-05-01 15:33:53,raghavans@missouri.edu,2.0,Pursuing,True,60.0,"After the announcement of the retirement of Chancellor Brady Deaton and the introduction of the new Chancellor R. Bowen Loftin, the MU Staff Advisory Council decided to gather information from MU staff members to present a snapshot of staff issues and concerns in face of administrative change.  The Chancellor’s Diversity Office offered to facilitate a survey using questions prepared by the Staff Advisory Council.  The resulting online survey was sent to staff during the month of March, 2014.  The survey elicited valuable feedback about employee's feelings about the university and topics of concern to be improved upon.

The Staff Advisory Council at the University of Missouri-Columbia was formed by the Chancellor in October 1978. The mission of the Council includes advising the chancellor on matters of mutual interest, and provides an appropriate and effective channel for bringing staff members’ concerns and interests to campus administration. The Council acts as a liaison for staff and administration on matters which are initiated by staff, and also on those initiated by the Council. The Council attempts to heighten awareness of contributions made by staff members to the University of Missouri, and recognizes those contributions publicly. It also serves as an information source for staff members regarding policy changes which affect them. The Council does not function as a bargaining unit or a grievance committee. ","Comments were compiled based on topics within the answers for several questions.  While several comments discuss the same topic, many were included in the final report as a way to express the concerns of all staff to MU Administration. Please note that there were four comments which included specific names of MU employees.  Due to the nature of some of these comments, the Staff Advisory Council chose to redact the names mentioned from the copy of the survey results that will be available to the public.  The complete survey results, including individual names, were included in the version of the survey presented to Chancellor Loftin and Interim Vice Chancellor Ward.
",2014.0,http://staffcouncil.missouri.edu/goals/2007results.pdf,"http://www.themaneater.com/stories/2014/8/27/mu-releases-faculty-satisfaction-survey-results/ 
http://diversity.missouri.edu/about/climate/
http://staffcouncil.missouri.edu/SURVEY.word.%20%20All_Respondents_Redacted%202014.docx  

51% of Faculty participated in a faculty-only survey from August 2014
9.27% of Staff participated in a staff-only survey from March 2014 

"
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:20,johnstonrk@umkc.edu,2.0,Pursuing,True,25.0,"The University of Missouri-Kansas City wants to better understand what employees value most in their workplace and why they leave the University or transfer divisions/schools/departments.

We value your input! If you did not have the opportunity to complete the exit survey upon your departure, we are asking for your participation now.  

Your honest responses to the questions are extremely important to us. Your feedback provides a means of assessing employee satisfaction and the information you provide will remain anonymous and will be used in summary form as a means to identify patterns or trends in the work environment at the University. "," Employee Relations provides services to employees, managers and supervisors to create a positive work environment for everyone. We focus on promoting good management practices and workplace behaviors, positive working environments and relationships through the following services:

    Performance management
    Assist employees and managers with disciplinary action procedures, advising on standards, performance and development plans and developing models for employee success.
    Conflict management and mediation referral
    Address, investigate and handle work-related employee complaints.

    UM System and UMKC policy administration
    Provide policy development and interpretation of UM, UMKC and departmental policies and procedures.
",2012.0,https://irapweb.umkc.edu/survey/fs.aspx?surveyid=f7380fcb78b4c5da2cf052bc7df351e,--
University of Mount Union,2016-01-13,2016-01-13 13:05:30,mcclauca@mountunion.edu,2.0,Pursuing,--,--,Mount Union has committed to pursuing an employee satisfaction survey in the 2014-15 academic year. ,,--,--,"Date entered by Leah Graham, provided by Pam Newbold, Director of Human Resources and Staff Development"
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:45:01,pshrestha3@unl.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:37,slburke@unomaha.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of New Hampshire,2016-03-25,2016-03-25 21:54:30,colleen.flaherty@unh.edu,2.0,In Progress,--,--,--,--,--,--,--
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:58:00,cpshea@fac.unc.edu,2.0,Pursuing,True,100.0,"UNC conducted a university-wide employee survey on organizational effectiveness in order to create a more productive and satisfying work environment. The response to the 2013 survey resulted in over 3,000 submissions, a strong response rate of 28 percent from more than 11,000 faculty and staff. 

The 2013 campus-wide employee satisfaction survey asked most of the same questions as the 2010 survey so that changes could be tracked over time. The faculty job satisfaction survey (COACHE) was designed by Harvard University and has been used by UNC's peers and other campuses in the UNC System.  Both of the surveys were administered via the web with invitations and reminders sent via email.

The employee survey will be reviewed and suggested changes evaluated for potential implementation by the Carolina Counts program. The Chancellor initiated Carolina Counts to carry out key recommendations resulting from an efficiency and effectiveness assessment conducted in 2009. Recommendations focused on streamlining campus operations; implementing simpler, more responsive systems and processes; reducing bureaucracy; and creating a more satisfying work environment.

In general, campus views of the University’s vision, and the people and processes in place to fulfill it, were more positive in 2013 than in 2010. Three-fourths of employees believe that Carolina has both a compelling vision and the talent needed for future success. Moreover, 79 percent of employees would recommend Carolina as a place to work, and 66 percent believe it is a highly effective organization.

http://carolinacounts.unc.edu/","The results of the campus-wide employee survey were summarized and shared with employees through email announcements, with more detailed statistics made available on the University website.   The Chancellor, vice chancellors, and various groups on campus discussed the findings, which suggested that the University had made improvements in the areas of leadership, clarity of communications, decision-making, and staff development since the first administration of the survey in 2010. 

The Carolina Counts program encompasses the entire operational improvement initiative at UNC. The first phase of this initiative was the Diagnostic phase resulting in the consultant report that was presented to the university community. The current phase is Analysis and Design.

The analysis and design phase is comprised of 10 initiatives or improvement areas. Each improvement area is led by a champion.  There are projects underway to achieve the targets identified in each area. Each project team is comprised of a group of faculty, staff, or administrators as appropriate, and led by a project team leader.

Under the leadership of the project leader, the teams research opportunities, analyze processes or policy options and cost implications, evaluate alternative scenarios, define measurements, estimate potential savings, and propose a solutions. The champion approves the solution and assigns it to an implementation team to put the recommendation in action. 
http://carolinacounts.unc.edu/index.php?id=31",2013.0,http://carolinacounts.unc.edu/index.php?id=51,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:22,cgcarwei@uncg.edu,2.0,Pursuing,True,100.0,"In the spirit of continuous improvement, and in keeping with the University’s strategic goals, Human Resources conducted an extensive, campus-wide assessment in the Fall of 2014 of its performance in its core functional areas. The 2014 HR survey contained a number of brief questions on each of the core HR functions, as well as a section asking respondents to assess HR services overall. The survey was designed to take about 15 minutes to complete and was emailed to 2,414 employees across the UNCG campus in October of the Fall 2014 semester.

In January 2015 HR participated in a Business Affairs division-wide employee engagement survey. This survey was developed by a group of colleagues representing Finance, Facilities, Campus Enterprises, Human Resources, Foundation Finance and Safety and Risk Management. The Employee Engagement survey will be used to determine what factors are most important to staff and their success as members of the Division of Business Affairs at UNCG.","These surveys have just recently been conducted. However, already in response for more supervisory training, HR has developed a new intensive training program The Supervisory Essentials Program. It is specifically designed to meet the needs of individuals in a supervisory or managerial role within the university.  Participants in this program learn how to transform their team into a strong, productive unit that pulls together to exceed goals and go the extra mile.  Training sessions take place twice each semester on two consecutive Fridays, lasting all day with frequent breaks and a lunch break built into the schedule.  The first day of training centers around developing a strong knowledge of university policies and procedures while day two focuses on the areas of recruitment and development. 

A link to more information about the program can be found at http://web.uncg.edu/hrs/Professional_Development/Supervisor_Essentials_Program/. 
",2014.0,--,"1.HR 2014 Survey: 2,414 employees (faculty and staff) campus-wide received an opportunity to participate in an online survey via email. An estimated 600 employees (or 25%) participated.
2. Division of Business Affairs 2015 Employee Engagement Survey: 413 Business Affairs employees received an email request to participate in an online survey. 280 employees (or 68%) participated.

Information for this credit was received from Dr. Edna Chun, Associate Vice Chancellor for Human Resource Services at UNCG."
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:35,pohlmank@uncw.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Oregon,2016-03-23,2016-03-23 11:02:36,smital@uoregon.edu,2.0,In Progress,--,--,--,--,--,--,--
University of Pittsburgh,2016-03-24,2016-03-24 12:59:32,lwzfm1@pitt.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Richmond,2016-02-17,2016-02-17 15:17:39,randreje@richmond.edu,2.0,Pursuing,True,100.0,Every third year we participate in the Great Colleges to Work for Survey.  This survey  benchmarks UR against like institutions. University leadership works directly with employees to identify priorities and commit to specific follow-up actions based on survey response data.,Data is shared with leadership teams to identify concerns and issue that can be addressed.  Data is also shared with all employees by division with opportunity for input and explanation.  Areas of opportunity are addressed and teams within divisions work together to develop solutions.,2015.0,http://hr.richmond.edu/talent/workplace-survey.html,--
University of South Carolina,2016-02-29,2016-02-29 17:11:44,KOPPAN@mailbox.sc.edu,2.0,Pursuing,--,1.0,"The HR Department conducts both an employee suggestion program and an exit interview program to capture overall employee satisfaction.  These results are analyzed each year and relative changes are administered to keep satisfaction high.  Also, when new buildings are designed on campus, employee satisfaction is measured to determine how the new building design has effected working efficiencies. ",unknown,2014.0,http://hr.sc.edu/benefits/emplyfaq.html,--
University of South Florida,2016-02-26,2016-02-26 13:29:40,sustainability@usf.edu,2.0,Pursuing,True,100.0,"The university recognizes the importance of performance management and is committed to providing employees with regular, timely and valuable feedback regarding their performance. It is an expectation that employee performance will align with the universities strategic plan, vision, mission values and goals.

The performance management process is a collaborative effort between supervisors and employees, which includes performance planning and goal setting, day-to-day coaching and feedback, periodic performance check-ins and formal performance review.

A performance evaluation required for all new Staff employees’ by the first six months of service. It should be completed within 30 days prior to the end of the initial probationary period or promotional probationary period. An employee shall receive a performance rating of “Achieves” or higher before attaining permanent status in the job class.
All full-time faculty, Administrative and Professional (A&P) employees, and staff (but not OPS employees) at the Tampa campus were administered the online survey by email between February and March, 2010. Faculty and staffwho did not have email addresses at that time were sent questionnaires through the campus mail.
The main objective of this Climate Survey, like the one administered in 2002, is to use the results as a part of USF' s strategic planning process to enhance diversity and the overall campus climate. USF administrators are particularly interested in determining the extent and nature of any changes that have occurred since an initial Campus Climate Survey was conducted in 2002, and then, on the basis of these findings, seek ways to improve diversity and climate.

A total of 2,201 out of 6,060 faculty, A&P, and staff employees on the Tampa campus responded to the survey for an overall response rate of36.3%, which is similar to the response rate of the 2002 USF Campus Climate Survey.","USF Diversity, Inclusion and Equal Opportunity works very closely with the faculty and staff to address issues raised overtime. The Diversity Network strengthens the diversity infrastructure to facilitate meeting USF’s strategic goals related to diversity and equal opportunity, as well as provide technical assistance and support to University professionals engaged in diversity and equal opportunity initiatives. It also organizes training sessions to faculty and staff on the different issues and support them in many different ways. ",2015.0,http://health.usf.edu/publichealth/hr/performance-management.htm,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 23:00:06,davidv@mail.usf.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:26,prestonj@utk.edu,2.0,Pursuing,True,62.0,"Introduced in 2011, the Employee Engagement Survey is sent out every three years to help make the University a better place to work by sharing thoughts and suggestions. The survey is available to any person employed by the University of Tennessee and working 50% time or more, and is administered by a third-party vendor, ModernThink. Areas covered by the survey include:
-Compensation, recognition and appreciation
-Benefits & work/life balance
-Professional development
-Performance management
-Diversity and inclusion
-Job fit
-Senior leadership
-Connection of job to UT's mission
-Resources and support
-Collaboration
-Shared Governance","Feedback is used in many ways, at both system and campus levels, to make UT an even better place to work. Examples of changes made from the 2011 survey at UT Knoxville include:
-Created new supervisor training: Performance evaluation, conflict management, employee shared governance and effective recognition
-Introduced two new annual employee appreciation events hosted by the chancellor: Spring Thank You Lunch and Fall Back-to-School Barbecue
-Introduced new comprehensive benefits fair in September to provide employees an opportunity to learn more about upcoming benefit changes prior to annual enrollment
-Introduced new quarterly luncheon program to give the chancellor an opportunity to welcome all new faculty and staff
-Introduced new Open Office Hours program to provide faculty and staff the chance to discuss issues of interest and concern one-on-one with the chancellor",2014.0,http://humanresources.tennessee.edu/yourvoice/,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:02:54,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:30,mtare@uta.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Texas at Austin,2016-03-21,2016-03-21 16:14:54,jim.walker@austin.utexas.edu,2.0,Pursuing,True,40.34,"We used the Survey of Employee Engagement (SEE) which is used by government entities across the state of Texas to assess the climate of the workplace. This survey was conducted by the Institute for Organizational Excellence in the College of Social Work. Noel Landuyt, PhD was responsible for the survey instrument and tabulating the results. 
","To this reporter's knowledge, there has not been a uniform or institutionalized method of dealing with the results of the employee engagement survey. Particular departments may be working on addressing concerns, but there is not a general effort by the university as a whole to address the survey results.",2012.0,http://www.utexas.edu/operations/documents/ut-see-data-2012.pdf,"The employee engagement survey was offered to the entire university through the Institute for Organizational Excellence. Not everyone chose to participate, and only about 38% of employees at the university were represented, particularly those in University Operations. This survey was conducted through the Institute for Organizational Excellence in the College of Social Work who would have more information about how this employee engagement survey was conducted. There is not, to this reporter's understanding, a unified mechanism to address the concerns raised from the employee engagement survey on a university level, although some work has been made departmentally to address these concerns in some areas. "
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:03,thea.junt@utdallas.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Toledo,2016-03-25,2016-03-25 15:21:45,neil.tabor@utoledo.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Virginia,2015-12-11,2015-12-11 14:05:48,art2k@Virginia.edu,2.0,Pursuing,True,100.0,"Chronicle Great Colleges > Participation > Methodology
The Chronicle Great Colleges to Work For® program is designed to recognize institutions that have been successful in creating great workplaces, and to further our research and understanding of the factors, dynamics and influences that have the most impact on organizational culture at institutions of higher education.

At the core of the program is a two-part assessment process: a faculty/staff survey (The ModernThink Higher Education Insight Survey©) and an institutional audit capturing information detailing various institution demographics, policies, practices and infrastructure (The ModernThink Institution Questionnaire©“IQ”).

Each participating institution is asked to submit an email list of full-time faculty/staff randomly selected across four categories (Administration, Faculty, Exempt Professional Staff, and Non-exempt Staff) to participate in the survey. 

Sample sizes are determined based on the number of employees in the various categories. Four-year Schools: Up to 600 randomly selected employees among the four eligible job categories. An average of 15% of your sample will be allotted to Non-exempts (percentage varies by sample and school size).","Participating in the “Great Colleges to Work For” program is part of our overall commitment to continuous improvement. Information collected will be particularly useful as we compete with other leading universities to recruit the next generation of faculty and staff. Involvement in this comprehensive review will allow us to benchmark against peers and look for opportunities to enhance the workplace experience of both faculty and staff. The University will receive a summary report of the survey results, which we will share with the University community through the Faculty and Staff Senates. If U.Va. is selected for recognition as a great place to work, we will be featured in The Chronicle of Higher Education’s July issue. Even if we are not selected for recognition, we nevertheless will have a robust set of data that we can use to improve the University.",2015.0,http://chroniclegreatcolleges.com/,"The University of Virginia is currently completing this survey, so results are not yet available.  Prior to this, the University last did an employee satisfaction survey in 2011.  Those results are available here:  http://hr.virginia.edu/other-hr-services/president-sullivan-staff-survey/"
University of Winnipeg,2016-01-13,2016-01-13 14:36:48,a.lajoie-omalley@uwinnipeg.ca,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:47,fermanij@uwgb.edu,2.0,Pursuing,True,100.0,"The Committee on Workload and Compensation (CWC) would like to ask you to complete a survey about your experiences as a UW-Green Bay employee.  The faculty are currently participating in a similar survey being done nation-wide.  The CWC wants to collect comparable information from UWGB staff.  It will use this information to guide its work next year, including its interaction with UWGB’s new leadership.","Issues identified in the survey are discussed and prioritized by the Chancellor and his/her cabinet to determine what next steps should be taken to better understand and address the issues. In the last year, as in most colleges and universities, compensation and pay compression issues are of concern. An external consultant was hired to conduct an in-depth analysis of compensation/compression issues at UWGB, including benchmarking studies. As a result, a well-researched and comprehensive compensation philosophy was adopted and salary adjustments made for a certain percentage of employees.  ",2014.0,--,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:34:16,knelson6@uwm.edu,2.0,In Progress,--,--,--,--,--,--,--
