Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution offer at least one sustainability-focused major, degree program, or the ...","The name of the sustainability-focused, graduate-level degree program (1st program)",A brief description of the graduate degree program (1st program),The website URL for the graduate degree program (1st program) ,"The name of the sustainability-focused, graduate-level degree program (2nd program)",A brief description of the graduate degree program (2nd program),The website URL for the graduate degree program (2nd program),"The name of the sustainability-focused, graduate-level degree program (3rd program)",A brief description of the graduate degree program (3rd program),The website URL for the graduate degree program (3rd program),"The name and website URLs of all other sustainability-focused, graduate-level degree program(s)","Does the institution offer one or more graduate-level sustainability-focused minors, concentrations ...","The name of the graduate-level sustainability-focused minor, concentration or certificate (1st ...","A brief description of the graduate minor, concentration or certificate (1st program)","The website URL for the graduate minor, concentration or certificate (1st program)","The name of the graduate-level sustainability-focused minor, concentration or certificate (2nd ...","A brief description of the graduate minor, concentration or certificate (2nd program)","The website URL for the graduate minor, concentration or certificate (2nd program)","The name of the graduate-level sustainability-focused minor, concentration or certificate (3rd ...","A brief description of the graduate minor, concentration or certificate (3rd program)","The website URL for the graduate minor, concentration or certificate (3rd program)","The name and website URLs of all other graduate-level, sustainability-focused minors, ...",Public Notes
"University of Maryland, College Park",2016-03-23,2016-03-23 15:56:17,sdeleon@umd.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Massachusetts Amherst,2015-12-17,2015-12-17 14:45:34,esmall@facil.umass.edu,2.0,Pursuing,True,Master of Science in Sustainability Science,"The Sustainability Science program prepares students professionally for a broad range of sustainability-focused careers in industry, government, or the non-profit sector.  Students will graduate with: (1) a systems-based foundation for analyzing current environmental challenges; (2) pragmatic training and field experiences; (3) critical thinking and communications skills; and (4) knowledge and understanding of the interrelated scientific, social, economic and political underpinnings of environmental problems, solutions, and practices. - See more at: http://eco.umass.edu/degree-programs/sustainability-science-masters/#sthash.uInGORqa.dpuf",http://eco.umass.edu/degree-programs/sustainability-science-masters/,Master of Science and PhD in Environmental Conservation,"The Graduate Program in Environmental Conservation intends to play a significant role in this transformation.

Recognizing the growing complexity of environmental conservation, the Program has evolved into a broad, multi-faceted degree program, with diverse opportunities for emphasizing 1) wildlife, fish and conservation biology, 2) forest resources and arboriculture, 3) water, wetlands and watersheds, 4) human dimensions and environmental policy, or 5) building systems, with options for a thesis (research) or professional (non-thesis) degree in any of these areas of concentration. To support these degree programs, there are currently more than 50 courses offered within the Program taught by ECo faculty.",http://eco.umass.edu/degree-programs/graduate-programs/,Master of Science in Geography,"The geography program has special strengths in Climatology & Paleoclimatology, Natural Hazards and Disasters, Geomorphology, Land and Water Management, Economic Geography, Urban Geography, Development and Conservation, Environmental Perception, and Geographic Information Systems (GIS), Earth System Modeling, and Remote Sensing. Specific problems in these areas may be explored in the regional contexts of North America, Europe, New England, Latin America, China, Southeast Asia, and the Arctic ",http://www.geo.umass.edu/programs/grad.html,"Architecture, http://www.umass.edu/architecture/content/master-architecture
Civil & Environmental Engineering, http://cee.umass.edu/graduate-program-areas 
Design in Historic Preservation, http://www.umass.edu/architecture/content/master-science-design-historic-preservation
Environmental Health Sciences, http://www.umass.edu/sphhs/environmental-health-sciences 
Geosciences, http://www.geo.umass.edu/programs/graduate/geology
Landscape Architecture, http://www.umass.edu/larp/academics/graduate-degrees/landscape-architecture-mla 
Mechanical and Industrial Engineering, http://mie.umass.edu/mie-graduate-programs
Plant Biology, http://www.bio.umass.edu/plantbio/ 
Public Policy & Administration, http://www.masspolicy.org/academics/master-public-policy-and-administration 
Regional Planning, http://www.umass.edu/larp/academics/graduate-degrees/regional-planning-mrp 
Resource Economics, http://www.umass.edu/resec/graduate/index.shtml ",True,Sustainable Building & LEED Certification,The LEED Professional Credentials indicate professional excellence and a strong depth of knowledge as well as practical understanding of the LEED Rating Systems and how they apply to the high-performance design and construction of the built environment. Preparing to take the LEED Green Associate and AP exams requires more than taking one course; it is a process that involves acquisition of disciplinary knowledge and understanding of complex building and environmental systems. This course introduces core concepts of the USGBC LEED Rating Systems and assists students with study and preparation for the LEED Green Associate exam.,http://www.umass.edu/sustainability/class/st-sustainable-building-leed-certification,Graduate Certificate/Concentration in Wind Power Engineering,"The Graduate Certificate/Concentration in Wind Power Engineering is the first ever wind energy certificate/concentration program in the U.S. This 15 credit program offers a unique opportunity for students or professionals to obtain in-depth knowledge of all aspects of wind energy including engineering topics (aerodynamics, structures and loads, design, electrical issues, support structures, wind and wave external conditions) as well as critical non-engineering issues (economics, permitting, standards, environmental impacts, policy). Students also have the flexibility to specialize in certain aspects of wind energy that are of particular interest. This program is ideally suited for: undergraduate engineers interested in graduate-level studies in wind energy industry, professionals in other industries interested in transitioning into the wind energy industry, and current industry practitioners interested in additional education and credentials.",http://www.umass.edu/windenergy/study/graduatecertificate,"Integrative Graduate Education and Research Traineeship (IGERT): Offshore Wind Energy Engineering, Environmental Science, & Policy","The University of Massachusetts Amherst recently received a $3.2 million grant from the National Science Foundation Integrative Graduate Education and Research Traineeship (IGERT) program to start an interdisciplinary graduate program in Offshore Wind Energy. The new graduate program will train 24 doctoral students over the course of five years in the technology, environmental implications, and social/economic/regulatory challenges of offshore wind farms. The multidisciplinary program will feature more than 20 faculty members from nine UMass Amherst departments in the College of Engineering, College of Natural Sciences, School of Management, and College of Social and Behavioral Science.

The overarching goal of this IGERT is to educate a new generation of researchers able to integrate engineering, environmental science, and social science to better position the U.S. in global competitiveness in wind energy. Specifically the overall program goals are to:

    Encourage and motivate students, particularly those from underrepresented groups, to pursue research careers in renewable energy.
    Create an environment in which students and faculty engage in transformative interdisciplinary research.
    Provide students with a curriculum that achieves both deep knowledge in their chosen field and inter-disciplinary knowledge across fields related to wind energy including exposure to state-of- the-art topics through an innovative real-time case study (on a proposed wind installation in Hull, MA), international exchanges, and training in participatory communication.
    Provide students with skills and strategies for professional success including mentoring and activities centered on career guidance and ethics.
",https://windenergyigert.umass.edu/igert-program,,--
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:33:12,Tyler_Arrigo@uml.edu,2.0,Pursuing,True,M.S. Environmental Studies,"The environmental science field is interdisciplinary in nature and blends a strong science core with focused areas in the humanities/social sciences leading to a program of study that is compatible with the student's strengths and goals. This program prepares students for employment in the private and government sectors where knowledge is required in management and protection of the environment, environmental laws and regulations, natural resources and environmental economics. Graduates of this concentration can pursue a variety of careers. Alumni have become doctors, environmental lawyers, teachers, environmental analysts, planners, water treatment plant operators, hydrological consultants, noise and air pollution specialists, and managers in private industry and government.
",http://www.uml.edu/Engineering/Civil-Environmental/Programs-of-Study/Graduate/Environmental-Studies.aspx,Ph. D. Global Studies,"Graduates of this program will demonstrate the following competencies:
1.	Globally shared political, social, economic, cultural, artistic, environmental, and security issues.
2.	Current academic research in the fields covered by one of the program tracks (Security and Human Rights; Socio-Economic Development; or Comparative Cultures) as well as a broad familiarity with key topics in all three areas.
3.	An understanding of the key concepts, theories, and methodology in the new and emerging field of Global Studies.
4.	An understanding of the diverse aspects of global civil society--such as political economy, relationships, security, human rights, religion, ethical and historical perspectives, artistic expression, culture, and environmental protection--that affect our contemporary world in significant ways.
5.	A working knowledge of the organizations, institutions and global systems having important roles in the development and maintenance of global civil society, human rights and social justice, and economic growth and stability.
6.	Both advanced quantitative and qualitative research methods.
7.	A second language.
",http://www.uml.edu/Catalog/Graduate/FAHSS/Global-Studies/default.aspx,NA,NA,--,NA,True,"Sc.D and M.S. Work Environment, Concentration in Cleaner Production and Pollution Prevention","The current way we are making our products and organizing our services is harming our environment and creating health problems. Every product has a life cycle, which includes raw material extraction, transport of materials to production sites, manufacturing, transport of the finished product, sales, service, and disposal or (ideally) recycling. In Clean Production, the goal is to create a cradle-to-cradle process with minimal negative impact and maximum positive impact on human health and the environment. Cleaner Production Processes conserve raw materials and energy, eliminate toxic materials and reduce the generation of wastes and emissions.",http://www.uml.edu/Health-Sciences/WE/Programs/CleanerProd-PollutionPrev.aspx,"Sc.D and M.S. Work Environment, Concentration in Work Environmental Policy","UMass Lowell’s Work Environment master's degree programs train you to be an effective leader in occupational and environmental health and safety. You’ll graduate with skills to enhance any industry, government agency, consulting firm, insurance agency, or labor and community organization. The doctoral degree programs groom you for a career as an educator, research scientist or policy specialist with the creativity and critical thinking needed to generate new knowledge. Whether you select a career in academia, governmental or private research, private industry, or public policy, you’ll be ready to push the envelope for innovation.",http://www.uml.edu/Health-Sciences/WE/Programs/Environment-Policy.aspx,M.A. Economic and Social Development of Regions – Environment and Sustainability Focus Area,"Environmental issues are some of the most important challenges facing communities at the local, national, and global level.  This focus area introduces students to some of the most significant issues arising from the connections of economic activity and economic development to the quality and sustainability of the environment.  Students learn skills in the economic and political analyses relevant to the design and implementation of policy alternatives that have emerged domestically and globally over the last 40 years or so. From global climate change to brownfields, concern about environmental damage has created a rich legacy of economic and political analysis, policy, and politics to which students are exposed through the courses in the focus area.",http://www.uml.edu/Catalog/Graduate/FAHSS/Econ-Social-Dev/Focus-Areas.aspx#Environment,"M.S. Environmental Studies – Environmental Engineering Sciences Concentration and Atmospheric Sciences Concentration:
http://www.uml.edu/Catalog/Graduate/Engineering/Civil-Environmental-Engineering/Masters-Program.aspx#Master%20of%20Science%20in%20Environmental%20Studies

Graduate Certificate in Sustainable Infrastructure for Developing Nations – Civil and Environmental Engineering Department: ttp://www.uml.edu/Catalog/Graduate/Engineering/Civil-Environmental-Engineering/Graduate-Certificates.aspx#Sustainable%20Infrastructure%20for%20Developing%20Nations

D.Eng, Ph.D, M.S. Energy Engineering – Renewable (Solar) Energy Concentration: http://www.uml.edu/Catalog/Graduate/Engineering/Energy-Engineering/Masters-Program.aspx

Professional Certificate in Energy Conversion - Electrical and Computer Engineering Department: http://www.uml.edu/Catalog/Graduate/Engineering/Electrical-Computer-Engineering/Graduate-Certificates.aspx#Energy

",--
University of Michigan,2016-01-11,2016-01-11 15:37:44,ahorning@umich.edu,2.0,Pursuing,True,Erb Institute for Global Sustainable Enterprise,"This graduate-level masters program focuses on Global Sustainable Enterprise, which involves a challenging blend of coursework, projects and research related to business, the environment and sustainability.  Students enrolled in the three-year program earn two degrees: a Master of Business Administration (MBA) from the Stephen M. Ross School of Business (Ross), and a Master of Science (MS) from the School of Natural Resources & Environment (SNRE).",http://erb.umich.edu/education-programs/mbams/,Engineering Sustainable Systems,"Launched in the fall of 2007, the dual degree confers a master of science (M.S.) degree from the School of Natural Resources and Environment (SNRE) and a master of science in engineering (M.S.E.) from the College of Engineering (CoE). 

Global climate change, energy security, ecological degradation, environmental threats to human health and resource scarcity are critical sustainability challenges for the 21st century. Sustainability is based upon the ability to meet societal needs within the context of economical and ecological constraints. This dual degree provides the tools necessary to help meet those needs. The program trains graduate students to protect, restore and create engineered and natural systems that are socially, environmentally and economically sustainable. Graduates have the engineering and sustainability foundations to command jobs domestically and internationally with engineering consulting firms, research and development labs in the private and public sectors, government agencies and NGOs.",http://ess.umich.edu/,--,,--,,True,"School of Natural Resources and Environment, Concentration in Sustainable Systems","The Sustainable Systems field of study offers an interdisciplinary curriculum focused on enabling technology and enterprise to enhance the sustainability of systems that provide mobility, shelter, sustenance, communication and recreation. It draws on and benefits from the diversity of faculty expertise found at the school and across the University. Many cross-listed courses offered by the Ross School of Business and the College of Engineering complement the research activities of the Center for Sustainable Systems and the Erb Institute for Global Sustainable Enterprise.",http://www.snre.umich.edu/degrees/masters/sustainable_systems/overview,--,,--,--,,--,,--
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:18,mgranley@d.umn.edu,2.0,Pursuing,True,Master of Environmental Education Program,"The purpose of this program is to develop advanced practitioners in EE who will take on leadership roles through positions such as EE specialists and directors at nature centers, outdoor and EE centers, natural resource agencies, conservation groups, park and recreation programs, and in P-16 school settings. Core requirements include teaching methodology in formal and non-formal settings; program development, management, and evaluation; theory; and research. Elective courses are used for supporting the final project and/or specific areas of interest. Final project options for this Plan B Master's Degree include a research-based project or journal article, field project, or curriculum project. The degree is intended to be completed in two years, and a minimum of 34 credits is required. Coursework is offered primarily on-campus (in person); some electives are available on-line. Summer coursework is limited, and most students spend summers away from campus gaining relevant experience.",http://www.d.umn.edu/ceed/mastersdegree-overview.html,Masters of Liberal Studies,"The Master of Liberal Studies Program offers students an opportunity to assemble a degree that suits their individual interests and career objectives. Students work with the best faculty across UMD. With the help of their advisors, students adopt multiple approaches to solve the most important problems facing our community, our region, and our lives as individuals.  The Program allows students to designate one of four emphases to help focus their work. 
Emphasis in Sustainability Studies
Emphasis in the History of Ideas
Emphasis in Media Studies
Emphasis in Global Indigenous Studies",http://www.d.umn.edu/cla/mls/main/index.html,"Master of Science, Water Resources Science","The Water Resources Science (WRS) graduate program is an interdisciplinary and multi-institutional program offered on the Twin Cities and Duluth campuses. The WRS program is committed to the education goals of producing scientists with strong technical skills, developing a holistic understanding of the hydrologic cycle and associated ecosystems, and generating an understanding of the interplay between the bio-physical sciences and the social sciences in developing and implementing public policies related to water.  The program draws on numerous water-related courses from departments on the Twin Cities and Duluth campuses, and is administered by the University of Minnesota’s Water Resources Center. The Water Resources Center is affiliated with the College of Food, Agricultural and Natural Resource Sciences and University of Minnesota Extension.",http://wrs.umn.edu/,"Civil Engineering, MS
Environmental Health and Safety, MEHS
Integrated Biosciences, MS, Ph.D
http://www.d.umn.edu/grad/graduate-programs.php",--,--,,--,--,,--,--,,--,,--
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:29:00,good0044@morris.umn.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,We DO NOT offer ANY graduate degrees.
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:42,stennes@umn.edu,2.0,Pursuing,True,M.S. in Sustainable Design,"The planet, for better or worse, is becoming urbanized. By 2050, according to former United Nations Secretary-General Kofi Annan, six billion people, representing two-thirds of humanity, will be living in towns and cities. Today, one billion people-or one of every three urbanites-live in slums. The solutions to this and other environmental challenges hinge on sustainability: preserving the earth's resources, inhabitants, and environments for the benefit of present and future generations.
The School of Architecture at the University of Minnesota's College of Design (CDes) has responded by developing the M.S. in Architecture-Sustainable Design Track (M.S.-S.D.). Bringing together a rich group of multidisciplinary courses, projects, and research opportunities, students can customize the program to meet their individual needs. Options for an M.S.-S.D. + M.Arch. professional degree are also available. The school's unique dual-degree program allows students to combine professional architecture studies with a focus on sustainable design theory and practice. This dual-degree curriculum provides designers and researchers with the knowledge and expertise to address issues including energy and resource efficiency, water, waste reduction, materials, and technological innovations in sustainable design. The dual degree prepares students to integrate sustainable design practice and research in the design professions, government agencies, research institutes, and business.
The M.S.-S.D. can be completed in three semesters (34 credits). The dual degree, which combines the M.S.-S.D. and the professional Master's of Architecture (M.Arch.) degree, can be completed concurrently as a full-time student in three-and-a-half years (100 credits).
 ",http://arch.design.umn.edu/admissions/mssd/,Environmental Health Sciences -MS,"Global Issues

Environmental Chemistry
Explore the interactions of pollutants with air, water, soil and their exposures to humans and wildlife.
Environmental Infectious Diseases
Examine the emergence of food borne and infectious diseases.
Global Environmental Health
Examine global health from a public health perspective, including analyzing issues around water and air quality, food safety, industrialization and deforestation.
Exposure Sciences
Study methods for the identification, measurement, and simulation of human exposure and dose resulting from multimedia environmental exposures.
Workplace Interventions",http://www.sph.umn.edu/academics/programs/ms/enhs/,"Master of Science in Science, Technology, and Environmental Policy (MS–STEP) Degree","Society's grand challenges—rapid urbanization, climate change, sustainable energy transitions, governance of emerging and/or disruptive technologies—require innovative leadership and collaboration among academia, communities, government, businesses, and nonprofit organizations, anchored upon interdisciplinary and systems thinking rooted in real-world projects.

The STEP area focuses on public issues arising at the intersection of science, technology, environment, and society that shape economic development, environmental sustainability, human health, and well-being.

The mission of the STEP area is to integrate science with public policy, community action, and multi-sector governance to advance the common good in a complex and diverse world.",http://www.hhh.umn.edu/degrees/ms_step/index.html,http://www.susteducation.umn.edu/graduate/graduate-programs-2/,True,Environmental Engineering,"The environmental engineering research program seeks innovative and sustainable solutions to soil-, air-, and water-related problems in natural and engineered systems. Focus areas include the following: environmental chemistry, water, wastewater, and stormwater treatment, water quality, soil and groundwater remediation, environmental microbiology, pollution prevention, energy and environment, air pollution, and pollutant fate and transport. Research may be laboratory, field, or computer model based.

Environmental engineering is a broad and interdisciplinary subject. The diverse backgrounds of our faculty and students and wide range of our current research projects reflect this breadth. Graduate students in our program have undergraduate degrees from civil or environmental engineering, chemical engineering, chemistry, biology and environmental science. Graduate enrollment includes about 30 full-time and 10 part-time students. Approximately half of the full-time students are in the Ph.D. program.

Students not only take courses in environmental engineering, but also in other departments, such as public health, public policy, chemistry, chemical engineering, microbiology, ecology, soil science, and mechanical engineering. Some of the activities that our students are involved with include Minnesota Environmental Engineering Students, Engineers Without Borders, and the 3-year dual masters program between Civil Engineering and the Humphrey Institute of Public Affairs. Environmental Engineering and Water Resources Engineering also offers a Master’s International with the Peace Corps.

The program has five full-time faculty members, and draws on faculty in other areas of the department with closely related research interests. The faculty members who teach and conduct research in environmental engineering are listed below.",http://www.cege.umn.edu/prospective/graduate/environmental.html,Graduate Minor Degree in Sustainable Agricultural Systems,"The minor in Sustainable Agriculture Systems is open to students enrolled in any program within the Graduate School at the University of Minnesota. The program provides a curriculum with strong emphasis on systemic approaches to analyzing current agricultural production systems in the U.S., as well as environmental, economic, and social conditions that influence changes in agriculture. Courses designed specifically for this program integrate biology, ecology, agriculture, sociology, history, philosophy and economics. Students completing the requirements for the program receive a minor in Sustainable Agriculture Systems applicable to master's (M.S. and M.A.) and doctoral programs.",http://www.misa.umn.edu/StudentPrograms/GraduateMinor/index.htm,Master of Liberal Studies-- Sustainability Concentration,"Whether you want to advance in your current field or break into a new one, the Master of Liberal Studies (MLS) degree can help you create rewarding opportunities by building on your existing experience and expertise.

The program starts with you: your interests, your goals. Working with an adviser, you’ll design a course plan in subject areas that truly excite and inspire you, all with an eye to enhancing your personal or professional trajectory.",http://cce.umn.edu/master-of-liberal-studies,http://www.susteducation.umn.edu/graduate/graduate-programs-2/,--
University of Missouri,2015-05-01,2015-05-01 15:34:13,raghavans@missouri.edu,2.0,Pursuing,True,Resources and Development,"The Resources and Development (R&D) emphasis area allows Ph.D. students to develop expertise in the application of economic theory and quantitative methods to problems and issues related to the subjects of natural resource and environmental economics, economic development, and regional economics. The significant overlap among these subjects allows students the flexibility to select courses and research topics relevant to more than one subject.",http://www.ssu.missouri.edu/agecon/grad/resources-dev.php,Public Policy Analysis,"Graduate study in Public Policy Analysis prepares students to evaluate the role of government in a market economy. This would include food and agricultural policy, various regulatory policies (e.g. food and environmental safety, IPR and market structure), and rural development policy and assess the impacts of such domestic and international government interventions. Such skills are suitable for further graduate studies and careers in teaching, research and market analysis at universities, government agencies, and agribusiness. The Public Policy Analysis emphasis benefits from the resources and work of the internationally recognized Food and Agricultural Policy Research Institute (FAPRI), Community Policy Analysis Center (CPAC), Economics and Management of Agrobiotechnology Center (EMAC), and Rural Policy Research Institute (RUPRI).",http://www.ssu.missouri.edu/agecon/grad/public-policy.php,Architectural Studies: Environment and Behavior Studies,"Environment-behavior research explores a variety of environments, linking them to a range of behavioral concerns. This program is suitable for persons who seek careers in research, consulting, and/or teaching in architecture, interior design, and other environmental design disciplines.

A design project leads to the MA and research leads to the MS or PhD degrees.

Emphasis areas in environment and behavior include:

Design Education
History of the Designed Environment
Design Planning and Analysis
Interior Design Systems
Universal Design/Accessibility
Environment and Aging
Quality of Life and Design
Health Care Design
Housing, Neighborhood Design, and Sustainability
Organizational Systems and Design
Facility Management and Design
Programming, Design and Post-Occupancy Evaluation",http://arch.missouri.edu/academics_ebs.html,,True,Interdisciplinary Graduate Certificate Program in Society and Ecosystems,"Understanding the complex and dynamic interactions between human activities and natural ecosystems is essential for achieving sustainable development. Developing this understanding in the next generation of scientists, educators and resource management professionals is the primary goal of the University of Missouri's interdisciplinary graduate certificate program in Society and Ecosystems.",http://www.ssu.missouri.edu/agecon/grad/cert-ecosystems.php,Conservation Biology,"The Conservation Biology program is an interdisciplinary community of students, faculty, and conservation professionals. This graduate student-led group provides a graduate certificate program, and organizes a reading group (fall semester) and seminar series (spring semester). The reading groups and seminars promote discussion and communication among students and faculty, and are open to anyone in the community. These events provide students with the opportunity to make connections between their own research, current issues in the field of conservation biology, and the work of other graduate students and faculty members. Generally, the reading group and seminar series are organized around a semester-long theme or topic of relevance to conservation biology.",http://conservbio.missouri.edu/,--,,--,,--
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:27,johnstonrk@umkc.edu,2.0,Pursuing,True,Master of Science : Environmental and Urban Geosciences,"The Department of Geosciences offers a Master of Science degree in environmental and urban geosciences, the only such program in North America. This unique program prepares students, depending on their emphasis area, for advanced study of different facets of the environment, including environmental issues and impacts assessment; geospatial methods (GIS and Remote Sensing); natural hazards; environmental remediation; waste management; air and water pollution; resource evaluation and management, climate variability and impacts; geoarchaeology; historical geography; and urban land use and planning.",https://cas.umkc.edu/geosciences/ms.asp,Graduate Certificate in Waste Management,"In keeping with the demand for trained professionals in the field of waste management, a new Graduate Certificate Program in Waste Management was launched in 2003. The program is designed for professionals working in the waste management industry who desire advanced knowledge in the field but do not have the time to enroll in a graduate degree program that may take up to two years to complete. The graduate certificate program is designed to meet this need and also to enable students holding a bachelor's degree in an appropriate discipline to improve their knowledge in the waste management field and to prepare them to enter industry with advanced knowledge at the graduate level. The carefully designed curriculum for this program consists of 15 credit hours of course work that covers every important aspect of waste management. Field visits to waste facilities and the 40-hour OSHA-approved Hazardous Waste Operator Training (HAZWOPER) course are included in the curriculum.",http://catalog.umkc.edu/~/Catalog/ViewCatalog.aspx?htmllink=true&pageid=viewcatalog&catalogid=98&topicgroupid=55583,--,,--,,--,--,,--,--,,--,--,,--,,--
University of Mount Union,2016-01-13,2016-01-13 13:05:36,mcclauca@mountunion.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:45:08,pshrestha3@unl.edu,2.0,Pursuing,True,Natural Resources,"The School of Natural Resources offers graduate programs leading to a Master of Science or Doctor of Philosophy in Natural Resource Sciences. The broad diversity of climate, habitat, hydrology, soils, and near-surface and subsurface geology across Nebraska provides a multitude of opportunities for field study in each of these areas. Our excellent faculty conduct research throughout Nebraska, across the United States, and around the world.",https://stars.aashe.org/tool/university-of-nebraska-lincoln-ne/submission/2323/AC/curriculum/AC-4/,--,,--,--,,--,,True,"M.S. in Architecture, Sustainability Area of Study "," The MS in Architecture has curriculum that is developed on an individual basis between the student and faculty.  General information about the MS program can be found here:  http://architecture.unl.edu/degree-programs/architecture/masters-science-architecture

Another program in the College of Architecture that deals with sustainability is the Master of Community and Regional Planning.  The MCRP works to develop solutions through strategic planning and sustainability principles in order to enhance livability, guide development and preserve environmental areas for a resilient future.  More information on the MCRP program page can be found here:  http://architecture.unl.edu/degree-programs/community-and-regional-planning",http://www.unl.edu/gradstudies/prospective/programs/Architecture,--,,--,--,,--,,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:43,slburke@unomaha.edu,2.0,Pursuing,--,--,,--,--,,--,--,,--,,True,MBA Concentration in Sustainability,The concentration in Sustainability expands the students’ perspective to include an understanding of the environmental and social aspects of business.  Students gain the multi-disciplinary knowledge and critical skills needed to effectively manage these factors and to grow the organization in a manner that is socially responsible.,http://www.unomaha.edu/college-of-business-administration/mba/program/sustainability.php,--,,--,--,,--,,--
University of New Hampshire,2016-03-25,2016-03-25 21:54:57,colleen.flaherty@unh.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,http://www.sustainableunh.unh.edu/curricula
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:58:06,cpshea@fac.unc.edu,2.0,Pursuing,True,Master's Degree Program in City and Regional Planning,"The program is structured to provide: 1) a core of planning theory, urban theory and planning methods, 2) in-depth coverage of substantive knowledge, methods, techniques and institutions in an area of specialization, 3) elective courses to broaden or deepen knowledge and skills in particular areas of interest, and 4) application of knowledge and skills in a problem-solving workshop and Master’s Project.

In addition to the core curriculum, taken during the first year in residence, the department offers five specializations associated with professional planning practice in placemaking & real estate development, economic development, housing & community development, land use and environmental planning, and transportation planning. Sustainable development is the overarching concept for these specializations. Each emphasizes equity, environmental quality, economic viability, and social participation and grapples with the interconnections among these dimensions of sustainability.",http://planning.unc.edu/academics/masters,Master of Science in Public Health -- Health Policy and Management,"Required courses in School of Public Health include: 

ENVR 600–Survey of Environmental Problems
HBHE 600–Social & Behavioral Sciences in Public Health
EPID 600–Principles of Epidemiology",http://sph.unc.edu/hpm/hpm-degrees-and-certificates/residential-masters-programs-mph-mha-msph/residential-masters-curriculum-degree-requirements-4/,Master of Public Health - Health Behavior and Health Education,"Program integrates social and behavioral science theory, research, and practice through core courses, community-based fieldwork, and professional development and career support. Students use a social ecological framework to study, develop, and evaluate interventions and policies to promote health, prevent disease and injury, and reduce health disparities. The HB MPH program prepares students for leadership positions in a wide range of public health settings.",http://sph.unc.edu/hb/degrees-and-certificate-programs/,,True,MBA Sustainable Enterprise Concentration,"Sustainable Enterprise Concentration Requirements
7.5 credits needed among the following electives

MBA 713 Sustainable Operations
MBA 782/SOWO885 Financial Management of Nonprofit Organizations
MBA 790 Energy Project Finance
MBA 799 Governance and Financial Accountability
MBA 806 Global Context of Business
MBA 807 Sustainability Leadership Capstone
MBA 815 Strategies in Sustainable Enterprise
MBA 820 Impact Investing
MBA 824 Managing Workplace Diversity
MBA 831 Strategic Corporate Social Responsibility
MBA 833 Alternative Energy
MBA 833A Systems Thinking for Sustainable Enterprise
MBA 836 Entrepreneurship & Minority Economic Development
MBA 850 New Urbanism, Smart Growth, and Sustainable Community Development
MBA 855 Innovations in Green Building
MBA 862 International Development: Entrepreneurial Opportunities and Market Failures
MBA 866 Social Entrepreneurship
MBA 869 Corporate Environmental Strategy
MBA 869C Public Private Development Projects",http://www.kenan-flagler.unc.edu/sustainable-enterprise/education/mba-concentration,--,,--,--,,--,,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:29,cgcarwei@uncg.edu,2.0,Pursuing,True,Environmental Health Sciences,"Students in the Environmental Health Science (EHS) PhD program will be trained in the fundamental understanding of environmental problems and their consequences on human health and well-being. Core courses will focus on the effects on environmental perturbations on ecosystem and community function and species survival, and toxicological consequences on physiological and cellular processes, as well as genome structure and gene function. Core courses will also include workshops to provide a hands-on introduction to practical analytical tools used in environmental health sciences. During their first year, students will have the opportunity to participate in the research of three faculty labs through lab rotations, leading to the selection of a faculty dissertation advisor. ",http://www.uncg.edu/bio/gradprograms/PhD_Environ_Health_Sci.html,--,,--,--,,--,,--,--,,--,--,,--,--,,--,,--
