Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Total percentage of students that use more sustainable commuting options,The percentage of students that use each of the following modes as their primary means of ...,The percentage of the institution's students that commute with only the driver in the vehicle ...,"The percentage of the institution’s students that walk, bicycle, or use other non-motorized means ...",The percentage of the institution’s students that vanpool or carpool as their primary method of ...,The percentage of the institution’s students that take a campus shuttle or public transportation as ...,"The percentage of the institution’s students that use a motorcycle, scooter or moped as their ...",A brief description of the method(s) used to gather data about student commuting,The website URL where information about sustainable transportation for students is available,Public Notes
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:01:50,sjanowsk@uwsp.edu,2.0,Pursuing,59.6,**,40.4,47.6,3.0,9.0,--,"An instructor of Geographical Information Systems was contacted for the transportation information. Using his collected data on on-campus and off-campus transportation methods, the data was able to be calculated to match AASHE STARS requirements. ",--,"3700 on-campus (100% walk/bike)
5600 off campus (13% walk/bike, 15% bus, 72% drive)
1100 faculty (13% walk/bike, 87% drive)
"
University of Wisconsin-Stout,2016-03-25,2016-03-25 10:47:58,rykals@uwstout.edu,2.0,Pursuing,53.0,**,47.0,37.0,15.0,1.0,--,"A Qualtrics survey was administered by the Applied Research Center (in tandem with UW-Stout's Greenhouse Gas Emissions inventory) through email to a randomly chosen sample representing the student, staff, and faculty population. Three reminders were emailed encouraging participation. 

The data collection is represented by the following: 

1. Of the 857 completed surveys, 320 were by staff (37.4%) while 537 were completed by students (62.6%).

2. Student responses to the survey contributed to 57% of the data points while 43% were provided by faculty/staff. Respondents were asked to provide responses to questions for up to 3 semesters allowing for multiple data points per respondent. ",--,"Information from the UW-Stout Commuter Survey Report for Spring 2015, conducted by the Applied Research Center."
University of the Pacific,2016-03-23,2016-03-23 15:38:07,seller@pacific.edu,2.0,Pursuing,44.0,**,56.0,37.0,2.0,5.0,--,Currently we are not gathering data about student commute. See notes below on estimates.,http://www.commuteconnection.com/default.htm,"Student transportation modes estimated based on campus residency combined with conservative estimates about use of public bus service and private shuttle service from housing facility that caters to Pacific students.  All on-campus residents assumed to use more sustainable commute options. 

http://www.pacific.edu/About-Pacific/Sustaining-Pacific/Commitment-to-Sustainability/Sustainable-Living/Transportation.html"
Vanderbilt University,2016-03-21,2016-03-21 10:46:08,andrea.george@vanderbilt.edu,2.0,Pursuing,90.0,**,10.0,80.0,8.0,2.0,--,Assumptions based on 2014 data provided by and VU Traffic and Parking regarding parking permits and bike registrations.,http://www.vanderbilt.edu/sustainvu/what-you-can-do/students/transportation/,--
Vassar College,2016-03-10,2016-03-10 19:47:26,alihall@vassar.edu,2.0,Pursuing,99.5,**,0.5,99.5,--,--,--,"As a small residential college, a large majority of students live on campus all four years and walk around campus. ",--,--
Villanova University,2016-03-21,2016-03-21 13:11:29,liesel.schwarz@villanova.edu,2.0,Pursuing,60.0,**,40.0,51.0,3.0,6.0,--,A transportation survey was sent out to the student body asking about transportation habits and use. Part time students are not included in this calculation ,--,--
Virginia Commonwealth University,2015-07-24,2015-07-24 09:33:09,eestanforth@vcu.edu,2.0,Pursuing,50.0,**,49.0,39.0,4.0,7.0,--,,--,--
Warren Wilson College,2016-03-21,2016-03-21 15:30:01,aclimo@warren-wilson.edu,2.0,Pursuing,90.0,**,10.0,80.0,7.0,3.0,--,"80% of the student population lives on campus. Since there is no parking for students on core-campus, cars remain parked at the residence halls and students commute with feet and/or bikes.  Of the 20% that live off-campus, most  carpool.",https://www.warren-wilson.edu/student/housing-and-residence-life,"80% of the student population lives on campus. Since there is no parking for students on core-campus, cars remain parked at the residence halls and students commute with feet and/or bikes.  Of the 20% that live off-campus, most  carpool."
Wartburg College,2015-04-27,2015-04-27 09:08:16,anne.duncan@wartburg.edu,2.0,Pursuing,86.0,**,14.0,85.0,1.0,--,--,"79% of our students live on campus. Based on observed behavior, 6% live within walking distance of the college and 1 % carpool with others.",http://www.wartburg.edu/sustainability/energy.aspx,--
"Washington State University, Pullman",2016-03-25,2016-03-25 18:58:45,slkane@wsu.edu,2.0,Pursuing,--,**,--,--,--,--,--,"Modal survey completed by third party, but was focused on reasons why students do not use alternative forms of transportation.  The top two reasons were the weather and terrain.",http://www.parking.wsu.edu/,WSU does not collect this information.
Washington University in St. Louis,2016-02-29,2016-02-29 19:42:04,valko@wustl.edu,2.0,Pursuing,81.14,**,18.86,--,1.0,70.0,1.0,"The percentages indicated above are based upon the number of parking passes and subsidized public transportation passes requested/distributed throughout the year. 

Alternative option-specific details are as follows:

Car/van pool: The percentage indicated is based on the number of carpool program student members on the Medical School Campus. The Danforth campus does not currently have a van or carpool system in place for students. Options are being explored to expand the Bearly Drivers/Ridefinders services in use by University employees. 

Public Transportation: The percentage indicated is based on the number of Metro Passes requested/distributed. Although we have no system in place as of yet to determine how many of these passes are relied upon as a primary means of transport, we assume that they are used on a frequent basis and know that many do rely on St. Louis Metro for their daily commuting needs between campuses and around the city

Drive alone: The percentage indicated is based on the number of Parking Passes requested/distributed.  Although we have no system in place as of yet to determine how many of these passes are relied upon as a primary means of transport (and how many of these students also request a Metro pass), we assume that those with a car on campus will use it frequently.",http://www.parking.wustl.edu/,--
Weber State University,2016-01-13,2016-01-13 14:17:03,jenniferbodine@weber.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Wellesley College,2016-01-12,2016-01-12 12:03:31,pwilloug@wellesley.edu,2.0,Pursuing,94.0,**,6.0,92.0,1.0,1.0,--,"Campus Police collects data on cars registered for campus. Additionally, a professor on the Sustainability Committee conducted a campus wide survey to collect data on transportation. ",http://www.wellesley.edu/sustainability/transportation,"98% of students live on campus, so there is very little commuting involved other than walking."
Wells College,2016-02-26,2016-02-26 16:59:35,mbrown@wells.edu,2.0,Pursuing,93.0,**,7.5,92.0,0.5,--,--,"Wells College is a 93% residential campus with most residential buildings on campus or within easy walking distance to campus. There are 5% part-time students, who are not afforded campus housing, so it is assumed that these students drive to campus. Unless approved as a commuter student, 95% of full-time students live in campus-affiliated housing as there are few nearby non-college-affiliated apartments or affordable housing options. There is one off-campus student residential house that - while located a reasonably walkable distance from campus - does not offer a safe, lighted sidewalk to campus, so most student residents there drive or carpool to campus. The second off-campus residential house does offer a sidewalk to campus; most students in that house walk to campus. ",--,--
Western Michigan University,2016-02-24,2016-02-24 12:21:35,jeffrey.spoelstra@wmich.edu,2.0,Pursuing,46.0,**,--,--,--,--,--,"Collaborators from the Office for Sustainability, Parking Services, and Auxiliary Enterprises conducted an online survey of student, faculty, and staff in 2011.",--,--
Western State Colorado University,2016-02-16,2016-02-16 19:23:10,bmoran@western.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Western Washington University,2016-02-29,2016-02-29 19:39:15,seth.vidana@wwu.edu,2.0,Pursuing,89.0,**,11.0,47.0,6.0,36.0,--,"Sustainable Transportation is included in the 2nd Year Survey, which consists of a mixture of open ended, multiple choice, and numerical response questions.  This survey targeted native freshmen (including running start students) who entered Western in the Fall of 2008.  These students were completing their second complete year on campus at the time of the survey (Spring 2010).  As part of OSR’s efforts to paint a longitudinal portrait of Western’s students, these students also were surveyed immediately prior to beginning their Western careers (Fall 2008 Baseline of Incoming Freshmen.) ",http://www.wwu.edu/transportation,--
Westminster College,2016-02-25,2016-02-25 14:15:42,kcase@westminstercollege.edu,2.0,Pursuing,38.55,**,61.45,20.67,3.91,13.41,0.56,An online commuter survey is conducted for the full campus every other year. ,http://www.westminstercollege.edu/environmental_center/index.cfm?parent=6676&detail=9163,--
Wilfrid Laurier University,2015-12-22,2015-12-22 11:30:49,cbennett@wlu.ca,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Williams College,2016-03-23,2016-03-23 08:22:53,mae3@williams.edu,2.0,Pursuing,99.0,**,1.1,98.9,--,--,--,An in-person survey was conducted in front of a variety of classroom buildings at various times throughout the day and a week.,http://sustainability.williams.edu/transportation,--
Worcester Polytechnic Institute,2016-03-21,2016-03-21 14:52:41,ltomasz@wpi.edu,2.0,Pursuing,83.0,**,15.0,83.0,--,--,--,A student group did a project on alternative transportation for our community. They conducted a survey of all community members asking about the methods that they used to come to campus and got a 14% return rate which we feel is representative of the campus community.,http://www.wpi.edu/Pubs/E-project/Available/E-project-031914-145117/unrestricted/Final_Report_3.pdf,--
