Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Total energy consumption (all sources, transportation fuels excluded), performance year",Total clean and renewable electricity generated on site during the performance year and for which ...,Clean and renewable energy from the following sources:,A brief description of on-site renewable electricity generating devices ,"Non-electric renewable energy generated on-site, performance year (Option 2)",A brief description of on-site renewable non-electric energy devices,Total clean and renewable electricity generated by off-site projects that the institution catalyzed ...,"A brief description of off-site, institution-catalyzed, renewable electricity generating devices",Total third-party certified RECs and similar renewable energy products purchased during the ...,A brief description of the RECs and/or similar renewable energy products,The website URL where information about the institution's renewable energy sources is available,Public Notes
University of Arizona,2016-03-25,2016-03-25 15:31:07,bchampion@email.arizona.edu,2.0,Pursuing,2989955.0,3914.0,**,"The renewable (solar) energy generated onsite is not owned by the UA but does reduce UA's fossil fuel dependence. The projects currently in use onsite are photovoltaic and solar thermal. Below is a list of the names, addresses, type, technology employed, and emissions offset through use of the technology.

1) McClelland Park
a. Location: 650 N. Park Ave, Tucson, AZ
b. Size: 75.68 kWdc-STC
c. Type: Photovoltaic
d. Number and Type of Module: 352 Kyocera KD215GX-LP modules
e. 89.9 Tons of CO2 emissions offset

2) McClelland Hall
a) Location: 1130 E. Helen St., Tucson, AZ
b) Size: 316.48 kWdc-STC
c) Type: Photovoltaic
d) Number and Type of Module: 1472 Kyocera KD215GX-LP modules
e) 385 Tons of CO2 emissions offset

3) Student Recreation Center
a) Location: 1400 E. 6th St., Tucson, AZ
b) Size: 27.52 kWdc-STC
c) Type: Photovoltaic
d) Number and Type of Module: 128 Kyocera KD215GX-LP modules
e) 32.3 Tons of CO2 emissions offset

4) Second Street Garage
a) Location: N. Mountain Ave & E 2nd St., Tucson, AZ
b) Size: 245 kWdc-STC
c) Type: Photovoltaic
d) Number and Type of Module: 1168 Kyocera KD210GX-LP modules
e) 286 Tons of CO2 emissions offset - Equivalent to the electricity use of 34.8 homes for one year

5) Student Recreation Center (Solar Thermal Pool Heating & Campus Chilled Water Loop Chilling)
a) Location: 1400 E. 6th St., Tucson, AZ
b) Size: 987 kW-equivalent (2.9 mmBtu/hr)
c) Type: Solar thermal
d) Number and Type of Module: 346 Sunda SEIDO solar collector modules
e) 1317 Tons of CO2 emissions offset

6) Hillenbrand Diving Facility (Solar Thermal Pool Heating)
a) Location: 1827 E. Enke Drive, Tucson, AZ
b) Size: 109 kW-equivalent (0.7 mmBtu/hr) pool heating
c) Type: Solar thermal
d) Number and Type of Module: 50 Solar Skies Model SS-40 glazed flat plate collectors
e) 124 Tons of CO2 emissions offset",6040.0,"Evacuated tube solar collecters on the roof of the Student Recreation Center Addition heat a glycol mix used to warm the Student Recreation Center pool (720 kgal).  In the warmer months, excess heat is used to generate chilled water through an absorption chiller.

Thermal coiled tubing collectors on the roof of Mary Roby Gymnastics Facility heat pool water for a 1.2 Mgal diving pool adjacent to the building.",--,"https://techparks.arizona.edu/leading-edge/solar-zone

The UA Tech Park Solar Zone includes 23 MW of installed solar electric 
generating capacity.  It was developed as a UA research initiative in 
partnership with Tucson Electric Power and a number of private solar 
technology companies, and  is the largest grid-level, multi-technology 
solar testing, demonstration and evaluation facility in the country.   

The UA Tech Park, a unit of Tech Launch Arizona, is located on property 
owned by the University of Arizona (Arizona Board of Regents) . The Tech
 Park is operated by Campus Research Corporation, Inc. (""CRC""), a 
non-profit corporation that is a component unit affiliate of the UA, 
pursuant to two Master Leases.  The UA Tech Park, which includes a UA 
South Campus, the Tech Parks Arizona offices and the Arizona Center for 
Innovation, is integral to the UA’s academic and research programs. The 
Tech Park serves as a key element of the UA's technology 
commercialization efforts, providing unique research facilities for UA 
students and faculty, as well as numerous internship and employment 
opportunities for students and recent graduates. ",--,,http://www.fm.arizona.edu/se/sustain-home.html,"Data updated for FY15, as of February 2016"
University of British Columbia,2016-02-22,2016-02-22 18:18:32,charlene.ponto@ubc.ca,2.0,Pursuing,1812111.0,--,**,"UBC’s Bioenergy Research and Demonstration Facility (BRDF) (http://energy.ubc.ca/projects/brdf/) contains an internal combustion engine with dual fuel capabilities (natural gas or clean biomass syngas from gasified wood waste). In the the year previous to the performance year (Fiscal year 2012/13), the engine consumed engine grade clean biomass syngas to produce 205MWh of electricity. When biomass syngas is unavailable, UBC uses Renewable Natural Gas (RNG), an accredited carbon neutral biofuel, to fuel the engine to provide 2.0MW of electricity, 1.4MW of steam, and 1MW of hot water for UBC’s District Energy System. The engine is currently operating on RNG and is on track to provide 5 per cent of UBC’s annual electricity consumption and reduce UBC’s electrical demand by 2MWe.

UBC’s Centre for Interactive Research on Sustainability (CIRS) has a 25-kilowatt peak photovoltaic system located on the fixed external sunshades of the facades and on the roof of the atrium.
",101300.0,"UBC’s Bioenergy Research and Demonstration Facility (BRDF) (http://energy.ubc.ca/projects/brdf/) is a biomass gasification process that, under Thermal Mode, converts clean waste biomass into syngas that is used as fuel for the boiler to produce steam. The steam generated from the BRDF is connected to UBC’s district energy system and allows for a comparable reduction in steam produced by UBC’s natural gas fueled Powerhouse. Therefore, biomass is now displacing natural gas, whilst delivering the same amount of thermal energy for UBC’s campus heating requirements.

The Centre for Interactive Research on Sustainability (CIRS) has 9 arrays of rooftop solar collectors that absorb heat from the sun which is transferred to the building’s domestic hot water preheat tank. 
",--,N/A,--,N/A,http://sustain.ubc.ca/research/signature-research-projects/bioenergy-research-and-demonstration-facility,"The UBC Bioenergy Research and Demonstration Facility (BRDF), completed in 2012, is the first demonstration of its kind in the world of a community-scale heat and power system fuelled by biomass. During UBC’s fiscal year 2013/14, the biomass gasification facility produced 15.3 per cent of the steam generated to serve UBC’s core and ancillary services, replacing natural gas at UBC’s main steam plant and reducing UBC’s GHG emissions by 10 per cent from 2007 levels.

Furthermore, BC Hydro, which supplies electricity to the campus, acquires over 20 per cent of its power from renewable sources including wind, run-of-river and biomass plants. Over 75 per cent of BC Hydro's electricity is carbon-free energy generated by hydroelectric facilities. As a result, in their 2014 fiscal year, over 97 per cent of BC Hydro’s electricity generation was from Clean Energy. The environmental attributes are retained by BC Hydro.
"
"University of California, Berkeley",2016-03-23,2016-03-23 14:25:16,lmcneilly@berkeley.edu,2.0,Pursuing,1801299.0,--,**,"This year the campus has installed almost 1MW of solar PV.  

Solar PV systems at MLK Student Union, the new Eshleman, the Recreation Sports complex, and the University Village apartments are now operational. The Office of Sustainability and Energy worked in a collaborative, competitive procurement strategy with 19 other public agencies in the region, led by the Alameda County General Services division, Berkeley secured very favorable pricing for these three rooftop and one canopy/carport installations – 25-40% below market rate.  In aggregate these systems will bring cost savings in year one to the campus.  The solar will be installed by a purchase power agreement (PPA) - the vendor is covering the costs of installation and operating and maintaining the systems, and Berkeley will pay for the power they generate. 

Last year, Jacobs Hall, the new campus building for design innovation in engineering, opened with rooftop solar arrays installed by Sungevity. These arrays are translucent solar panels that not only produce electricity but are an architectural feature. ",--,UC Berkeley added a solar thermal water heating system to a residence hall in 2012.,--,The campus does not have any such facilities.,--,,http://sustainability.berkeley.edu/uc-berkeley-goes-solar,--
"University of California, Davis",2016-03-28,2016-03-28 16:30:36,cmkirk@ucdavis.edu,2.0,Pursuing,1842199.0,4147.0,**,"The campus has a 756kW solar photovoltaic system, as well as a 4.2 kW photovoltaic system installed at student residences (the Tri-Cooperatives). There are also solar thermal systems at Leach Hall, Cuarto Dining Commons, Tercero Phase II, and Solano Park student housing, for which there are no output records available at the time of this report.
In January 2015, the campus broke ground on a 16.3MW solar photovoltaic installation, which is anticipated to begin producing in fall 2015. This very large solar installation will provide 33 million kWh annually to the campus. More information is available at: http://news.ucdavis.edu/search/news_detail.lasso?id=11007.",2357.0,"Methane gas is captured from the on-campus landfill and used in campus boilers. The campus biodigester began running in spring 2014, and the digester microbes required a ramp-up period to production; the biodigester is thus not captured in this reporting data.",--,"In 2014, the University of California signed a PPA for delivery in 2017 of 80MW off-site solar photovoltaic, of which UC Davis will receive nearly one-quarter, or 20MW, of that agreement.
http://www.universityofcalifornia.edu/press-room/uc-make-large-purchase-solar-energy-partner-frontier-renewables",14479.0,"The following RECs were purchased by UC Davis and applied to the performance year:

Emerson and Webster Halls: Two years (2012 and 2013)  of electricity consumption. The total electricity consumption for two years was estimated to be 2,327,796 kwh. Also purchased carbon offsets for two years of natural gas consumption at the same buildings. The total natural gas consumption for two years was estimated to be 101,652 therms. Purchased instruments include: 7942.4 MMBTUs (Green-e Certified Clean Source for electricity consumption) and 10,165.2 MMBTUs (Choice Carbon for natural gas consumption). One-half of these purchased instruments are counted above for the performance year.

Coffee House Renovation: Two years (2012 and 2013) of electricity consumption. The total electricity consumption for two years was estimated to be 1,200,000 kWh. Purchased instruments include: 4,094.4 MMBtu (Green-e Certified Clean Source). One-half of these purchased instruments are counted above for the performance year.

Robbins Hall Renovation: Two years (2012 and 2013) of electricity consumption. The total electricity consumption for two years was estimated to be 608,563 kWh. Purchased instruments include: 2,076.4 MMBtu (Green-e Certified Clean Source). One-half of these purchased instruments are counted above for the performance year.

Student Community Center: Two years (2012 and 2013) of electricity consumption. The total electricity consumption for two years was estimated to be 749,295 kWh. Purchased instruments include: 2,556.6 MMBtu (Green-e Certified Clean Source). One-half of these purchased instruments are counted above for the performance year.

Graduate School of Management and Conference Center: Two years (2011 and 2012) of electricity consumption. The total electricity consumption for two years was estimated to be 622,137 kWh. Purchased instruments include: 2,122.7 MMBtu (Green-e Certified Clean Source). One-half of these purchased instruments are counted above for the performance year.

The campus procures the majority of its electricity from the Western Area Power Administration, which generates electricity from large hydropower that does not contribute to greenhouse gas emissions, and for which WAPA provides RECs. (For example, the campus received 79,935 WREGIS RECs from WAPA in FY11-12. These RECs are not Green-e certified, so they are not counted in this credit.) The performance year large-scale hydropower kWh equaled 40,234,471, or 137,280 MMBtu.",--,"Securing clean and renewable energy is important to UC Davis, and the campus is working on two major initiatives that are not captured in the reporting year data for this credit. The campus is constructing a large-scale, on-site solar photovoltaic project (16.3MW system with estimated production of 33 million kWh/year), slated for operation beginning in fall 2015. In addition, the campus is participating in an 80MW off-site solar power purchase agreement.

UC Davis has also recently finished construction of an on-campus anaerobic biodigester. This facility, using technology developed by UC Davis faculty (news.ucdavis.edu/search/news_detail.lasso?id=10202)  and licensed to Clean World Partners (cleanworldpartners.com), generates clean, renewable electricity from campus organic wastes. The facility will be supplied with approximately 20 tons per day of feed stocks from agricultural waste, animal manure and bedding, and food waste from campus dining commons. The biogas produced from the biodigester will generate 5.6 million kWh per year for the campus. Please see Innovation Credit 1 for more information about the biodigester."
"University of California, Irvine",2016-03-23,2016-03-23 10:31:50,khaq@uci.edu,2.0,Pursuing,1347478.0,18640.0,**,"UCI receives clean and renewable energy from four on-site photovoltaic (PV) projects on the UCI campus.  A 109 kW ground-mounted concentrated photovoltaic array (CPV array), a 895 kW building rooftop mounted PV array, a 48 kW mounted PV array with battery storage on the Anteater Parking Structure, and 2,569 kW on three other parking structures.  All four projects are implemented through Power Purchase Agreements or other third-party agreements.",--,"Recovered heat from our combustion turbine power plant generates high-temperature water, which provides heating to the campus. In addition to heating the campus, recovered heat is also used in a steam turbine chiller to produce chilled water to cool the campus buildings. This is more efficient than producing electricity to in turn run an electric chiller. ",--,"UC Irvine has developed and presented a Power Purchase Agreement presentation documenting the steps that must be completed, lessons learned from UCI's successful and unsuccessful requests for proposals, and the benefits of a PPA. In addition we have shared the request for proposals that UCI has used in the past to successfully bid and have renewable energy installed on campus. This model and RFP have now been used by other UC campuses and the City of Irvine. ",27626.0,Third-party Renewable Energy Credits (RECs) that have been purchased by the campus are certified through the Green-e program.,http://www.apep.uci.edu/3/research/pdf/UCIMicrogridWhitePaper_FINAL_071713.pdf,"UCI's campus-wide deployment of renewable energy systems provides distributed generation within the campus microgrid and supports the campus' leading-edge research in clean energy and microgrid/smart grid integration.  This includes 895 kW of building rooftop photovoltaic (PV) panels, 109 kW of concentrated photovoltaic (CPV) ground-mounted panels, and 2,617 kW of PV panels mounted on campus parking structures.  In keeping with UCI's role as a living laboratory for sustainability, these systems provide a test bed for renewable energy technology and smart grid integration of renewable energy systems onto the campus microgrid, supporting multiple collaborative research projects involving UCI faculty, staff, and students.

UC Irvine quadrupled the amount of green power it generates on-site with the addition of solar photovoltaic canopies on three campus parking structure roofs. More than 11,700 newly placed solar panels generate up to 2.6 megawatts of power, the amount needed to meet the electrical needs of 1,600 homes. UCI is installed the solar PV systems under a 25-year power purchase agreement with a subsidiary of NextEra Energy Resources LLC. "
"University of California, Los Angeles",2016-03-24,2016-03-24 13:54:20,sustainability@ucla.edu,2.0,Pursuing,4308824.0,174975.0,**,Landfill gas from a near by landfill and 38KW solar PV. ,--,"We have solar thermal on four residence halls, but I do not have energy production numbers for them at this time. ",--,,7277.0,all RECs purchased are Green-e certified,http://www.sustain.ucla.edu/our-initiatives/climate-and-energy/,--
"University of California, Merced",2016-02-25,2016-02-25 16:56:17,cmccormick3@ucmerced.edu,2.0,Pursuing,131843.0,8211.0,**,A 1 MW solar photovoltaic array began operation in November 2009.,--,,--,,--,,http://www.ucmerced.edu/news/uc-merced-unveils-new-solar-power-system,--
"University of California, Riverside",2016-03-18,2016-03-18 16:23:24,john.cook@ucr.edu,2.0,Pursuing,782673.47,22040.94,**,UCR installed a 500 kw solar pv carport in April 2014 and a 3.34 MW solar pv ground mount system in September 2014. UCR also has one 6kw mobile renewable energy generator and 13 1kw solar tables on campus.,--,NA,--,NA,4008.0,We purchased REC for a LEED project to off-set two years of elecricity use for EAc6 Green Power. We purchased REC for a LEED project to off-set two years of electricity use for EAc6 Green Power; 19000 MMBTUs of biogas purchased to help stay under AB32 Cap and Trade requirements.,http://sustainability.ucr.edu/programs/energy.html,--
"University of California, San Diego",2016-03-24,2016-03-24 18:50:43,smckinstry@ucsd.edu,2.0,Pursuing,3073959.0,9348.0,**,"On-site renewable generation systems include the following:
• A 3 MW PV system made up of a combination of conventional flat panels, sun-tracking/concentrating PV, and a PV energy storage demonstration project.  UCSD retains the RECs for the majority of these systems.
• A 2.8 MW fuel cell that uses renewable methane gas flared at the local wastewater treatment facility. The plant provides enough energy to power 2,800 homes.  UCSD does not retain the RECs for this system.
• There are approximately 8 kWs of wind turbines located at the Birch Aquarium “Boundless Energy” exhibit.",1640.0,"A 300 kW solar water-heating system installed at the North Campus Housing Phase II project is one of the largest solar-thermal projects at a university in North America.  In addition, two outdoor Olympic-sized swimming pools are heated by solar thermal systems.",--,N/A,3907.0,"Green-e certified RECs were purchased in 2014 for 20% of the campus’s total purchased electricity.  The RECs are composed primarily of biomass, wind, and solar PV.",http://sustainability.ucsd.edu/initiatives/energy.html,"For total energy consumption performance year: note that this includes the Main Campus in La Jolla (including East Campus), but NOT the Hillcrest campus or other off-site facilities.  This sum includes gas input for the onsite cogeneration plant (since UC San Diego owns the plant), electricity output of the fuel cell (since UC San Diego purchases the electricity from a third party through a power purchase agreement), electricity purchased from the utility, electricity generated by onsite solar panels, and gas purchased from the utility."
"University of California, Santa Barbara",2016-03-23,2016-03-23 16:13:51,mo@geog.ucsb.edu,2.0,Pursuing,613073.0,1496.0,**,"UCSB owns six installed on-site solar photovoltaic systems, ranging in size from 2 kW to 425 kW DC.  The aggregate capacity of these systems is 620 kW DC.",--,Several of the residence halls receive a portion of their hot water heating through distributed solar hot water heating systems.,--,None.,--,None.,http://energy.ucsb.edu/,--
"University of California, Santa Cruz",2016-03-23,2016-03-23 11:53:53,ekericks@ucsc.edu,2.0,Pursuing,513517.0,1246.0,**,"A 250KW system was installed on the McHenry Library roof in Dec. 2013.  This system generates ~20,000 KwH/month.",--,,--,,--,,http://sustainability.ucsc.edu/news-events/news/Mchenry_Solar.html,"MMBtu's for performance year are from purchased natural gas, electricity for main and lower campus, 2300 and LML.

MMBtu's are significantly lower than baseline and previous year because of the reduction in purchased natural gas due to cogeneration plant shutdown for entire calendar year."
University of Colorado Boulder,2016-03-03,2016-03-03 07:49:54,dave.newport@colorado.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
University of Colorado Colorado Springs,2016-03-23,2016-03-23 11:34:35,lkogan@uccs.edu,2.0,Pursuing,147632.0,--,**,"There is a 13.6 mW solar photovoltaic thin-film laminate system on the roof of the Science & Engineering Building.  And there is a 25 mW solar photovoltaic panel system on the roof of Centennial Hall. Since rebates were provided by Colorado Springs Utilities in order to make the projects financially feasible, UCCS does not retain the environmental benefits of these systems.",2242.0,"There is a 68 panel solar thermal system on the roof of the Recreation Center that is designed to supply the energy required to heat the swimming pool, spa, and showers.",5802.0,"UCCS purchases wind energy equivalent to the annual electricity use for three buildings on campus: Kraemer Library, Columbine Hall, and Summit Village.  As well, the university purchases solar energy from the SunShare community solar garden for the Heller Center.",5685.0,"REC's were purchased for  the Gallogly Events Center, Centennial Hall, and Copper and Eldora House to offset all or a portion of the electricity usage in those buildings for two years.",http://www.uccs.edu/~sustain/energy.html,--
University of Connecticut,2016-03-25,2016-03-25 18:14:18,rich.miller@uconn.edu,2.0,Pursuing,1827022.6,66.2,**,"In 2011, working with the CT Center for Advanced Technologies (CCAT), UConn has developed a Renewable/Sustainable Energy Strategic Plan (RESP) that identifies and assesses target locations for the installation of 12 demonstration-scale renewable and sustainable energy projects on campus. These technologies include solar (PV and thermal), wind, geothermal, biomass/biofuels and fuel cell technologies.
http://ecohusky.uconn.edu/energy/resp.html

A 400kW natural gas- derived, hydrogen-powered proton exchange membrane fuel cell was installed in April 2012 on the Depot campus. This combined heat and power fuel cell system delivers both electrical power and available thermal energy on-site to satisfy much of the Depot campus building energy needs - turning potential waste into useable energy and achieving system efficiencies that are well in excess of two times that of the typical electric grid. This fuel cell is classified as a Class I Renewable Energy source by the State of Connecticut and it generates Class I Renewable Energy Credits (RECs). The fuel cell supplies heat to 2 of the buildings on campus, but it supplies 100% of the energy to the Depot campus. It is currently linked to ConEd, which is a backup should the fuel cell work improperly. This problem may be fixed, however, if the plans to create a microgrid for Depot Campus are executed (UConn had obtained a grant from CT DEEP to fund the microgrid). The fuel cell is currently being used to educate the state and faculty about better management of energy at the municipal level 
http://today.uconn.edu/blog/2012/04/uconn-commissions-fuel-cell-power-plant/ 
http://ecohusky.uconn.edu/energy/fuel-cell.html

Two 3.3kW photovoltaic solar arrays are installed on the Depot Campus and an 8.28kW array is on top of the Reclaimed Water Facility.

http://news.engr.uconn.edu/exploring-solar-energy-at-uconn.php

The fuel cell and solar array are both on University property, but are owned and maintained by an outside company. UConn purchases the power from this company through a power purchasing agreement (PPA).
",--,,--,,7065.5,"UConn participates in the ConEdison Solutions GREEN Power Program, in which the University agrees to purchase 18 percentage points more renewable energy than what the CT Renewable Portfolio Standard mandates that year. Electricity is only purchased when UConn cannot supply all of the necessary power from our Co-Generation Central Utility Plant.

UConn actually generates Class III RECs under the state Renewable Portfolio Standard law, based on the operation of its cogeneration facility. The REC income is then invested in retro commissioning and retrofitting (energy efficiency) projects at the Storrs campus.

UConn’s Office of Environmental Policy also purchases RECs for the winning dormitory of their annual water and energy conservation competition, EcoMadness. The number of RECs purchased is equal to the amount of carbon dioxide emissions prevented as a result of the energy competition.
http://ecohusky.uconn.edu/engagement/ecomadness.html
",http://ecohusky.uconn.edu/energy/index.html,--
University of Denver,2016-02-26,2016-02-26 12:37:59,chad.king@du.edu,2.0,Pursuing,372307.0,--,**,,--,,--,,51177.0,"The University is presently purchasing wind energy credits which offset approximately 31 percent of our annual electrical consumption. The wind energy credit dollars are used to support the development of new, renewable energy in the United States through the Environmental Protection Agency’s Green Power Partnership. The credits are certified by Green-e.",--,--
University of Florida,2016-03-23,2016-03-23 09:05:06,miwilliams@ufl.edu,2.0,Pursuing,2522485.03,1229.66387908,**,"UF has 6 PV arrays (Rinker Hall, Microbiology, Solar Energy Park, Institute of Aging, McGuire, and Diamond Village) with a total capacity of 320 kW. ",--,,--,,--,,--,"Total energy consumption includes purchased electricity, steam, and natural gas."
University of Houston,2016-03-23,2016-03-23 17:20:30,smkelly5@central.uh.edu,2.0,Pursuing,1563649.845,75.845,**,"A 20.24 kilowatt (kW) DC photo-voltaic panel system is mounted on the roof of the University’s Central Utility Plant, which is located on the northeast side of campus. The solar array helps reduce the University of Houston’s greenhouse gas emissions and energy costs. It’s also used as a tool to educate students about solar energy.",--,n/a,--,n/a,83656.8,"In 2014, Texas General Land Office includes approximately 6% of Renewable Energy Credits in its standard offerings, including the electricity provided to UH. Electric Reliability Council of Texas changes the percentage slightly every year.",https://enlighten.enphaseenergy.com/pv/public_systems/RhzL65901,--
University of Illinois at Chicago,2016-02-12,2016-02-12 17:23:40,Cindy@uic.edu,2.0,Pursuing,3386428.981,438.2857304,**,"UIC has installed 224 (52 kW capacity) solar panels on campus, most notably the ones on top of UIC's first LEED Gold certified building, Lincoln Hall. We also have 245 panel (55 kW capacity) on Douglas Hall.",1065.29,"A geothermal well system is used for heating and cooling two ""green"" buildings currently. This will expand to three in Fall 2011, two of which will be LEED certified. A geothermal heat pump is a central heating and cooling system that uses the earth as a heat source. This design takes advantage of the moderate temperatures in the ground to boost efficiency and reduce the operational costs of heating and cooling systems.",--,,--,,http://www.uic.edu/sustainability/initiatives/energy_projects.html#cogen,--
"University of Illinois, Urbana-Champaign",2016-03-23,2016-03-23 09:18:20,spauldng@illinois.edu,2.0,Pursuing,6100441.7,148.2,**,"The solar panels on the roof of the Deloitte Auditorium have a combined maximum output of 40 kilowatt-hours per hour. Because the panels are stationary the greatest amount of energy is generated when the sun is highest. Similarly, clouds or darkness can negatively affect output.  ",--,,--,,68190.0,"F&S approved the purchase of 20,000-megawatt hours (MWh) of Midwest Independent Systems Operators (MISO) wind Renewable Energy Certificates (RECs) in FY15. These RECs were executed through Prairieland Energy, Inc. helped campus meet the FY15 goal of 5% renewable electricity.",http://www.fs.illinois.edu/services/utilities-energy/production/renewable-energy,--
University of Louisville,2016-02-13,2016-02-13 03:02:47,justin.mog@louisville.edu,2.0,Pursuing,1187549.77,278.3,**,"1. The roof of UofL's LEED Gold certified Center for Predictive Medicine on the Shelby campus houses a 50 kilowatt solar photovoltaic array, one of the largest in Kentucky, with 254 panels.
2. Sackett Hall Solar Array (PV+HotWater): The computer controlled dual-axis tracking solar array on Sackett Hall at the J.B. Speed School of Engineering produces both electricity and hot water for the building. It is the only such tracking array in Kentucky, and is intended for research, development and education, while supplying a portion of the building's electricity and hot water. Because it is able to track the sun precisely throughout the day and across the seasons, it is 30% more efficient than fixed solar panels. The two solar thermal collectors in the center of the array provide nearly 100% of the building's hot water in the summer, and ten photovoltaic panels feed enough electricity into the grid to power the building's computer laboratory.
3. In May 2012, students in UofL's Renewable Energy & Energy Efficiency Club, designed, constructed and installed low-cost 120-watt solar panels at the Garden Commons to power the ventilation system for the new greenhouse. Read more about the project.",31835.64,"Data on Energy Generation is not available, but UofL does have such devices:
1. UofL's latest project featuring renewable energy opened in October 2013. The new Student Recreation Center on 4th Street features not only a solar hot water system, but 128,000 square feet of space heated and cooled by the University's first geothermal system. The geothermal heat pipe is a closed-loop vertical well system with a total of 180 wells 400 feet deep. This system provides ample reserve capacity and is expected to generate about 22% annual energy cost savings compared to a conventional system. It is also considerably simpler and cheaper to maintain. 
2. Sackett Hall Solar Array (PV+HotWater): The computer controlled dual-axis tracking solar array on Sackett Hall at the J.B. Speed School of Engineering produces both electricity and hot water for the building. It is the only such tracking array in Kentucky, and is intended for research, development and education, while supplying a portion of the building's electricity and hot water. Because it is able to track the sun precisely throughout the day and across the seasons, it is 30% more efficient than fixed solar panels. The two solar thermal collectors in the center of the array provide nearly 100% of the building's hot water in the summer, and ten photovoltaic panels feed enough electricity into the grid to power the building's computer laboratory.
3. We are investigating renewable energy options to passively heat & cool UofL buildings. At Burhans Hall on our Shelby campus, in collaboration with the Department of Energy and the Kentucky Renewable Energy Consortium, UofL's Renewable Energy Applications Laboratory (REAL) installed an experimental solar heat pipe wall for indoor climate control that may prove to be twice as efficient as other solar systems in places such as Louisville with moderate sun and cold winters. In 2011, the system was moved to a new solar test room constructed at the Speed School of Engineering behind Ernst Hall for further experimentation and monitoring. This is the only such device of its kind in the world and its active solar design is more efficient than most passive systems.",--,n/a,--,n/a,http://louisville.edu/sustainability/operations/buildings-energy.html,--
"University of Maryland, College Park",2016-03-23,2016-03-23 15:55:05,sdeleon@umd.edu,2.0,Pursuing,2842416.73,59.4,**," A 5.25 kW photovoltaic solar array was installed on the roof of the Cole 
Student Activities Building in 2009.  A 6.97 kW photovoltaic solar array was installed on campus as part of Leaf House-- UMD's entry that won second place in the 2007 DOE Solar Decathlon-- in 2009. A 1.25 kW PV solar tracker was installed in front of the University of Maryland Energy Research Center in 2013. UMD retains the RECs from all of these installations.

A 631 kW photovoltaic solar array was installed on the roof of the Severn Building in 2011. UMD was selected as a Maryland Energy Administration Project Sunburst Initiative Partner and awarded a grant aimed at promoting the installation of renewable energy systems on public buildings in Maryland and the Severn Array was the result. WGL Energy (then WGES) financed the remainder of the Severn project cost and UMD purchases the electricity generated by the solar panels under a 20-year agreement with WGL Energy. Beginning in 2016 UMD will retain the RECs from this project so it has not been counted in the Option 1 total (for 2014) above.",194.6,"Solar hot water panels installed at Ellicott Dining Hall in early 2010 
provide about 30 percent of the energy needed to pre-heat domestic water
 for “the Diner.” The system includes 20 panels with 3 solar storage 
tanks, pumps, temperature sensors, and controls. The University has also
 begun to install geothermal heat-pump systems in some of its newest 
buildings as of 2012.",15514.4,"In 2010, the University System of Maryland (USM) and the Department of 
General Services executed three (3), twenty year Power Purchase 
Agreements for renewable energy. The projects are: 
•	16 megawatt solar project at Mount St. Mary's University
•	10 mega watt wind project in western Maryland
•	55 megawatt wind project in West Virginia
USM receives 1/3 of the output from each project. This equates to the 
University of Maryland receiving 15 percent of its purchased electricity
 from renewable sources. The  Roth Rock Wind Farm (western Maryland),
 became operational in 2011, the Pinnacle Project-- also wind-- (West Virginia)  
and the solar project at Mount St. Mary’s Univeristy (Maryland) became operational in 2012. ",281889.2,"70,193 Green-e certified Renewable Energy Credits were acquired and retired for 2015. 2,870 Tier 2 Maryland-Eligible Renewable Energy Credits and 7,758 Tier I Maryland-Eligible Renewable Energy Credits were acquired and retired for 2015. In addition, 1,796 Maryland-Eligible Renewable Energy Credits (Tier I and Tier II) were retired on UMD's behalf through purchased electricity contracts. For more information on Maryland-Eligible RECs see the Maryland Public Service Comission's webpage of Frequently Asked Questions about the Maryland Renewable Energy Portfolio Standard Program at http://webapp.psc.state.md.us/intranet/ElectricInfo/FAQ_new.cfm",http://sustainability.umd.edu/content/campus/energy.php,--
