Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have policies and/or guidelines in place to improve outdoor air quality and ...,A brief description of the policies and/or guidelines to improve outdoor air quality and minimize ...,Has the institution completed an inventory of significant air emissions from stationary sources on ...,A brief description of the methodology(ies) the institution used to complete its air emissions ...,Weight of the following categories of air emissions from stationary sources:,Nitrogen oxides (NOx) emissions,Sulfur oxides (SOx) emissions,Carbon monoxide (CO) emissions,Particulate matter (PM) emissions,Ozone (O3) emissions,Lead (Pb) emissions,Hazardous air pollutants (HAPs) emissions,Ozone-depleting compounds (ODCs) emissions,Other standard categories of air emissions identified in permits and/or regulations,A brief description of the institution’s initiatives to minimize air pollutant emissions from ...,"The website URL where information about the institution’s outdoor air quality policies, guidelines ...",Public Notes
University of Missouri,2015-05-01,2015-05-01 15:33:39,raghavans@missouri.edu,2.0,Pursuing,True,"As a state institution, and according to state law, MU’s Business Policy and Procedure Manual section 3:200 requires 50 percent of all new vehicles purchased be capable of using alternative fuel. On an annualized basis, at least 30 percent alternative fuel must be used in these vehicles.",True,"MU holds two Part 70 Air Permits, one for the Power Plant and one for the general campus. As part of the compliance schedule, campus must submit Annual Emissions Inventory Questionnaire report that compiles the following emissions information. Additionally the Power Plant must submit a report of greenhouse gas emissions annually.",**,490.0,5221.0,149.0,104.0,--,--,49.0,2.5,1.0,"MU has taken a leadership role for many years in reducing energy use on our campus with significant results.  While campus education and general (E&G) space has grown by 42% since 1990, energy use has been reduced by 19% and greenhouse gas emissions have been reduced by 57% on a square foot basis.1 MU’s total renewable energy portfolio consists of biomass fuels, on-site wind generation, solar thermal water heating and solar photo voltaic electric generation, all of which have been initiated or expanded upon in the last three years. Currently, 24% of MU energy portfolio is derived from renewables.2
In February of 2014 MU joined the U.S. EPA’s Green Power Partnership and is the #1 generator of green energy when compared to all college and university participants in EPA’s Green Power Partnership. MU is currently #8 on site green energy producer compared to all industry in the program.3
In 2009, MU signed the American College & University Presidents Climate Commitment. MU has established an Environmental Affairs and Sustainability Committee whose purpose is to make recommendations to the provost on the development of policies for environmental and sustainability issues, develop formal and informal mechanisms for improved education to enhance environmental and sustainability awareness; and provide a biannual sustainability report to the chancellor4.
",http://www.cf.missouri.edu/energy/em_eff/index.html,"1http://www.cf.missouri.edu/energy/em_eff/index.html
2http://www.cf.missouri.edu/energy/em_renewable/index.html
3http://www.cf.missouri.edu/energy/pdfs/MUGreenPowerPartner2014.pdf
4http://committees.missouri.edu/environmental-affairs/index.php

Other standard categories of air emissions identified in permits and/or regulations:	
1 Tons NH3
6 Tons VOC
"
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:15,johnstonrk@umkc.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Mount Union,2016-01-13,2016-01-13 13:05:25,mcclauca@mountunion.edu,2.0,Pursuing,--,n/a,--,n/a,**,--,--,--,--,--,--,--,--,--,n/a,--,--
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:44:56,pshrestha3@unl.edu,2.0,Pursuing,--,UNL has a policy to prohibit vehicle idling for University vehicles.,True,"Inventory of stationary emission sources are included in UNL’s Air Quality Operating Permit – which includes reporting/record-keeping requirements for such things as operational/fuel limitations, emissions calculations, and maintenance requirements, etc (for optimal combustion).",**,44.0,0.28,27.8,3.0,--,--,8.0,--,--,"UNL uses low sulfur fuel oil and/or natural gas at City & East Campus Utility Plants. Annual testing of UP boilers, along with regular maintenance, ensures optimal combustion and efficiency.  Emergency engines are limited to emergency, readiness testing or maintenance use only.  Incinerator operates on natural gas & utilizes secondary combustion chamber to complete gas phase combustion for cleaner emissions.",http://ehs.unl.edu/,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:32,slburke@unomaha.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of New Hampshire,2016-03-25,2016-03-25 21:53:51,colleen.flaherty@unh.edu,2.0,Pursuing,True,"UNH has an anti-idling policy for all staff vehicles, as well as signage that discourages visitors or suppliers from idling.  More broadly, UNH works to lower single occupancy vehicle use by providing clean fuel and alternative technology commuter buses and shuttles, improving bicycle and pedestrian access on campus, promoting carpooling and ZipCar use, etc. See www.sustainableunh.unh.edu/transportation for more information.",True,"UNH calculates actual emissions based on actual monthly fuel use, as recorded by flow meter, hour meters, and/or purchase records depending on the specific device.  Emission factors are applied to the monthly fuel use to estimate the actual emissions from each device.  The emission factors are based on industry and regulatory accepted methods, such as EPA’s AP-42 document (Compilation of Air Pollutant Emission Factors), NHDES provided emission factors, or vendor provided data.  When available, actual stack testing results serve as the basis of the emission factor derivation.  In the instance of the NOx emissions from the Siemens combustion turbine, actual continuous emissions monitoring system (CEMS) data is used to estimate emissions.",**,29.48,5.92,50.11,12.43,--,--,0.23,--,--,"UNH’s efforts to minimize emissions from stationary sources include relying on clean burning natural gas and processed landfill gas as the fuel of preference for combine heat and power plant equipment (Siemens turbine, duct burner, and Solar turbine) and central heating plant boilers.  In addition, UNH’s office of Energy and Utility manages on-going energy efficiency programs that include retrofit projects including high efficiency lighting systems, motors, and control systems. On capital construction projects, UNH has committed to energy efficiency measures to garner the equivalent of at least a LEED Silver rating. UNH also conducts many energy awareness programs to encourage energy conserving activities by the campus community.",http://www.unh.edu/research/environmental-management-0,"UNH Environmental Health and Safety handles HAPs (excluding Title V air permit) and ODCs. Contact: Brad Manning. http://www.unh.edu/research/environmental-management-

Dave Bowley handles the campus Title V air permit program. "
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:57:55,cpshea@fac.unc.edu,2.0,Pursuing,True,"E85 and biodiesel vehicles and fuel pumps.
Anti-idling policy.
Fare free buses to minimize vehicle use.
Parts runner to minimize travel by shop personnel. ",True,"1. CEMS direct measurements 
2. Performance stack testing measurements and flow data to determine mass rates 
3. EPA emission factors (AP42) and fuel use data",**,373.0,189.0,55.0,12.0,--,0.002,8.0,0.007,252846.0,"The UNCCH Cogeneration Facility uses a fluidized combustion bed boiler with lower combustion temperatures, i.e., 1450 - 1700 degrees Fahrenheit to reduce NO and NO2 gases emissions and utilizes calcium carbonate dry sorbent injection to reduce SO2 emissions.  The Cogeneration facility also uses a state of the art baghouse to capture particulate emissions and meet air quality standards.  UNCCH monitors operation and maintenance of emergency generators (EGs) on campus and replaces the older EGs with newer, lower emission EGs regularly.",http://daq.state.nc.us/inventory/,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:18,cgcarwei@uncg.edu,2.0,Pursuing,True,"Petroleum displacement plan: A FY 04-05 NC special budget provision required a 20% reduction in petroleum use (adjusted to 17.5 based on provision criteria) by the state vehicle fleet.  Implementation of the Petroleum Displacement Plan (PDP) requirement in FY 11-12 resulted in a 19.9% reduction in petroleum use by state fleet vehicles (compared to the FY 04-05 baseline) through a combination of more efficient vehicles, alternative fuel vehicles, and driver behavior change programs.  (http://facoperations.uncg.edu/fueldisplace.html)

Vehicle idling policy: A UNCG Facilities Operations policy regarding university vehicle operations was adopted in October 2010. The primary goal of this policy is to encourage fuel savings through minimizing idling, planning trips, and driving conservatively. It has not been adopted by all campus units, however. Please see http://facoperations.uncg.edu/vehicle.pdf. ",True,"Every 6 months, the university's Mechanical Engineers prepares and submits an air emissions report  to the North Carolina Department of Environment and Natural Resources Division of Air Quality. The report includes the fuel consumption and resultant calculated air emissions from the UNCG Steam Plant and a variety of emergency power generators across campus. 
",**,19.42,0.77,15.95,--,--,--,--,--,--,"Beyond our energy conservation measures detailed in other credits, the university has also utilized low and ultra-low sulfur content fuel oil to fuel emergency generators and to serve as a back-up fuel for the steam plant.",--,--
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:30,pohlmank@uncw.edu,2.0,Pursuing,True,"Free fare for buses to encourage alternative transportation
Anyone living within a 1-mile radius of campus cannot buy a parking pass 
",True,Scope 1 of UNCW's Greenhouse Gas Inventory includes stationary combustion and fugitive emissions. ,**,--,--,9936.0,--,--,--,--,--,--,"Minimizing air pollutant emissions is largely attributed to the energy efficiency and conservation measure put into place under the 2011 Energy Savings Performance Contract (ESPC). The ESPC measures results in annual savings of approximately 12,350 million British thermal units (MmBtu) of natural gas. ",http://uncw.edu/sustainability/documents/UNCWGHGInventory9.13.14.pdf,--
University of Oregon,2016-03-23,2016-03-23 11:01:52,smital@uoregon.edu,2.0,Pursuing,True,"""The Climate Action Plan and Oregon Model for Sustainability reduce GHG emissions by requiring LEED Gold in all new buildings.  A portion of new buildings go to an account that supports energy effiiency projects in older buildings. Additionally, we have restrictions on transportation (very limited use of vehicles permitted in core campus plus significant limations on parking and free bus passes for all faculty and staff).  Vehicles operated by UO Catering, Operations, and others who must travel through campus core have largely been converted to electric, non-emitting vehicles.  Our Climate Action Plan has the following goals: 
Scope I and II emissions:

• 2010: stabilize and begin to reduce GHG emissions
• 2020: achieve GHG levels 10% below 2004 levels
• 2050: achieve GHG levels 75% below 2004 levels

Additionally, the Lane Regional Air Pollution Authority requires that the University track and report air pollutant emissions from certain mobile sources.   """,True,UO uses the Clean Air-Cool Planet Campus Carbon Calculator to estimate carbon emissions.  Other emissions (like NOx and SOx) are regulated by the Lane Regional Air Pollution Authority.  See its website for detailed accounting and reporting methods UO follows. ,**,95.521,2.549,79.013,10.038,--,--,--,--,4.863,"""1) In 2012, the UO Steam Plant was configured with one new boiler and a significant overhaul of one existing boiler.  The boiler plant uses upgraded combustion air units and automated control system increasing efficiency for steam production. The Central Plant also added a Cogeneration plant consisting of a natural gas fueled 7.5MW Combustion Turbine, Heat Recovery Steam Generator, and 2MW Steam Turbine.  The Cogeneration plant offers the option of producing steam for campus and producing electrical power.  The Combustion Turbine can be used to power the campus with or without the Cogeneration plant in operation.
In March of 2015, the Central Power Plant responded to changes in the regional energy markets by taking a market driven approach towards power generation and Cogeneration plant operation.  This market driven approach has resulted in a 31% reduction in natural gas use and related CO2 emissions from 2014 to 2015.  Emissions from emergency diesel generators are minimized by an ongoing proactive maintenance program that incorporates Preventive, Predictive and a Reliability Centered Maintenance approach.  The maintenance ensures a high degree of reliability and minimal run time for testing which reduces emissions. Additionally, UO Central Power Station conducts annual testing on Boiler and Combustion Turbine emissions and conducts Boiler Tuning as necessary to ensure the proper air/fuel flow mixtures meet local/state emission standards and maximize boiler efficiency.  2) There is a no smoking policy on campus. 3) More electric cars are being used by campus operations.""",http://ehs.uoregon.edu/,"The website URL where information about the institution’s outdoor air quality policies, guidelines or inventory is available: University of Oregon complies with all local, state, and federal air quality requirements.   We have an air permit which is regulated through LRAPA.It sets discharge limits for all of the boilers that we have on site.  http://ehs.uoregon.edu/, http://www.lrapa.org/ No smoking policy on campus. https://policies.uoregon.edu/smoking-and-tobacco-restrictions 

Tony Hardenbrook also provided data for some of these responses. "
University of Pittsburgh,2016-03-24,2016-03-24 12:58:50,lwzfm1@pitt.edu,2.0,Pursuing,True,"The University of Pittsburgh is in compliance with the Diesel Powered Motor Vehicle Idling Act (Pennsylvania Act 124), which went into effect in February, 2009.   

",True,"The University was issued a Title V Major Source Operating Permit on 12/19/13. The permit establishes pollutant limits for boilers, spray booths, and emergency generators. All of the sources have been identified and inventoried. The University submits required semiannual reports as well as annual air emission inventory statements to the Allegheny County Health Department.  ",**,13.1,0.7,6.2,0.3,--,--,0.1,--,--,"Ultra lox-NOx burners with flue gas recirculation for NOx control at Carrillo St. Steam Plant;
All equipment is properly installed, maintained, and operated with air pollution control practice; Processes are properly maintained and operated according to manufacturer's specifications; Inks & solvents remain closed at all times; Fabric filters for particulate control are in place and operating at all times & inspected weekly; Boilers and space heaters burn natural gas only; Maximum allowable sulfur content of No. 2 fuel oil is 15 ppm for generators; Operational limits in place for generators; Generators are maintained according to manufacturer's specifications.",http://www.chronicle.pitt.edu/story/carrillo-street-steam-plant-one-cleanest-university-heating-plants-nation,--
University of Richmond,2016-02-17,2016-02-17 15:17:34,randreje@richmond.edu,2.0,Pursuing,True,Idling diesel trucks are requested via signage to stop engines.  This includes athletic buses at the athletic facility and campus bus stops.,True,As reported to the state DEQ using AP-42 factors and manufacturers data for stationary equipment.  ,**,12.44,0.13,11.28,0.58,--,--,--,--,--,"Installed low NOx burner on one industrial boiler.
Migrating away from chillers using steam produced by natural gas.
Replacing small boilers with higher efficiency units.",--,--
University of South Carolina,2016-02-29,2016-02-29 17:11:39,KOPPAN@mailbox.sc.edu,2.0,Pursuing,True,"UofSC does have policies and guidelines in place to improve outdoor air quality and minimize air pollutant emissions from mobile sources.  This policy is described in USC’s Vehicle Management’s Genesis 2015 plan to create a petroleum-free fleet and reduce emissions by 90 percent by the year 2015.  This is being accomplished by powering USC’s 400 vehicles by ethanol, biodiesel, liquefied petroleum gas (LPG), electricity, or hydrogen fuel cells.  As a result of this initiative, USC earned top green ratings from the Princeton Review and the College Sustainability Report Card in 2009.

The USC Vehicle Management website also provides an alternative fueling station locator which identifies 249 locations in South Carolina and 15,565 locations throughout the U.S. where alternative fuels can be found.
",True,USC's last emissions inventory was completed in February 2014. This was completed using AP-42 factors for calculating emissions.,**,20.0375,0.8033,29.6509,2.9212,--,--,--,--,--,"We minimize air pollutants by the following: - Burning natural gas instead of diesel fuel as long as natural gas is available. - Upgrading all of our 7 boilers to low NOx burners to reduce emissions. - In 2009, USC unveiled it's Genesis 2015 initiative to reduce carbon dioxide emissions by 90% by using ethanol, biodiesel, LPG, or hydrogen fuel cells. - Where possible, USC uses light duty electric vehicles on campus.",https://www.sc.edu/ehs/,--
University of South Florida,2016-02-26,2016-02-26 13:29:35,sustainability@usf.edu,2.0,Pursuing,True,"http://regulationspolicies.usf.edu/policies-and-procedures/pdfs/policy-10-051.pdf
IV. PRIORITIES FOR STEPS TOWARD INSTITUTIONAL SUSTAINABILITY
The Climate Action Plan (CAP) emphasizes certain strategies to reduce carbon dioxide emissions over time. These strategies are aligned with specific scopes of greenhouse gas emissions to better leverage and focus institutional strengths and to set periodic (five-year) priorities for resource allocations. The strategies collectively focus on improvements to the designed and built environments (including water management), transportation, energy, and consumption (waste and recycling) through policy promulgation, education and awareness campaigns, and updates to the Tampa Campus Master Plan, among other action steps.",True,"The inventory tool we used is the Clean Air‐Cool Planet inventory tool suggested by the
American College and University Presidents’ Climate Commitment. It is an excellent tool for the construction of a comprehensive inventory",**,10015.4,--,--,--,--,--,--,--,--,"IV. PRIORITIES FOR STEPS TOWARD INSTITUTIONAL SUSTAINABILITY
The CAP emphasizes certain strategies to reduce carbon dioxide emissions over time. These strategies are aligned with specific scopes of greenhouse gas emissions to better leverage and focus institutional strengths and to set periodic (five-year) priorities for resource allocations. The strategies collectively focus on improvements to the designed and built environments (including water management), transportation, energy, and consumption (waste and recycling) through policy promulgation, education and awareness campaigns, and updates to the Tampa Campus Master Plan, among other action steps.",http://regulationspolicies.usf.edu/policies-and-procedures/pdfs/policy-10-051.pdf,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 22:59:27,davidv@mail.usf.edu,2.0,Pursuing,True,"Policy 8.1.1:
USFSP shall continue to participate in and consider those programs which will maintain or improve existing air quality on campus lands. Such programs include participation in local transportation management associations, transit routing and terminal servicing activities and the promotion of bicycle and pedestrian circulation improvements.

Policy 8.1.4:
USFSP shall determine the potential impacts on air quality before construction of parking structures. Parking structures shall be designed to facilitate rapid ingress and egress of vehicles to minimize idling time, and to maximize air flow through them to eliminate pockets of stagnation where pollutant levels can build up.

Policy 8.1.5:
USFSP should implement a program for the monitoring of both indoor and outdoor air quality. Indoor sampling shall occur at chemistry laboratories, kitchens, and other sites where fumes are produced. Outdoor sampling sites shall include parking lots and congested intersections. Failure to meet air quality standards adopted by the State Department of Environmental Protection shall result in an assessment of the probable cause and the preparation and implementation of a plan to improve and maintain air quality.
",True,"We conducted an inventory of all combustion engines on campus, including vehicles, generators and laboratories. Using this inventory of on-campus fuel consumption, the Center for Climate Strategies calculated the emissions that are generated from these sources. ",**,5.7,--,--,--,--,--,--,--,--,,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:21,prestonj@utk.edu,2.0,Pursuing,True,"UTK has a policy that bans the idling of university owned vehicles in the following instances: 1. Vehicles are not to be idled for warming/defrosting prior to daily use. 
2. Vehicles are not to be idled for any extended period of time at the job site or while otherwise in use unless such idling is required to perform the job at hand.",True,"The Annual Emission Report is filed each year by the University of Tennessee, Knoxville in compliance with the Knox County Department of Air Quality Management Operating Permit and the EPA Federal Operating Permit. Running totals of emissions released and resources used are kept on a monthly basis from all of the university's stationary sources (waste heat boiler system, steam plant, natural gas turbine, etc.). The 'other' category contains the summation of other categories included in UT's report. These include: SO2 (181.02 tons), VOC (2.32 tons), HCl (4.95 (tons), and HF (0.62 tons). These results are from the 2013 Annual Emission Report",**,77.036,--,66.58,4.45,--,--,--,--,160.97,The Steam Plant on campus stopped burning coal Spring 2015 to minimize air pollutants.,--,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:02:50,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:25,mtare@uta.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Texas at Austin,2016-03-21,2016-03-21 16:14:49,jim.walker@austin.utexas.edu,2.0,Pursuing,True,Vehicles may not idle at loading docks. Idling is discouraged elsewhere on campus but is not strictly enforced. ,--,,**,--,--,--,--,--,--,--,--,--,,--,--
University of Texas at Dallas,2016-02-29,2016-02-29 18:12:58,thea.junt@utdallas.edu,2.0,Pursuing,--,Vehicles may not idle at loading docks. Idling is discouraged elsewhere on campus but is not strictly enforced.,True,Systematic review of processes and campus knowledge through interviews with Central Plant Management under the direction of the University of Texas at Dallas Facilities Management. Actual emission calculations from Campus TCEQ permits and other campus stationary sources were used to determine campus site-wide emissions.,**,48.0,2.05,--,0.85,--,--,--,--,4.92,"Technological upgrades to emissions sources to assist in the minimization of campus emissions is continued under review by Facilities Management and The Department of Environmental Health and Safety. Newer technologies with abatement systems, de-rating of emission sources, and other methods will be reviewed as campus continues to experience growth.",--,--
University of Toledo,2016-03-25,2016-03-25 15:21:05,neil.tabor@utoledo.edu,2.0,Pursuing,--,,True,"This inventory was created by analyzing the natural gas combustion boiler and diesel combustion boilers to provide quantities of HAPS, through AP-42 figures and comply with Title V and Synthetic Minor permit items. ",**,24.3689,0.304611,24.91465,2.2838343,--,0.000148,35651.11,--,--,"In 2013 a coal fired generation plant was taken off-line. Additionally various energy efficiency projects have been undertaken in the last few years including but not limited to replacing steam traps, weather proofing, changing automation schedules and installing occupancy sensors that limit conditioning in unoccupied areas. ",--,--
University of Virginia,2015-12-11,2015-12-11 14:05:43,art2k@Virginia.edu,2.0,Pursuing,True,"Per State law, vehicles used for public service are not allowed to idle for more than 3 minutes.  As a State agency, UVA adheres to this requirement, which reduces unnecessary vehicle emissions. 
http://leg1.state.va.us/cgi-bin/legp504.exe?000+reg+9VAC5-40-5670 ",True,"Yes, UVA operates under a Title V Air Permit which requires monitoring of and recordkeeping for Main Heat Plant boilers, MHP coal and ash handling equipment, other significant boilers, emergency generators, ethylene oxide sterilizers, cabinet shop
The permit also includes a list of emissions sources classified as insignificant either based on their potential emissions or their size. Diesel storage tanks and small boilers are considered insignificant.",**,1076.66,28.99,92.22,23.29,--,0.15,13.92,0.07,3.75,"UVA complies with the requirements of its Title V Air Permit, which limits air emissions from stationary sources.  The permit also requires operation and maintenance of such sources so that that the sources are operating optimally. As new buildings are brought online, efforts are made to add buildings to district heating as much as possible, to minimize the need to add smaller stationary sources.  The benefit of district heating is it allows air pollution controls to be focused on large, centralized sources which are continually monitored so they can be operated at optimum capacity. ",http://www.fm.virginia.edu/depts/operations/environmental/emissions.html,--
University of Winnipeg,2016-01-13,2016-01-13 14:36:44,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,True,"The University of Winnipeg passed its Air Quality Management Policy in January of 2007. The policy ""establishes a framework within which the University will incorporate air quality management into its overall sustainability management system. Moreover, this Policy aims to encourage the improvement of air quality and maintenance of high air quality through the adoption of technologies that reduce air pollution, and reduction of technologies that damage air quality,in, on and around all University facilities. 

A relevant goal under to policy is, ""To encourage the development and use of modes of transportation by students, administration and faculty that incurs progressively less emission of pollutants and GHGs per passenger kilometer.""

",--,,**,--,--,--,--,--,--,--,--,--,,--,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:42,fermanij@uwgb.edu,2.0,Pursuing,True,"No idling guideline for campus fleet vehicles. 
Purchase of high efficiency security/parking patrol vehicle.",--,,**,--,--,--,--,--,--,--,--,--,,--,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:33:32,knelson6@uwm.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:40:34,kermathb@uwosh.edu,2.0,Pursuing,True,"The university is dedicated to lowering fossil fuel emissions and the carbon footprint associated with transportation through;

UW Oshkosh is contracted with Oshkosh Transit System to allow all campus members free access to the city bus system with their campus ID.The university is also contracted with Zimride an online ride sharing community to connect students, staff and faculty in promotion of carpooling.Cycling is encouraged on campus with increased number of bike racks, bikes for short term or long term rent, and Fix-It stations have been installed around campus.
Established incentives for students to opt out of bringing a car to campus and special parking spaces for carpools
",True,We are part of the American Colleges and University President's Climate Commitment for lowering our fossil fuel emissions. Emission levels are calculated using the Campus Carbon calculator online operated by the The Sustainability Institute at the University of New Hampshire.,**,--,--,--,--,--,--,--,--,--,"Reduce the fossil CO2 emissions from the campus heating plant 30%, by 2019.

    In 2020, the heating plant is scheduled for a major renovation and upgrade.  Investigate the potential for including a biomass boiler to the portfolio of equipment that will provide heat to the campus.  Also consider the possibility of incorporating a co-generation capability to the upgraded facility.
    Consider the implementation of geo-thermal heating and cooling to all future new construction and major renovation projects.  Particular attention should be given to the installation of innovative hybrid geo-thermal systems that accommodate partial loads of facilities.
Continue to provide annual maintenance to repair steam traps and damaged steam  line insulation.
Pursue all other opportunities to make the heating plant more energy efficient.
Investigate the possibility of building a second biodigester to produce methane that could be added to the fuel mix of the heating plant.
Incorporate Passive House Standards for passive solar design into future designs to the extent possible, especially with regards to insulation standards.

Reduce the CO2 emissions/energy consumption from the campus central chiller plant.
Consider the installation of thermal ice storage technology, either at the central plant or at individual building sites.
Continue to provide annual maintenance to ensure the highest level of operation efficiency of equipment.
Consider the installation of absorption chillers as appropriate.
Consider the modification of summer work/teaching schedules to start and end earlier in the day so as to avoid high cooling loads in late afternoon.
",http://www.uwosh.edu/sustainability/what-we-do/campus-sustainability-plan/energy,--
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:15:59,seebotha@uwplatt.edu,2.0,Pursuing,True,"The campus is contracted to use Zimride, an online ridesharing board, has provided a public bus service to all students since 2012 (students ride ""free""), have instituted a regular bus service from campus to large urban areas nearby, and have actively helped build a public trail network connecting our campus to the community. The campus has implemented “no-mow zones” that remove areas of campus from a regular mowing schedule.",True,"Reporting requirements for our Heating Plant requires fuel consumption numbers to be submitted to the Wisconsin Department of Natural Resources to generate a Quarterly Fuel Sampling Analysis Report. This report includes the following variables: Coal (tons/month), Ash (%), Sulfur (%), Heat (Btu/lb), SO2 (lbs/mmBtu), Fuel Oil (gallons), and Fuel Oil Sulfur (%). ",**,18.85,42.39,15.38,16.35,--,--,--,--,--,"Under the guidance and oversight of the the Department of State Facilities, our boilers and equipment are required to operate in accordance with DNR and EPA environmental regulations. The stack emissions are tested on a regular basis to ensure that we are operating within allowable limits.",http://dnr.wi.gov/topic/AirEmissions/Historical.html,--
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:01:48,sjanowsk@uwsp.edu,2.0,Pursuing,True,"Executive Order 141 March 2006 Relating to Increased Utilization of Renewable Fuels in Vehicles Owned and Operated by the State of Wisconsin
Directs all state agencies to reduce the use of petroleum-based gasoline in state-owned vehicles by twenty percent (20%) by 2010 and by fifty percent (50%) by 2015, and reduce the use of petroleum-based diesel fuel by those vehicles ten percent (10%) by 2010 and twenty five percent (25%) by 2015.

As part of the carbon neutrality plan, each direct transportation source fleet services, commuting and air travel has several possible solutions for reducing carbon emissions. They include 1)a reduction in student commuting, 2) a reduction in faculty and staff commuting to campus, 3) an increase in the percent of the population that uses alternative transportation, 4)a decrease in single occupancy vehicles, 5) a reduction of miles traveled for official business by faculty and  staff, 6) a reduction in emissions associated with fleet operations, 7) 100% offset of air travel for faculty and staff , and 8) 100% offset for air travel for international student travel.",True,"Data is collected and found on the Wisconsin-DNR Historical Air Emissions Information. 
",**,39.69,40.69,21.43,--,--,--,--,--,--,"Under the guidance and oversight of the the Department of State Facilities, our boilers and equipment are required to operate in accordance with DNR and EPA environmental regulations. The stack emissions are tested on a regular basis to ensure that we are operating within allowable limits. In 2007, A ""baghouse"" was added to the plant to collect particulate emissions from burning coal or wood pellets. The baghouse is basically a very large vacuum cleaner that filters the stack gases.",http://dnr.wi.gov/topic/AirEmissions/Historical.html,--
University of Wisconsin-Stout,2016-03-25,2016-03-25 10:47:52,rykals@uwstout.edu,2.0,Pursuing,--,No policy or program is implemented ,--,All fuels are tested prior to use to ensure that we meet the requirements of our air permit.,**,--,--,--,--,--,--,--,--,--,There is no specific campus initiative. ,--,"*All of our fuels tested prior to use to ensure that we meet the requirements of our air permit. Also we have ultra, low, sulpher fuel oil as a backup, and only allowed to burn it as an emergency fuel. The fuels are tested for content, then we measure how much is burned, then calculate emissions. The DNR sets the requirements, not the university. In the past when we used to burn more coal we would conduct stack testing, but now that we burn such a smaller amount (1000 tons this year), by permit we are exempted. 
*Data provided by Physical Plant"
University of the Pacific,2016-03-23,2016-03-23 15:38:00,seller@pacific.edu,2.0,Pursuing,--,"We use Commute Connection from the County. We also give priority parking to carpool and fuel efficient vehicles. We have installed over 250 bike rack spaces in the past seven years and avidly promote bike usage by providing two onsite shower facilities for bike commuters. We also annually promote bike to work week. 

Besides this, we work to improve outdoor air quality by reducing the need for students, staff and faculty to go off campus for basic needs by providing the following onsite: an ATM, grocery store, postal service, printing shop, direct deposit and check cashing (for students and staff/faculty up to $150), break rooms with sinks and microwaves, a bike repair station, and more. ",--,The University contracted an outside organization to complete an analysis on GHG and other significant air emissions. ,**,--,--,--,--,--,--,--,--,--,"The University of the Pacific abides by the San Joaquin Air Pollution Control District (SJAPCD), which are some of the most stringent rules in the United States of America to limit air pollution. ",https://www.valleyair.org/rules/1ruleslist.htm,"Data collected and composed from outside contractor did not include the specific amounts per category for air emissions. No available data for the specific air emissions. 

http://www.valleyair.org/Home.htm "
