Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution have an institution-wide stated intent to support disadvantaged businesses, ...","A copy of the policy, guidelines or directive governing inclusive and local purchasing","The policy, guidelines or directive governing inclusive and local purchasing",Does the institution wish to pursue Part 2 of this credit (inclusive and local expenditures)?,"The percentage of total purchases from disadvantaged businesses, social enterprises and/or local ...",The website URL where information about the institution’s inclusive and local purchasing policies ...,Public Notes
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:45:08,pshrestha3@unl.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:43,slburke@unomaha.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of New Hampshire,2016-03-25,2016-03-25 21:55:11,colleen.flaherty@unh.edu,2.0,In Progress,--,--,--,--,--,--,"Local for UNH is New Hampshire as we don’t have the means to run purchasing reports based on mileage.
 
                Spent with NH vendors                  % of total spend         total spend
FY13            $84,129,568.86                                    45.8%                 $183,493,518.81            
 
Inclusive (caveat – we can report on this ONLY if the vendor has provided the information.  It is optional to tell us, so in many cases, we don’t know if they are or not.)
 
         Spent with Disadvantaged Vendors          % of total spend         total spend
 
FY13               $7,555,523.91                                        4.1%                $183,493,518.81
 
Vendor Types
DD: Disabled Veteran Busn Ent (DVBE)
DE: Disadvantaged Business Enterprise
DO: Disabled Owned
DV: Disadvantaged Veteran Enterp (DVE)
MB: Minority Business Enterprise (MBE)
VB: Veteran Business Enterprise (VBE)
VO: Veteran Owned
VV: Vietnam Veteran
WB: Women Business Enterprise (WBE)
WO: Women Owned"
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:58:08,cpshea@fac.unc.edu,2.0,Pursuing,True,,"The University strives to include minority-owned and women-owned businesses in the RFP/IFB bid solicitation process. Purchasing has conducted trade shows to promote historically underutilized businesses on campus. The University has endorsed the policies and practices of the North Carolina Office of Historically Underutilized Businesses.

",True,4.0,http://www.doa.state.nc.us/hub/default.aspx,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:29,cgcarwei@uncg.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/235/6/610/3797/HUB%20Mission.pdf,"Purchasing and the Historically Underutilized Business (HUB) Office help ensure that HUB businesses are given equal access to participate fully in all aspects of the University's construction and procurement opportunities. The program goals are to:
* Inform the HUB Community of the bidding process, procurement, and contracting opportunities at UNCG.
* Strive to exceed the State's goal of 10% by establishing a UNCG goal of 15% HUB participation.
* Encourage the participation of the HUB designers and contractors in all aspects of the UNCG construction process.
* Partner with surrounding Universities and State agencies, community, and trade organizations in outreach initiatives directed at increasing the participation and success rate of the HUB designers, contractors, and vendors.

HUB vendor candidates are actively identified and recorded for use in all appropriate purchases. The Purchasing Department participates in vendor fairs and minority programs to identify potential new HUB sources of supplies and services.

Solicitations issued by the Purchasing Department consider the use of these vendors. As well, all requests for pricing accomplished by departments consider the use of HUB vendors.

Announcements and correspondence are made to emphasize the significance of the HUB program, where and when appropriate.
",True,32.7,http://www.uncg.edu/fac/hub/,"Information for this credit was obtained from Anthony Phillips, UNCG HUB Coordinator."
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:41,pohlmank@uncw.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Oregon,2016-03-23,2016-03-23 11:03:11,smital@uoregon.edu,2.0,In Progress,--,--,--,--,--,--,--
University of Pittsburgh,2016-03-24,2016-03-24 13:00:16,lwzfm1@pitt.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Richmond,2016-02-17,2016-02-17 15:17:46,randreje@richmond.edu,2.0,Pursuing,True,,"The University of Richmond adopted its women- and minority-owned enterprises (WMBE) policy in December 2011 to reflect its growing commitment to a diverse and inclusive community. The University of Richmond is committed to the creation and development of relationships with women- and minority-owned enterprises. The University will engage and encourage WMBE’s participation in the procurement process. In addition, the University will expect its contractors to adopt similar strategies of inclusion.  All individuals of the University staff who are involved with procurement decisions are required to diversify their sources of business to include WMBE’s. However, the University will not favor any WMBE supplier solely on the basis of their status.  All suppliers will be assessed using the same criteria and are subject to the same conditions as all University suppliers.  ",True,5.0,http://procurement.richmond.edu/diversity/index.html,The 5% is for disadvantaged businesses only.  This number is for Fiscal 2014.  The Fiscal 2015 numbers are not available yet.  
University of South Carolina,2016-02-29,2016-02-29 17:11:51,KOPPAN@mailbox.sc.edu,2.0,Pursuing,True,,"The Purchasing Department of the University of South Carolina is committed to the support and involvement of minority business vendors in our procurement process and contract awards. Over the past decade, USC has historically been a leader in supporting various minority business events. The Purchasing Department is committed to developing successful relationships with small, minority, and women-owned businesses.",--,--,http://purchasing.sc.edu/minv.shtml,--
University of South Florida,2016-02-26,2016-02-26 13:29:46,sustainability@usf.edu,2.0,Pursuing,True,,"The University’s mission is to continue active pursuit of purchasing opportunities for small, minority, and women-owned businesses that provide goods and services purchased by USF. It is also our mission to represent USF in the community by involvement in small and minority business associations and organizations.

Our objectives are to promote the participation of small businesses, including businesses owned by women and minorities among University departments, academic units, and prime contractors and to actively represent USF in the business community through involvement in small and minority business associations and organizations.",--,--,http://usfweb2.usf.edu/supplierdiversity/Supplier%20Diversity%20Brochure%20012010.pdf,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 23:00:38,davidv@mail.usf.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:33,prestonj@utk.edu,2.0,Pursuing,True,,"COMMITMENT TO DIVERSITY: The University of Tennessee, consistent with state and federal law, seeks to optimize business opportunities for small and minority-owned businesses. The university will seek to do business with firms and organizations that demonstrate and embrace diversity within their programs and policies. Through these efforts The University of Tennessee will actively pursue its goal of building a more reflective marketplace for the community within the State of Tennessee.",--,--,--,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:03:01,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:37,mtare@uta.edu,2.0,Pursuing,True,,The University requires all requisitions over $5000 to go out for bid to a minimum of 2 HUBs.,--,--,https://www.uta.edu/policy/procedure/4-28,--
University of Texas at Austin,2016-03-21,2016-03-21 16:15:01,jim.walker@austin.utexas.edu,2.0,Pursuing,True,,"We promote the use of historically underutilized businesses (HUBs) in all of our purchasing and contracting operations. This means we make it a priority to use the services of minority-owned and women-owned businesses. We have also taken further steps in building relationships with minority and women trade organizations. 
The university has designated a staff member to serve as the Historically Underutilized Business (HUB) coordinator for the agency. The HUB coordinator assists the university with the development of the agency's procurement specifications, HUB subcontracting plans, and evaluation of contracts for compliance. The HUB coordinator also assists state agencies and the state comptroller with HUB compliance, facilitating compliance with the agency's good-faith effort criteria, HUB reporting, contract administration, and marketing and outreach efforts for HUB participation.
Statewide HUB utilization goals are developed by the Texas State Comptroller’s Office – HUB Reporting. Current HUB goals are:
Category	 	Goals
Heavy Construction	 	11.2%
Building Construction	 	21.1%
Special Trade	 	32.7%
Professional Services	 	23.6%
Other Services	 	24.6%
Commodities	 	21%
",True,17.83,http://www.utexas.edu/business/accounting/hbp/24_hub/hub2.html,"Data does not include purchases made under contract by the University of Texas System. Those purchases are managed by the University of Texas System and reported separately to the Texas Comptroller of public accounts. Most new building construction at the University of Texas at Austin is managed by the University of Texas System. Spend for those projects in FY 2013 is as follows:
$99,168,490.45 – TOTAL OFPC SPEND at UT Austin 
$24,072,623.48 – HUB SPEND
24.27% - HUB PERCENT
"
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:10,thea.junt@utdallas.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Toledo,2016-03-25,2016-03-25 15:22:18,neil.tabor@utoledo.edu,2.0,Pursuing,True,,"More information on the Supplier Diversity Program can be found on the accompanying link.

https://www.utoledo.edu/depts/supplychain/Diversity/",--,--,--,--
University of Virginia,2015-12-11,2015-12-11 14:05:55,art2k@Virginia.edu,2.0,Pursuing,True,,"The Supplier Diversity Initiative exists as a resource for diverse vendors to the University of Virginia, as well as prime contractors and University faculty and staff.

Procurement and Supplier Diversity Services pursues the goal of increasing the amount of business done with Small, Woman-Owned, and Minority-Owned (SWaM) firms by providing information and undertaking new initiatives to reach out to the diverse vendor community:

1) Procurement and Supplier Diversity Services notifies eVA and the Virginia Department of Minority Business Enterprise (DMBE) of all new Requests for Proposal to help ensure that SWaM firms are aware of opportunities for doing business with the University.
2) The University's Guidelines for Competition list the policies University staff must follow when making a purchase.
3) SWaM firms are invited and encouraged to attend the bi-monthly Vendor Training sessions conducted by the Director of Procurement and Supplier Diversity Services.
4) Supplier Diversity works with the University's majority-owned prime contractors to encourage subcontracting opportunities, joint ventures, and partnerships for SWaM firms.
5) The Supplier Diversity Initiative maintains the University's relationships with small and diverse business advocacy organizations, including the Virginia Minority Supplier Development Council, the National Minority Supplier Development Council, the Women Presidents' Educational Organization (WBENC affiliate) the Virginia Asian Chamber of Commerce, and the Virginia Hispanic Chamber of Commerce.

Procurement and Supplier Diversity Services also pursues the goal of increasing the amount of business done with SWaM firms by providing information to departments about the goods and services offered by SWaM vendors.

1) Procurement and Supplier Diversity Services works directly with University departments to provide information about SWaM firms.
2) This website includes a search of VDMBE-certified vendors that allows users to find SWaM vendors by the type of commodity they provide, and which gives Integrated System Supplier Numbers for those that are already registered in our system.
3) University departments can contact Supplier Diversity directly (see contact information below)for help in finding SWaM vendors.",True,44.0,http://www.procurement.virginia.edu/pagediversity,"http://www.procurement.virginia.edu/interim/SWAMPlan2013.pdf  (Fiscal Year July 2012-June 2013)

http://www.procurement.virginia.edu/interim/SWAMPlan2014.pdf (Fiscal Year July 2013-June 2014)"
University of Winnipeg,2016-01-13,2016-01-13 14:36:55,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,True,http://stars.aashe.org/media/secure/771/6/610/3797/purchasing-policy.pdf,The University of Winnipeg's purchasing Policy is attached.,--,--,--,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:54,fermanij@uwgb.edu,2.0,Pursuing,True,,The State of Wisconsin is committed to the involvement of minority and veteran-owned business enterprises in the state's procurement program. UW - Green Bay follows the State's purchasing policy which allows the campus to award to certified minority or veteran-owned businesses who submit the lowest qualitfied bid when that qualified bid is not more than 5% more than the apparent low bid. ,--,--,--,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:34:53,knelson6@uwm.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:41:44,kermathb@uwosh.edu,2.0,Pursuing,True,,"The State of Wisconsin operates a Minority Business Enterprise (MBE) Program to maximize the use of minority business enterprises in the purchase of goods and services. The goal of the state is to attempt to ensure that 5% of the total amount expended in the state’s purchasing program in each fiscal year is paid to minority business enterprises. The MBE Program operates through the Department of Administration and has a full-time director who is responsible for implementation of the program. The director seeks out, identifies and assists minority vendors in participating in state contracts. If a minority business enterprise submits a qualified, responsible, competitive bid that is no more than 5% higher than the lowest responsible bid, the award may be made to the minority business enterprise. To meet the State's commitment and goals regarding utilization of minority business enterprises, contractors are required to cooperate with the MBE Program. The MBE program ensures that minority business enterprises have the maximum opportunity to compete for subcontract work whenever feasible. http://vendornet.state.wi.us/vendornet/vguide/mbe.asp
The State Bureau of Procurement encourages the participation of veteran-owned businesses in the statewide purchasing program by inviting veteran-owned businesses to actively solicit public purchasing business and by reducing undue impediments to such participation. The Bureau: 

A. Maintains a bidder list of veteran-owned businesses located in this state which have indicated a willingness to provide materials or services to the state and notifies these businesses of purchasing requests for which they may wish to submit bids or proposals. 
B. Eliminates or reduces, where possible, administrative burdens on veteran-owned businesses located in this state which submits bids and proposals to the state and assists these businesses in complying with the state's competitive bidding and competitive negotiation procedures. 
C. Submits an annual report (October 1) to the Council on Small Business, Veteran-owned Business and Minority Business Opportunities which: 
1. Evaluates the performance of small businesses located in this state; 
2. Makes recommendations for increased involvement of small businesses in submitting competitive bids and proposals; and 
3.Develops actions through a small business, veteran-owned business and minority business ""outreach"" program to communicate with small, veteran-owned and minority businesses.
",--,--,http://vendornet.state.wi.us/vendornet/procman/prod12.pdf,--
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:16:11,seebotha@uwplatt.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/753/6/610/3797/StateProcurementManual.pdf,"UW System campuses purchase goods and services through State Procurement. The State of Wisconsin is committed to the involvement of minority and veteran-owned business enterprises in the state's procurement program. UW-Platteville follows the State's purchasing policy which allows the campus to award contracts to certified minority or veteran-owned businesses who submit the lowest qualified bid when that qualified bid is not more than 5% more than the apparent low bid. This policy helps to create a diverse supplier base.

",--,--,http://vendornet.state.wi.us/vendornet/procman/StateProcurementManual.pdf,--
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:02:00,sjanowsk@uwsp.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/115/6/610/3797/StateProcurementManual.pdf,"Historically underutilized businesses, minority-owned businesses, and women owned-businesses: 
UW System campuses purchase goods and services through State Procurement. The State of Wisconsin is committed to the involvement of minority and veteran-owned business enterprises in the state's procurement program. UW - Stevens Point follows the State's purchasing policy which allows the campus to award contracts to certified minority or veteran-owned businesses who submit the lowest qualified bid when that qualified bid is not more than 5% more than the apparent low bid.
“Enacted in 1983, Wisconsin’s Minority Business Enterprise (MBE) law sets a 5% MBE procurement goal for state agencies and offers a 5% price preference for certified minority firms that compete for State contracts. The 5% goal applies to all State purchases with the exception of DOT, Federal Surface Transportation Assistance Act and DNR EPA funds.” 
•MBE Program Overview on VendorNet: http://vendornet.state.wi.us/vendornet/vguide/mbe.asp
•Minority Business Report FY2010: http://www.doa.state.wi.us/docview.asp?docid=8685&locid=169
•Veteran Owned Business Policy: http://vendornet.state.wi.us/vendornet/procman/prod12.pdf

•MBE, DVE, and Woman-Owned Business Enterprise (WBE) Current Law Explanation: 
http://legis.wisconsin.gov/lfb/2011-13%20Budget/Budget%20Papers/243.pdf
",--,--,http://vendornet.state.wi.us/vendornet/vguide/mbe.asp,--
University of Wisconsin-Stout,2016-03-25,2016-03-25 10:49:09,rykals@uwstout.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/599/6/610/3797/prod1(1).pdf,"Through DOA policy, UW-Stout is able to award to Minority Owned Businesses (MBE’s) via the DOA Procurement Manual and formula. ",True,2.46,http://vendornet.state.wi.us/vendornet/procman/prod1.pdf,Information provided by the Director of Procurement. 
University of the Pacific,2016-03-23,2016-03-23 15:39:31,seller@pacific.edu,2.0,Pursuing,True,,"Pacific recognizes as “small business concerns” (SBCs) the following current list of federally designated business concerns:
•	small businesses, as defined by SBA size standards for each industry;
•	small disadvantaged businesses, which must be federally certified ;
•	woman-owned small businesses, meeting the SBA standards and which ""self-certify"" as to ownership;
•	HUBzone businesses, located in census tracts of low income/high unemployment, and which must be federally certified;
•	historically Black Colleges and Universities and Minority Institutions;
•	veteran-owned small businesses, which self-certify as to ownership; and
•	service disabled veteran small businesses, which self-certify as to ownership.

Using the definition above, Pacific encourages participation in all of its contracts by small business concerns and aspires to have 15% of all purchases made through small business concerns, regardless of source of funds.

The Purchasing Policy adopted January 1, 2011 requires that Pacific staff involved with purchasing opportunities increase their outreach to small business concerns, with special effort targeted for underrepresented businesses to include:

•	including in solicitations a provision encouraging participation by certified firms and other small businesses;
•	providing SBCs and other small businesses that express an interest in participating with adequate and timely information about plans, specifications, and requirements of the solicitation;
•	participating in trade shows, conferences, educational seminars, and training sessions in order to broaden communication between Pacific and potential SBCS; 
•	utilize the services of available minority community organizations, minority contractor groups, local minority assistance offices and organizations that provide assistance in the recruitment of SBC and other small businesses whenever feasible; and
•	include in its competitive solicitations the statement “Non-Discrimination:  Contractors, Bidders and Proposers shall not create barriers to open and fair opportunities for all businesses including SBCs to participate in contracts and to obtain or compete for contracts and subcontracts as sources of supplies, equipment, construction and services. In considering offers from, and doing business with, subcontractors and suppliers, the Contractor shall not discriminate on the basis of race, color, creed, religion, sex, age, nationality, marital status, or the presence of any mental or physical disability in an otherwise qualified disabled person.”
",True,7.95,http://www.pacific.edu/About-Pacific/AdministrationOffices/Business-and-Finance-Division/About/Controllers-Office/Policies-and-Procedures/Business-Policies-and-Procedures-Index-page/Purchasing-Policy,--
Vanderbilt University,2016-03-21,2016-03-21 10:46:18,andrea.george@vanderbilt.edu,2.0,Pursuing,True,,"8.15 Supplier Diversity & Small Business Program
Vanderbilt University is committed to the principle of diversity and equal opportunity in all of its endeavors and applies this principle in its procurement activity with the objective of encouraging participation by qualified suppliers categorized as: small, disadvantaged, veteran, minority or women-owned enterprises. The university believes that strengthening and expanding its supplier base in these business classifications not only contribute to lowering our operational costs in providing education, research and patient care, but also improves the overall health of the greater business community within which we exist. It is a practice of the university to actively identify and solicit qualified small, disadvantaged, veteran, minority or women-owned businesses and to provide and promote equal opportunities for such suppliers within the university in order to promote supplier diversity.
In order to better meet the Supplier Diversity goals, Procurement Services coordinates the efforts of the university in the following ways:
1. Identifies the business classification of our suppliers at the time of their registration with Procurement Services.
2. Provides listings of small, disadvantaged, minority and women-owned businesses to the departments of the university.
3. Participates with local and regional minority purchasing organizations during seasonal opportunity fairs to not only share information regarding university projects, but also to identify potential new suppliers for participation in those projects.
4. Creates periodic reports to monitor the volume of business done with small, disadvantaged, veteran, minority and women-owned businesses and uses this information to assess and improve the effectiveness of our program.
5. Publishes information on Diversity Suppliers on the dedicated Diversity Program webpage VU Supplier Diversity Program
6. Coordinates and Sponsors an annual business diversity supplier fair.
7. Through these activities and the support of administrators throughout the university, Vanderbilt recognizes the economic and social benefits derived by promoting equal opportunity for the small, disadvantaged, veteran, minority or women-owned business community.
",--,--,https://finance.vanderbilt.edu/procurement/about/Procurement-Policies-Procedures.pdf,--
Vassar College,2016-03-10,2016-03-10 19:47:36,alihall@vassar.edu,2.0,In Progress,--,--,--,--,--,--,"The listed 3.62% of total purchases from disadvantaged businesses, social enterprises and/or local community-based businesses does not include local community-based businesses, and does not include possible business owners who fit the criterion but were not registered as such in the institution's purchasing records; Vassar College has at least 3.62% that can be completely verified. "
Villanova University,2016-03-21,2016-03-21 13:11:39,liesel.schwarz@villanova.edu,2.0,Pursuing,--,,,--,--,--,--
Virginia Commonwealth University,2015-07-24,2015-07-24 09:33:19,eestanforth@vcu.edu,2.0,Pursuing,True,,"VCU's small, woman and minority-owned business program (entitled ""SWaM"") is established by state statute and covers state agencies, as well as, public, higher education institutions within the Commonwealth of Virginia.

Currently, VCU is not permitted statutorily to engage in ""local"" preference programs.

The rule governing VCU's SWaM program can be found here:
ATTACHMENT 1

Rules Governing Procurement of Goods, Services, Insurance, and Construction
by a Public Institution of Higher Education of the Commonwealth of Virginia
Governed by Subchapter 3 of the
Restructured Higher Education Financial and Administrative Operations Act,
Chapter 4.10 (§ 23-38.88 et seq.) of Title 23 of the Code of Virginia

(see https://vascupp.org/rules.pdf for full text)

§ 9. Discrimination prohibited; participation of small, women-and minority-owned business. 

A. In the solicitation or awarding of contracts, the Institution shall not discriminate against a bidder or offeror because of race, religion, color, sex, national origin, age, disability, or any other basis prohibited by state law relating to discrimination in employment. Whenever solicitations are made, the Institution shall include businesses selected from a list made available by the Department of Minority Business Enterprise. 

B. The Institution shall establish programs consistent with this section to facilitate the participation of small businesses and businesses owned by women and minorities in procurement transactions. The programs established shall be in writing and shall include cooperation with the Department of Minority Business Enterprise, the United States Small Business Administration, and other public or private agencies. The Institution shall submit annual progress reports on minority business procurement to the Department of Minority Business Enterprise. 

C. Whenever there exists (i) a rational basis for small business enhancement or (ii) a persuasive analysis that documents a statistically significant disparity between the availability and utilization of women- and minority-owned businesses, the Governor is by law authorized and encouraged to require the Institution to implement appropriate enhancement or remedial measures consistent with prevailing law

",True,40.0,--,--
Warren Wilson College,2016-03-21,2016-03-21 15:30:11,aclimo@warren-wilson.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Wartburg College,2015-04-27,2015-04-27 09:08:56,anne.duncan@wartburg.edu,2.0,Pursuing,True,,"The Wartburg College Campus Sustainability Plan addresses all areas of campus sustainability, broken into eight sections. Section II of this plan addresses purchasing, with a stated vision ""The College shall adopt a campus-wide environmentally and socially sensitive purchasing plan that is consistent with best practices in higher education (e.g. AASHE). These policies will favor purchase of products with a reduced environmental and social impact.""
Under each section there is a list of applicable goals. Goal 4 states ""Buy Local: Departments shall be encouraged to purchase locally grown and produced products, defined as within Iowa or a 500 mile radius of Waverly, IA, to minimize the environmental costs associated with shipping.""",--,--,--,We are not able to track the purchases made within the 500 mile radius nor the 250 STARS local definition.
"Washington State University, Pullman",2016-03-25,2016-03-25 19:00:00,slkane@wsu.edu,2.0,Pursuing,--,,Not allowed by the State of Washington procurement statutes.,--,--,--,--
Washington University in St. Louis,2016-02-29,2016-02-29 19:42:14,valko@wustl.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Weber State University,2016-01-13,2016-01-13 14:17:12,jenniferbodine@weber.edu,2.0,In Progress,--,--,--,--,--,--,--
Wellesley College,2016-01-12,2016-01-12 12:03:41,pwilloug@wellesley.edu,2.0,Pursuing,True,,"Wellesley College is committed to socially and environmentally responsible purchasing by promoting business activity with minority/woman-owned companies, environmentally conscious companies and local businesses and products whenever it makes sense to do so. This commitment enjoys broad support on campus.
http://www.wellesley.edu/purchasing/business",True,0.01,http://www.wellesley.edu/Purchasing/supplier.html,--
Wells College,2016-02-26,2016-02-26 16:59:44,mbrown@wells.edu,2.0,Pursuing,--,,,--,--,--,--
Western Michigan University,2016-02-24,2016-02-24 12:21:45,jeffrey.spoelstra@wmich.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/751/6/610/3797/Penskar%20-%20Documentation.pdf,,--,4.5,http://www.wmich.edu/logisticalservices/docs/diversity-procurement-program.pdf,--
Western State Colorado University,2016-02-16,2016-02-16 19:23:19,bmoran@western.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/818/6/610/3797/Environmentally%20%20Socially%20Responsible%20Purchasing%20Plan.docx,,--,--,--,--
Western Washington University,2016-02-29,2016-02-29 19:39:25,seth.vidana@wwu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Westminster College,2016-02-25,2016-02-25 14:15:52,kcase@westminstercollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Wilfrid Laurier University,2015-12-22,2015-12-22 11:30:59,cbennett@wlu.ca,2.0,In Progress,--,--,--,--,--,--,--
Williams College,2016-03-23,2016-03-23 08:24:03,mae3@williams.edu,2.0,Pursuing,--,,,--,--,--,--
Worcester Polytechnic Institute,2016-03-21,2016-03-21 14:52:51,ltomasz@wpi.edu,2.0,In Progress,--,--,--,--,--,--,--
