Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have an institution-wide stated preference to purchase computers and/or other ...,"A copy of the electronics purchasing policy, directive, or guidelines","The electronics purchasing policy, directive, or guidelines ","A brief description of steps the institution has taken to ensure that the purchasing policy, ...",Does the institution wish to pursue to pursue Part 2 of this credit (expenditures on EPEAT ...,"Expenditures on EPEAT registered desktop and laptop computers, displays, thin clients, televisions, ...","Expenditures on EPEAT Bronze desktop and laptop computers, displays, thin clients, televisions, and ...","Expenditures on EPEAT Silver desktop and laptop computers, displays, thin clients, televisions, and ...","Expenditures on EPEAT Gold desktop and laptop computers, displays, thin clients, televisions, and ...","Total expenditures on desktop and laptop computers, displays, thin clients, televisions, and ...","The website URL where information about the institution's electronics purchasing policy, directive, ...",Public Notes
University of New Hampshire,2016-03-25,2016-03-25 21:53:27,colleen.flaherty@unh.edu,2.0,Pursuing,True,,"All computers purchased through the University System of New Hampshire (USNH) Purchasing Department are EPEAT silver or gold certified. In addition, the UNH Computer Store has contracts with Dell and Apple for resale of computers. All computers stocked by the UNH Computer Store are EPEAT silver (all Dells) or gold (all Apple) certified. ","All computers purchased through the University System of New Hampshire (USNH) Purchasing Department are EPEAT silver or gold certified. In addition, the UNH Computer Store has contracts with Dell and Apple for resale of computers. All computers stocked by the UNH Computer Store are EPEAT silver (all Dells) or gold (all Apple) certified. 

In Spring 2010 the Energy Task Force followed up on recommended policies set forth by WildCAP (UNH's Climate Action Plan) describing UNH's commitment to the EPEAT Purchasing Requirements in accordance with the American College and University Presidents Climate Commitment (ACUPCC). This policy has been in place since 2006 as ""strongly recommended""  but became policy July 1, 2010.  

At present, compliance cannot be enforced for purchases made by departments via purchasing cards (""P-Cards""), but it is consistently communicated by Purchasing to the various departments that there is such a policy in place. ",True,**,306010.21,960525.0,2255459.35,3521994.56,--,"See also http://itguide.unh.edu/green-computing/.

The numbers above only reflect computers or monitors purchased through or by UNH IT and UNH Purchasing and Contract Services.  UNH does not currently have the capabilities to track EPEAT purchases made by departments, offices and individuals OUTSIDE of those done by or through UNH IT (including the UNH Computer Store) and USNH Purchasing and Contract Services. 

All Apple computers are Gold EPEAT, all Dells Silver EPEAT.

UNH Computer Store contact: Deb Bronson, Director of Finance and Planning for IT"
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:57:50,cpshea@fac.unc.edu,2.0,Pursuing,True,,UNC Chapel Hill participates in the Combined Pricing Initiative (CPI) to save money through the combined purchasing power of the entire UNC system. All CPI computers meet EPEAT/Energy Star requirements. ,"Information Technology Services, the largest campus computer purchaser, specifies EPEAT Gold. FAIT —serving ~1500 employees — specifies EPEAT Silver or Gold computers.

",True,**,14250.49,186983.64,14850061.67,19524220.01,http://sustainability.unc.edu/initiatives/operations/purchasing/,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:11,cgcarwei@uncg.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/235/6/506/3784/ITS%20Annual%20Report%2010-11%20Full%20Assessment.pdf,"ITS also continued several existing sustainable practices in 10-11 including:
- operation of Pharos ""Pay for Print"" system in ITS and participating departmental labs to
reduce paper waste
- facilitation of electronic assignment submission (e.g., through Blackboard) and use of other online collaboration tools (e.g., Google Docs, Sites, Talk)
- making select academic software remotely available through the Virtual Computing Lab (VCL) to reduce the need for travel to campus
- promotion of the purchase of EPEAT Gold and Energy Star compliant client technology devices through the campus-wide hardware procurement program
- participating in a vendor program to sell or recycle outdated cell phones
- reducing travel by supporting telelearning classes and teleconferences in the ITS Telelearning Center
- promoting a telework initiative for ITS staff members
- participates in a Shred-a-Thon with the Office of Waste Reduction and Recycling to promote disposition of materials that are no longer needed for reference or required by law for archival storage","Information Technology Services (ITS) promotes the purchase of EPEAT Gold and Energy Star compliant client technology devices through the campus-wide hardware Procurement Program (CHP).

All standard computers and monitors provided to staff by UNCG meet EPEAT Gold standards with the exception of one, a laptop that is rated EPEAT Silver. The campus must purchase from the inventory of UNC-approved standard hardware configurations and options. Employees may purchase non-standard computers ONLY if approved by ITS.",True,**,--,--,1091745.94,1091745.94,http://its.uncg.edu/About/ITS_Annual_Report_10-11_Full_Assessment.pdf,"Note:  The data being reported is for FY 2013-2014.

Information obtained from Kevin Latimer, Director of Technology Support Services, and Jack McGuinn, ITS Project Management Office.  

All Dell, Lenovo, and Apple Products were reported as EPEAT Gold.  "
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:24,pohlmank@uncw.edu,2.0,Pursuing,True,,http://uncw.edu/itsd/working/cpi.html,UNC Wilmington participates in the Combined Pricing Initiative (CPI) to save money through the combined purchasing power of the entire UNC system. All CPI computers meet EPEAT/Energy Star requirements. ,--,**,--,--,--,--,--,--
University of Oregon,2016-03-23,2016-03-23 11:01:21,smital@uoregon.edu,2.0,Pursuing,True,,"(from http://pcs.uoregon.edu/content/sustainability)  Welcome to the University of Oregon's Purchasing and Contracting Services website on sustainability and suggestions for environmentally friendly purchasing, contracting, and procurements. Examples of environmentally preferable characteristics include products and services that conserve energy and water, minimize generation of waste and releases of pollutants; products made from recycled materials and that can be reused or recycled; energy from renewable resources such as biobased fuels, solar and wind power; alternatively-fueled vehicles; and products using alternatives to hazardous or toxic chemicals, radioactive materials and biohazardous agents. The University of Oregon is committed to sustainable behavior including purchasing practices.     (from http://sustainability.uoregon.edu/policy/comprehensive-environmental-policy) 5. PURCHASING The University will strive to obtain “best value” by balancing, as both appropriate and permissible, life cycle costs and social and environmental impacts when purchasing goods and services. Where both appropriate and permissible, the University will write specific purchasing policies to guide decision-making on frequently purchased items.",Information on environmentally preferred purchasing is shared with campus community via our Green Office certification program.  ,True,**,305.0,34685.9,231452.8,346170.78,http://pcs.uoregon.edu/content/sustainability,"http://policies.uoregon.edu/policy/by/1/01-administration-and-governance/environmental-comprehensive-policy? 

""78%  of subset purchases were EPEAT
86% of EPEAT purchases were gold
8% of EPEAT purchases were silver
Less than 1% EPEAT purchases were bronze
Approximately 11% of campus computer purchase totals were included in the sample  
All campus total was $3,222,921.97"""
University of Pittsburgh,2016-03-24,2016-03-24 12:58:22,lwzfm1@pitt.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/664/6/506/3784/Computer%20purchasing%20guidelines.pdf,"The University's purchasing department encourages departments to procure environmentally responsible products through its Environmentally Preferable Purchasing program (EPP).  Purchasing has developed a page within its PantherExpress website that describes its sustainable purchasing program.  Please see 
http://cfo.pitt.edu/pexpress/purchases/buyingGreen.php. and http://cfo.pitt.edu/pExpress/purchases/GreenCommitment.pdf 

For information specific to electronics purchasing, please see http://cfo.pitt.edu/pExpress/purchases/TTTComputers.pdf
","The University’s Purchasing Services Department strives to promote sustainability awareness to its faculty, staff and students through Environmentally Preferable Purchasing.  EPP is the procurement of goods and services that have a reduced impact on human health and the environment compared to competing products serving the same purpose. It is an essential part of our search for high quality products and services at competitive prices. A major contributor is the annual Sustainability and Diversity Show that showcases the sustainable efforts and products of key suppliers. ",--,**,--,--,--,--,http://cfo.pitt.edu/pExpress/purchases/TTTComputers.pdf,"While much of the electronic equipment purchased by the University is certified by EPEAT or other certifying agencies, no records exist to quantify the expenditures by the levels provided above."
University of Richmond,2016-02-17,2016-02-17 15:17:28,randreje@richmond.edu,2.0,Pursuing,--,,,"There is no specific documentation that references the preference for “EPEAT Silver or higher”; however, we do talk about the importance of our sustainability efforts in our configuration planning meetings with our computer vendors, all of our desktop/laptop systems purchased over the last several years have met the EPEAT Silver or Gold rating, according to epeat.net. 
   
We do address Sustainability in the RFP process as well. The following statement is included:

SUSTAINABILITY: The University of Richmond is committed to environmental sustainability by encouraging faculty, staff and students to purchase products and services that minimize waste, contain a high-recycled content, use responsible production methods, and demonstrate a maximum biodegradability, reparability, energy efficiency, non-toxicity and recyclability.  

Vendors are encouraged to provide an alternate bid for products, services, or process that is more environmentally beneficial.  Please provide product and sustainability fact sheets for each item in the bid.  The University will evaluate all bids and the award will be made, in whole or in part, to the selected vendor(s). 

FYI – prior to 2011, we purchased Lenovo PC products.  All of the desktop/laptop systems for Lenovo are EPEAT Gold according to the epeat.net site.   Of the laptop/desktop computer assets in use on campus, 100% would be considered EPEAT Gold.   ",True,**,--,--,1384853.0,1384853.0,--,--
University of South Carolina,2016-02-29,2016-02-29 17:11:33,KOPPAN@mailbox.sc.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/276/6/506/3784/Purchasing%20Sustainability%20Guidelines.pdf,,"All computers purchased at the University of South Carolina are required to go through established contracts with vendors that offer a variety of computer technologies, including EPEAT-rated products.",--,**,--,--,--,--,http://purchasing.sc.edu/contracts.shtml,--
University of South Florida,2016-02-26,2016-02-26 13:29:29,sustainability@usf.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/86/6/506/3784/USF%20Sustainable%20Purchasing%20Best%20Practices%20and%20Guidelines%20Final%200713-1.pdf,"INTRODUCTION (Purpose and Intent)
A. This document is intended to facilitate implementation of purchasing guidelines that are consistent with the American College and University Presidents’ Climate Commitment
(ACUPCC), signed by the USF President Dr. Judy Genshaft in 2008. The purpose of this
document is to support and encourage campus sustainability at USF and to provide guidelines, information, and resources in procuring products that will minimize negative impacts on society and the environment to the greatest extent practicable.
A. Reduce waste at the point of purchase.
B. Purchase durable and reusable goods.
C. Lease and rent when appropriate.
D. Specify product and packaging take-back.
E. Buy goods in bulk or concentrated form.
F. Manage surplus effectively.
G. Procure commodities that are certified to meet sustainability standards.
Electronics and Appliances:
- Energy Star at http://www.energystar.gov/
- Electronic Product Environmental Assessment Tool (EPEAT) - http://www.epeat.net/","To facilitate implementation of purchasing guidelines that are consistent with the American College and University Presidents’ Climate Commitment (ACUPCC), signed by the USF President Dr. Judy Genshaft in 2008. The purpose of this document is to support and encourage campus sustainability at USF and to provide guidelines, information, and resources in procuring products that will minimize negative impacts on society and the environment to the greatest extent practicable.  The best practices and procurement strategies include:
G. Procure commodities that are certified to meet sustainability standards:
Electronics and Appliances:
 -  Energy Star at http://www.energystar.gov/
 -  Electronic Product Environmental Assessment Tool (EPEAT) - http://www.epeat.net/
",True,**,--,93082.0,1858453.0,5346957.0,http://usfweb2.usf.edu/purchasing/Sustainability/USF%20Sustainable%20Purchasing%20Best%20Practices%20and%20Guidelines%20Final%200713.pdf,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 22:58:58,davidv@mail.usf.edu,2.0,Pursuing,--,,,,True,**,395.0,13049.0,172031.0,185475.0,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:15,prestonj@utk.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/329/6/506/3784/Energy%20Conservation%20Policy.pdf,,"The UT Knoxville Facilities Services Department (“Facilities Services”) shall implement this policy and shall ensure that university buildings are operated, maintained, renovated and constructed in compliance with the policy.
",True,**,780638.0,2379999.0,843831.19,4160576.75,http://facserv.utk.tennessee.edu/policies/Energy%20Conservation%20Policy.pdf,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:02:44,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:14,mtare@uta.edu,2.0,Pursuing,True,,"Responsible Purchasing Practices

As an agency of the State of Texas and as a public institution of higher education, we have a responsibility to support matters of public policy. Accordingly, when possible, buyers should give consideration in their award decisions to goods and services described in this section.

Recycled/remanufactured goods: Whenever possible, Procurement staff and delegated university departments shall specify the following recycled/remanufactured goods, or their use:

Products made of recycled, remanufactured, or environmentally sensitive materials, including:

recycled steel

100% post-consumer content office paper

30% to 100% PCC color-copy paper

Recycled paper products including, but not limited to, stationery, letterhead, and business cards

Energy-efficient products that contain the Energy Star rating, including:

computers

photocopiers

other applicable office equipment

""Green"" cleaning supplies and other applicable products, having Green Seal or Eco Logo Certification

Rubberized asphalt paving material

Recycled motor oil and lubricants

Products produced at facilities located on formerly contaminated property

Local Suppliers: When possible, buyers should give consideration to goods that are:

Supplies, materials, equipment, or services produced in Texas and/or offered by Texas bidders

Agricultural products produced or grown in Texas

Agricultural products and services offered by Texas bidders

USA produced supplies, material or equipment

Economically depressed and blighted areas: When possible, buyers should give consideration to the purchase of products and services from economically depressed or blighted areas.

Purchases from people with disabilities (TIBH): When the University purchases goods or services that are available from a TIBH source from a non-TIBH source, a written justification must be provided documenting why TIBH goods or services were unacceptable. Information about TIBH goods and services can be obtained at their website, http://www.tibh.org/index.php.

If a TIBH supplier is not chosen, prepare a written justification documenting the reason why TIBH goods or services were unacceptable. Reasons may be specifications regarding quality, quantity, delivery, life cycle costs, and prices.

Forward the written justification to the Senior Director of Procurement Services or designee with a request or review and approval.

Alliance Contract Purchase: The Office of Procurement will review all requisitions to determine if the requested items/services are available from one of the Alliance contracts.
Term (State of Texas) Contract Purchase: The Office of Procurement will review all requisitions to determine if the requested items are listed under (TPASS) http://www.window.state.tx.us/procurement/Term Contracts.

TXMAS Contracts: The Office of Procurement will review all requisitions to determine if the requested items are listed under TXMAS Contracts.

DIR Contracts: The Office of Procurement will review all requisitions to determine if the requested items are listed under DIR Contracts.

Historically underutilized businesses (HUBs): The Texas Government Code encourages all state agencies to make a good faith effort to increase purchases and contract awards to certified historically underutilized businesses. See Contract with Historically Underutilized Businesses (HUB) (Procedure 4-28) for more information about UT Arlington HUB policie","In reference to computer systems supported by OIT, all of the computer systems on our bulk purchase page are EPEAT registered. New computer purchases are required to conform to section VII of the university’s purchasing procedure for computer equipment as outlined below.

https://www.uta.edu/policy/procedure/4-2#section-8-7

The link to our bulk-purchase page is below.

http://www.uta.edu/oit/cs/bulkbuys/index.php

Currently, all systems that are setup by OIT for campus use that are managed by the UTA Domain have the display settings set to turn off the display after 15 minutes of inactivity. Systems that are not a part of the UTA Domain are managed by their respective users.

All printers on our bulk purchase page are duplex capable.

Printers that meet all the following criteria have the duplexing setup by default. Exceptions are granted by request from the departments.

1. The printer must have a hardware duplex unit installed 
2. The printer must be attached to the UTA network
3. The printer must be managed by a queue on one of our servers

Printers that do not meet any of the above criteria are not managed by OIT. Unmanaged printers are managed by their respective users.
",--,**,--,--,--,--,https://www.uta.edu/policy/procedure/4-2#section-8-7,The University Office of Information Technology is constantly reviewing and updating technology preferences to address energy savings.
University of Texas at Austin,2016-03-21,2016-03-21 16:14:44,jim.walker@austin.utexas.edu,2.0,Pursuing,True,,"Recommendations for specific commodities, including electronics, are found in http://www.utexas.edu/business/accounting/hbp/07_purch/purch12-3.html",Included in the Chief Financial Officer's Handbook of Operating Procedures. ,True,**,1238.0,275337.39,4890832.31,5339558.83,http://www.utexas.edu/business/accounting/hbp/07_purch/purch12-3.html,"Data set includes all laptops (excluding tablets), desktop computers, monitors and thin clients purchased via the SciQuest eCommerce tool. All televisions purchased via purchase order are also included in the sample. This sample includes the overwhelming majority of spend in these categories.

Spend on University credit cards were omitted because item-level information is not available. The data set also excludes all laptops, desktop computers, monitors and thin clients purchased via manual (i.e. not SciQuest) purchase orders. We anticipate that distribution of products in these excluded areas is consistent with the percentages seen in the sample."
University of Texas at Dallas,2016-02-29,2016-02-29 18:12:52,thea.junt@utdallas.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
University of Toledo,2016-03-25,2016-03-25 15:20:36,neil.tabor@utoledo.edu,2.0,Pursuing,--,,,,True,**,--,--,592592.59,1000000.0,https://www.utoledo.edu/depts/supplychain/purchasing/pdfs/Procurement%20manual%20UPDATES%201.25.16.pdf,"This number is an extrapolation of the EPEAT levels of our purchases, by proportion. We do not have the capability to gather dollar figures from every individual purchase. 

"
University of Virginia,2015-12-11,2015-12-11 14:05:37,art2k@Virginia.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/281/6/506/3784/OP-%2012.pdf,"The University Purchasing Card may be used only for purchases related to the conduct of official University of Virginia business. The University Purchasing Card may not be used for personal expenditures, cash advances, or to obtain store credit. All items purchased with University funds remain the property of the institution.                                                The University of Virginia offers two purchasing card (Pcard) programs. One is a VISA (""State Card"") card, governed by the Commonwealth of Virginia, which can be used with any fund source.  The other is a MasterCard (""Local Funds Card""), governed by the University, which can only be used for purchases paid with local fund sources. Both card programs are corporate liability, which means the University pays the bill on behalf of the cardholder. Cardholders can have both a VISA and MasterCard.

There are three methods by which departments may purchase for themselves those goods and services, which do not require processing by Procurement and Supplier Diversity Services. It is important to understand the restrictions and requirements for each method before making a purchasing decision.  http://www.procurement.virginia.edu/pagebuypay

More information can be found at:
https://policy.itc.virginia.edu/policy/policydisplay?id=FIN-044#Statement
http://www.procurement.virginia.edu/pagepcard
","The University of Virginia Desktop Computing Initiative provides departmental support for acquisition of computers and monitors. Although DCI does not have specific preference to purchase EPEAT, all standard laptops, desktops, and workstations carried by DCI are EPEAT silver of higher. DCI has identifies the following sustainability goals on their website:

DCI offers:

1. Energy-saving computers – Most DCI computers are Energy Star rated.
2. Recycling of parts and computers through the manufacturer – DCI does not contribute to the local landfills by sending back old computers and parts to the manufacturer.
3. Hybrid delivery vehicle – DCI uses a Ford Escape Hybrid for many of its deliveries",--,**,--,--,--,--,http://dci.virginia.edu/default.asp,--
University of Winnipeg,2016-01-13,2016-01-13 14:36:38,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,True,,The Campus Sustainability Council made a recommendation to Purchasing to pursue a minimum of EPEAT silver in all of its new electronics purchasing. This guideline has been put into practice by the Director of Purchasing.,The purchasing department creates and inventory of all electronics purchasing which is then shared with the Campus Sustainability Office. ,True,**,--,30209.0,416337.0,594643.78,--,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:37,fermanij@uwgb.edu,2.0,Pursuing,--,,,,True,**,--,--,397727.0,397727.0,--,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:33:02,knelson6@uwm.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/530/6/506/3784/Sustainable%20Facilities%20Standards.pdf,"From the State of Wisconsin Department of Administration ""Sustainable Facilities Standards""

10. Purchasing of Furniture, Fixtures and Equipment Requirement
Intent
To enable building tenants to perform their jobs well and maintain good health, it’s important to source furniture, fixtures and equipment that will not offgas or otherwise cause deteriorating health for the chemically sensitive.
Requirements
Purchase Energy Star approved equipment and products with ECO-labels or ECO-label certifications.
Preference for recycled content, used equipment, locally manufactured
No PVC content
Submittals
MSDS sheets for products being considered as part of bid process
Eco-label certifications
Potential Technologies & Strategies
Conduct research on greener furniture, fixtures and equipment, then select among the top 3 vendors in each category.
Printers:
-default to duplex printing at all printers
-reminders, pamphlet about benefits; make it easy
DIVISION OF STATE FACILITIES SUSTAINABLE FACILITIES STANDARDS
Rev.02/10/2010 39
-purchase only printers capable of duplex printing
-replace all old printers
-demonstrate how to use printers
Network copy machines.
Quit requiring office furniture to “match” (we waste perfectly good furniture)
Purchase only energy efficient fixtures and equipment. Promote use of motion sensors for room lighting.
Purchasing/Leasing
-Promote recycled paper/green office supplies purchasing and evaluate the impact
-Purchase only Energy Star, duplex printers
-Promote recyclable, compostable or reusable dishware & utensils
-Purchase only flat LCD monitors
-Purchase only Energy Star PCs
-Purchase only 4 stroke engines","ONLY computers recommended by the University Information and Technology Department are available for purchase.  All models now are EPEAT models.  Above that, the State of Wisconsin has a requirement for Energy Star or other Eco Label for Computer Purchasing.",True,**,--,32751.76,2213702.77,2248800.53,https://www4.uwm.edu/techstore/department/recommend.cfm,--
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:40:05,kermathb@uwosh.edu,2.0,Pursuing,True,,"“Supported” means that IT staff will install, maintain, and attach this equipment to the campus network. Academic Computing is an authorized repair center for both HP and Apple computers. There is no charge for support labor as long as the equipment meets campus standards. There will be no charge for support parts for up to 2 years beyond the purchased warranty as long as the cost is not more than half the price of a replacement computer or printer and the repair is not from accidental user damage.

 

”Consumer grade” computers and printers will not be supported.  While they may be cheaper to purchase, they have a higher total cost of ownership (higher maintenance costs, lower life cycle). With the exception of computers attached to specialized (usually scientific) equipment, if non-standard computers are purchased, the unit to which the computer is assigned will be charged for parts and labor (at a rate of $60/hour) when work is requested.

 

Quotes for all campus computers, printers and monitors are provided by IT. All quotes provided by IT for standard computers, printers, and monitors will meet at least Bronze-level registration under the Electronic Products Environmental Assessment Tool (EPEAT). Preference will be given for electronic products that have achieved EPEAT Silver or Gold registration. For more information on EPEAT and its criteria, please check www.epeat.net/resources/criteria.

 

When a computer or printer outside of the campus support standards break, it needs to be replaced rather than repaired. You can request replacement of your old computer or printer from campus surplus by contacting the Help Desk, helpdesk@uwosh.edu or 424-3020.","Quotes for all campus computers, printers and monitors are provided by IT. All quotes provided by IT for standard computers, printers, and monitors will meet at least Bronze-level registration under the Electronic Products Environmental Assessment Tool (EPEAT). Preference will be given for electronic products that have achieved EPEAT Silver or Gold registration. For more information on EPEAT and its criteria, please check www.epeat.net/resources/criteria.",--,**,--,--,--,--,http://www.uwosh.edu/acs/hardware-and-software/campus-computer-standards/departmental-purchases,--
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:15:54,seebotha@uwplatt.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/753/6/506/3784/WI_Contract_Listing_022616.pdf,"All electronic purchases on campus must be authorized by our campus Information Technology Services (ITS). Departments have three annual opportunities to buy PC systems: winter (December), spring (May - for current year monies), and summer (June - for following year monies). ITS assures that all computer purchases comply with Wisconsin State electronic contracts. When these contracts go out to bid they specify energy efficiency and quality standards that generally fit with EPEAT. Campus further selects models that all meet EPEAT Gold from the approved vendors.","No State (University funds) can be used to purchase electronics that are not approved through the ITS process. The Purchase Requisition or credit card expense will be denied by the Purchasing Office without proper ITS authorization.

In the last three years, all of our computer purchases were rated EPEAT Gold:
800 series desktops 800 G1 and G2
810 revolve tablets g1,g2,g3
840 elitebooks g1 and g2
850 elitebooks g1 and g2
 ",--,**,--,--,--,--,http://vendornet.state.wi.us/vendornet/procman/prob2b.asp,"List of computer purchases obtained from Sean Wolfe, campus hardware asset manager, 2/25/16."
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:01:42,sjanowsk@uwsp.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/115/6/506/3784/EPEAT%20Preference%20Policy.pdf,"Policy
The State of Wisconsin has mandatory contracts and policies for the purchase of university technology. The Information Technology Department also has standards in place to insure compatibility, technical support, and security of all applications, software and hardware purchased for the University.
All University technology purchasing requests are to be processed through the Information Technology Purchasing Office. This includes computers, monitors, printers, computer peripherals (flash drives, cables, etc.), projectors, audio/visual equipment, televisions, DVD/VCRs, web based applications, software and software as a service.
UW -Stevens Point Information Technology Department will adhere to the following energy efficiency requirements when making technology purchases:
UW -Stevens Point Information Technology Purchasing will have a strong preference toward purchasing EPEAT certified equipment where application, market, budget and standards permit the institution to do so.
•UW -Stevens Point will at a minimum purchase desktops, laptops, computer monitors and multi-function devices that have achieved Bronze registration or higher within the EPEAT system. UW -Stevens Point where application, market, budget and standards permit the institution to do so; will purchase EPEAT Silver or Gold registered desktops, laptops, computer monitors and multi-function devices.
•UW -Stevens Point will adhere to contracts and policies regarding EPEAT policies promulgated by Wisconsin Department of Administration and UW-System and its affiliates.
•UW -Stevens Point Information Technology Department will seek to make purchases that will minimize the energy demands of the campus data center either through the purchase of EPEAT or Energy Star certified hardware.
•UW -Stevens Point Information Technology Department will review web based application, software and hardware purchase requests for compliance with Federal and Wisconsin State laws; UW -System and Wisconsin Department of Administration regulations. Any purchases found not to be compliant with these requirements will not be permitted for use within the University.
Any purchases not made through the Information Technology Department will not be installed, funded or supported by the Information Technology Department.


","The state of Wisconsin has mandatory contracts and policies for the purchase of university technology. The Information Technology department also has standards in place to insure compatibility, technical support and security. All university technology purchasing requests are to be processed through the Information Technology Purchasing department. This includes computers, monitors, printers, computer peripherals (flash drives, cables, etc), projectors, audio/visual equipment, televisions, DVD/VCRs and software. Any purchases not made through the Information Technology department will not be installed or supported by Information Technology staff.",True,**,--,1161676.85,--,1161676.85,--,"All purchases from HP and and Apple are a minimum of Silver EPEAT, but we were unable to distinguish between Silver and Gold for this report period, therefore reported 100% of purchases as Silver."
University of Wisconsin-Stout,2016-03-25,2016-03-25 10:47:24,rykals@uwstout.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/599/6/506/3784/sustaintopics.pdf,,"By directive of the CIO, UW-Stout is limited to purchasing only HP laptop and PC’s for all faculty and staff. Of the HP laptop and PC’s that UW-Stout purchases, the pre-configured systems on the Purchasing website are both listed as EPEAT Gold status, along with the recommended monitor. ",True,**,--,--,5240000.0,5240000.0,http://www.uwstout.edu/pmm/intranet/polpro.cfm,"UW-Stout's recommended configurations are all EPEAT Gold status

Information provided by Director of Procurement & Materials Management "
University of the Pacific,2016-03-23,2016-03-23 15:37:32,seller@pacific.edu,2.0,Pursuing,True,,"Pacific is committed to the use of sustainable practices in the conduct of Pacific operations. To this end, energy efficiency, as well as short-term and long-term cost, must be evaluated when purchasing energy consuming appliances/equipment. All appliances/equipment purchased by the Pacific must be ENERGY STAR, if such approval exists for the type of appliance/equipment being purchased.
 
The Environmental Protection Agency ENERGY STAR Program identified appliances and equipment that meet specific energy efficiency requirements (http://www.energystar.gov). These items include heating and cooling equipment, computers, computer peripherals, printers, copy machines, audiovisual equipment, projectors, televisions, washers, dryers, cooking appliances, and refrigerators.
 
EPEAT is a (Electronic Product Environmental Assessment Tool) system that helps purchasers evaluate, compare and select electronic products based on their environmental attributes (http://www.epeat.net). The system currently covers desktop and laptop computers, thin clients, workstations and computer monitors
",Pacific's IT department has identified a set of recommended computers for purchase by any unit.  All currently recommended units are EPEAT Gold.,--,**,--,--,--,--,http://oitfaq.pacific.edu/index.php?action=article&id=760,http://www.pacific.edu/About-Pacific/Sustaining-Pacific/Campus-Operations/Green-Purchasing-Policy.html
